HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.0894662 0.102251 3.262859;-0.09033336 0.1637704 3.331666;-0.09226073 0.5592941 3.373094;-0.0983284 0.7606045 3.352252;-0.2717389 0.4294419 3.347812;-0.3410601 0.1379175 3.321501;-0.3809484 -0.1379387 3.21764;-0.3835875 -0.1998255 3.176898;0.08617279 0.4334091 3.351585;0.1592616 0.1484081 3.34193;0.1792896 -0.08747175 3.238585;0.1735155 -0.1782897 3.19639;-0.1695206 0.02355221 3.236805;-0.2656223 -0.5007415 3.25056;-0.3181695 -0.8736989 3.233339;-0.3285918 -0.9367455 3.195409;-0.008460335 0.02533745 3.246284;0.07149272 -0.525059 3.277117;0.1239062 -0.9006373 3.286347;0.1590687 -0.9788079 3.248788;0
-0.08945725 0.1022468 3.262932;-0.09028523 0.1637823 3.331742;-0.09236115 0.5594643 3.373102;-0.09837131 0.7606025 3.352244;-0.2716808 0.429495 3.34839;-0.3409052 0.1381502 3.321117;-0.3789057 -0.1253579 3.218775;-0.3834674 -0.1929456 3.182488;0.08650666 0.4331254 3.351767;0.1596221 0.1476252 3.342488;0.1784624 -0.08798712 3.237984;0.1721989 -0.1805292 3.190551;-0.1695142 0.0235476 3.236862;-0.267186 -0.5153465 3.251724;-0.3206265 -0.9009095 3.227007;-0.3359892 -0.9611243 3.178591;-0.008381368 0.02525016 3.246376;0.0719014 -0.5256224 3.277429;0.12344 -0.9010326 3.286456;0.1587474 -0.9791942 3.247414;0
-0.08945595 0.1022461 3.262943;-0.09027763 0.163784 3.331753;-0.0923766 0.5594906 3.373104;-0.0983782 0.7606022 3.352243;-0.2716748 0.429509 3.348495;-0.3408784 0.1381931 3.321051;-0.3772849 -0.1172836 3.219149;-0.3832991 -0.1907841 3.183706;0.08654911 0.4330848 3.351791;0.159675 0.1475006 3.342576;0.1783437 -0.08809227 3.23793;0.1719099 -0.1815375 3.189054;-0.1695133 0.0235469 3.23687;-0.267561 -0.5196486 3.252156;-0.321711 -0.9106184 3.224558;-0.3397426 -0.9741489 3.172142;-0.008369674 0.02523696 3.246389;0.07196777 -0.5257037 3.277478;0.1233631 -0.9010968 3.28647;0.1586235 -0.9792812 3.247416;0
-0.0894548 0.102246 3.262951;-0.09027138 0.1637865 3.331763;-0.09237885 0.5595407 3.373122;-0.09838343 0.760602 3.352242;-0.2716686 0.4295199 3.348566;-0.340841 0.1383112 3.32091;-0.3760508 -0.1092437 3.217454;-0.3819997 -0.1880704 3.183342;0.08658509 0.4330522 3.35181;0.1597167 0.1474002 3.342647;0.1783367 -0.08819517 3.237936;0.1717236 -0.1828123 3.187152;-0.1695125 0.02354706 3.236876;-0.2677152 -0.5215266 3.252224;-0.3220508 -0.9151061 3.223534;-0.35569 -0.977263 3.15973;-0.008360425 0.02522727 3.246402;0.07201827 -0.5257326 3.277513;0.123302 -0.9011459 3.286482;0.1584959 -0.9793131 3.247537;0
-0.08945388 0.1022462 3.262958;-0.09026681 0.1637885 3.33177;-0.09238947 0.5595753 3.373142;-0.0983872 0.7606022 3.352241;-0.2716641 0.4295284 3.34862;-0.3407885 0.1385302 3.320734;-0.3747733 -0.10198 3.214875;-0.3796231 -0.1846084 3.181825;0.08661007 0.4330273 3.351826;0.1597704 0.1473023 3.342768;0.1783585 -0.08826309 3.237967;0.1717733 -0.1839083 3.184441;-0.1695116 0.02354785 3.23688;-0.267908 -0.5232071 3.252091;-0.3223248 -0.9181187 3.222815;-0.3563542 -0.9813675 3.158504;-0.008353361 0.02522049 3.246411;0.07219259 -0.5258695 3.277624;0.1232615 -0.9013311 3.286512;0.1583684 -0.9793295 3.247502;0
-0.08950364 0.1027961 3.263024;-0.09031349 0.1641311 3.331802;-0.09240017 0.5596198 3.373155;-0.09838962 0.7606031 3.352237;-0.2716474 0.4295476 3.348634;-0.3407015 0.1391083 3.320529;-0.3730032 -0.08587996 3.200254;-0.3660875 -0.1625266 3.161627;0.08664034 0.4329974 3.351844;0.1598527 0.1472407 3.34347;0.1783694 -0.08803899 3.237834;0.1711353 -0.1834607 3.182037;-0.1695895 0.02420261 3.236882;-0.2680418 -0.5243661 3.251851;-0.3224024 -0.9198346 3.222343;-0.356544 -0.9824421 3.157219;-0.008378663 0.02557749 3.246512;0.0723993 -0.5260535 3.277707;0.123267 -0.901682 3.286537;0.1582663 -0.9793769 3.247468;0
-0.08954991 0.103353 3.263082;-0.09038016 0.1645002 3.331827;-0.09241039 0.5596583 3.373153;-0.09839036 0.7606004 3.352214;-0.2716094 0.429568 3.348576;-0.3402467 0.1411525 3.320677;-0.3642164 -0.06817215 3.185646;-0.3492988 -0.1542849 3.136621;0.08664761 0.4329706 3.351874;0.1596709 0.1477846 3.345811;0.1780605 -0.08667697 3.237736;0.1697889 -0.1793244 3.175864;-0.1696386 0.02486351 3.236876;-0.2683489 -0.5252904 3.250985;-0.322374 -0.920301 3.222059;-0.3541255 -0.9806848 3.158519;-0.008409124 0.02597463 3.246622;0.07250088 -0.5261145 3.277758;0.123258 -0.9018025 3.286538;0.1581271 -0.9794371 3.247478;0
-0.08958378 0.1055605 3.263296;-0.09051044 0.1659045 3.33194;-0.09240034 0.5597138 3.373152;-0.09839823 0.7605985 3.3521;-0.271571 0.4296477 3.3484;-0.3396529 0.1438026 3.320856;-0.3571004 -0.04971917 3.169076;-0.327314 -0.1152301 3.07698;0.08668478 0.4329096 3.352023;0.159354 0.1492285 3.350831;0.1772198 -0.07857002 3.233893;0.1676449 -0.1670036 3.163578;-0.1698148 0.02729777 3.236598;-0.2687277 -0.5238688 3.245973;-0.3226089 -0.9189162 3.221383;-0.3506828 -0.9775677 3.161278;-0.008420395 0.02750387 3.247049;0.07267126 -0.526256 3.277829;0.123345 -0.9021506 3.286483;0.1577845 -0.9804389 3.248749;0
-0.08936386 0.10859 3.26359;-0.09061699 0.167837 3.332051;-0.09238884 0.5597599 3.373127;-0.09837992 0.7605563 3.351773;-0.2714848 0.4298009 3.347996;-0.3394873 0.1518935 3.321696;-0.3199405 -0.00347889 3.138124;-0.3009891 -0.05729545 3.044658;0.08674151 0.432806 3.352429;0.158606 0.1522944 3.358265;0.1769938 -0.06164998 3.226506;0.1658094 -0.1256509 3.13163;-0.169587 0.03070601 3.236217;-0.2701505 -0.5235757 3.23714;-0.3228062 -0.9168587 3.220594;-0.3481381 -0.9747471 3.164375;-0.008126027 0.03022664 3.247927;0.07282937 -0.52639 3.277883;0.1234139 -0.9024242 3.286436;0.1576243 -0.980727 3.248937;0
-0.08918145 0.1108291 3.263738;-0.09089673 0.1694634 3.33206;-0.09233214 0.559806 3.373018;-0.09832364 0.7605019 3.350738;-0.2709963 0.4299705 3.346162;-0.3399934 0.1604566 3.321781;-0.2985477 0.02063078 3.12424;-0.2788369 -0.01195595 3.009679;0.08682707 0.4326717 3.353714;0.1571304 0.1565278 3.367623;0.1739625 -0.04413024 3.221035;0.1666054 -0.08940981 3.110925;-0.1694259 0.03328009 3.235813;-0.2721218 -0.5227827 3.225117;-0.3229976 -0.914265 3.219254;-0.3460671 -0.9726588 3.167118;-0.00787684 0.03228296 3.248609;0.07296629 -0.5265027 3.277929;0.1234839 -0.9026883 3.28641;0.1575008 -0.9809861 3.24912;0
