HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.04813228 0.2177309 3.112622;-0.0440567 0.2800077 3.168673;-0.05855185 0.6400056 3.169646;-0.04311447 0.8186637 3.107553;-0.2254614 0.5256878 3.168796;-0.2826895 0.2875174 3.156595;-0.3306544 0.07194547 3.057163;-0.3403001 -0.006429368 3.017874;0.1066883 0.528208 3.130063;0.16703 0.2868002 3.113266;0.2230525 0.1011106 3.018858;0.2459401 0.01506288 2.966815;-0.1210448 0.1433563 3.104492;-0.1588887 -0.3267836 3.148667;-0.1971845 -0.6876292 3.094847;-0.2325277 -0.7556409 3.052258;0.02842259 0.1444904 3.096069;0.07493073 -0.314133 3.12146;0.1067414 -0.654936 3.100204;0.1171522 -0.7314182 3.058602;0
-0.04815461 0.2178048 3.112516;-0.04398345 0.2800408 3.168521;-0.05824086 0.6396028 3.16935;-0.04329795 0.8164521 3.106712;-0.2248646 0.528927 3.169639;-0.2826616 0.2874046 3.156501;-0.3303283 0.07106179 3.057447;-0.339287 -0.006901253 3.018641;0.1067298 0.5282211 3.129948;0.1669591 0.2865827 3.113234;0.2243959 0.1004715 3.018811;0.2458294 0.01646134 2.966999;-0.1211411 0.1438277 3.104649;-0.1589882 -0.326808 3.147953;-0.1973238 -0.6869181 3.096026;-0.2320872 -0.7548361 3.052898;0.02837795 0.1444571 3.095917;0.07388502 -0.3111117 3.119978;0.1067923 -0.6551303 3.100041;0.1176625 -0.7315285 3.058487;0
-0.04815394 0.2178235 3.112497;-0.04396672 0.2800524 3.168495;-0.05818763 0.6395429 3.169303;-0.04330673 0.8160909 3.106509;-0.2245111 0.5301089 3.16991;-0.2826544 0.2873938 3.156483;-0.3302504 0.07087369 3.057444;-0.338954 -0.006991245 3.01873;0.1067393 0.5282245 3.12993;0.1669485 0.2865502 3.113229;0.2246209 0.1003628 3.018803;0.2457993 0.01669068 2.967062;-0.1211346 0.1439643 3.104685;-0.1590351 -0.326823 3.147627;-0.1973473 -0.6868051 3.096211;-0.2320056 -0.7547148 3.052996;0.02837221 0.144453 3.09589;0.07369497 -0.3104827 3.119649;0.1068003 -0.6551598 3.100016;0.1177393 -0.7315457 3.058464;0
-0.04813395 0.2178855 3.112489;-0.04394279 0.2800916 3.168479;-0.0581283 0.6395031 3.169271;-0.04307491 0.8153692 3.106153;-0.2239111 0.5315356 3.170057;-0.2826144 0.2873955 3.156429;-0.3301847 0.07064831 3.057124;-0.3385665 -0.007093498 3.0186;0.1069507 0.5282392 3.129936;0.1669994 0.2864896 3.11322;0.224702 0.1001252 3.018699;0.24575 0.01690485 2.967174;-0.1210917 0.1442416 3.104788;-0.1591387 -0.3248503 3.145056;-0.1973644 -0.6867133 3.096345;-0.2166887 -0.7373152 3.020889;0.02837187 0.1444536 3.095864;0.07352061 -0.3094596 3.118978;0.106783 -0.655231 3.099926;0.1181417 -0.7316881 3.058422;0
-0.04803554 0.2180358 3.112491;-0.04383362 0.2802341 3.168465;-0.05743941 0.6396354 3.16902;-0.04017409 0.8160064 3.103645;-0.2227141 0.5334612 3.16994;-0.282492 0.2874275 3.15628;-0.33009 0.07051384 3.056778;-0.3382217 -0.00713305 3.018482;0.1072661 0.5282754 3.129956;0.1672751 0.2863639 3.113305;0.2247478 0.09981248 3.01858;0.2457062 0.01707391 2.967347;-0.1208909 0.1447754 3.105012;-0.1593376 -0.324082 3.142523;-0.1975989 -0.6866208 3.095951;-0.2205766 -0.739041 3.018279;0.02838735 0.144468 3.095832;0.0734368 -0.3086576 3.118294;0.1067581 -0.6553064 3.09983;0.1182694 -0.731536 3.058524;0
-0.04773253 0.2183117 3.11253;-0.04348315 0.2805243 3.168458;-0.05551331 0.639773 3.168236;-0.03577549 0.8135894 3.101509;-0.2203147 0.5362198 3.169641;-0.2823029 0.287517 3.156023;-0.3299851 0.07043888 3.056334;-0.3378339 -0.007176107 3.018304;0.1080412 0.5283908 3.13002;0.167726 0.2862166 3.11345;0.2248555 0.09946212 3.018483;0.2456664 0.01718442 2.967493;-0.1204081 0.1455615 3.105384;-0.159856 -0.3232319 3.139181;-0.1981118 -0.686411 3.094714;-0.2237031 -0.740519 3.018674;0.02846481 0.1445041 3.095805;0.0735436 -0.3069648 3.116474;0.1065883 -0.6553131 3.09957;0.1185155 -0.7305831 3.059122;0
-0.04706676 0.2187853 3.112628;-0.04282355 0.2810017 3.168474;-0.05309536 0.6400079 3.167333;-0.02967513 0.809953 3.098696;-0.2171047 0.5389211 3.168897;-0.281957 0.2877453 3.155539;-0.3293104 0.07063931 3.05519;-0.3373608 -0.007229934 3.01807;0.109906 0.5286528 3.13038;0.1686992 0.2861037 3.113743;0.2251307 0.09914083 3.018354;0.2456298 0.01726498 2.967636;-0.1195856 0.1465663 3.105827;-0.1607287 -0.3228121 3.133859;-0.1986322 -0.6861651 3.093433;-0.2261636 -0.742491 3.027121;0.02875863 0.1446255 3.095822;0.07493321 -0.3033872 3.110866;0.1065307 -0.6559968 3.097633;0.1186963 -0.7304294 3.059146;0
-0.0460487 0.2193678 3.112761;-0.04185328 0.2816162 3.168473;-0.04926135 0.6402106 3.165606;-0.02213371 0.8058632 3.094576;-0.2133219 0.5414134 3.167627;-0.2812515 0.2882399 3.154736;-0.3283637 0.07128288 3.053528;-0.3363783 -0.006985422 3.017617;0.1134019 0.5287294 3.131161;0.1699436 0.2859751 3.114194;0.2254528 0.0988126 3.018234;0.2456321 0.01729349 2.967893;-0.118572 0.1476061 3.10629;-0.1615072 -0.3211958 3.126912;-0.2005906 -0.6825323 3.089645;-0.2183626 -0.7229368 3.007933;0.02933275 0.1447752 3.095911;0.07701495 -0.3011062 3.102578;0.1081567 -0.6582286 3.092113;0.1109835 -0.7119656 3.018043;0
-0.04444304 0.220082 3.112988;-0.04037607 0.2823983 3.168488;-0.04400007 0.6404557 3.163247;-0.01580022 0.803334 3.090593;-0.2087852 0.5435269 3.16538;-0.2802466 0.2891368 3.153429;-0.3266307 0.07214675 3.051348;-0.3345565 -0.006413599 3.016864;0.1174063 0.5284192 3.13206;0.1717329 0.2857165 3.114985;0.2259234 0.09831786 3.018284;0.2457727 0.01729218 2.96901;-0.1171269 0.1487828 3.106837;-0.1635381 -0.3214682 3.117045;-0.2021183 -0.6807982 3.086262;-0.2147495 -0.7163748 2.998529;0.03039037 0.1449556 3.096192;0.07967547 -0.2986914 3.093772;0.1105201 -0.6607835 3.085212;0.1085831 -0.7025791 2.991226;0
-0.04283654 0.22055 3.113265;-0.03898228 0.2829456 3.168546;-0.04017528 0.6405092 3.161574;-0.01100448 0.8006921 3.087916;-0.2046085 0.5446419 3.163087;-0.2790787 0.290089 3.151901;-0.3236026 0.0739196 3.047905;-0.3306046 -0.005939363 3.013976;0.1211518 0.5277747 3.13283;0.1738391 0.2850823 3.116158;0.2266469 0.09744072 3.018591;0.2460381 0.01735845 2.970366;-0.1157926 0.1495327 3.107309;-0.1681677 -0.3192756 3.09898;-0.2040203 -0.6786313 3.082655;-0.213009 -0.7119606 2.992177;0.03165837 0.1450477 3.096654;0.08239762 -0.29621 3.085195;0.112397 -0.6624772 3.079177;0.1077571 -0.6984676 2.978758;0
