HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.0001439368 0.100805 2.844057;0.001463855 0.1661855 2.908247;-0.0110231 0.5614589 2.929098;-0.02180989 0.7370818 2.936027;-0.1747915 0.4073562 2.915921;-0.2647929 0.1687508 2.881663;-0.3262989 -0.04023172 2.819542;-0.3397429 -0.1407087 2.767832;0.1432063 0.4222302 2.900034;0.2574151 0.1826465 2.918156;0.3381177 -0.01611912 2.837157;0.3476162 -0.09336418 2.805253;-0.06970891 0.02746889 2.829496;-0.1393329 -0.4505093 2.855726;-0.1720726 -0.7960184 2.859652;-0.1873311 -0.8746379 2.790397;0.0733901 0.0341622 2.82832;0.1502854 -0.4418958 2.840855;0.1906881 -0.804566 2.854486;0.2105429 -0.8783278 2.811221;0
0.0001649742 0.1007158 2.844184;0.001382784 0.166052 2.908371;-0.01098065 0.5610444 2.929138;-0.02191342 0.7371564 2.936221;-0.1747943 0.4073758 2.9159;-0.2644472 0.1692317 2.881972;-0.3264479 -0.03919207 2.819095;-0.3396165 -0.136888 2.770002;0.1440432 0.4224445 2.900645;0.2574543 0.182987 2.918341;0.3290318 -0.02001179 2.84494;0.3519933 -0.1073889 2.805369;-0.06978143 0.02717664 2.829505;-0.1392745 -0.4509385 2.855946;-0.1721794 -0.795958 2.859959;-0.1876178 -0.8740445 2.790524;0.07352605 0.03394504 2.828421;0.1502984 -0.4418166 2.840998;0.1914486 -0.8033701 2.854758;0.2101028 -0.8779439 2.810593;0
0.000168069 0.1007026 2.844203;0.001370361 0.1660318 2.908389;-0.01097346 0.5609769 2.929142;-0.0219296 0.7371674 2.936247;-0.174795 0.4073779 2.915895;-0.2643921 0.1693061 2.882019;-0.3264708 -0.03902346 2.819019;-0.3395793 -0.1360955 2.77045;0.1441772 0.4224767 2.900741;0.2574602 0.1830381 2.918368;0.3275015 -0.02064146 2.846193;0.3528484 -0.1099541 2.805301;-0.06979273 0.02713223 2.829506;-0.1392655 -0.4510029 2.855979;-0.1722122 -0.7958581 2.859967;-0.1876625 -0.8739528 2.790544;0.07354716 0.03391227 2.82843;0.1503004 -0.4418045 2.84102;0.1916278 -0.8031089 2.854827;0.20986 -0.877645 2.810487;0
0.0001703202 0.1006929 2.844216;0.001360216 0.1660168 2.908401;-0.01096733 0.5608925 2.929117;-0.02194043 0.7371701 2.936237;-0.1747953 0.4073801 2.91589;-0.2643493 0.1693651 2.882055;-0.3264822 -0.03888884 2.818959;-0.339514 -0.1353413 2.770868;0.1442993 0.422505 2.900825;0.257465 0.1830763 2.918388;0.3264549 -0.02108331 2.847088;0.3534307 -0.1116707 2.805238;-0.06980172 0.02709871 2.829505;-0.1392587 -0.451055 2.856007;-0.1722474 -0.795785 2.859931;-0.1876961 -0.8738844 2.790559;0.0735635 0.03388785 2.828433;0.1503025 -0.4417936 2.841029;0.1918563 -0.8027051 2.854992;0.2092685 -0.8767317 2.811084;0
0.0001712372 0.1006862 2.844223;0.001350693 0.1660055 2.908408;-0.01096327 0.5608109 2.929081;-0.02194417 0.7371588 2.936205;-0.1747951 0.4073816 2.915883;-0.2643142 0.1694142 2.882085;-0.3264863 -0.03877377 2.81891;-0.3394234 -0.1346041 2.77125;0.144412 0.4225298 2.900899;0.2574701 0.1831057 2.918401;0.3256895 -0.02140537 2.847777;0.3538434 -0.1129086 2.805217;-0.06981195 0.02707237 2.8295;-0.1392522 -0.4510947 2.85603;-0.1723161 -0.7956392 2.85983;-0.18772 -0.8738369 2.790579;0.07357568 0.03386978 2.828431;0.1503024 -0.4417765 2.841018;0.1920916 -0.8023285 2.85512;0.2089172 -0.8762274 2.811272;0
0.0001712009 0.1006812 2.844226;0.001340916 0.1659962 2.908409;-0.01096812 0.5607132 2.929022;-0.02194758 0.7371418 2.93616;-0.1747945 0.407383 2.915873;-0.2642863 0.1694595 2.882111;-0.3264812 -0.03866307 2.818861;-0.3393289 -0.1338854 2.771605;0.1445057 0.4225467 2.90096;0.2574745 0.1831281 2.91841;0.3251322 -0.02163278 2.848285;0.3541445 -0.1137541 2.805165;-0.06982131 0.02705212 2.829493;-0.1392465 -0.4511253 2.856047;-0.1723857 -0.7955011 2.859714;-0.1877578 -0.8738229 2.790603;0.07358485 0.03385512 2.828422;0.1502813 -0.4416829 2.840928;0.192251 -0.8020585 2.855269;0.2086131 -0.8757766 2.811427;0
0.0001700712 0.1006767 2.844223;0.001330994 0.1659874 2.908405;-0.01097431 0.560617 2.928962;-0.02195087 0.7371212 2.936101;-0.1747918 0.4073855 2.915858;-0.2642639 0.1695025 2.882135;-0.3264676 -0.03855384 2.818811;-0.339225 -0.1331988 2.77194;0.1445832 0.4225573 2.901007;0.2574778 0.1831469 2.918414;0.3247687 -0.02175376 2.848621;0.3542555 -0.1140641 2.804864;-0.0698302 0.0270363 2.829484;-0.139241 -0.4511467 2.856061;-0.172419 -0.7953608 2.85967;-0.1877878 -0.8737988 2.790697;0.07359068 0.03384054 2.828402;0.1502572 -0.4415893 2.840827;0.1923902 -0.8018051 2.855409;0.2083854 -0.8754249 2.811701;0
0.0001672175 0.1006717 2.844216;0.001319994 0.1659786 2.908395;-0.01098973 0.560521 2.928884;-0.02195001 0.7370956 2.936029;-0.1747888 0.4073879 2.915843;-0.2642262 0.169558 2.882169;-0.326443 -0.0384021 2.818737;-0.3391314 -0.13249 2.772279;0.1446489 0.4225539 2.901038;0.2574805 0.1831586 2.918408;0.3246141 -0.0217841 2.848804;0.3543168 -0.1141568 2.804607;-0.06983933 0.02702344 2.829475;-0.1392354 -0.4511626 2.856071;-0.1724575 -0.7952155 2.859605;-0.1878096 -0.8737943 2.790786;0.07359305 0.03382401 2.828376;0.1502424 -0.4415397 2.840727;0.192503 -0.8016016 2.85553;0.2082401 -0.8751875 2.811818;0
0.0001627561 0.1006681 2.844204;0.001307948 0.1659704 2.908381;-0.01102146 0.5603987 2.92879;-0.02196993 0.7370395 2.935908;-0.1747862 0.4073899 2.915827;-0.26419 0.1696229 2.882201;-0.3264046 -0.03823484 2.818663;-0.3390171 -0.1317741 2.77258;0.1447118 0.4225388 2.901058;0.2574882 0.183168 2.918394;0.3245627 -0.02176724 2.848897;0.354268 -0.1140082 2.804318;-0.06984963 0.02701402 2.829462;-0.1392304 -0.4511741 2.85608;-0.1724926 -0.7950932 2.859536;-0.1878295 -0.8737908 2.790893;0.07359366 0.03380839 2.828344;0.1502276 -0.441496 2.840624;0.1925995 -0.8014293 2.855643;0.2081272 -0.8750009 2.811911;0
0.0001580339 0.1006653 2.84419;0.00129465 0.1659629 2.908363;-0.01105378 0.5602763 2.928689;-0.02199145 0.7369894 2.935775;-0.1747796 0.4073965 2.915808;-0.2641465 0.1697093 2.882235;-0.3263131 -0.03794229 2.818431;-0.3388758 -0.1310351 2.772757;0.1447801 0.4225259 2.901083;0.2574967 0.1831753 2.918377;0.3246105 -0.02169493 2.848896;0.3541694 -0.1137168 2.80406;-0.06985957 0.02700698 2.829448;-0.1392246 -0.4511848 2.856087;-0.1725124 -0.7950422 2.859437;-0.1878677 -0.8737721 2.790986;0.0735935 0.03379394 2.828311;0.1502127 -0.4414728 2.840525;0.1926787 -0.8012931 2.855735;0.208005 -0.8747618 2.811738;0
