HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.03156653 0.1380298 3.055449;0.04851335 0.2035668 3.108301;0.02872683 0.5709224 3.102445;0.000210817 0.7529939 3.077578;-0.1367417 0.4568557 3.174989;-0.1668204 0.2061195 3.137102;-0.1726832 0.01177402 3.026334;-0.1650437 -0.07672413 2.976394;0.1871958 0.4560989 3.056936;0.2786612 0.2248827 2.997612;0.1814848 0.07001916 2.872573;0.1080482 0.007905215 2.83891;-0.04082393 0.06267051 3.06731;-0.08215212 -0.4905377 3.035063;-0.09768726 -0.8912594 3.002527;-0.1293985 -0.9472761 2.948998;0.1049479 0.06232994 3.022351;0.2071992 -0.4872445 3.005664;0.2478433 -0.8834643 2.98407;0.2678145 -0.9339778 2.942263;0
0.03121815 0.1378216 3.056369;0.04878077 0.2036259 3.108756;0.02837518 0.5712577 3.102435;-0.0005527948 0.7527974 3.077604;-0.1369092 0.4568715 3.175487;-0.1667231 0.2052931 3.141399;-0.1729727 0.01107948 3.026347;-0.1652365 -0.07714665 2.976796;0.1846185 0.4542844 3.053693;0.2705595 0.2281837 2.983323;0.1414478 0.08022502 2.876077;0.0635981 0.02103844 2.849902;-0.04102575 0.06258791 3.070221;-0.0824149 -0.4906273 3.035129;-0.09752661 -0.8909943 3.001183;-0.1291457 -0.9472744 2.949499;0.1044922 0.06196541 3.022779;0.2072992 -0.4881237 3.004853;0.2477959 -0.8834523 2.98383;0.2676353 -0.9339081 2.942223;0
0.03104199 0.1376806 3.056706;0.04890537 0.2036317 3.108833;0.02800916 0.57135 3.102165;-0.001569122 0.7525713 3.077492;-0.1369766 0.456827 3.175705;-0.1664708 0.2046068 3.14341;-0.1729399 0.01095012 3.026632;-0.1652186 -0.07721661 2.977127;0.1757519 0.4506899 3.042521;0.2532557 0.2270114 2.959454;0.07254246 0.08461329 2.877211;-0.01012154 0.02790552 2.864949;-0.04114002 0.0623138 3.072216;-0.08247638 -0.4906712 3.035184;-0.09750022 -0.8909532 3.000968;-0.1289263 -0.9471792 2.949753;0.1042191 0.0617821 3.022944;0.2073772 -0.488378 3.004436;0.2477907 -0.88345 2.98379;0.2676148 -0.9339632 2.942171;0
0.03051032 0.1357115 3.057685;0.04946129 0.2027297 3.108856;0.02574613 0.5706246 3.10163;-0.008346383 0.7510319 3.077507;-0.1384794 0.4549958 3.179375;-0.1657947 0.2027737 3.14756;-0.172435 0.005417501 3.031246;-0.1648023 -0.08243918 2.981517;0.1567966 0.4463952 3.021503;0.2149774 0.2191233 2.926459;0.01151608 0.08960409 2.878998;-0.07811481 0.04248354 2.888006;-0.04026904 0.05891657 3.07689;-0.08255799 -0.4907696 3.035387;-0.09748007 -0.8909221 3.000815;-0.1286825 -0.9470427 2.950028;0.1032465 0.05999259 3.022799;0.2073397 -0.4886328 3.002507;0.2478561 -0.8834787 2.983732;0.267755 -0.9346118 2.941691;0
0.03114546 0.08924179 3.060059;0.053982 0.1647215 3.106015;0.02104893 0.5687361 3.10012;-0.02398318 0.7461287 3.078178;-0.1399961 0.4521695 3.184865;-0.1643849 0.2011485 3.156921;-0.1696657 -0.004643969 3.03538;-0.1594155 -0.1038923 3.00485;0.1372241 0.4410139 3.002134;0.1858434 0.211633 2.908405;-0.07074255 0.08746985 2.911293;-0.1492015 0.05397622 2.925925;-0.02948317 0.01512789 3.090771;-0.08280993 -0.4913948 3.036484;-0.09746153 -0.8908972 3.000707;-0.128519 -0.9468858 2.950469;0.09864388 0.01521665 3.016713;0.2068823 -0.4886312 2.998946;0.2481569 -0.8835468 2.983574;0.2679673 -0.9359967 2.940632;0
0.03214675 0.06141435 3.062551;0.05749823 0.1463496 3.104102;0.01465684 0.5665903 3.097686;-0.04105003 0.7389396 3.076756;-0.1395023 0.4482319 3.190692;-0.1588191 0.2006292 3.17635;-0.1677375 -0.01186781 3.04129;-0.1572788 -0.1166786 3.023476;0.1172748 0.4354625 2.984677;0.1358153 0.2091309 2.88739;-0.1262178 0.08892389 2.938015;-0.2016434 0.0746607 2.965772;-0.02075096 -0.01211255 3.100996;-0.08304992 -0.4923512 3.038242;-0.09744011 -0.8908757 3.000651;-0.1285215 -0.9467934 2.950967;0.0960614 -0.009242374 3.014253;0.2059036 -0.48821 2.99471;0.2485127 -0.8836594 2.983335;0.2679734 -0.9367985 2.939944;0
0.03229576 0.0498502 3.064779;0.05901144 0.1380405 3.103521;0.006079441 0.5641779 3.095138;-0.05952257 0.7317556 3.073109;-0.13618 0.43991 3.196842;-0.1511481 0.2011392 3.196437;-0.1641133 -0.03035905 3.072832;-0.1558652 -0.1256771 3.038135;0.1030928 0.4312913 2.974201;0.09138757 0.209394 2.876496;-0.1137322 0.1069888 2.925982;-0.1942832 0.09259341 2.980289;-0.01609778 -0.02389231 3.108848;-0.08317909 -0.4939284 3.040768;-0.09740591 -0.8908365 3.000633;-0.128997 -0.946827 2.951533;0.0942295 -0.01936861 3.014057;0.2035798 -0.487322 2.988661;0.2491115 -0.8839731 2.982294;0.2676328 -0.9378258 2.938886;7
0.032221 0.04261982 3.066565;0.05987909 0.1329128 3.103168;-0.006466734 0.5611909 3.090755;-0.0736218 0.7263113 3.069756;-0.133043 0.4333817 3.201276;-0.1361695 0.1759456 3.214324;-0.1511789 -0.09313425 3.098599;-0.1589074 -0.1349303 3.044533;0.09049486 0.4277854 2.966885;0.03694901 0.2223532 2.864663;-0.1436545 0.114037 2.951135;-0.1820976 0.07966454 2.992583;-0.01314156 -0.03061974 3.11425;-0.08254504 -0.4997473 3.04656;-0.09736981 -0.8907949 3.000634;-0.1297949 -0.9469735 2.95195;0.09240627 -0.02580313 3.014555;0.1998243 -0.4874404 2.980878;0.2497301 -0.8843405 2.980872;0.2673137 -0.9386999 2.938036;7
0.03165339 0.03726462 3.069147;0.06051065 0.1291342 3.102859;-0.02219468 0.5564505 3.085696;-0.09548342 0.7173573 3.065244;-0.1318093 0.4294336 3.203715;-0.1219109 0.1588063 3.226118;-0.1383904 -0.1348157 3.137784;-0.153332 -0.1708224 3.08518;0.04966615 0.4091139 2.952219;-0.04414247 0.2069236 2.876235;-0.1820854 0.1065278 2.980555;-0.2230615 0.07638236 3.027424;-0.008326645 -0.03790856 3.127625;-0.08130387 -0.5114759 3.055265;-0.09735769 -0.8906792 3.000678;-0.1306568 -0.947098 2.952418;0.08877309 -0.03233462 3.015229;0.194664 -0.4888013 2.971305;0.2502629 -0.884748 2.979434;0.2668528 -0.9394596 2.937271;7
0.02933993 0.03459886 3.073596;0.05972011 0.1268881 3.10338;-0.04506119 0.5472137 3.075439;-0.1132952 0.7082879 3.059701;-0.1330182 0.4232565 3.204236;-0.1096683 0.138793 3.232911;-0.1302649 -0.1584199 3.156967;-0.1499544 -0.1881078 3.101619;0.0316604 0.4009922 2.94664;-0.09281597 0.1970707 2.893676;-0.202476 0.1028892 2.998637;-0.2392566 0.07051238 3.044768;-0.006070563 -0.04144559 3.135646;-0.08005687 -0.5187076 3.060857;-0.097359 -0.890464 3.000679;-0.1315054 -0.9472088 2.952723;0.08031937 -0.03376034 3.020358;0.1903439 -0.4901816 2.963428;0.2506455 -0.8852786 2.977422;0.2662423 -0.9402871 2.936394;7
