HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.1055135 0.196566 2.985893;-0.1093811 0.2602012 3.044978;-0.1105552 0.6334652 3.049631;-0.1358491 0.8181661 2.985709;-0.2887081 0.5172065 3.032388;-0.3697353 0.2557485 3.021547;-0.389062 -0.00886907 2.941069;-0.3743143 -0.1279512 2.908274;0.05998791 0.5209944 3.053629;0.1417231 0.2280716 3.035243;0.1781112 -0.05013194 2.950721;0.1696308 -0.146742 2.935314;-0.1830775 0.1183706 2.968052;-0.2306718 -0.456281 2.969975;-0.2590825 -0.8227286 2.932752;-0.2988455 -0.879198 2.83081;-0.02616433 0.1200751 2.976173;0.03600571 -0.4508228 2.992135;0.05672909 -0.8012223 2.971916;0.08314887 -0.8716733 2.898718;0
-0.1054649 0.196575 2.985902;-0.1093368 0.2601908 3.045005;-0.1104699 0.6335055 3.049823;-0.1359024 0.8167675 2.986075;-0.2890092 0.5169569 3.032635;-0.3702224 0.252056 3.0197;-0.3888818 -0.009572063 2.941337;-0.3743673 -0.1279687 2.908264;0.05992335 0.5211614 3.053964;0.1418286 0.2280461 3.035249;0.1780309 -0.04631376 2.952764;0.1696009 -0.1466547 2.934762;-0.1830365 0.1183151 2.968016;-0.2301076 -0.4537282 2.969639;-0.2562033 -0.8139421 2.937049;-0.298802 -0.8780842 2.833315;-0.02606142 0.1201205 2.976137;0.03579995 -0.4500421 2.992113;0.05681444 -0.8022672 2.973258;0.08361097 -0.8720937 2.89927;0
-0.1054596 0.1965762 2.985903;-0.1093324 0.2601897 3.045007;-0.1104638 0.6335087 3.049845;-0.1359 0.8165075 2.986151;-0.2890392 0.5169308 3.032659;-0.3702773 0.2516624 3.019508;-0.38885 -0.009913015 2.94135;-0.3743734 -0.1279751 2.908255;0.05991257 0.5211775 3.053999;0.1418426 0.2280631 3.035249;0.1780218 -0.0459125 2.952973;0.1695956 -0.1466375 2.93466;-0.1830304 0.1183106 2.968011;-0.2299962 -0.453245 2.969568;-0.2556404 -0.8121774 2.937911;-0.2987266 -0.8778181 2.833878;-0.02604964 0.1201265 2.976131;0.03577825 -0.449958 2.992107;0.05682783 -0.8023724 2.973391;0.08369916 -0.8721673 2.899359;0
-0.1054546 0.1965791 2.985902;-0.1093279 0.2601905 3.045008;-0.1104605 0.6335149 3.049862;-0.1358981 0.8163356 2.986246;-0.2890695 0.5169146 3.03269;-0.3703193 0.2513606 3.019362;-0.3885985 -0.01210884 2.941271;-0.3743786 -0.1279809 2.908248;0.05990191 0.5211896 3.054027;0.1418601 0.2280993 3.035247;0.1780187 -0.0453405 2.953233;0.1695942 -0.146622 2.934569;-0.1830238 0.1183099 2.968006;-0.2297193 -0.4517424 2.969332;-0.2550061 -0.8106024 2.938682;-0.298575 -0.8774441 2.834667;-0.02603888 0.1201332 2.976124;0.03576602 -0.4498572 2.992104;0.05684017 -0.8024517 2.97349;0.08389289 -0.8723671 2.899398;0
-0.10545 0.1965827 2.9859;-0.1093242 0.2601917 3.045009;-0.1104591 0.6335214 3.049879;-0.1358986 0.8161863 2.986342;-0.289097 0.5169023 3.03272;-0.3703537 0.2511268 3.019251;-0.3884004 -0.01365683 2.941227;-0.3743843 -0.1279879 2.908241;0.05988647 0.5212127 3.054058;0.1418762 0.2281462 3.03524;0.178012 -0.04486083 2.953462;0.1695902 -0.1466247 2.934484;-0.1830177 0.1183107 2.968002;-0.2294434 -0.4501137 2.969028;-0.2545402 -0.8094293 2.939239;-0.2984159 -0.8770792 2.835387;-0.0260287 0.120142 2.976119;0.03574241 -0.4497483 2.992096;0.05691508 -0.8027583 2.973511;0.08408991 -0.8725879 2.899416;0
-0.1054451 0.1965892 2.985898;-0.1093205 0.2601957 3.045008;-0.1104598 0.6335304 3.049891;-0.1359272 0.8162899 2.986454;-0.2891551 0.5169117 3.032774;-0.3703803 0.2509508 3.019167;-0.3881976 -0.01535057 2.941147;-0.3743903 -0.1279988 2.908233;0.05985881 0.5212724 3.054124;0.1418895 0.2281989 3.035233;0.1779878 -0.04440771 2.953665;0.1695876 -0.1466298 2.934407;-0.1830118 0.1183129 2.967997;-0.2292884 -0.449242 2.968801;-0.2542776 -0.8088389 2.939544;-0.2982708 -0.8767934 2.835912;-0.02601745 0.1201535 2.976112;0.03571872 -0.4496352 2.992084;0.05693083 -0.8028476 2.973556;0.08428898 -0.8728271 2.899423;0
-0.1054404 0.1965964 2.985895;-0.1093174 0.2602012 3.045007;-0.1104666 0.6335568 3.049906;-0.1359372 0.8165516 2.986592;-0.2892208 0.5169316 3.032827;-0.3704 0.2508171 3.019104;-0.3880702 -0.01610021 2.941121;-0.374401 -0.1280097 2.908242;0.05983043 0.521335 3.054192;0.1419085 0.2282444 3.035219;0.177963 -0.04416103 2.953806;0.1695836 -0.1466409 2.934347;-0.1830065 0.118316 2.967993;-0.2291722 -0.4485189 2.968595;-0.2540137 -0.8083188 2.939829;-0.2977074 -0.8760817 2.837371;-0.02600643 0.1201653 2.976105;0.03568988 -0.4495468 2.992079;0.05702887 -0.8033124 2.973397;0.08452778 -0.8731235 2.899414;0
-0.1054372 0.1966023 2.985893;-0.1093154 0.2602059 3.045005;-0.11048 0.6335937 3.049927;-0.1359469 0.8168495 2.986728;-0.2892874 0.5169477 3.032877;-0.3704165 0.2507141 3.019057;-0.3879151 -0.01667101 2.941266;-0.3744129 -0.1280221 2.908251;0.05979782 0.5213738 3.054248;0.1419276 0.228289 3.035205;0.1779161 -0.04388331 2.954045;0.1695835 -0.1466506 2.934318;-0.1830025 0.1183189 2.967989;-0.2290673 -0.447733 2.968388;-0.2537819 -0.8079113 2.940043;-0.297205 -0.8754587 2.83871;-0.02599836 0.1201746 2.976097;0.03566079 -0.4494661 2.992075;0.05716138 -0.8039874 2.973137;0.08476464 -0.8733926 2.89941;0
-0.1054343 0.1966083 2.98589;-0.1093132 0.2602111 3.045003;-0.1104959 0.6336328 3.049946;-0.1359538 0.8169351 2.986801;-0.2893635 0.5169585 3.032932;-0.3704418 0.2505817 3.019016;-0.3877465 -0.01831749 2.941257;-0.3744265 -0.128036 2.908263;0.05976494 0.5214091 3.054294;0.1419448 0.2283607 3.03518;0.1778622 -0.04349033 2.954322;0.1695769 -0.1466639 2.93429;-0.1829989 0.1183218 2.967985;-0.2289852 -0.4470836 2.968216;-0.25358 -0.8075635 2.940255;-0.2967872 -0.8749403 2.839819;-0.02599065 0.1201838 2.97609;0.03560814 -0.4493806 2.992067;0.05736795 -0.8048494 2.972845;0.08498398 -0.8736225 2.899423;0
-0.1054318 0.1966144 2.985887;-0.1093119 0.2602164 3.045002;-0.1105127 0.6336665 3.049961;-0.1359583 0.8169933 2.986865;-0.2894539 0.5169606 3.032972;-0.3704631 0.2504902 3.018987;-0.3876013 -0.01969276 2.941254;-0.3744358 -0.1280458 2.908271;0.05972889 0.5214422 3.05434;0.1419514 0.2284542 3.035156;0.1778158 -0.04309865 2.954577;0.1695686 -0.1466773 2.934265;-0.1829958 0.1183246 2.967982;-0.2289199 -0.4465539 2.96808;-0.253393 -0.8072522 2.940432;-0.2964446 -0.8745256 2.84072;-0.02598348 0.120194 2.976081;0.03553557 -0.4492767 2.992054;0.05760812 -0.8058893 2.972402;0.085199 -0.8738241 2.899431;0
