HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.05724012 0.1041211 2.86189;-0.05936274 0.1667932 2.923697;-0.07015893 0.5458003 2.941755;-0.08644412 0.7354079 2.936984;-0.2384144 0.4049189 2.923374;-0.3243749 0.1686478 2.896191;-0.3769713 -0.03690393 2.82155;-0.3709609 -0.1210545 2.781657;0.08740386 0.4263732 2.927748;0.1798207 0.1773794 2.933278;0.2690629 -0.01958776 2.875361;0.281472 -0.0718268 2.827416;-0.1284441 0.02732274 2.841916;-0.1906432 -0.4517714 2.871189;-0.2137907 -0.7977498 2.864253;-0.2297025 -0.879968 2.800879;0.01817408 0.03697718 2.851214;0.08320137 -0.4227328 2.854857;0.1328034 -0.7989148 2.877242;0.1487606 -0.867876 2.824937;0
-0.05723353 0.1041186 2.861891;-0.05941881 0.1667688 2.923699;-0.07035212 0.546351 2.942158;-0.08647995 0.7354645 2.937011;-0.2381065 0.405238 2.92327;-0.3242512 0.1686555 2.896283;-0.3768417 -0.03697492 2.821714;-0.3709608 -0.1210544 2.781658;0.08733618 0.426552 2.928002;0.1803177 0.1778668 2.933366;0.2687789 -0.01949105 2.875364;0.2815067 -0.07172528 2.827374;-0.1283637 0.02737406 2.841964;-0.190582 -0.4517653 2.871361;-0.2143246 -0.7943208 2.865788;-0.22947 -0.8790967 2.801778;0.01817093 0.03699986 2.851154;0.08321168 -0.4227179 2.854815;0.1329741 -0.7989536 2.87738;0.1492263 -0.8673219 2.833103;0
-0.05723258 0.1041184 2.861892;-0.05942771 0.1667654 2.9237;-0.07038071 0.5464596 2.942236;-0.08648387 0.7354744 2.937016;-0.2380554 0.4053009 2.923256;-0.3242306 0.1686583 2.896297;-0.3768187 -0.0369858 2.821746;-0.3709608 -0.1210544 2.781659;0.08732902 0.4265904 2.928055;0.1803938 0.1779415 2.933379;0.2687348 -0.01947746 2.875367;0.2815128 -0.071716 2.827364;-0.1283516 0.02738233 2.841973;-0.1905728 -0.4517643 2.871388;-0.2144201 -0.7936338 2.86613;-0.2294392 -0.8789802 2.801958;0.01817045 0.03700327 2.851146;0.08324558 -0.4231595 2.854771;0.1329975 -0.7989715 2.877378;0.1492623 -0.867354 2.834012;0
-0.05723185 0.1041156 2.861895;-0.05943432 0.1667617 2.923704;-0.07040138 0.5465571 2.942314;-0.08647962 0.7354904 2.937026;-0.2380132 0.4053639 2.923256;-0.3242163 0.1686597 2.896308;-0.3768038 -0.03699885 2.821783;-0.3709604 -0.1210552 2.781659;0.0873258 0.4266137 2.92809;0.1804518 0.1779979 2.93339;0.2686736 -0.01947483 2.875342;0.2815161 -0.07171389 2.827354;-0.1283427 0.02738805 2.841981;-0.1905661 -0.4517686 2.871414;-0.214489 -0.7931461 2.866395;-0.2293675 -0.8789603 2.802408;0.01817043 0.03699719 2.851143;0.08327906 -0.4236002 2.854756;0.1330155 -0.7989882 2.877371;0.1492831 -0.8673933 2.834575;0
-0.05723131 0.1041141 2.861897;-0.05943944 0.1667596 2.923709;-0.07041738 0.5466377 2.94238;-0.08647176 0.7355052 2.937034;-0.2379791 0.4054196 2.923259;-0.3242037 0.1686644 2.896319;-0.3767933 -0.03701346 2.821877;-0.3709601 -0.121056 2.78166;0.08732396 0.426632 2.928118;0.1804982 0.1780416 2.933399;0.2686091 -0.01947833 2.875305;0.2815136 -0.07172125 2.827338;-0.1283353 0.0273957 2.841993;-0.1905614 -0.4517676 2.871429;-0.2145458 -0.7926968 2.866627;-0.229288 -0.8789625 2.802811;0.01817014 0.03699489 2.85114;0.08327821 -0.4236996 2.854717;0.1330387 -0.7989825 2.877404;0.1492697 -0.8673095 2.835257;0
-0.05723115 0.1041121 2.861903;-0.05944366 0.1667579 2.923715;-0.07042757 0.5467063 2.942441;-0.08646707 0.7355134 2.937038;-0.2379537 0.405472 2.923266;-0.3241924 0.1686707 2.896329;-0.3767836 -0.03702389 2.821971;-0.3709597 -0.121057 2.781661;0.08732458 0.4266466 2.928142;0.1805414 0.1780778 2.93341;0.2685339 -0.01948652 2.875243;0.2815 -0.07175189 2.827302;-0.1283317 0.02740214 2.842012;-0.1905576 -0.4517677 2.871442;-0.2145875 -0.7924074 2.86682;-0.2292341 -0.8790058 2.803156;0.01816975 0.03699091 2.85114;0.08327556 -0.4237704 2.854678;0.1330686 -0.7989702 2.877446;0.1491824 -0.8672389 2.835892;0
-0.05723106 0.1041097 2.861909;-0.05944712 0.1667562 2.923724;-0.07043145 0.5467718 2.942506;-0.08644627 0.7354853 2.937054;-0.237929 0.4055272 2.923275;-0.324176 0.168692 2.896345;-0.3767736 -0.0370124 2.822081;-0.370959 -0.1210579 2.78166;0.08732643 0.4266579 2.928161;0.1805844 0.1781106 2.933425;0.2684338 -0.01950328 2.875176;0.2814648 -0.07183243 2.827238;-0.1283292 0.02740862 2.842034;-0.1905547 -0.4517675 2.871452;-0.2146141 -0.792204 2.866966;-0.2291498 -0.8789997 2.803334;0.01816931 0.03698621 2.85114;0.08327486 -0.4238257 2.854656;0.133192 -0.7988622 2.877641;0.1490375 -0.8670362 2.836467;0
-0.05723119 0.1041074 2.861917;-0.05944999 0.1667553 2.923735;-0.07043418 0.5468384 2.942576;-0.08642312 0.735446 2.93707;-0.2379147 0.4055884 2.923297;-0.3241397 0.1687737 2.896375;-0.3767527 -0.03693821 2.822237;-0.3709584 -0.1210588 2.781659;0.08733129 0.4266785 2.928187;0.1806307 0.1781425 2.93344;0.2683313 -0.01952 2.875108;0.2814336 -0.07190023 2.827186;-0.1283286 0.02741481 2.842061;-0.1905524 -0.4517659 2.871462;-0.2146346 -0.7919682 2.867167;-0.2290032 -0.8789045 2.803544;0.01816894 0.03698185 2.851142;0.08327383 -0.4238819 2.854634;0.1333095 -0.7988226 2.877876;0.148917 -0.8669178 2.836922;0
-0.05723068 0.1041064 2.861928;-0.05945151 0.1667558 2.923752;-0.07043146 0.5469009 2.94266;-0.08639692 0.7353991 2.937084;-0.2379018 0.4056481 2.923319;-0.3240988 0.1688874 2.896408;-0.3766947 -0.03684073 2.822349;-0.3709572 -0.1210596 2.781654;0.08733587 0.4266977 2.928211;0.1806787 0.178172 2.933459;0.2682278 -0.01954111 2.875058;0.2814052 -0.07198329 2.827135;-0.1283258 0.02742778 2.842099;-0.1905487 -0.4516892 2.871498;-0.2146492 -0.7917022 2.867371;-0.2287629 -0.8785889 2.803653;0.0181687 0.03697901 2.851143;0.08327283 -0.4239283 2.854613;0.1334901 -0.7987823 2.87821;0.1487119 -0.8669349 2.837794;0
-0.0572289 0.1041063 2.861946;-0.05944975 0.1667573 2.923778;-0.0704266 0.5469607 2.942767;-0.08636185 0.7353238 2.937098;-0.2378949 0.4057305 2.923369;-0.3240515 0.169015 2.896451;-0.3766181 -0.03672514 2.822517;-0.3710755 -0.1204632 2.781716;0.08734006 0.4267156 2.928232;0.1807443 0.1782089 2.933489;0.2681198 -0.01956083 2.875014;0.2813803 -0.07206935 2.827084;-0.1283198 0.02744668 2.842148;-0.1905397 -0.4516289 2.871538;-0.2146642 -0.7915729 2.867582;-0.2285569 -0.8784144 2.803684;0.0181688 0.03697568 2.851147;0.08332633 -0.4244844 2.854741;0.1336502 -0.7988539 2.878387;0.1489089 -0.8674014 2.837024;0
-0.05722499 0.1041067 2.861971;-0.05944498 0.1667607 2.923815;-0.07042314 0.5470304 2.942891;-0.08632202 0.7352366 2.937111;-0.2378866 0.4058242 2.923421;-0.32399 0.169183 2.896499;-0.3765306 -0.03656891 2.82271;-0.3711543 -0.1200328 2.781708;0.08734205 0.426729 2.928246;0.18083 0.1782528 2.933541;0.2680061 -0.01957764 2.874969;0.2813607 -0.07215678 2.827031;-0.1283084 0.02747237 2.842208;-0.1905276 -0.451611 2.871588;-0.2146671 -0.7916806 2.86775;-0.2284574 -0.8783838 2.803739;0.01817037 0.03697034 2.85116;0.08354393 -0.426099 2.855207;0.1338173 -0.7989458 2.878544;0.1491227 -0.8679882 2.835583;0
-0.05721816 0.1041103 2.862003;-0.05943564 0.1667686 2.923859;-0.07042165 0.5471022 2.943014;-0.08627363 0.7351487 2.937122;-0.2378852 0.4059395 2.923506;-0.3239374 0.1693946 2.896549;-0.3764498 -0.03637001 2.822947;-0.3712164 -0.119693 2.781693;0.08734249 0.4267468 2.928262;0.1809409 0.1783117 2.933615;0.2679138 -0.01957668 2.874914;0.2813575 -0.07223228 2.826993;-0.1282913 0.02750613 2.842278;-0.1905069 -0.451609 2.871658;-0.2146809 -0.7918397 2.867877;-0.2283595 -0.8783835 2.803761;0.01817448 0.03696619 2.851178;0.08374791 -0.4275112 2.855632;0.1339788 -0.7990385 2.878679;0.1493017 -0.868194 2.83472;0
-0.05719946 0.1041333 2.862071;-0.0594194 0.1667989 2.92394;-0.07042737 0.547193 2.943155;-0.0862212 0.7350626 2.937126;-0.2378227 0.4061885 2.923653;-0.3238554 0.1697161 2.89662;-0.3763453 -0.03606883 2.82321;-0.3712851 -0.119116 2.78171;0.08737367 0.4268191 2.928322;0.1810589 0.1783789 2.933695;0.2678412 -0.01957396 2.874885;0.2813692 -0.07230624 2.826989;-0.1282554 0.02757385 2.84238;-0.1904627 -0.4516268 2.871755;-0.2147025 -0.7920276 2.867896;-0.228263 -0.8783979 2.803759;0.01819442 0.03697492 2.851246;0.08389603 -0.4282689 2.855904;0.1341493 -0.7990784 2.8788;0.1493797 -0.8682339 2.834521;0
-0.05716056 0.1041707 2.862177;-0.05938533 0.1668451 2.924059;-0.07042652 0.5472877 2.943311;-0.0861202 0.7349375 2.937143;-0.2377605 0.4064352 2.923801;-0.3237783 0.1700321 2.896681;-0.376241 -0.03577696 2.823449;-0.3713151 -0.118737 2.781608;0.08741163 0.4268997 2.928389;0.1812032 0.1784597 2.933794;0.2677781 -0.01956858 2.874865;0.2813895 -0.072371 2.827;-0.1282091 0.02765008 2.842493;-0.1904121 -0.451653 2.871854;-0.2147385 -0.7921826 2.867899;-0.2281524 -0.8784403 2.803612;0.01825384 0.03699103 2.85139;0.0840272 -0.4288753 2.856147;0.1342919 -0.7991063 2.87888;0.1494274 -0.8682658 2.834494;0
-0.05708644 0.1042251 2.862347;-0.05932296 0.166915 2.924242;-0.07041825 0.5474288 2.943526;-0.08601768 0.7348325 2.937151;-0.2376759 0.4067096 2.923969;-0.3236987 0.1704037 2.896749;-0.3761566 -0.03540823 2.823886;-0.3713379 -0.1183989 2.781506;0.0874822 0.4269971 2.928487;0.1813829 0.1787031 2.933969;0.2671436 -0.018986 2.873593;0.2794953 -0.06987711 2.821218;-0.1281382 0.02774255 2.842636;-0.1903532 -0.451683 2.871955;-0.2147704 -0.7923291 2.867906;-0.2280386 -0.8785003 2.803416;0.01837865 0.03700993 2.851652;0.08418806 -0.429475 2.856409;0.1344401 -0.7991191 2.878949;0.1494866 -0.868228 2.834493;0
