HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.06531128 0.1065352 3.096618;0.06568256 0.1692943 3.161853;0.05394816 0.5584226 3.190407;0.05452692 0.7429886 3.174138;-0.1124555 0.440311 3.194287;-0.1572879 0.1993744 3.134468;-0.1572972 -0.008631691 3.029784;-0.1445974 -0.09673844 2.988775;0.2259226 0.4299749 3.177242;0.292086 0.1514618 3.143868;0.2807268 -0.0515753 3.029124;0.270808 -0.1382594 2.984478;-0.008961074 0.03478493 3.080966;-0.09011675 -0.525492 3.098874;-0.1214535 -0.8751083 3.042499;-0.1362461 -0.9411502 2.972454;0.1433091 0.03013369 3.076732;0.219086 -0.519177 3.104686;0.2504683 -0.8739992 3.059152;0.2711138 -0.9547202 2.998824;0
0.06535106 0.1065592 3.096587;0.06573905 0.1693443 3.161813;0.05441626 0.5584505 3.190165;0.05389014 0.7431737 3.173705;-0.1126832 0.4400544 3.19407;-0.1573773 0.1994726 3.134431;-0.1571189 -0.007718669 3.029952;-0.1444927 -0.09590475 2.989029;0.2258916 0.4300011 3.177207;0.2924008 0.1551406 3.145494;0.2819279 -0.04743181 3.031592;0.2716757 -0.1340254 2.98679;-0.008950062 0.03477386 3.080908;-0.09028344 -0.5250644 3.098661;-0.1213456 -0.8759965 3.042115;-0.138078 -0.943213 2.97132;0.1433593 0.03019154 3.07677;0.2191382 -0.5193818 3.104651;0.2506562 -0.8743443 3.059106;0.2709959 -0.9543798 2.998787;0
0.06535763 0.1065623 3.096582;0.06574862 0.1693514 3.161807;0.05458072 0.5584452 3.190106;0.05379551 0.7432264 3.173649;-0.1127185 0.4400147 3.194037;-0.1573907 0.1994874 3.134425;-0.1570906 -0.00757408 3.02998;-0.1444734 -0.09577292 2.989071;0.2259009 0.4300178 3.177219;0.2924524 0.1557556 3.145769;0.2821277 -0.04669312 3.032001;0.2718215 -0.1332828 2.98718;-0.00894884 0.03476779 3.080899;-0.09030908 -0.5249988 3.098629;-0.1213358 -0.8761833 3.042044;-0.1383886 -0.9435737 2.971128;0.1433677 0.03019965 3.076777;0.2191466 -0.5194124 3.104646;0.2506864 -0.8744091 3.059098;0.2709774 -0.9543274 2.998781;0
0.06536255 0.1065647 3.096579;0.06575599 0.1693567 3.161802;0.05473016 0.5584419 3.190053;0.05372899 0.743278 3.17361;-0.1127449 0.4399855 3.194013;-0.1574011 0.1994993 3.134422;-0.1569923 -0.007455544 3.030059;-0.1443859 -0.09565432 2.989126;0.2259126 0.4300376 3.177234;0.2924927 0.1562171 3.145974;0.2822824 -0.04612694 3.032307;0.2719303 -0.1327133 2.987467;-0.008948477 0.03476226 3.08089;-0.09033376 -0.5249373 3.098605;-0.1213243 -0.8763009 3.041998;-0.1386109 -0.9438373 2.970984;0.143374 0.03020582 3.076783;0.2191533 -0.5194357 3.104643;0.2507237 -0.8745333 3.059052;0.2709643 -0.9542879 2.998776;0
0.06536773 0.1065644 3.096576;0.06576303 0.1693582 3.161799;0.05487246 0.5584114 3.189998;0.05368003 0.7433345 3.173617;-0.1127675 0.4399595 3.193993;-0.157409 0.1995085 3.134419;-0.1568911 -0.007342995 3.030088;-0.1443065 -0.09555645 2.989161;0.2259115 0.4300646 3.177263;0.292529 0.1565621 3.146144;0.2824261 -0.04570415 3.032589;0.2720252 -0.1322838 2.987708;-0.008946323 0.03474997 3.080883;-0.09036428 -0.5248744 3.098587;-0.1213136 -0.8764087 3.041956;-0.1388625 -0.9441719 2.970785;0.1433792 0.03021001 3.076788;0.2191588 -0.5194532 3.104641;0.2507921 -0.8747063 3.059012;0.2709547 -0.9542585 2.998772;0
0.06537251 0.1065632 3.096575;0.0657692 0.1693585 3.161796;0.05501912 0.5583754 3.189938;0.05364173 0.7433906 3.173637;-0.1127877 0.4399357 3.193974;-0.1574215 0.1995205 3.134416;-0.156724 -0.007247217 3.030168;-0.1441581 -0.09545676 2.989207;0.2259094 0.4300939 3.177296;0.2925569 0.1568206 3.146275;0.282508 -0.04536496 3.032763;0.2720868 -0.1319492 2.987872;-0.008943993 0.03473631 3.080876;-0.09039321 -0.5248224 3.098572;-0.1212933 -0.8765426 3.041914;-0.1392014 -0.9445981 2.970513;0.1433834 0.03021298 3.076793;0.2191633 -0.5194665 3.104638;0.250866 -0.8748675 3.058971;0.2709541 -0.9542244 2.99875;0
0.06537679 0.1065616 3.096573;0.06577282 0.1693584 3.161793;0.0551386 0.5583401 3.189883;0.05361076 0.7434488 3.173672;-0.11281 0.4399162 3.193957;-0.157436 0.1995198 3.134406;-0.1566455 -0.007197751 3.030197;-0.144089 -0.09540959 2.989225;0.2259515 0.4301529 3.177432;0.2925843 0.1570173 3.1464;0.2825383 -0.04505316 3.032859;0.2721213 -0.131668 2.987979;-0.008942286 0.03472141 3.080869;-0.09042516 -0.5247795 3.098559;-0.1212741 -0.8766601 3.041878;-0.139555 -0.9450311 2.970192;0.1433883 0.03021437 3.076797;0.2191675 -0.5194767 3.104636;0.2509438 -0.8750253 3.058935;0.2709557 -0.954193 2.998718;0
0.06537979 0.1065602 3.096572;0.065775 0.1693579 3.161792;0.05524981 0.5583029 3.189825;0.05357771 0.7435089 3.173706;-0.1128361 0.4398962 3.193937;-0.157453 0.1994799 3.134389;-0.1565683 -0.007193174 3.030203;-0.1440142 -0.09540973 2.98922;0.2259894 0.4302323 3.177607;0.2926047 0.1571569 3.146487;0.2825479 -0.0447967 3.032872;0.2721405 -0.1314519 2.98803;-0.008943398 0.03470523 3.080864;-0.09045476 -0.5247396 3.098544;-0.1212368 -0.8767529 3.041858;-0.1399317 -0.9454604 2.96986;0.1433915 0.03021563 3.076802;0.2191721 -0.5194854 3.104633;0.2510373 -0.8752173 3.058889;0.2709524 -0.9542809 2.998873;0
0.06538133 0.1065603 3.096572;0.06577543 0.1693592 3.161791;0.05532447 0.558293 3.189778;0.05353872 0.7435582 3.173734;-0.1128643 0.4398808 3.193918;-0.1574695 0.1994342 3.134375;-0.1564991 -0.007204039 3.030205;-0.1439416 -0.09542561 2.989207;0.2260321 0.4303096 3.177758;0.292621 0.1572586 3.146554;0.2825472 -0.04458444 3.032836;0.2721425 -0.1312732 2.988031;-0.008949168 0.0346937 3.080861;-0.09047386 -0.5246989 3.098524;-0.121197 -0.8768388 3.041824;-0.1403307 -0.9459054 2.969481;0.1433936 0.03021726 3.076807;0.2191764 -0.5194927 3.104626;0.2512244 -0.8755419 3.058808;0.270966 -0.9543533 2.998977;0
0.06538 0.1065606 3.096573;0.06577579 0.1693604 3.16179;0.05539063 0.5582867 3.18973;0.05345394 0.7436731 3.17367;-0.1129155 0.4398752 3.193902;-0.1574892 0.1993551 3.134366;-0.156438 -0.007244292 3.030189;-0.1438684 -0.09547183 2.989169;0.2260287 0.4303612 3.177825;0.2926343 0.1573327 3.146602;0.2825271 -0.04440085 3.032737;0.2721542 -0.1311547 2.988042;-0.008979894 0.03466123 3.08087;-0.09049691 -0.5246217 3.098483;-0.12115 -0.8769093 3.041787;-0.1407488 -0.9463437 2.969054;0.143388 0.03022456 3.076817;0.2191781 -0.5195061 3.104606;0.2514313 -0.8760026 3.058714;0.2709894 -0.9544368 2.99906;0
0.06533439 0.1065713 3.096589;0.06575611 0.1693727 3.161794;0.05544445 0.5582989 3.189674;0.05329639 0.7438623 3.173609;-0.1129923 0.4398814 3.193892;-0.157514 0.1992951 3.134369;-0.1564107 -0.007288942 3.030206;-0.1438357 -0.09551152 2.989166;0.2260083 0.430433 3.177866;0.292647 0.157378 3.146631;0.282507 -0.04428693 3.032622;0.272151 -0.1310912 2.988063;-0.009125659 0.03458932 3.080923;-0.0905225 -0.5245658 3.098403;-0.1210812 -0.8771306 3.041622;-0.1411927 -0.9468089 2.968556;0.1433025 0.03027309 3.076859;0.2191767 -0.5195189 3.104568;0.2516713 -0.8765379 3.058583;0.2713586 -0.9547893 2.999434;0
