HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.1903657 0.003994994 2.868144;0.1874246 0.06226698 2.929846;0.1873785 0.4270411 2.959206;0.1795019 0.6133361 2.958357;0.02592247 0.3122257 2.95698;-0.01923311 0.0593076 2.930251;-0.02918402 -0.1502349 2.814351;-0.03415504 -0.2326208 2.786193;0.3487901 0.3089416 2.972159;0.3948149 0.05207729 2.921346;0.4059498 -0.1512137 2.803611;0.4121005 -0.2264728 2.769776;0.1182203 -0.06604601 2.844317;0.05037368 -0.5366333 2.856207;0.02304774 -0.8807271 2.85149;-0.007651841 -0.9367957 2.800858;0.2635107 -0.06752383 2.856904;0.3542528 -0.516227 2.844856;0.4147677 -0.8878968 2.825669;0.4527738 -0.9306613 2.806706;0
0.1903476 0.003782189 2.868291;0.1872909 0.06212408 2.930016;0.1872001 0.4270983 2.959396;0.1794533 0.6134188 2.959319;0.02606086 0.3119598 2.956688;-0.01919253 0.05932075 2.930267;-0.02956052 -0.1554789 2.81166;-0.03416716 -0.2326192 2.786228;0.3489822 0.3089572 2.972551;0.3950177 0.05192173 2.921566;0.4065939 -0.152134 2.803059;0.4126344 -0.2271659 2.769711;0.1182064 -0.06651028 2.84416;0.05036764 -0.5366544 2.856364;0.02308811 -0.8803865 2.851656;-0.008384537 -0.9377854 2.801008;0.2635398 -0.06770563 2.857178;0.3540633 -0.515327 2.844987;0.4162934 -0.8841602 2.826805;0.4510264 -0.9290606 2.804348;0
0.1903448 0.003749516 2.868314;0.187268 0.06210135 2.930042;0.1871721 0.4271064 2.959424;0.1794536 0.6134354 2.959495;0.02612569 0.3119063 2.956588;-0.01916746 0.05925778 2.930174;-0.02962365 -0.1563508 2.811196;-0.03416855 -0.2326213 2.786226;0.3490212 0.3089602 2.97262;0.3950479 0.05189865 2.921599;0.4066967 -0.1522812 2.802973;0.4127169 -0.227273 2.769701;0.1182043 -0.06658203 2.844135;0.05036703 -0.5366578 2.856388;0.02309416 -0.8803319 2.851682;-0.008536743 -0.9380362 2.801046;0.2635441 -0.06773341 2.857219;0.3540346 -0.515192 2.845007;0.4166168 -0.8834746 2.827029;0.4505541 -0.9288043 2.803356;0
0.1903406 0.003706363 2.868325;0.1872425 0.0620697 2.930056;0.187149 0.427111 2.959445;0.1794572 0.6134582 2.95968;0.02624203 0.3118341 2.956441;-0.01914441 0.0591823 2.930056;-0.02966249 -0.1571521 2.810791;-0.03417186 -0.2326185 2.786208;0.3490519 0.3089619 2.972674;0.39507 0.05188237 2.921623;0.4067799 -0.1524067 2.802916;0.4127795 -0.2273572 2.769694;0.1182044 -0.06664785 2.844113;0.05036643 -0.5366604 2.856404;0.02309919 -0.8802887 2.851702;-0.008700971 -0.9383404 2.801039;0.2635452 -0.06776075 2.857246;0.3540143 -0.5150838 2.845022;0.4170785 -0.8828185 2.82726;0.4504334 -0.9290996 2.801154;0
0.1903328 0.003656184 2.868326;0.1872157 0.06202852 2.930062;0.1871243 0.4271032 2.959457;0.1794594 0.6134579 2.959809;0.02637786 0.3117603 2.956275;-0.01912656 0.05912232 2.929941;-0.02969177 -0.1576794 2.810508;-0.03417449 -0.2326159 2.786187;0.349068 0.3089596 2.972703;0.3950861 0.05186019 2.921637;0.4068447 -0.1525077 2.802876;0.4128297 -0.227424 2.769688;0.1182053 -0.06670395 2.844093;0.05036329 -0.5366645 2.856403;0.02310301 -0.8802553 2.851717;-0.008894246 -0.9387192 2.800953;0.2635393 -0.06778899 2.857265;0.3539988 -0.515005 2.845032;0.4174422 -0.8823875 2.827419;0.4508384 -0.9301571 2.798053;0
0.1903246 0.003609062 2.86832;0.1871891 0.0619873 2.93006;0.1871026 0.4270898 2.959464;0.1794639 0.6134565 2.959923;0.02650794 0.3117034 2.956122;-0.01911697 0.05910141 2.92976;-0.02971306 -0.1580647 2.810288;-0.03418133 -0.2325941 2.78611;0.3490806 0.3089628 2.972729;0.3950955 0.05184033 2.921643;0.4068952 -0.152588 2.80285;0.4128678 -0.2274742 2.769684;0.1182063 -0.06675197 2.844069;0.05035399 -0.5366802 2.856343;0.02306806 -0.880038 2.851668;-0.009110365 -0.9389935 2.800915;0.2635316 -0.06781377 2.857276;0.3539872 -0.5149416 2.845037;0.4178249 -0.8820224 2.827581;0.4509842 -0.9304126 2.797013;0
0.1903114 0.00354515 2.868304;0.1871525 0.06192495 2.930049;0.1870732 0.4270571 2.95947;0.1794675 0.6134491 2.960031;0.02666796 0.3116531 2.955926;-0.01911167 0.05908889 2.929562;-0.02972712 -0.1583841 2.810084;-0.03421808 -0.2324884 2.785913;0.349082 0.3089619 2.972745;0.3950913 0.05181675 2.921628;0.4069296 -0.1526709 2.802834;0.4128923 -0.2275035 2.769662;0.1182086 -0.066796 2.844043;0.05032675 -0.5366203 2.856031;0.0229428 -0.8795184 2.851408;-0.009350311 -0.9392491 2.800876;0.2635135 -0.06784801 2.85728;0.3539729 -0.5148814 2.845025;0.418219 -0.8816935 2.827721;0.4510891 -0.9305845 2.796319;0
0.1902987 0.00348153 2.86828;0.1871159 0.06186108 2.930032;0.1870445 0.4270224 2.959474;0.1794746 0.6134388 2.960119;0.02682462 0.3116041 2.955725;-0.01912019 0.05907318 2.929346;-0.02974068 -0.1585973 2.809907;-0.03426861 -0.2323505 2.785608;0.3490786 0.3089605 2.972756;0.3950789 0.05177701 2.921611;0.4069088 -0.1531074 2.802792;0.4129107 -0.2275243 2.769637;0.1182142 -0.06683688 2.844009;0.05026387 -0.5365259 2.855367;0.0228387 -0.8790738 2.851157;-0.009576886 -0.9394755 2.800785;0.2634944 -0.06787997 2.857275;0.3539607 -0.5148326 2.845005;0.4186864 -0.881479 2.82787;0.4511783 -0.9307418 2.795851;0
0.1902827 0.003405077 2.868245;0.1870557 0.06177996 2.930001;0.1870143 0.4269846 2.959472;0.1794948 0.6134337 2.960216;0.02723313 0.3115089 2.955235;-0.01916387 0.05912509 2.928952;-0.02977212 -0.1588238 2.809647;-0.03434567 -0.2321674 2.78524;0.3490719 0.3089646 2.972777;0.3950594 0.05173516 2.921593;0.4069051 -0.1534103 2.802811;0.4129258 -0.2275473 2.769617;0.1182245 -0.06688463 2.84396;0.05012704 -0.5364392 2.85435;0.02275417 -0.8787275 2.850937;-0.009781054 -0.9396914 2.800639;0.2634701 -0.06791298 2.857267;0.3539488 -0.5147954 2.844973;0.4191177 -0.8813237 2.828004;0.4512588 -0.9308767 2.795521;0
0.1902658 0.003302858 2.868189;0.1869795 0.06167289 2.929951;0.1869778 0.4269373 2.959464;0.1795392 0.613437 2.960346;0.02778958 0.3113723 2.954571;-0.01931051 0.05911104 2.92806;-0.02987787 -0.1588641 2.809218;-0.03446649 -0.2316985 2.784488;0.3490649 0.3089653 2.972794;0.3950362 0.051689 2.921574;0.4068983 -0.1537034 2.802839;0.4129503 -0.2276486 2.769593;0.1182436 -0.06694098 2.843895;0.04980931 -0.536284 2.852398;0.02267458 -0.8784966 2.850742;-0.01001709 -0.9399697 2.800452;0.26344 -0.06795517 2.857251;0.3539307 -0.5147653 2.844927;0.4194647 -0.8812563 2.828103;0.4513399 -0.9309989 2.79531;0
