HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.02083432 0.1944096 2.995965;0.02274984 0.2581123 3.053845;0.02326296 0.6272049 3.053118;-0.007396123 0.8136818 2.985491;-0.1651834 0.5224212 3.068071;-0.2174973 0.2454876 3.041324;-0.2305795 -0.041554 2.954704;-0.2373193 -0.1446305 2.945152;0.1927749 0.5213004 3.057326;0.2816988 0.2393455 3.052632;0.3247639 -0.03699702 3.004437;0.325219 -0.143383 2.997098;-0.06015258 0.1151316 2.985959;-0.08609189 -0.4432706 2.999164;-0.1089427 -0.8076962 2.968443;-0.1373146 -0.8719929 2.904475;0.1009286 0.1146272 2.979813;0.1683898 -0.4550069 3.008242;0.1947499 -0.8172035 3.020689;0.2158703 -0.8802714 2.94385;0
0.02091345 0.1944596 2.99585;0.02283809 0.2581562 3.053741;0.02333944 0.6272624 3.053075;-0.007120426 0.8137438 2.985735;-0.1651698 0.5224656 3.068093;-0.217743 0.245285 3.04132;-0.2319142 -0.04274251 2.953793;-0.2373551 -0.1445516 2.945104;0.1926796 0.521648 3.05732;0.281759 0.2376053 3.053005;0.3246417 -0.03696468 3.004476;0.3253362 -0.1432977 2.99691;-0.06006183 0.1151616 2.985913;-0.08602095 -0.4434536 2.999153;-0.1089768 -0.8077531 2.968621;-0.1374014 -0.872157 2.904589;0.1010365 0.1147842 2.979521;0.1683645 -0.4549813 3.008218;0.194759 -0.8171736 3.020639;0.2157907 -0.8805996 2.94308;0
0.02092557 0.1944671 2.995833;0.02285206 0.2581627 3.053725;0.02336615 0.6272781 3.053078;-0.007081552 0.8137593 2.985769;-0.1651728 0.5224602 3.068104;-0.2177957 0.2452402 3.041322;-0.2321234 -0.04293955 2.953637;-0.2373603 -0.1445395 2.945096;0.1926536 0.5217164 3.05733;0.2817679 0.2373324 3.053065;0.3246165 -0.03695723 3.004487;0.3253496 -0.1432938 2.996878;-0.06004734 0.1151649 2.985908;-0.08601351 -0.4434955 2.999151;-0.1089822 -0.8077616 2.968647;-0.1374144 -0.872182 2.904607;0.101053 0.1148084 2.979477;0.1683602 -0.454972 3.008213;0.1947599 -0.81717 3.020631;0.2157765 -0.8806518 2.942957;0
0.02093468 0.1944728 2.995821;0.02286301 0.2581677 3.053715;0.02342856 0.627396 3.05314;-0.007054158 0.8137737 2.985794;-0.1651816 0.522447 3.068126;-0.2178511 0.2452085 3.041321;-0.2322811 -0.04308505 2.953525;-0.2373641 -0.1445303 2.945089;0.1926225 0.5217782 3.057345;0.2817701 0.2371365 3.053113;0.324046 -0.03339193 3.005507;0.3253356 -0.1429952 2.996875;-0.06003651 0.1151665 2.985907;-0.08601499 -0.4435399 2.999151;-0.1089864 -0.8077682 2.968668;-0.1374251 -0.8722067 2.904623;0.101064 0.1148284 2.979441;0.1683536 -0.454962 3.008208;0.1947601 -0.8171702 3.020625;0.2157656 -0.880691 2.942866;0
0.02094171 0.1944771 2.995813;0.02287252 0.2581715 3.053708;0.02349634 0.6275193 3.053206;-0.007035844 0.8137904 2.985816;-0.1652006 0.522438 3.068172;-0.2179098 0.2451804 3.041321;-0.2324071 -0.04320776 2.953435;-0.2373723 -0.1445199 2.945075;0.1925872 0.5218348 3.057366;0.2817712 0.2369912 3.053152;0.3236974 -0.03214892 3.005889;0.3252997 -0.1429253 2.996848;-0.06002792 0.1151663 2.985918;-0.08601892 -0.4435737 2.999151;-0.1089683 -0.8078339 2.968709;-0.1374504 -0.8722467 2.904648;0.1010719 0.1148438 2.979414;0.1683457 -0.4549502 3.008208;0.1947605 -0.8171393 3.020606;0.2157526 -0.8807271 2.942757;0
0.02094541 0.1945109 2.995824;0.02288337 0.2581971 3.053717;0.0235712 0.6276488 3.053276;-0.007032625 0.8138068 2.98584;-0.1652303 0.5224227 3.068229;-0.2179818 0.2451556 3.041317;-0.2325086 -0.0433051 2.953365;-0.2373844 -0.1445036 2.945049;0.1925188 0.5219229 3.057415;0.2817696 0.236886 3.053185;0.3232968 -0.03039404 3.006325;0.3252657 -0.1428649 2.996823;-0.06002571 0.115189 2.985957;-0.08602363 -0.4435998 2.99915;-0.1089216 -0.8080103 2.968747;-0.1375073 -0.8723019 2.904643;0.101062 0.114924 2.979402;0.1683338 -0.4549412 3.008204;0.1947722 -0.8171093 3.020595;0.2158166 -0.8808558 2.942814;0
0.02094817 0.1945451 2.995842;0.02289167 0.258223 3.053731;0.02364602 0.6277733 3.053355;-0.007036366 0.8138161 2.98587;-0.1652679 0.5224067 3.0683;-0.2180701 0.2451279 3.04131;-0.2326074 -0.04337748 2.953311;-0.2373998 -0.1444855 2.945019;0.1924523 0.5220038 3.057508;0.2817653 0.2368156 3.053216;0.3231131 -0.02957878 3.006576;0.3252271 -0.1428093 2.996793;-0.0600262 0.115212 2.986012;-0.08602872 -0.4436214 2.999149;-0.1088731 -0.8081932 2.968785;-0.1375876 -0.8723568 2.904632;0.1010552 0.1149855 2.97939;0.1683185 -0.4549301 3.008201;0.1948406 -0.8173901 3.020736;0.2159189 -0.8810291 2.942956;0
0.02095128 0.1945857 2.995865;0.02289994 0.258254 3.053752;0.02371784 0.6278911 3.053437;-0.007043461 0.8138266 2.985894;-0.1653082 0.5223866 3.068368;-0.2181715 0.2450621 3.041294;-0.2327826 -0.04335719 2.953263;-0.2374451 -0.1444518 2.94497;0.1923802 0.5220927 3.057613;0.2817586 0.2367736 3.053248;0.3229773 -0.02901881 3.006764;0.3251868 -0.1427773 2.996712;-0.06002678 0.1152378 2.986074;-0.08603635 -0.4436477 2.999153;-0.1088197 -0.8085036 2.968813;-0.1376853 -0.8724141 2.904616;0.1010481 0.1150586 2.979382;0.1682928 -0.4549161 3.008199;0.1949133 -0.8174581 3.020779;0.2160047 -0.8811738 2.943063;0
0.02095372 0.1946264 2.995891;0.02290849 0.2582851 3.053775;0.02378987 0.627998 3.053521;-0.00707961 0.8134695 2.986156;-0.165355 0.5223517 3.068452;-0.2182977 0.2449896 3.041279;-0.2330156 -0.04334019 2.953253;-0.2375136 -0.1444047 2.944889;0.1923043 0.5221756 3.05772;0.2817505 0.2367715 3.053289;0.322917 -0.02856245 3.006974;0.3251564 -0.1427448 2.996558;-0.06002832 0.1152631 2.986144;-0.08604538 -0.4436714 2.999159;-0.1087673 -0.8087183 2.968852;-0.1377616 -0.8724638 2.904607;0.1010387 0.1151304 2.979371;0.1682345 -0.4548889 3.008188;0.1949901 -0.8175192 3.020819;0.2160445 -0.8812571 2.943115;0
0.02095534 0.194666 2.995918;0.02291567 0.258316 3.0538;0.02385728 0.6280987 3.053601;-0.007133471 0.8131365 2.986435;-0.1653965 0.522321 3.068521;-0.2184913 0.2448644 3.041235;-0.2333144 -0.04333209 2.953258;-0.2376062 -0.1443511 2.944813;0.1922301 0.5222547 3.057824;0.2817511 0.2368223 3.053353;0.3230534 -0.02821986 3.007099;0.3252802 -0.1426601 2.996262;-0.06003083 0.115286 2.986214;-0.08605613 -0.4436975 2.999167;-0.1087212 -0.8089082 2.968888;-0.1378479 -0.8725047 2.904596;0.1010281 0.1152009 2.979363;0.1681532 -0.4548235 3.008184;0.1950628 -0.817572 3.020859;0.216071 -0.8813283 2.94318;0
0.02094662 0.1947151 2.995949;0.02291655 0.2583567 3.053828;0.02391946 0.628205 3.053671;-0.007242596 0.8130711 2.986508;-0.1654518 0.5222817 3.068593;-0.2187209 0.2446973 3.041187;-0.2347462 -0.0408144 2.953931;-0.2377286 -0.1442799 2.944732;0.1921572 0.5223286 3.057911;0.2817476 0.2369602 3.053451;0.3235706 -0.02800035 3.007113;0.3255357 -0.1425097 2.995767;-0.06005848 0.1153147 2.9863;-0.08607239 -0.4437316 2.999174;-0.1086707 -0.8091782 2.968884;-0.1379445 -0.8725519 2.904577;0.101005 0.1152863 2.979352;0.1680619 -0.4547511 3.008178;0.1951067 -0.8175944 3.020885;0.2160914 -0.8813754 2.94321;0
0.02090607 0.1947951 2.995991;0.02289844 0.2584222 3.053867;0.02400564 0.6283622 3.053775;-0.007355547 0.8130351 2.986563;-0.1655103 0.5222394 3.068663;-0.2190412 0.244457 3.041084;-0.2355801 -0.03987668 2.954108;-0.2378857 -0.1441931 2.944628;0.192078 0.522409 3.058008;0.2818041 0.2373953 3.053568;0.3240778 -0.02787032 3.007016;0.3264609 -0.1422875 2.994401;-0.06015452 0.115374 2.986421;-0.0860957 -0.4438091 2.999183;-0.1086448 -0.8095028 2.968837;-0.1379973 -0.8725758 2.904581;0.1009217 0.1154299 2.979333;0.1679337 -0.4546689 3.008158;0.1951575 -0.8175807 3.020902;0.2161115 -0.8814068 2.943231;0
0.02084856 0.1948932 2.996042;0.02286547 0.2585132 3.053915;0.02407565 0.6285769 3.053877;-0.007492283 0.8130344 2.986586;-0.1655661 0.5222117 3.068728;-0.2193672 0.244214 3.040973;-0.2362704 -0.0391641 2.954237;-0.2380448 -0.1441052 2.944526;0.1919895 0.5224931 3.058095;0.2818604 0.2384025 3.053746;0.3245928 -0.02746543 3.006584;0.327836 -0.1419107 2.992267;-0.06027571 0.1154508 2.98657;-0.08612319 -0.4439004 2.999194;-0.1086312 -0.8097847 2.968815;-0.1380459 -0.8725989 2.90459;0.1008058 0.1156128 2.979311;0.1677855 -0.454586 3.008116;0.1952014 -0.8175547 3.020912;0.2161271 -0.881428 2.943246;0
0.02077063 0.1950042 2.996099;0.02281509 0.2586228 3.053971;0.02412763 0.6288179 3.053971;-0.007611932 0.8130382 2.986624;-0.165619 0.5221878 3.068787;-0.2196883 0.2440136 3.040881;-0.2369346 -0.03864515 2.954286;-0.2382436 -0.1439629 2.944376;0.1918959 0.5225774 3.058173;0.2823792 0.2390811 3.053811;0.3256747 -0.0264294 3.00306;0.3301245 -0.1409067 2.986238;-0.06042668 0.1155424 2.986743;-0.08615182 -0.4440058 2.999196;-0.1086386 -0.8101889 2.96877;-0.1380965 -0.8726201 2.904596;0.1006595 0.115816 2.979289;0.1675762 -0.454513 3.008054;0.1952321 -0.8175371 3.020921;0.2161375 -0.8814431 2.943254;0
0.02063449 0.1951767 2.996203;0.02274716 0.2587758 3.054051;0.02418097 0.6290488 3.054046;-0.007755797 0.8130313 2.986659;-0.1657378 0.5221543 3.068889;-0.2199959 0.2438287 3.040808;-0.2375392 -0.03831692 2.95423;-0.2385235 -0.1437087 2.944101;0.191774 0.5226924 3.058209;0.2841053 0.2407757 3.053681;0.3272667 -0.02545484 2.992164;0.3317202 -0.1361568 2.968545;-0.06075703 0.1157046 2.987124;-0.08617993 -0.4441231 2.99913;-0.1086454 -0.8106081 2.96869;-0.1381931 -0.872666 2.904581;0.1004666 0.1160646 2.979278;0.1672361 -0.4543908 3.007903;0.1952549 -0.8174955 3.020909;0.2161449 -0.8814444 2.943251;0
0.02043014 0.1954188 2.996366;0.0226382 0.2589985 3.05418;0.02417977 0.6293017 3.054128;-0.008172343 0.8130454 2.98674;-0.1660601 0.5221085 3.069119;-0.2204121 0.2436404 3.040855;-0.2380859 -0.03795864 2.954142;-0.2388748 -0.1432946 2.943575;0.1915969 0.5228722 3.058198;0.2885797 0.2444783 3.052399;0.3269991 -0.02242035 2.963131;0.3221025 -0.1215065 2.930936;-0.0611849 0.1158887 2.987667;-0.08622221 -0.4442549 2.998973;-0.1086396 -0.8110523 2.968618;-0.138292 -0.8727156 2.904564;0.1002369 0.1163571 2.979274;0.1666125 -0.4541735 3.007379;0.1952648 -0.8174663 3.020896;0.2161489 -0.8814315 2.943228;0
