HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.01685445 0.0441865 2.724681;0.02676605 0.123324 2.76376;0.01312799 0.5388377 2.76313;0.01074759 0.7081743 2.776201;-0.1180204 0.2973108 2.767429;-0.1562997 0.1496321 2.791934;-0.1753596 0.01266073 2.801167;-0.2150336 -0.0121052 2.773467;0.1246479 0.3287581 2.696709;0.09391499 0.4027348 2.527768;-0.04422379 0.4225109 2.514176;-0.09027004 0.429103 2.512921;-0.03730893 -0.02089513 2.738142;-0.0753336 -0.4987848 2.72711;-0.11024 -0.8127434 2.744594;-0.1159867 -0.8986701 2.696787;0.0718918 -0.006743817 2.699898;0.1474643 -0.4616905 2.59192;0.2482483 -0.7560889 2.638305;0.2263905 -0.7882522 2.561991;0
0.02085608 0.009085508 2.722814;0.03034595 0.1001922 2.762128;0.01376089 0.5455602 2.762616;0.002284412 0.7162022 2.777386;-0.1219375 0.2973466 2.771515;-0.1545779 0.1509983 2.797433;-0.1785389 0.01132142 2.803359;-0.2150803 -0.01807998 2.782144;0.1242555 0.3314884 2.696079;0.07402953 0.4085439 2.515591;-0.0666253 0.4265769 2.516503;-0.1135103 0.4325878 2.520114;-0.03488568 -0.06089344 2.73907;-0.07528574 -0.4988908 2.727579;-0.1104954 -0.8159791 2.745137;-0.1162432 -0.9013897 2.695927;0.07801284 -0.04279795 2.695652;0.1444513 -0.4609639 2.58603;0.2500192 -0.756259 2.635811;0.2271347 -0.7887254 2.559688;0
0.02282754 -0.007006661 2.722142;0.03225592 0.09090915 2.761396;0.01486917 0.5486136 2.761812;-0.03052867 0.7200834 2.790379;-0.123283 0.2972728 2.773304;-0.1529261 0.1512223 2.802022;-0.1409739 0.01864474 2.856164;-0.1477556 -0.02015923 2.866021;0.1240194 0.3325993 2.69587;0.03444091 0.4144495 2.512227;-0.113598 0.4243097 2.511945;-0.1513007 0.4289938 2.516732;-0.03345856 -0.08112548 2.739835;-0.0752717 -0.4989086 2.727676;-0.1117897 -0.8287868 2.747004;-0.1164962 -0.9047225 2.694331;0.08084004 -0.05938321 2.693898;0.1384824 -0.4581879 2.576307;0.2680115 -0.7867029 2.634514;0.2686107 -0.8701277 2.604526;0
0.02392635 -0.01539837 2.721759;0.03429748 0.08464921 2.760567;0.01575755 0.5511266 2.761069;-0.04251593 0.7232557 2.794103;-0.1251572 0.2955244 2.78316;-0.1478999 0.1501042 2.811342;-0.122743 0.01666058 2.88047;-0.1071937 -0.03044578 2.914217;0.1225735 0.3360111 2.694389;0.01059736 0.4186964 2.507364;-0.1412223 0.4145103 2.539586;-0.1766148 0.4173576 2.545812;-0.03241809 -0.09140275 2.740404;-0.0752392 -0.4989271 2.727797;-0.1125019 -0.8366323 2.748288;-0.1167246 -0.9072995 2.693279;0.08219719 -0.06769269 2.692645;0.1329571 -0.4564656 2.567193;0.2898593 -0.8156979 2.626576;0.2897678 -0.9069399 2.619974;0
0.02530288 -0.01864206 2.720134;0.03611815 0.08157203 2.759192;0.01612911 0.5528655 2.760415;-0.04881084 0.7260077 2.795902;-0.1265414 0.2937694 2.791834;-0.1414905 0.1471649 2.824128;-0.07592347 0.01250428 2.888884;-0.03261185 -0.03806584 2.92063;0.1206414 0.3413987 2.692062;-0.01805676 0.4165173 2.506048;-0.1711033 0.3987647 2.563226;-0.2044387 0.4012547 2.57201;-0.03141293 -0.09671321 2.740322;-0.07442804 -0.5012612 2.728198;-0.112803 -0.8416148 2.749149;-0.116885 -0.9092247 2.692591;0.08454832 -0.06784548 2.686946;0.1262414 -0.4555092 2.557063;0.3017158 -0.8285957 2.619751;0.2998424 -0.9234434 2.625484;0
0.02701959 -0.0213307 2.718411;0.03961472 0.07895108 2.756544;0.01544134 0.554413 2.75967;-0.04818984 0.7324404 2.79345;-0.1252121 0.2612186 2.828546;-0.1274497 0.1191856 2.852081;-0.01297694 -0.005085303 2.879795;0.04420678 -0.05079253 2.896888;0.1187663 0.3453621 2.689522;-0.03044681 0.4159001 2.504659;-0.1836464 0.3910766 2.568483;-0.2191544 0.3908675 2.580694;-0.02716339 -0.1033106 2.739084;-0.07364192 -0.5033597 2.728464;-0.1125891 -0.8447349 2.749696;-0.1169927 -0.9106558 2.69224;0.08671913 -0.06790597 2.682625;0.1185963 -0.4541127 2.547109;0.308848 -0.8345619 2.614511;0.3060913 -0.928302 2.618979;7
0.02950936 -0.02373263 2.715922;0.04425137 0.07601307 2.752762;0.01467487 0.5556909 2.758754;-0.04783313 0.7374499 2.789305;-0.1240295 0.2509624 2.840077;-0.1081941 0.1033468 2.873253;0.009461206 -0.02056743 2.885509;0.06681557 -0.06563766 2.899154;0.1170544 0.3483272 2.686451;-0.0377958 0.4155841 2.502481;-0.1891581 0.38205 2.567004;-0.2278714 0.3812664 2.584256;-0.02175104 -0.1086173 2.736149;-0.07291299 -0.5051677 2.728557;-0.1115017 -0.8469869 2.750331;-0.1169852 -0.9119086 2.69229;0.08845352 -0.06772169 2.679681;0.1124966 -0.4542687 2.539362;0.3140893 -0.8379844 2.609248;0.3095345 -0.9287869 2.606833;7
0.03220418 -0.02572393 2.713246;0.04842305 0.07367285 2.749243;0.01297163 0.5574008 2.757229;-0.05666246 0.7403167 2.780568;-0.1234882 0.2453025 2.8467;-0.09653182 0.09526335 2.884828;0.02857538 -0.02609707 2.887414;0.08582298 -0.07017429 2.899144;0.1148118 0.3490224 2.68079;-0.02394349 0.4142893 2.48157;-0.1695321 0.3793085 2.547349;-0.2257466 0.3755901 2.580761;-0.01744672 -0.1121015 2.734056;-0.07102667 -0.5105692 2.728338;-0.1092634 -0.8486302 2.75075;-0.1168604 -0.9130508 2.692677;0.09112684 -0.06891269 2.675354;0.108277 -0.454751 2.534152;0.3178426 -0.8391626 2.604321;0.3091122 -0.9241319 2.593128;7
0.03472751 -0.02735946 2.7111;0.05171374 0.07217048 2.746653;0.007342748 0.5665066 2.750661;-0.09974981 0.7386649 2.77257;-0.101751 0.2916544 2.834172;-0.08774272 0.09401804 2.890725;0.01796761 -0.01745839 2.936085;0.0539323 -0.05758044 2.964501;0.1120465 0.3429615 2.670407;0.008044429 0.4175089 2.453494;-0.1375899 0.3835869 2.518543;-0.1946758 0.3753124 2.55148;-0.01153585 -0.1123363 2.733631;-0.06924514 -0.5142174 2.728274;-0.1062896 -0.8496861 2.750708;-0.1167149 -0.9139823 2.693174;0.09414444 -0.07514401 2.668782;0.1036454 -0.4742599 2.524163;0.3208809 -0.8406757 2.601182;0.3078658 -0.9197757 2.584056;7
0.0378817 -0.02391439 2.710409;0.0565527 0.07670094 2.744473;0.006394724 0.5865064 2.742805;-0.1650933 0.6836981 2.765726;-0.08934604 0.3151214 2.829939;-0.07335749 0.1002375 2.894421;-0.07227559 -0.01418268 2.94282;-0.09170109 -0.05687975 2.964074;0.107074 0.3308877 2.657718;0.02207229 0.419314 2.437467;-0.1321384 0.40966 2.459131;-0.1873496 0.4019778 2.494486;0.004494067 -0.08869562 2.747033;-0.06756022 -0.5163948 2.728464;-0.1026871 -0.8498557 2.750414;-0.1162922 -0.9147117 2.693903;0.09443536 -0.07565866 2.6661;0.1017008 -0.4783216 2.520982;0.3231182 -0.8411426 2.598453;0.3064781 -0.9162591 2.578285;7
0.04003225 -0.01692753 2.712194;0.05842355 0.0789328 2.744775;-0.03243847 0.4882901 2.769412;-0.06371625 0.6357788 2.759791;-0.07513141 0.3545376 2.816736;-0.06143839 0.1120878 2.89322;-0.08351581 0.02543607 2.996755;-0.1004246 -0.009865366 3.038619;0.1045211 0.3244749 2.651299;0.05875491 0.4241353 2.415912;-0.1087897 0.4627294 2.354325;-0.1712702 0.4724075 2.354757;0.01155466 -0.07588941 2.754218;-0.06501179 -0.5180324 2.729774;-0.09769399 -0.8485877 2.748835;-0.1157995 -0.9151284 2.694252;0.09377646 -0.07344352 2.664675;0.1006417 -0.4805713 2.519974;0.3255074 -0.840012 2.595638;0.3061422 -0.9119409 2.574465;7
0.04135042 -0.001901857 2.715885;0.05944104 0.08245189 2.745108;-0.03096593 0.4656886 2.74247;-0.08723262 0.6263791 2.748846;-0.07139275 0.3904902 2.810603;-0.05411661 0.1368949 2.889833;-0.04565605 0.02077982 2.943279;-0.03076606 -0.03416963 2.943707;0.1010586 0.3247218 2.645814;0.07058582 0.432537 2.40104;-0.08260743 0.5250036 2.226484;-0.1418993 0.5388572 2.202745;0.01567352 -0.06295667 2.7599;-0.05954525 -0.5214112 2.733089;-0.09273656 -0.8472388 2.747036;-0.115198 -0.9154381 2.694674;0.09029591 -0.05856538 2.66722;0.1018584 -0.4798817 2.523159;0.3279015 -0.8372045 2.591969;0.3060288 -0.9088345 2.571997;7
0.04365912 0.04180122 2.719334;0.05964028 0.1227488 2.743148;-0.03352947 0.4993239 2.722442;-0.05940684 0.6690807 2.719557;-0.06884562 0.4624432 2.790336;-0.04754715 0.2196525 2.865793;-0.09510013 0.07377928 2.896817;-0.130245 0.06112789 2.876184;0.09425955 0.3656521 2.626308;0.08704737 0.4610026 2.371685;-0.01575868 0.5767943 2.119148;-0.01575919 0.5952748 2.069822;0.02226355 -0.01864384 2.763893;-0.04895714 -0.5088789 2.738239;-0.08501107 -0.8466452 2.743062;-0.1122516 -0.9150662 2.694165;0.08658473 -0.02094835 2.672534;0.1072618 -0.4744838 2.532287;0.3303957 -0.8339339 2.588612;0.3062407 -0.9066777 2.570367;7
0.04613591 0.051459 2.719633;0.06119208 0.1349533 2.741318;-0.03898741 0.5312323 2.706932;-0.06978256 0.7197001 2.714536;-0.07097793 0.5060478 2.777273;0.007786848 0.3095901 2.717761;-0.1041684 0.173414 2.825964;-0.1581114 0.1584016 2.785268;0.08883207 0.3983678 2.613592;0.09120855 0.4823526 2.35662;0.07359797 0.6028172 2.087795;0.1137979 0.6344576 2.052015;0.03071694 0.004979881 2.730853;-0.0417615 -0.5024798 2.740563;-0.07542224 -0.8460657 2.737026;-0.1086313 -0.9148895 2.694386;0.09299359 -0.007238711 2.70066;0.1154226 -0.4665958 2.544199;0.333545 -0.8301591 2.585006;0.3066428 -0.9049553 2.569123;7
0.04864051 0.05587657 2.719613;0.06216261 0.1402149 2.740562;-0.04086927 0.5394725 2.703003;-0.06717192 0.733911 2.712664;-0.07085599 0.5226806 2.772774;0.02294295 0.4655133 2.559935;-0.1167856 0.5125742 2.471612;-0.1641751 0.5313083 2.427432;0.08657809 0.4074385 2.609167;0.09412443 0.4892869 2.349856;0.1404702 0.6013877 2.115132;0.1649553 0.6443735 2.042106;0.03422233 0.01035687 2.711602;-0.03625094 -0.4999343 2.74334;-0.06785884 -0.8458487 2.731184;-0.1032527 -0.913439 2.692022;0.09653097 -0.003763593 2.717256;0.1239169 -0.4595363 2.554881;0.3367981 -0.8272064 2.582007;0.3070853 -0.9037119 2.568186;7
0.05132642 0.0547715 2.719446;0.06270821 0.1409837 2.739995;-0.04164671 0.5436752 2.70073;-0.02221486 0.7416387 2.711031;-0.08826655 0.4853037 2.772102;0.01720108 0.5046216 2.508112;-0.1028171 0.6402509 2.36182;-0.1419498 0.6720668 2.316551;0.08509618 0.4133729 2.606133;0.1329343 0.4914618 2.355828;0.1799186 0.6067601 2.11488;0.1877527 0.6447068 2.050314;0.03378442 0.005761199 2.698226;-0.03159805 -0.4983813 2.746183;-0.06301513 -0.8458303 2.727497;-0.09767586 -0.9114826 2.689292;0.09915077 -0.003810574 2.728818;0.1326267 -0.4547876 2.564178;0.341539 -0.8251714 2.579216;0.3076613 -0.902972 2.567425;7
0.05336174 0.05088017 2.719468;0.06243603 0.1383389 2.739532;-0.04097563 0.5454929 2.700463;-0.001187158 0.7425788 2.712546;-0.09637931 0.4719486 2.767882;0.02117689 0.5037242 2.506118;0.01243189 0.6292789 2.320251;0.02807407 0.6299686 2.293502;0.08435055 0.4158682 2.60488;0.1497158 0.4919309 2.359184;0.2041751 0.5831243 2.151618;0.2135964 0.6398566 2.055949;0.03158564 -0.0008526017 2.694283;-0.02858103 -0.4970846 2.748645;-0.05998111 -0.8459005 2.725169;-0.09434266 -0.9105887 2.687829;0.1004871 -0.003176173 2.734321;0.1393805 -0.4516746 2.570965;0.3461275 -0.8239595 2.577443;0.3085805 -0.9025371 2.566867;7
0.05440212 0.04550328 2.719699;0.06240151 0.1341324 2.738936;-0.03926609 0.5455893 2.702029;0.008600473 0.7435448 2.713125;-0.1013073 0.4591188 2.766348;0.03592128 0.4954098 2.504759;-0.04972851 0.3444719 2.61337;-0.0898377 0.2708047 2.71103;0.07611405 0.4206912 2.603287;0.1595587 0.4905089 2.362017;0.2181775 0.5730066 2.166689;0.2243668 0.6267401 2.074184;0.02769248 -0.01127213 2.701669;-0.02666407 -0.496278 2.750573;-0.05798179 -0.8459449 2.723669;-0.09198451 -0.9099504 2.686902;0.09977861 -0.00369054 2.734366;0.145188 -0.4491874 2.576193;0.349827 -0.8233948 2.576357;0.3095563 -0.9023295 2.566516;7
0.05471775 0.03904754 2.720005;0.06094499 0.127671 2.738714;-0.03543032 0.5434408 2.703954;0.01272402 0.7422061 2.714721;-0.09704241 0.4319558 2.743093;0.05574723 0.4864904 2.477239;-0.04334166 0.3413512 2.641713;-0.0765412 0.2965537 2.704301;0.07272892 0.4231294 2.602759;0.1652216 0.4865527 2.365141;0.2207945 0.549069 2.188874;0.2317845 0.6102058 2.083445;0.02456626 -0.01995135 2.71026;-0.02547139 -0.4956527 2.752093;-0.05657085 -0.8459854 2.722616;-0.09040476 -0.9095538 2.686321;0.09824852 -0.005872563 2.730839;0.1506395 -0.4467377 2.580041;0.3529201 -0.8230765 2.575904;0.3107665 -0.9022661 2.566397;7
0.05468253 0.03552597 2.720442;0.05968123 0.1230453 2.738322;-0.02958839 0.5364509 2.707656;0.01152874 0.7354355 2.716528;-0.09829548 0.4259786 2.739223;0.05999098 0.4734012 2.487825;-0.02307405 0.3030855 2.68554;-0.05015337 0.2440637 2.771324;0.0706379 0.4244608 2.602331;0.1699944 0.4781748 2.365693;0.2064216 0.5255635 2.190947;0.210474 0.5791532 2.08374;0.02224005 -0.02519166 2.720383;-0.02488485 -0.4947033 2.753195;-0.05559701 -0.8460546 2.72186;-0.08932751 -0.909345 2.685975;0.09641411 -0.007176358 2.724818;0.1578594 -0.4410345 2.584167;0.355737 -0.8218927 2.576181;0.3124851 -0.9023694 2.566664;7
0.05489689 0.03385394 2.720763;0.0589352 0.1199075 2.738018;-0.02656811 0.4941688 2.721651;0.002109705 0.6893107 2.720918;-0.0990652 0.4194936 2.740391;0.06409401 0.456349 2.499281;-0.04850641 0.2720425 2.726388;-0.08845139 0.2263916 2.789161;0.0693089 0.4248798 2.601752;0.1768196 0.4463851 2.364483;0.181673 0.4949154 2.161929;0.1737285 0.5380101 2.073445;0.024534 -0.02891899 2.736507;-0.02461646 -0.4937291 2.753875;-0.05502022 -0.8461658 2.721364;-0.08853477 -0.9092583 2.685792;0.0970974 -0.008027633 2.710279;0.165107 -0.4357642 2.589451;0.3587429 -0.8209546 2.577532;0.3144419 -0.9024877 2.567176;7
0.06088148 0.04502633 2.718676;0.07458474 0.1363481 2.729615;0.03532161 0.5328323 2.696458;-0.03334336 0.6981196 2.724267;-0.09517386 0.4123507 2.750114;0.06838231 0.4403037 2.516338;-0.07454086 0.2730774 2.720846;-0.1175475 0.2289523 2.748475;0.0696897 0.4235987 2.599668;0.2078385 0.3975621 2.371091;0.1483347 0.4566003 2.139493;0.1210584 0.4927668 2.060571;0.02990014 -0.02397766 2.75758;-0.02405411 -0.4901436 2.752947;-0.05472495 -0.8462737 2.721081;-0.08819319 -0.9097658 2.686283;0.1014491 -0.005838829 2.682148;0.1769477 -0.4271444 2.598343;0.361504 -0.8199698 2.5803;0.3164693 -0.9025337 2.567726;7
0.06476367 0.04474275 2.7188;0.07909224 0.1274788 2.729204;0.02577066 0.494739 2.700574;-0.03059992 0.6788183 2.720259;-0.09122668 0.4077571 2.756573;0.009767852 0.3558618 2.566459;-0.09728845 0.1896307 2.811813;-0.1666891 0.1739163 2.808754;0.09261657 0.3730653 2.603644;0.2101984 0.346783 2.353601;0.1115687 0.4163926 2.12199;0.06524219 0.4474824 2.058517;0.03736223 -0.02949361 2.772651;-0.02195442 -0.4850183 2.750516;-0.05467725 -0.8463911 2.720982;-0.08794133 -0.9101083 2.686707;0.1110281 -0.0154697 2.667006;0.2006457 -0.4345626 2.612674;0.3662391 -0.8241389 2.588684;0.3182928 -0.9028891 2.568263;7
0.07162867 0.03100665 2.719912;0.08079126 0.1034141 2.730473;0.01507216 0.4383893 2.706517;-0.02532568 0.6405435 2.713951;-0.08130041 0.3696396 2.759535;-0.01905096 0.2507873 2.604547;-0.09383362 0.1410019 2.852524;-0.139039 0.116413 2.898051;0.1131974 0.318837 2.609971;0.1900823 0.3118362 2.33919;0.05271978 0.3751793 2.11699;0.006398793 0.3901967 2.085786;0.0462347 -0.05469188 2.788898;-0.01920516 -0.4813026 2.747697;-0.05475087 -0.846418 2.720983;-0.08773817 -0.9102583 2.686859;0.1288942 -0.05019389 2.650977;0.2155593 -0.441819 2.621456;0.3699479 -0.8280029 2.600087;0.3217141 -0.9037113 2.57017;7
0.09894017 -0.009764875 2.714777;0.09858576 0.07228251 2.721051;0.0284348 0.4657806 2.672151;-0.0266185 0.6493086 2.706733;-0.06764296 0.3113008 2.76086;-0.02576243 0.2163278 2.608521;-0.08069786 0.1580367 2.81463;-0.1476979 0.1259038 2.861723;0.1233771 0.2990112 2.610901;0.1695338 0.2755375 2.327132;0.001281522 0.3173438 2.142389;-0.05091828 0.3245583 2.135978;0.06707972 -0.09382765 2.793421;-0.01443453 -0.480875 2.743095;-0.05486946 -0.8464255 2.721013;-0.08757174 -0.9103387 2.686937;0.1571202 -0.08770076 2.643214;0.2281928 -0.4506469 2.628036;0.3721727 -0.8305396 2.607513;0.3261985 -0.9046069 2.572974;7
0.1123296 -0.02874586 2.71273;0.1063184 0.0595596 2.717096;0.03284049 0.4534456 2.670025;-0.01744493 0.6398248 2.696266;-0.05843619 0.3095074 2.751307;-0.02858972 0.1869013 2.616076;-0.06630829 0.1173858 2.849745;-0.1414213 0.1107685 2.866772;0.1340774 0.3471862 2.569746;0.1647737 0.2468551 2.311007;-0.02919389 0.2545523 2.190844;-0.08900072 0.2630021 2.204611;0.07679327 -0.1095481 2.794853;-0.00961055 -0.4818648 2.738662;-0.05489343 -0.8464202 2.720963;-0.08743842 -0.9104028 2.686986;0.1685863 -0.1022422 2.640825;0.2364994 -0.4576335 2.631522;0.373776 -0.8324276 2.612737;0.3295415 -0.9052955 2.574964;7
0.1184502 -0.03732016 2.71206;0.1109703 0.05157935 2.715449;0.03540848 0.4440097 2.668626;-0.007157383 0.6228977 2.686158;-0.05048047 0.3150778 2.745953;-0.0279465 0.1651921 2.630047;-0.05690984 0.1071845 2.856593;-0.09445473 0.09687593 2.901456;0.144502 0.3441509 2.554428;0.1498714 0.2042258 2.30741;-0.05976005 0.1930204 2.256776;-0.1059123 0.2105836 2.291388;0.08238561 -0.1171424 2.794581;-0.004411806 -0.4851354 2.734325;-0.05483513 -0.8464289 2.720893;-0.0871102 -0.9106286 2.686931;0.1762146 -0.1097808 2.643919;0.2421418 -0.4639087 2.632749;0.3748174 -0.8337624 2.616117;0.3320915 -0.9059108 2.576475;7
0.1250187 -0.04660176 2.713254;0.1183051 0.03989945 2.715626;0.04128146 0.4351068 2.666599;-0.0003087262 0.6103999 2.680123;-0.04437201 0.3136044 2.742364;-0.02444567 0.1471063 2.640534;-0.05015219 0.1033553 2.858128;-0.07657049 0.09470966 2.91292;0.1503102 0.3440338 2.548937;0.1335073 0.1665276 2.3324;-0.07764045 0.1421892 2.338219;-0.1496428 0.1583389 2.382644;0.08707529 -0.1212433 2.790817;-0.0002790499 -0.4877124 2.731266;-0.0441497 -0.8495337 2.719123;-0.08596651 -0.9116197 2.686301;0.1853156 -0.1152235 2.659581;0.2456146 -0.468683 2.63272;0.3755486 -0.8347499 2.618431;0.3340484 -0.9064119 2.577606;7
0.1301419 -0.05412408 2.714486;0.1236266 0.03133673 2.715653;0.0471897 0.4293959 2.664699;0.003736243 0.6030799 2.676602;-0.03886788 0.3107034 2.738274;-0.02021243 0.1340906 2.645833;-0.01673033 0.09637337 2.871662;-0.0257303 0.08662242 2.946321;0.1552307 0.3417064 2.547196;0.127014 0.1438163 2.369409;-0.06764749 0.1274807 2.417115;-0.1408181 0.1579024 2.463432;0.09223691 -0.1228282 2.779599;0.003334638 -0.489325 2.729136;-0.01492757 -0.8551837 2.716366;-0.08021893 -0.9142935 2.686768;0.1908953 -0.1177217 2.673955;0.2475825 -0.4726624 2.631701;0.3761101 -0.8355427 2.620104;0.3355265 -0.9068111 2.578528;7
