HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.09378229 0.2107997 2.867867;-0.09636276 0.2739284 2.926924;-0.08889876 0.6447346 2.931953;-0.1163924 0.8151743 2.869226;-0.2790761 0.5330669 2.917329;-0.3583565 0.2510355 2.913092;-0.3733997 -0.01495787 2.825348;-0.3634889 -0.1029932 2.779216;0.07974268 0.5304968 2.940635;0.17003 0.2503814 2.947771;0.2179336 0.008062333 2.88991;0.2200716 -0.08866485 2.849851;-0.1754114 0.1318636 2.85035;-0.2113455 -0.4628713 2.852217;-0.2393169 -0.8141541 2.802457;-0.2833493 -0.8756511 2.716957;-0.01394292 0.1307071 2.856733;0.0463114 -0.4396458 2.878381;0.07911846 -0.8151303 2.86805;0.1137087 -0.8822547 2.797171;0
-0.09377573 0.2107611 2.867924;-0.09637003 0.2739312 2.926989;-0.08890489 0.6449685 2.931908;-0.1170391 0.8180985 2.867366;-0.2788544 0.5325978 2.917174;-0.3582103 0.2513642 2.913521;-0.3734621 -0.01501423 2.825222;-0.3631816 -0.102806 2.77914;0.07991736 0.5308993 2.94071;0.169881 0.2496776 2.947767;0.2167172 0.007781399 2.886332;0.2185667 -0.08963811 2.84689;-0.1753911 0.1316523 2.850362;-0.2117163 -0.4616753 2.852264;-0.238479 -0.8131372 2.802196;-0.2833447 -0.8756635 2.717052;-0.01393845 0.1307245 2.856818;0.04627707 -0.4398562 2.878421;0.0793341 -0.8153603 2.868171;0.1127745 -0.8816484 2.796736;0
-0.09377477 0.2107553 2.867933;-0.09637113 0.2739317 2.926999;-0.08890594 0.6450039 2.931901;-0.117146 0.8185387 2.867057;-0.2788193 0.532524 2.917149;-0.3581881 0.2514137 2.913586;-0.3734706 -0.0150222 2.825201;-0.3631337 -0.1027772 2.779128;0.07994454 0.5309623 2.94072;0.1698584 0.2495701 2.947767;0.2165354 0.007722201 2.885832;0.2183402 -0.0897896 2.846452;-0.175388 0.1316203 2.850363;-0.2118275 -0.4613072 2.852238;-0.238334 -0.8129629 2.802145;-0.2833439 -0.8756647 2.717068;-0.01393786 0.1307274 2.85683;0.04627154 -0.4398881 2.878427;0.07936718 -0.8154008 2.868186;0.1126264 -0.8815527 2.796666;0
-0.09377439 0.2107513 2.867939;-0.09637366 0.2739342 2.927005;-0.08893871 0.6450689 2.931863;-0.1174011 0.8200564 2.866243;-0.2787923 0.5324683 2.91713;-0.3581715 0.2514541 2.913633;-0.3735064 -0.01479464 2.82521;-0.3630953 -0.102755 2.779118;0.07997692 0.5310363 2.940736;0.1698408 0.2494882 2.947766;0.2164155 0.007654909 2.885531;0.218171 -0.08990788 2.846136;-0.1753859 0.1315961 2.850364;-0.2119224 -0.4610113 2.852209;-0.2382311 -0.8128379 2.8021;-0.2833445 -0.8756666 2.71708;-0.01393768 0.1307304 2.85684;0.04616942 -0.4398688 2.878393;0.07928926 -0.8143787 2.868157;0.1124844 -0.8814108 2.796525;0
-0.09377495 0.2107489 2.867942;-0.09637913 0.273944 2.927003;-0.0889964 0.6452152 2.93167;-0.1176004 0.8213599 2.865574;-0.2787681 0.5324198 2.917107;-0.3581604 0.2514823 2.913668;-0.3735414 -0.01452023 2.825223;-0.3630612 -0.1027352 2.779109;0.08000999 0.5311187 2.940746;0.1698272 0.2494264 2.947766;0.2163431 0.007584699 2.885374;0.2180482 -0.08999929 2.845908;-0.1753851 0.1315772 2.850363;-0.2123001 -0.4587755 2.851924;-0.2381698 -0.8127352 2.80205;-0.2833495 -0.8756646 2.717139;-0.01393838 0.1307346 2.856847;0.04600353 -0.4398819 2.878343;0.07924847 -0.8137714 2.868103;0.112229 -0.8811491 2.796009;0
-0.09377643 0.2107501 2.86794;-0.09638539 0.2739649 2.926991;-0.08904813 0.6454093 2.931405;-0.1177657 0.8232591 2.864468;-0.2787497 0.532385 2.917087;-0.3581692 0.2515062 2.913683;-0.3736283 -0.01272446 2.825455;-0.3630432 -0.1020687 2.779378;0.08003861 0.531203 2.940744;0.1698167 0.2493804 2.947766;0.2163238 0.007528041 2.885298;0.2179703 -0.09006643 2.845757;-0.175385 0.1315637 2.850361;-0.2126359 -0.4569482 2.851672;-0.2381087 -0.8126276 2.801954;-0.2833539 -0.8756614 2.717203;-0.01393973 0.1307414 2.856851;0.04584019 -0.4398909 2.878294;0.07907773 -0.8121942 2.867936;0.1119583 -0.8808678 2.795473;0
-0.09377836 0.2107532 2.867934;-0.09639172 0.2739916 2.92697;-0.08908723 0.6456166 2.931089;-0.117851 0.8248093 2.863634;-0.2787353 0.5323583 2.917069;-0.3581746 0.2515353 2.913687;-0.3736466 -0.01100451 2.825582;-0.362981 -0.101397 2.779619;0.08006435 0.5312831 2.94074;0.1698056 0.2493559 2.947766;0.2163183 0.007516958 2.88529;0.2179121 -0.09008685 2.845651;-0.1753857 0.1315535 2.850355;-0.2128245 -0.4560311 2.851505;-0.2380485 -0.8124941 2.801785;-0.2833624 -0.8756617 2.717267;-0.0139413 0.1307487 2.856853;0.0456911 -0.4398932 2.878238;0.07901142 -0.8116637 2.867823;0.1117225 -0.8806031 2.794985;0
-0.09378032 0.2107587 2.867925;-0.09639841 0.2740238 2.926944;-0.08911505 0.6458198 2.930774;-0.1178756 0.8258302 2.862986;-0.2787234 0.5323382 2.917053;-0.3581743 0.2515614 2.913692;-0.3736866 -0.01050795 2.825577;-0.362891 -0.1012566 2.779641;0.08011971 0.5313918 2.940746;0.1697997 0.2493326 2.947767;0.2162962 0.007500733 2.885217;0.2178612 -0.09011336 2.845551;-0.1753873 0.1315459 2.850349;-0.2129774 -0.455298 2.851358;-0.2379685 -0.8123671 2.801607;-0.2833723 -0.8756661 2.717322;-0.01394242 0.1307572 2.856854;0.04555877 -0.4398902 2.878191;0.07896996 -0.8113341 2.867709;0.111453 -0.8803557 2.794513;0
-0.09378333 0.2107694 2.867913;-0.09640632 0.2740675 2.92691;-0.08913071 0.6460262 2.930427;-0.1178671 0.8266188 2.862486;-0.2787138 0.5323231 2.917038;-0.3581738 0.2515914 2.913696;-0.3737323 -0.01014967 2.825522;-0.3627819 -0.1011884 2.779627;0.0801907 0.531513 2.940753;0.1697952 0.2493156 2.947768;0.2162856 0.007489398 2.885171;0.2178232 -0.09013078 2.845476;-0.1753907 0.1315412 2.85034;-0.2130809 -0.4548067 2.851258;-0.2379006 -0.812255 2.801435;-0.2833818 -0.8756699 2.717369;-0.01394368 0.1307691 2.856855;0.04542885 -0.4398937 2.878133;0.07893591 -0.8111138 2.867614;0.1111774 -0.8800678 2.793979;0
-0.0937861 0.2107789 2.867898;-0.09641291 0.2741055 2.926875;-0.08913171 0.6461834 2.93016;-0.1178536 0.8267905 2.862096;-0.2787022 0.5323082 2.917016;-0.358207 0.2515716 2.913681;-0.3737638 -0.009967237 2.825369;-0.3626339 -0.1012042 2.779592;0.08024951 0.5316155 2.940748;0.1697918 0.2493032 2.947769;0.216285 0.00748105 2.885139;0.217796 -0.09014495 2.84542;-0.1753944 0.1315374 2.850328;-0.2131552 -0.4544821 2.851189;-0.2378566 -0.8121557 2.80127;-0.283388 -0.8756698 2.717406;-0.01394506 0.1307795 2.856854;0.04531388 -0.439902 2.878079;0.07889843 -0.8108873 2.867512;0.110828 -0.8797476 2.79332;0
