HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.221934 -0.009630159 2.995406;0.2168876 0.04615061 3.056398;0.2033126 0.4023294 3.093408;0.2036882 0.5723474 3.089217;0.08094524 0.2673964 3.012174;-0.02464795 0.1562873 2.958823;0.06206842 0.348254 2.944241;0.09097388 0.4122429 2.943801;0.3651038 0.2823238 3.02789;0.4200523 0.08047543 2.977147;0.4191478 -0.1224225 2.907278;0.4229626 -0.1808666 2.89057;0.1607911 -0.07477291 2.980834;0.1378721 -0.4750979 3.020019;0.1369964 -0.7432086 3.046909;0.141542 -0.77796 2.948468;0.2886624 -0.06805556 2.976603;0.3073153 -0.422794 2.975138;0.3179086 -0.7087401 3.005971;0.3170743 -0.7937235 2.980164;0
0.2217941 -0.01008109 2.995481;0.2168719 0.04578642 3.056404;0.2040619 0.4013537 3.092282;0.2032201 0.5712477 3.088742;0.08109887 0.2678232 3.012701;-0.02534651 0.1617146 2.955921;0.06915992 0.3442123 2.964313;0.1006621 0.4050448 2.97154;0.3650996 0.2823218 3.028021;0.4190874 0.08335107 2.977339;0.4188447 -0.1167933 2.908816;0.4221861 -0.1764755 2.892043;0.1606407 -0.07506205 2.981078;0.1385868 -0.4350049 3.008848;0.1352867 -0.7327614 3.044306;0.1392012 -0.7632042 2.958147;0.2883406 -0.06870644 2.976646;0.3070412 -0.4225212 2.975399;0.3181808 -0.709346 3.00638;0.3170909 -0.7846245 2.982862;0
0.2217711 -0.01015463 2.995492;0.2168705 0.04572687 3.056403;0.2042168 0.4011276 3.092026;0.2031411 0.5710567 3.088659;0.08112842 0.267903 3.012813;-0.02534208 0.1624963 2.955553;0.07098234 0.3432851 2.966249;0.1033013 0.4034441 2.973708;0.3650968 0.2823181 3.028039;0.4189408 0.08379501 2.977365;0.4187936 -0.1158927 2.909061;0.4220405 -0.1756573 2.892253;0.1606174 -0.07510684 2.981115;0.1372717 -0.4375882 3.009211;0.1349051 -0.7304178 3.043776;0.1384766 -0.758945 2.961185;0.2882844 -0.06881815 2.976651;0.3069985 -0.4224816 2.975441;0.3182165 -0.7094415 3.006439;0.317066 -0.7825241 2.983475;0
0.2217549 -0.01020617 2.995499;0.2168756 0.04568453 3.056398;0.2043981 0.4009117 3.091746;0.2030822 0.5709086 3.088579;0.08100707 0.2691168 3.013564;-0.02457365 0.1629017 2.95571;0.07228419 0.3429498 2.967853;0.1049435 0.4029301 2.975526;0.3650937 0.2823104 3.028047;0.4188347 0.0841108 2.977383;0.4187554 -0.1152731 2.909227;0.4219393 -0.1751383 2.892403;0.1605954 -0.07511441 2.981148;0.1363634 -0.4202237 3.005011;0.1346312 -0.7286395 3.043389;0.1377675 -0.7550819 2.964681;0.288242 -0.06890484 2.976651;0.3069603 -0.4224495 2.97547;0.3182379 -0.7095168 3.006482;0.3170322 -0.7810166 2.983886;0
0.2217425 -0.01024436 2.995503;0.2168904 0.04565352 3.05639;0.204638 0.4006985 3.091465;0.2030461 0.5707936 3.088509;0.08091748 0.2722671 3.015441;-0.02206908 0.1625875 2.957476;0.07332589 0.3432379 2.968562;0.1059642 0.4022177 2.977588;0.3650917 0.2823048 3.02805;0.4187773 0.08424544 2.977379;0.4187151 -0.1151812 2.909276;0.4218651 -0.1749707 2.892433;0.1605696 -0.07509124 2.981175;0.1359194 -0.4117608 3.002939;0.1344189 -0.7271861 3.043095;0.1371071 -0.7518136 2.967921;0.288205 -0.06898045 2.976647;0.306928 -0.4224218 2.975491;0.3182511 -0.7095768 3.006516;0.3169966 -0.779932 2.984178;0
0.2217332 -0.0102736 2.995507;0.2169289 0.04562733 3.056377;0.2048997 0.4004822 3.091184;0.2030288 0.5707159 3.088447;0.08083794 0.2757699 3.018144;-0.01813365 0.160862 2.963907;0.06285679 0.3272857 2.959878;0.1005292 0.3924985 2.97538;0.3650922 0.2823007 3.028052;0.4188009 0.08405904 2.977332;0.4186813 -0.1161651 2.909044;0.4217409 -0.1756586 2.892047;0.1605443 -0.07506066 2.981201;0.1371759 -0.4374331 3.011683;0.1343308 -0.7265347 3.043;0.136722 -0.7506196 2.97011;0.2881701 -0.06908858 2.976643;0.3083577 -0.4471952 2.984078;0.3182557 -0.7097018 3.006535;0.3182257 -0.751923 2.954122;0
0.2217271 -0.0102945 2.995509;0.2170185 0.04562545 3.056357;0.2061131 0.4003609 3.090601;0.2030235 0.5707068 3.088336;0.08081837 0.2785527 3.020498;-0.01420689 0.1541396 2.978197;0.05488507 0.3154053 2.953682;0.0746398 0.3713028 2.952786;0.3650998 0.2823079 3.028049;0.4189223 0.08348054 2.977239;0.4187198 -0.1186086 2.908453;0.4216336 -0.1776729 2.891304;0.1605159 -0.07500099 2.981244;0.1377719 -0.4323865 3.010204;0.1342594 -0.7260842 3.042973;0.1364027 -0.7499193 2.971208;0.2881418 -0.06918536 2.976634;0.3089633 -0.4572121 2.987419;0.3182701 -0.7099009 3.00654;0.3189219 -0.73951 2.936399;0
0.2217225 -0.01031089 2.995511;0.2171863 0.04563361 3.056329;0.2083262 0.400086 3.089428;0.203064 0.5707234 3.088116;0.08053091 0.2794543 3.02237;-0.01188181 0.1448616 2.993145;0.05042486 0.3087841 2.949114;0.06027751 0.3464577 2.941241;0.3651084 0.2823146 3.028037;0.4191677 0.08243133 2.977082;0.418705 -0.1223794 2.907494;0.4184707 -0.1907722 2.886725;0.1604471 -0.07498914 2.98135;0.1382213 -0.4288411 3.009215;0.1341835 -0.7256648 3.042908;0.1359779 -0.7494432 2.97178;0.2881102 -0.06929547 2.976612;0.3085137 -0.456016 2.987754;0.3182844 -0.7101338 3.006524;0.3193391 -0.7561295 2.956297;0
0.2217208 -0.01033609 2.995508;0.2173786 0.04562168 3.056279;0.2113344 0.3998149 3.087715;0.2031203 0.5707508 3.087893;0.08052357 0.2797202 3.02355;-0.0101696 0.1295844 3.017892;0.04589735 0.3012689 2.941372;0.05645266 0.3398475 2.936075;0.3651959 0.2823725 3.02802;0.4195002 0.08110357 2.976899;0.4187935 -0.126834 2.90642;0.416385 -0.2000876 2.883515;0.1603285 -0.07508693 2.981486;0.1387767 -0.4267927 3.008607;0.1341121 -0.7253603 3.042883;0.1355067 -0.7494923 2.971625;0.2880726 -0.06942381 2.976585;0.308034 -0.4532343 2.987361;0.3182373 -0.7103546 3.006483;0.3213335 -0.785369 2.964222;0
0.2217215 -0.01038768 2.995501;0.2176974 0.04557768 3.056196;0.2150515 0.3993966 3.085411;0.203177 0.5707848 3.087411;0.08103712 0.2791037 3.025331;-0.007878282 0.1138855 3.04151;0.03576753 0.2765651 2.915653;0.05550039 0.3283537 2.92666;0.3653368 0.2824557 3.028006;0.4199902 0.07937955 2.97662;0.4189927 -0.1320848 2.905111;0.4156367 -0.2036302 2.882323;0.1601655 -0.07529125 2.98169;0.1392791 -0.4257996 3.008327;0.1340623 -0.7254622 3.043002;0.1349674 -0.7503623 2.971331;0.288011 -0.06958862 2.976546;0.3075597 -0.4497234 2.986637;0.3182277 -0.7105458 3.006424;0.3198648 -0.7893213 2.968549;0
