HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.06294476 0.1561655 3.20652;-0.06169929 0.2095633 3.271201;-0.05699197 0.5666382 3.319339;-0.0697401 0.7574663 3.282719;-0.2360293 0.4351338 3.300186;-0.3178145 0.1925437 3.280794;-0.2888945 0.009495199 3.14591;-0.2043771 -0.001841838 3.050924;0.1187772 0.435112 3.298333;0.1953457 0.1827324 3.295122;0.1816399 -0.01162529 3.176235;0.1308433 -0.06425817 3.104111;-0.1438826 0.0798824 3.181815;-0.2348878 -0.519075 3.200907;-0.2755448 -0.8934859 3.172045;-0.3113767 -0.9647836 3.114551;0.01578036 0.07987261 3.184177;0.1027379 -0.4996513 3.209452;0.1397845 -0.8891737 3.235315;0.1629825 -0.9497964 3.193855;0
-0.06299808 0.1562623 3.206396;-0.06181331 0.2096575 3.271077;-0.05786076 0.5666892 3.319247;-0.06976642 0.7599542 3.284134;-0.236056 0.4351584 3.300093;-0.317833 0.1925586 3.281044;-0.2810271 0.01592769 3.139066;-0.2398877 -0.02059381 3.069986;0.1187783 0.435114 3.298257;0.194333 0.1815148 3.29394;0.1841201 -0.0149962 3.178451;0.1326948 -0.0663664 3.105909;-0.1438963 0.07996255 3.181707;-0.2347425 -0.5195792 3.200764;-0.2759102 -0.8941363 3.171171;-0.3098296 -0.9652024 3.109365;0.01578734 0.07994998 3.184019;0.1024427 -0.499323 3.208771;0.13955 -0.8882542 3.234566;0.1629094 -0.9498088 3.194301;0
-0.06300374 0.1562827 3.206377;-0.06182998 0.209676 3.271057;-0.05800091 0.5667009 3.319232;-0.06977372 0.7603896 3.284401;-0.2360619 0.4351631 3.30008;-0.3178355 0.1925602 3.281082;-0.279581 0.01710541 3.137779;-0.2599492 -0.02907041 3.078291;0.1187827 0.4351153 3.298248;0.1941781 0.1813194 3.29375;0.1300485 0.008229382 3.140952;0.089665 -0.05216338 3.07315;-0.1438977 0.07997627 3.18169;-0.2347137 -0.5197039 3.200747;-0.2759826 -0.8942753 3.170975;-0.3094717 -0.9652759 3.108266;0.01579571 0.07996644 3.183995;0.102387 -0.4992722 3.208653;0.1395087 -0.8880934 3.234447;0.1632926 -0.9499876 3.1943;0
-0.06300545 0.1563023 3.206362;-0.06184172 0.2096924 3.271042;-0.05810702 0.5667105 3.31922;-0.06974114 0.7609409 3.285002;-0.2360698 0.4351672 3.30007;-0.3178403 0.1925617 3.281113;-0.2786489 0.0178835 3.136938;-0.2500633 -0.02693222 3.071444;0.1187869 0.4351165 3.298242;0.1940638 0.1811664 3.293602;0.1064857 0.01843629 3.124573;0.07102029 -0.04608171 3.058941;-0.143897 0.07998872 3.181675;-0.2346754 -0.5199196 3.200776;-0.2760727 -0.8944145 3.170782;-0.3091381 -0.9653112 3.107378;0.01581054 0.07998368 3.183979;0.1023433 -0.4992357 3.208563;0.1394996 -0.8879009 3.234334;0.1644477 -0.9504836 3.194105;0
-0.06300369 0.1563205 3.206352;-0.06184973 0.2097065 3.271032;-0.05819334 0.5667206 3.319215;-0.06971498 0.7614073 3.285544;-0.2360791 0.4351738 3.300062;-0.3178566 0.1925681 3.281202;-0.2779839 0.01849115 3.136311;-0.2739051 -0.03149227 3.079895;0.1188015 0.4351177 3.298242;0.1939788 0.1810472 3.293485;0.09467637 0.02353667 3.116288;0.06117911 -0.04264398 3.051605;-0.1438952 0.07999916 3.181665;-0.2346584 -0.5200393 3.200787;-0.2761432 -0.8945059 3.170636;-0.3087975 -0.9647442 3.109313;0.01583713 0.07999843 3.183971;0.1023015 -0.4991809 3.208477;0.1394275 -0.8870772 3.234096;0.1656708 -0.9509684 3.193895;0
-0.06300016 0.1563378 3.206347;-0.0618549 0.2097189 3.271025;-0.05827126 0.5667349 3.319225;-0.06968582 0.7617792 3.286016;-0.2360967 0.4351856 3.300064;-0.3178686 0.192571 3.281259;-0.2773289 0.0192003 3.135616;-0.2860617 -0.03378778 3.084579;0.1188161 0.4351185 3.298243;0.1939154 0.1809487 3.293393;0.1296979 0.005234971 3.142995;0.07972947 -0.04815252 3.068566;-0.1438926 0.08000871 3.181656;-0.2346583 -0.52023 3.200801;-0.2762365 -0.8946047 3.170453;-0.3084466 -0.9645038 3.110633;0.01586618 0.08001193 3.183969;0.102269 -0.4991317 3.20841;0.1393583 -0.8863815 3.233884;0.1664953 -0.9513284 3.193777;0
-0.06299461 0.1563538 3.206344;-0.06185779 0.2097283 3.271021;-0.0583443 0.5667697 3.319308;-0.06964733 0.7621049 3.286666;-0.2361151 0.4351978 3.300069;-0.3178874 0.1925765 3.281345;-0.2767277 0.02001113 3.134864;-0.3033946 -0.02941494 3.087846;0.1188313 0.4351194 3.298246;0.1938685 0.1808663 3.293314;0.1495069 -0.003020385 3.154219;0.09567181 -0.05308991 3.079252;-0.1438883 0.08001751 3.181648;-0.2346624 -0.5204073 3.200814;-0.2763243 -0.8946908 3.170281;-0.3081614 -0.9643068 3.111071;0.01589783 0.08002461 3.183971;0.1022356 -0.4990782 3.208354;0.1387073 -0.8839503 3.233578;0.1657709 -0.9493679 3.195417;0
-0.0629862 0.1563705 3.206345;-0.06186079 0.2097367 3.271019;-0.0584067 0.5668062 3.319399;-0.06960943 0.7623705 3.287257;-0.2361306 0.4352099 3.300071;-0.3178997 0.1925806 3.281427;-0.2765292 0.0204019 3.134473;-0.3116011 -0.02908169 3.089809;0.1188934 0.4351135 3.298319;0.1938366 0.1807961 3.293254;0.1608901 -0.007674563 3.160542;0.1056903 -0.05610465 3.085784;-0.1438825 0.08002616 3.181642;-0.2346649 -0.5205386 3.20081;-0.2764187 -0.8947407 3.170108;-0.3080277 -0.9642382 3.111189;0.01593878 0.08003706 3.183981;0.1022033 -0.4990176 3.208304;0.1384047 -0.8824359 3.232924;0.1666356 -0.948831 3.195144;0
-0.06297319 0.1563897 3.206352;-0.06186106 0.2097471 3.271021;-0.05845128 0.5668528 3.3195;-0.06959044 0.762507 3.287639;-0.2361452 0.4352209 3.300072;-0.3179065 0.1925832 3.281478;-0.2757807 0.02237473 3.132484;-0.3005587 -0.02590225 3.085603;0.1189502 0.4351087 3.298392;0.1938149 0.1807395 3.293217;0.1704017 -0.01154086 3.166111;0.1146976 -0.05867183 3.091599;-0.1438723 0.08003691 3.181639;-0.2346665 -0.5206291 3.200787;-0.2765084 -0.8947795 3.169939;-0.3083658 -0.9646446 3.111283;0.01598494 0.08005239 3.183999;0.1021747 -0.4989597 3.208261;0.1382166 -0.8816185 3.23245;0.1669674 -0.9485958 3.195199;0
-0.06296021 0.1564098 3.206363;-0.06186155 0.2097592 3.271027;-0.05848526 0.5669013 3.319592;-0.06956106 0.762617 3.288006;-0.2361596 0.4352341 3.300069;-0.3179498 0.192725 3.281541;-0.2796743 0.0242023 3.130306;-0.3020479 -0.02551794 3.085166;0.1190104 0.4351056 3.298472;0.1939149 0.1806814 3.293471;0.1537364 0.006729701 3.151559;0.1068081 -0.04076334 3.084637;-0.1438636 0.08004776 3.181639;-0.234718 -0.5208312 3.200456;-0.276656 -0.8947607 3.16967;-0.3086261 -0.9650622 3.111055;0.01603158 0.08006613 3.184036;0.1021483 -0.4988804 3.208198;0.1381028 -0.8809342 3.232012;0.1674813 -0.9484735 3.195069;0
