HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.1070104 0.1988639 2.988625;-0.1098065 0.2612326 3.04839;-0.1104777 0.6320456 3.057687;-0.1376244 0.8044187 2.979721;-0.2921743 0.5162713 3.037151;-0.3615245 0.2547971 3.027383;-0.3837149 -0.04270709 2.934958;-0.3688611 -0.1394112 2.917032;0.0627557 0.5183729 3.052956;0.1478614 0.2308826 3.039221;0.1804747 -0.04261278 2.969888;0.1735902 -0.1448913 2.925368;-0.1862413 0.1198801 2.969863;-0.2316582 -0.4390436 2.97637;-0.2687515 -0.8222605 2.949727;-0.3112481 -0.8777266 2.853882;-0.02652276 0.1208258 2.977252;0.04387544 -0.4405735 3.001798;0.0664747 -0.7919832 2.998496;0.09993961 -0.8733 2.914036;0
-0.107013 0.1988562 2.988617;-0.1098481 0.261214 3.048384;-0.1105908 0.632082 3.057797;-0.1369291 0.8048347 2.980181;-0.2921737 0.5162746 3.037157;-0.361572 0.2547695 3.027344;-0.3830706 -0.04297505 2.934864;-0.3689473 -0.1391066 2.916436;0.0623571 0.5188687 3.053279;0.1479185 0.2310267 3.039351;0.1806627 -0.03826578 2.969324;0.1675268 -0.1456082 2.923401;-0.1862198 0.1198635 2.969871;-0.2307777 -0.4416115 2.97693;-0.2686499 -0.8222408 2.950052;-0.3093386 -0.8788676 2.856199;-0.02654235 0.1208589 2.977221;0.04346396 -0.4411366 3.001915;0.06645388 -0.7921578 2.998677;0.09978463 -0.8732624 2.914558;0
-0.1070136 0.1988553 2.988616;-0.109855 0.2612117 3.048383;-0.1106085 0.6320904 3.057811;-0.1368086 0.8048915 2.980268;-0.2921724 0.5162748 3.037154;-0.3615797 0.2547642 3.027338;-0.3829705 -0.04301758 2.934849;-0.3689619 -0.1390551 2.916336;0.06228791 0.5189492 3.053327;0.1479272 0.2310484 3.03937;0.1806978 -0.03752981 2.969232;0.1665748 -0.1457322 2.923083;-0.1862166 0.1198613 2.969871;-0.2306372 -0.4420035 2.977017;-0.2686343 -0.8222325 2.950098;-0.3089828 -0.8790625 2.85664;-0.02654872 0.1208674 2.977214;0.04335658 -0.4412614 3.001919;0.06645031 -0.7921847 2.998703;0.09976076 -0.8732573 2.914637;0
-0.1070144 0.1988547 2.988615;-0.1098607 0.2612107 3.048381;-0.1106236 0.6321059 3.057813;-0.1367256 0.8050492 2.980429;-0.2921716 0.516275 3.037153;-0.3615863 0.2547594 3.027332;-0.3828824 -0.04306255 2.934836;-0.3689836 -0.1390179 2.916229;0.0622354 0.5190096 3.053365;0.1479278 0.2310987 3.039387;0.1807394 -0.03704062 2.969072;0.1659016 -0.1458121 2.922878;-0.1862144 0.1198597 2.969872;-0.2305234 -0.4422733 2.977087;-0.2685889 -0.8222371 2.950228;-0.308712 -0.8792008 2.85698;-0.02655501 0.1208746 2.977209;0.04323267 -0.4414005 3.001909;0.06644698 -0.792205 2.998721;0.09974784 -0.8732592 2.914699;0
-0.107016 0.198854 2.988613;-0.1098659 0.2612107 3.048379;-0.1106375 0.6321635 3.057796;-0.1366106 0.8056085 2.980698;-0.2921709 0.5162751 3.037152;-0.3615903 0.2547453 3.027325;-0.38259 -0.04186989 2.935097;-0.3690056 -0.138987 2.916132;0.06218383 0.5190643 3.053391;0.1479263 0.2311506 3.039399;0.1807647 -0.03675319 2.968699;0.1654832 -0.1458638 2.922763;-0.1862131 0.1198585 2.969873;-0.2304271 -0.4424337 2.977142;-0.2684828 -0.8223254 2.950743;-0.3085089 -0.8793008 2.857238;-0.02656609 0.1208831 2.977202;0.04306836 -0.4416046 3.001907;0.06645147 -0.7922297 2.998717;0.09973437 -0.8733109 2.914741;0
-0.1070179 0.1988536 2.988612;-0.1098707 0.2612116 3.048378;-0.1106464 0.6322097 3.05777;-0.1365181 0.8058822 2.98096;-0.2921702 0.5162752 3.037151;-0.3615944 0.2547318 3.027319;-0.3823128 -0.04064352 2.935348;-0.3690262 -0.1389468 2.915989;0.0621414 0.5191157 3.053414;0.1479176 0.2312241 3.039406;0.1807807 -0.03640239 2.968444;0.1652515 -0.1458937 2.922715;-0.1862126 0.1198577 2.969874;-0.2303447 -0.4424624 2.977171;-0.2683253 -0.8223625 2.951195;-0.3083556 -0.8793725 2.85744;-0.02657887 0.1208923 2.977195;0.04259555 -0.4409703 3.001487;0.06644994 -0.7920625 2.998653;0.09972116 -0.8733484 2.914779;0
-0.1070221 0.1988533 2.988609;-0.1098772 0.2612149 3.048373;-0.1106632 0.6322877 3.057712;-0.1363672 0.806358 2.981318;-0.2921699 0.5162753 3.037151;-0.3615923 0.2547145 3.027309;-0.3821086 -0.03989023 2.935471;-0.3690482 -0.1389075 2.915814;0.06207566 0.5192039 3.053435;0.147903 0.2313105 3.039411;0.180792 -0.03613678 2.968175;0.1651722 -0.1458803 2.922653;-0.1862134 0.1198569 2.969875;-0.2302777 -0.4424076 2.97718;-0.2681727 -0.8223979 2.95163;-0.3082408 -0.8794237 2.857598;-0.02659778 0.1209051 2.977186;0.04213673 -0.4404353 3.001115;0.06644581 -0.7919579 2.998592;0.09972072 -0.8734419 2.914839;0
-0.1070329 0.1988458 2.988601;-0.1098871 0.2612144 3.048365;-0.1106801 0.6323558 3.057634;-0.1362058 0.8067974 2.981673;-0.2921703 0.5162724 3.03715;-0.3615928 0.2546879 3.027299;-0.3819534 -0.03939556 2.935549;-0.3690753 -0.1388645 2.915645;0.06201167 0.5192873 3.053455;0.1478875 0.2314042 3.039412;0.1802525 -0.02803834 2.969483;0.1663606 -0.141004 2.924369;-0.1862201 0.1198477 2.969874;-0.2302233 -0.4423056 2.977183;-0.2681317 -0.8216589 2.952046;-0.3081601 -0.8794636 2.857708;-0.02662325 0.1209132 2.977173;0.04178443 -0.440149 3.000851;0.0664294 -0.7918512 2.998536;0.09972694 -0.8735319 2.914902;0
-0.107047 0.198838 2.988589;-0.1098991 0.2612152 3.048352;-0.1106951 0.6324316 3.057535;-0.1360653 0.8071891 2.982;-0.292172 0.5162665 3.037149;-0.3615938 0.2546581 3.027287;-0.381834 -0.03904266 2.935612;-0.3691016 -0.1388237 2.915482;0.0619388 0.5193787 3.053466;0.1478727 0.2314899 3.039403;0.1798389 -0.02157685 2.970508;0.1676899 -0.1364355 2.926017;-0.1862291 0.1198373 2.969871;-0.2301763 -0.4421398 2.977167;-0.2680796 -0.8210707 2.952223;-0.3081006 -0.8794926 2.857791;-0.02665741 0.1209262 2.977155;0.0414666 -0.4399368 3.000625;0.06642406 -0.7918157 2.998508;0.09973685 -0.8736231 2.914963;0
-0.1070665 0.1988291 2.98857;-0.109918 0.2612208 3.048329;-0.1107497 0.6325575 3.057289;-0.1360383 0.8076265 2.982117;-0.292173 0.5162599 3.037147;-0.3615976 0.254638 3.027276;-0.3817397 -0.03877147 2.935664;-0.3691286 -0.1387838 2.91532;0.06185178 0.5194781 3.053464;0.1478553 0.2315803 3.039389;0.1795454 -0.0166797 2.971366;0.1688546 -0.1324696 2.927486;-0.1862391 0.1198266 2.969868;-0.2301412 -0.4418921 2.977133;-0.2680359 -0.8208159 2.952374;-0.3080583 -0.8795146 2.857851;-0.02670368 0.1209453 2.977128;0.04110082 -0.4395798 3.000375;0.06642862 -0.7917698 2.998496;0.09976123 -0.8737153 2.915082;0
