HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.08163679 0.2552348 3.02845;-0.08180785 0.3199307 3.088681;-0.07804748 0.7006993 3.096377;-0.09227773 0.8820522 3.054802;-0.2523754 0.5902319 3.080657;-0.3237231 0.3181837 3.069131;-0.3424503 0.09139363 3.007573;-0.3310465 -0.003554232 2.989069;0.07560998 0.5810544 3.083836;0.1247694 0.3204924 3.053087;0.1212048 0.09653768 2.976762;0.1210178 0.004152536 2.945899;-0.1560188 0.1846587 3.012541;-0.1798011 -0.3377442 3.066157;-0.2394952 -0.684933 3.041341;-0.2535865 -0.7503927 2.981215;-0.008425385 0.1805288 3.017565;-0.008255104 -0.333131 3.063011;0.04938459 -0.7079094 3.032307;0.1006598 -0.773349 2.997851;0
-0.08169151 0.255197 3.02848;-0.08166684 0.3199208 3.088718;-0.07800122 0.7008518 3.096419;-0.09225474 0.8823014 3.055007;-0.252734 0.5904299 3.081353;-0.3245739 0.3197905 3.069416;-0.3424742 0.09288259 3.008002;-0.331225 -0.001804501 2.989993;0.07485211 0.5813105 3.083478;0.1248631 0.3195319 3.053179;0.12189 0.09537472 2.977478;0.1227362 0.003592635 2.945998;-0.1560537 0.1846453 3.012596;-0.1795468 -0.3419076 3.066566;-0.2401351 -0.6890385 3.03931;-0.2573415 -0.7533153 2.975834;-0.008554673 0.1805122 3.017568;-0.009255832 -0.3331988 3.063138;0.04690641 -0.7025815 3.034328;0.09216041 -0.7616718 3.002535;0
-0.08169976 0.2551913 3.028485;-0.08164234 0.3199196 3.088724;-0.07800014 0.7008764 3.09642;-0.0922502 0.8823421 3.055043;-0.2528138 0.5904405 3.081485;-0.3247086 0.3200389 3.069459;-0.3424383 0.0931078 3.008156;-0.3311969 -0.001519502 2.99021;0.07461645 0.5813321 3.083325;0.1248774 0.3193793 3.053196;0.121995 0.09519023 2.977593;0.1231059 0.003444741 2.946197;-0.1560587 0.1846431 3.012605;-0.1795075 -0.3433527 3.066684;-0.2401238 -0.6899751 3.038827;-0.2587253 -0.7543775 2.973575;-0.00857421 0.1805097 3.017569;-0.009410278 -0.3332101 3.063158;0.0465005 -0.7015412 3.034617;0.08935013 -0.757294 3.003155;0
-0.08170699 0.2551873 3.028488;-0.08162497 0.3199191 3.088729;-0.07800338 0.7008965 3.096418;-0.09224672 0.8823724 3.05507;-0.2529536 0.5904407 3.081686;-0.3248208 0.3202478 3.069494;-0.3423733 0.09330703 3.008344;-0.3309251 -0.001174689 2.990403;0.07444816 0.5813812 3.083264;0.1248882 0.3192664 3.053211;0.1221059 0.09502257 2.977772;0.1233538 0.003288652 2.94664;-0.1560645 0.184641 3.012612;-0.1795568 -0.3450934 3.0668;-0.2400956 -0.6907527 3.038447;-0.2598537 -0.7553694 2.971574;-0.008589616 0.1805081 3.01757;-0.009524436 -0.333218 3.063172;0.04693051 -0.6975853 3.034955;0.08817166 -0.7533649 3.004011;0
-0.08171289 0.2551843 3.028492;-0.08161023 0.3199193 3.088733;-0.07802574 0.7009133 3.096406;-0.09224601 0.8823974 3.055092;-0.2531298 0.5904329 3.081922;-0.3249103 0.320411 3.069521;-0.342354 0.09346171 3.008532;-0.3305658 -0.0008528813 2.990763;0.07426518 0.5814088 3.083185;0.1248847 0.3191421 3.053237;0.1222294 0.09482532 2.977952;0.1235692 0.00306624 2.947108;-0.1560697 0.1846388 3.012619;-0.1796452 -0.346877 3.066926;-0.2400378 -0.6916246 3.038035;-0.2614594 -0.7567467 2.969912;-0.008601249 0.1805068 3.01757;-0.009608893 -0.3332416 3.063181;0.04692819 -0.6962094 3.035065;0.08740906 -0.7507878 3.004454;0
-0.0817193 0.2551807 3.028495;-0.08159966 0.3199183 3.088736;-0.07809362 0.7009156 3.096391;-0.09224071 0.8824072 3.055096;-0.2533214 0.5903825 3.082154;-0.3250012 0.3205871 3.069545;-0.3423266 0.09363887 3.008751;-0.3303271 -0.0005111044 2.991342;0.0739724 0.5813445 3.083061;0.1248766 0.319039 3.053263;0.1223132 0.09463882 2.978177;0.123652 0.002888967 2.947561;-0.1560747 0.1846361 3.012627;-0.1798011 -0.3500452 3.067225;-0.2400199 -0.6920567 3.037836;-0.262469 -0.7575445 2.968937;-0.00861112 0.180505 3.017571;-0.009662075 -0.3333013 3.063182;0.04756941 -0.6938734 3.03489;0.08694572 -0.7489926 3.004714;0
-0.08173301 0.2551761 3.028501;-0.08159357 0.3199171 3.088739;-0.07818825 0.7009148 3.096376;-0.09223934 0.8823891 3.05507;-0.2535091 0.5903263 3.08237;-0.325079 0.3207436 3.069562;-0.3423357 0.09381789 3.009034;-0.3303333 -0.0002104782 2.991824;0.0736888 0.5812777 3.082937;0.1248655 0.3189797 3.053298;0.1223594 0.09454309 2.978409;0.1236434 0.002840102 2.948007;-0.1560872 0.1846314 3.01264;-0.1800137 -0.3525139 3.067441;-0.2399947 -0.6924071 3.037693;-0.2632771 -0.7582108 2.968127;-0.008625083 0.180503 3.017573;-0.009692695 -0.3333783 3.063179;0.0481112 -0.6920729 3.034685;0.08718444 -0.7475154 3.004325;0
-0.0817867 0.2551518 3.028507;-0.08160578 0.319907 3.088743;-0.07832448 0.7009124 3.096347;-0.0922453 0.8823454 3.055009;-0.2536955 0.5902737 3.082577;-0.3251463 0.3208767 3.069575;-0.342462 0.09400596 3.0092;-0.3304307 0.0001019274 2.992225;0.07333166 0.5811688 3.082766;0.1248418 0.3189418 3.053355;0.1223936 0.09449196 2.978666;0.1235957 0.002856881 2.948456;-0.1561207 0.1846191 3.012659;-0.1802424 -0.3543688 3.067568;-0.2399574 -0.6926996 3.037582;-0.2639386 -0.7588226 2.967435;-0.008691942 0.1804769 3.017575;-0.009701305 -0.3335125 3.063188;0.04833029 -0.6912541 3.034639;0.0891109 -0.7465709 3.002413;0
-0.08185348 0.2551172 3.028515;-0.08162563 0.3198919 3.088747;-0.07849417 0.7009087 3.096307;-0.09225572 0.8822933 3.05493;-0.2538844 0.5902215 3.082769;-0.325207 0.3210099 3.069585;-0.342483 0.09417118 3.009358;-0.3304369 0.0003936733 2.992606;0.07294486 0.5810234 3.082556;0.1248021 0.3189204 3.053424;0.1223729 0.09447627 2.978919;0.1234829 0.002930753 2.948805;-0.1561622 0.1846015 3.012683;-0.1804459 -0.3557374 3.067653;-0.2399216 -0.6929199 3.037509;-0.2644464 -0.7593318 2.966887;-0.00877243 0.1804374 3.017575;-0.009698078 -0.3336916 3.063192;0.04851364 -0.6907059 3.034594;0.09149945 -0.7461918 3.000351;0
-0.08195727 0.255075 3.028521;-0.08166917 0.3198704 3.08875;-0.07866569 0.7009018 3.096266;-0.0922645 0.8822141 3.054825;-0.2540637 0.5901851 3.082921;-0.3252819 0.3212321 3.069568;-0.3426484 0.09448666 3.009726;-0.330515 0.0008483569 2.993115;0.07259233 0.5808882 3.082361;0.1247561 0.3189068 3.053499;0.1223126 0.09447847 2.979246;0.1233337 0.003036008 2.949157;-0.156256 0.1845627 3.012708;-0.1806581 -0.356771 3.067679;-0.2398801 -0.6931054 3.037465;-0.2649249 -0.7597713 2.966486;-0.00889627 0.1804001 3.017574;-0.00968438 -0.3338664 3.063194;0.0486274 -0.6904662 3.034579;0.09195834 -0.7457505 2.999814;0
-0.08210781 0.255028 3.028519;-0.08173259 0.3198451 3.088748;-0.07882432 0.7008883 3.09622;-0.09226539 0.8820027 3.054491;-0.2542405 0.5901466 3.083042;-0.3253623 0.321512 3.069521;-0.342585 0.09482726 3.010063;-0.3304657 0.001313338 2.993614;0.07218964 0.5807186 3.082094;0.124694 0.3189028 3.053579;0.1222352 0.09450089 2.979628;0.123153 0.003169916 2.949549;-0.1564143 0.1845071 3.012726;-0.1809552 -0.355654 3.066965;-0.239725 -0.6930073 3.037564;-0.2656052 -0.7602137 2.966833;-0.009099168 0.180377 3.017564;-0.009679189 -0.3339723 3.063175;0.04867372 -0.6898148 3.034697;0.09221659 -0.7453601 2.999444;0
-0.08230034 0.2550015 3.028523;-0.08183204 0.319831 3.088747;-0.07899831 0.7008765 3.096163;-0.09243874 0.8814534 3.053336;-0.2544406 0.5901138 3.083121;-0.3254455 0.3217995 3.06946;-0.3424718 0.09517598 3.010378;-0.3304403 0.00173763 2.993958;0.07188555 0.5806062 3.081859;0.1246199 0.3189097 3.053657;0.1221542 0.09454428 2.980064;0.1229303 0.003331346 2.950002;-0.1566298 0.1844468 3.012747;-0.181281 -0.355346 3.066514;-0.239617 -0.6930382 3.037575;-0.2661011 -0.7605959 2.96706;-0.009329971 0.1803796 3.01757;-0.00966825 -0.3340738 3.063147;0.04869723 -0.6895577 3.034766;0.09227545 -0.7450522 2.99923;0
-0.08258684 0.2549872 3.028527;-0.08203703 0.3198304 3.088737;-0.07931681 0.700839 3.095984;-0.0926447 0.8808387 3.051849;-0.254671 0.5901501 3.083127;-0.3256127 0.3221416 3.069347;-0.3432055 0.09586966 3.010303;-0.3309813 0.002484234 2.994047;0.07161965 0.5805122 3.081643;0.1245372 0.3189206 3.053731;0.1221107 0.09459493 2.980455;0.1225728 0.003524592 2.950434;-0.1569414 0.1843776 3.012766;-0.181628 -0.3552778 3.066098;-0.2394997 -0.6930233 3.037594;-0.2664436 -0.7609393 2.967266;-0.009660637 0.1804102 3.017598;-0.009654231 -0.3341576 3.063111;0.04868743 -0.6895492 3.034847;0.09217466 -0.7448943 2.998948;0
-0.08304536 0.2550024 3.02851;-0.08243256 0.3198629 3.088699;-0.07972493 0.7008327 3.095762;-0.09281862 0.8801712 3.049972;-0.2550157 0.5901746 3.082981;-0.3259088 0.3226269 3.069167;-0.3431843 0.09634793 3.010558;-0.330944 0.003096779 2.994114;0.07136639 0.5804337 3.081421;0.1244392 0.3189453 3.053802;0.1220667 0.09466971 2.980806;0.1220739 0.003719886 2.95115;-0.1574847 0.1843209 3.012757;-0.1827181 -0.3528876 3.064499;-0.2393202 -0.6928588 3.037665;-0.266665 -0.7610925 2.967493;-0.01012004 0.180471 3.017622;-0.009646672 -0.3342229 3.063036;0.0486426 -0.6898038 3.034884;0.09203834 -0.74489 2.998744;0
