HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.05951994 0.09278706 2.866096;-0.05975566 0.1558023 2.931143;-0.07197293 0.5459253 2.960403;-0.09132457 0.7281013 2.945549;-0.2331502 0.4050196 2.939761;-0.3225627 0.1545183 2.908636;-0.3730459 -0.05257776 2.823103;-0.3718559 -0.1262168 2.777878;0.08511373 0.4242437 2.933162;0.1851011 0.1836054 2.937583;0.2593504 -0.01556961 2.850286;0.2585308 -0.04169168 2.815907;-0.1292124 0.01871054 2.847634;-0.1924297 -0.458037 2.889999;-0.2168282 -0.8030195 2.879592;-0.2399556 -0.8789607 2.812347;0.01400631 0.02736138 2.851053;0.08507104 -0.4404104 2.871893;0.1448603 -0.7979395 2.915747;0.1470951 -0.8643579 2.873176;0
-0.05954679 0.09289766 2.866024;-0.05978644 0.1558553 2.931082;-0.07193382 0.5458902 2.960412;-0.09118915 0.7282366 2.945398;-0.2331896 0.4049758 2.939722;-0.3227102 0.1549003 2.908394;-0.3729419 -0.0522741 2.823322;-0.3761817 -0.1414155 2.773775;0.08547416 0.424228 2.933239;0.1850731 0.1836777 2.937583;0.2590296 -0.01579344 2.851207;0.2598489 -0.05071586 2.813269;-0.1293162 0.01876247 2.847489;-0.1925174 -0.4580317 2.889982;-0.2170343 -0.8031593 2.878951;-0.2394838 -0.8788524 2.810769;0.01401921 0.02740613 2.850985;0.0850302 -0.4402595 2.871774;0.1446021 -0.7978856 2.915599;0.1484149 -0.8663133 2.873306;0
-0.05955128 0.09291475 2.866013;-0.05979112 0.1558634 2.931073;-0.0719279 0.5458849 2.960413;-0.09116618 0.7282624 2.945375;-0.2332017 0.4049685 2.93972;-0.322743 0.1550018 2.908364;-0.3729089 -0.05218066 2.823373;-0.3769062 -0.1439686 2.773175;0.08552983 0.424226 2.933251;0.1850688 0.1836898 2.937584;0.258974 -0.01582412 2.851368;0.266958 -0.07269267 2.805513;-0.1293343 0.01877022 2.847468;-0.1925317 -0.4580305 2.88998;-0.2170697 -0.8031869 2.87886;-0.2393919 -0.8788213 2.810457;0.01402111 0.02741288 2.850975;0.08502339 -0.4402339 2.871756;0.1445586 -0.7978767 2.915563;0.1486389 -0.8666488 2.873319;0
-0.05955574 0.09293253 2.866005;-0.05979464 0.1558719 2.931066;-0.07192311 0.5458807 2.960413;-0.09114651 0.7282928 2.945361;-0.2332105 0.4049666 2.939721;-0.3227776 0.1551202 2.90834;-0.3728681 -0.05206399 2.823423;-0.377445 -0.1461032 2.772658;0.08557251 0.4242248 2.933259;0.1850649 0.1836998 2.937584;0.2589283 -0.01584262 2.8515;0.2675346 -0.07434196 2.805186;-0.1293509 0.01878224 2.847452;-0.1925436 -0.4580281 2.889977;-0.2171123 -0.8032264 2.878821;-0.239323 -0.8788041 2.810231;0.01402224 0.02741986 2.850967;0.0850188 -0.4402161 2.871743;0.1444274 -0.7982026 2.915389;0.149494 -0.8698781 2.865927;0
-0.05955992 0.09294786 2.866001;-0.05979773 0.1558789 2.93106;-0.07191971 0.5458775 2.960414;-0.09112568 0.7283272 2.945359;-0.2332199 0.4049674 2.939726;-0.3228041 0.1553403 2.908339;-0.3727552 -0.05182835 2.823603;-0.3778178 -0.1474862 2.772348;0.08560992 0.4242255 2.933269;0.185057 0.1837189 2.937586;0.2588765 -0.01582825 2.85167;0.2670497 -0.07187096 2.806475;-0.1293665 0.0187932 2.847442;-0.1925557 -0.4580225 2.889973;-0.2171489 -0.8032906 2.878815;-0.2392685 -0.8787918 2.810055;0.01402297 0.02742564 2.850962;0.08501352 -0.4401835 2.87174;0.1443016 -0.7984055 2.915214;0.1498719 -0.8707302 2.864668;0
-0.05956492 0.09296448 2.865999;-0.05980105 0.1558863 2.931057;-0.07191719 0.5458745 2.960415;-0.09110173 0.7283669 2.945373;-0.2332288 0.4049698 2.939732;-0.3228343 0.1555877 2.908345;-0.3726247 -0.05154941 2.823809;-0.3780325 -0.1484007 2.772234;0.08564959 0.4242248 2.933282;0.1850484 0.183738 2.937586;0.2588323 -0.01579671 2.851856;0.2661911 -0.06814104 2.808168;-0.1293829 0.01880597 2.847434;-0.1925657 -0.4580179 2.88997;-0.2171917 -0.8033832 2.878863;-0.2392309 -0.8787867 2.809937;0.01402323 0.0274318 2.85096;0.08501638 -0.4400986 2.87175;0.1441631 -0.7985849 2.914962;0.1501508 -0.8713308 2.863778;0
-0.05957206 0.09298022 2.866002;-0.0598064 0.1558937 2.931058;-0.07191265 0.5458732 2.960425;-0.09107106 0.7284066 2.945401;-0.2332383 0.4049741 2.939743;-0.3228531 0.1559456 2.908391;-0.3724377 -0.05111758 2.82408;-0.3781583 -0.149057 2.772189;0.08571311 0.424228 2.933324;0.185038 0.1837583 2.937585;0.2587955 -0.01574453 2.852055;0.2652158 -0.06412026 2.80988;-0.1294067 0.01881742 2.847434;-0.1925832 -0.4580356 2.889974;-0.2172577 -0.8035874 2.878928;-0.2391794 -0.8788131 2.809857;0.0140224 0.0274371 2.85096;0.08501949 -0.4400385 2.871775;0.1440027 -0.7987888 2.914609;0.1505474 -0.871964 2.862844;0
-0.05958027 0.09299763 2.86601;-0.05981254 0.1559023 2.931064;-0.07190636 0.5458733 2.960454;-0.09093323 0.728623 2.945675;-0.2332499 0.4049872 2.939773;-0.3228599 0.1564185 2.908488;-0.3722214 -0.05052302 2.824412;-0.3781952 -0.1494625 2.772224;0.08579722 0.4242292 2.933388;0.1850266 0.1837796 2.937584;0.2587443 -0.01568406 2.852395;0.2636339 -0.05788311 2.813675;-0.1294324 0.01882986 2.847439;-0.1925958 -0.4580769 2.889989;-0.2173278 -0.8037708 2.878983;-0.2391311 -0.878868 2.809835;0.0140215 0.02744225 2.850964;0.08502369 -0.4399704 2.871814;0.1438681 -0.7988862 2.914313;0.1508043 -0.8723128 2.862308;0
-0.05958978 0.09301763 2.866024;-0.05982313 0.1559143 2.931074;-0.07190095 0.5458779 2.960485;-0.09071172 0.7289181 2.946039;-0.2332634 0.4050047 2.939813;-0.3228351 0.1569757 2.908638;-0.3719809 -0.04979016 2.824783;-0.3781657 -0.1496581 2.772332;0.08594809 0.4242987 2.933579;0.184996 0.1838235 2.93758;0.2586801 -0.01556552 2.852802;0.2623138 -0.05247111 2.816968;-0.1294588 0.01884205 2.847447;-0.1926043 -0.4581266 2.890002;-0.2173915 -0.8039507 2.879033;-0.239085 -0.8789276 2.809829;0.0140205 0.02744994 2.850974;0.08502237 -0.439647 2.871881;0.1437282 -0.7989141 2.914042;0.1510676 -0.8725748 2.862087;0
-0.05959817 0.09303964 2.866042;-0.0598313 0.1559249 2.931092;-0.07185164 0.5459023 2.960681;-0.09042029 0.7292394 2.946476;-0.2332855 0.4050296 2.939883;-0.3228139 0.1575365 2.908803;-0.3717517 -0.04904454 2.825229;-0.3781018 -0.1497041 2.772597;0.08608808 0.4243637 2.933791;0.1849394 0.1839036 2.937573;0.2586018 -0.01537381 2.853452;0.2605415 -0.045697 2.821694;-0.1294845 0.01885775 2.847462;-0.1926138 -0.458186 2.890016;-0.2174499 -0.8041182 2.879082;-0.2390421 -0.8789692 2.809823;0.01402019 0.02745767 2.850984;0.08502965 -0.4391583 2.87198;0.1436016 -0.798896 2.913785;0.151468 -0.8727245 2.862683;0
