HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.04825161 0.2529504 2.998369;-0.04432913 0.3172587 3.057599;-0.04536064 0.6942262 3.063695;-0.04317222 0.8667824 3.012541;-0.2177277 0.5818329 3.062857;-0.2765625 0.3414419 3.044632;-0.2693128 0.1148769 2.966249;-0.261301 0.02466734 2.940443;0.107013 0.5734381 3.039524;0.1613372 0.3169697 3.017724;0.1614092 0.1115817 2.934536;0.1538594 0.01966143 2.915519;-0.1217898 0.1828654 2.987844;-0.1394228 -0.3411891 3.046411;-0.1731801 -0.675546 3.023229;-0.201254 -0.7591476 2.949567;0.02434351 0.1790878 2.982992;0.02192641 -0.338768 3.040709;0.06907375 -0.6862668 3.02782;0.1274199 -0.7607958 2.961946;0
-0.04820285 0.2530581 2.998418;-0.0442984 0.3173465 3.057611;-0.04537386 0.6942368 3.063629;-0.04316003 0.8669344 3.012575;-0.2180744 0.5815626 3.06287;-0.2769699 0.3372377 3.042807;-0.2687328 0.1102262 2.961798;-0.2608283 0.02065739 2.93819;0.1072111 0.5734867 3.039548;0.1608853 0.3186547 3.017632;0.1554985 0.09618413 2.933752;0.150152 0.002405175 2.912479;-0.1218085 0.1828462 2.987906;-0.1391183 -0.341355 3.046175;-0.1721926 -0.6761132 3.023475;-0.2007362 -0.7583901 2.950962;0.02451263 0.1791662 2.98304;0.0217048 -0.338846 3.040884;0.06836308 -0.6848962 3.028293;0.1163177 -0.7524059 2.974889;0
-0.04819543 0.2530768 2.998426;-0.04429414 0.3173612 3.057613;-0.04537603 0.6942384 3.063619;-0.04315816 0.8669574 3.01258;-0.2181303 0.5815206 3.062874;-0.2770714 0.3360663 3.042353;-0.2686315 0.109375 2.961001;-0.2607518 0.01999161 2.937809;0.1072677 0.5735171 3.039567;0.1608179 0.3189081 3.017619;0.1542958 0.09293937 2.933561;0.1494299 -0.001249297 2.911797;-0.1218115 0.1828433 2.987915;-0.1390644 -0.3413871 3.046139;-0.172035 -0.6761925 3.023564;-0.2006602 -0.7582514 2.95118;0.02453975 0.1791798 2.983047;0.02167291 -0.3388561 3.04091;0.06811388 -0.6843833 3.028353;0.1120256 -0.7484364 2.979708;0
-0.04819063 0.2530906 2.998434;-0.04429147 0.3173722 3.057615;-0.04537852 0.6942381 3.06361;-0.04315747 0.8670019 3.012592;-0.2181745 0.5814883 3.062879;-0.277131 0.3354309 3.042113;-0.2685781 0.1088453 2.960463;-0.2606928 0.01949494 2.937522;0.1073129 0.5735394 3.039583;0.1607676 0.3190967 3.017606;0.1534855 0.09072277 2.933433;0.1489603 -0.003884999 2.91132;-0.121816 0.18284 2.987924;-0.1390135 -0.3414297 3.046116;-0.1718867 -0.6762648 3.023686;-0.2005907 -0.7581034 2.951353;0.02455927 0.1791891 2.983053;0.02164853 -0.338864 3.040929;0.06785773 -0.6839235 3.028401;0.1103527 -0.7468031 2.981915;0
-0.04818755 0.2531039 2.998439;-0.04429126 0.3173828 3.057617;-0.04538211 0.6942367 3.0636;-0.04315598 0.8672792 3.012659;-0.2182105 0.5814619 3.06288;-0.277166 0.3348932 3.04191;-0.2685378 0.1084532 2.960057;-0.2606491 0.01912871 2.937309;0.1073935 0.5736012 3.039627;0.1607307 0.3192354 3.017594;0.1529035 0.08910105 2.933341;0.1486189 -0.005772068 2.910973;-0.1218202 0.1828374 2.98793;-0.1389621 -0.3414739 3.046097;-0.1717724 -0.6763009 3.023844;-0.2005311 -0.757944 2.951488;0.02457579 0.1791994 2.983059;0.02162983 -0.3388701 3.040945;0.06740668 -0.6835186 3.028576;0.1092339 -0.7456757 2.983413;0
-0.04818547 0.2531148 2.998444;-0.0442925 0.3173925 3.057618;-0.04539085 0.6942393 3.063583;-0.0431688 0.8676181 3.012762;-0.2182338 0.5814435 3.062879;-0.2771852 0.3344211 3.041744;-0.2685055 0.1081539 2.959754;-0.2606162 0.01885255 2.937148;0.107474 0.5736658 3.039675;0.1607026 0.3193219 3.017571;0.1525096 0.08799664 2.933285;0.1483769 -0.007121863 2.910705;-0.1218234 0.1828353 2.987935;-0.1388966 -0.3415225 3.046066;-0.1716968 -0.6763542 3.023976;-0.2004712 -0.7577451 2.951657;0.02458884 0.1792084 2.983065;0.0216157 -0.3388749 3.040956;0.06700976 -0.6831577 3.028723;0.1092145 -0.7453172 2.98385;0
-0.04818443 0.2531243 2.998448;-0.0442953 0.3174014 3.05762;-0.04540005 0.6942438 3.063564;-0.04316832 0.8679661 3.012853;-0.2182515 0.5814283 3.062873;-0.2771807 0.3336096 3.041453;-0.2684826 0.10793 2.959528;-0.2605796 0.01862979 2.937002;0.1075522 0.5737302 3.039721;0.1606822 0.3193789 3.017547;0.152269 0.08726705 2.933247;0.1481983 -0.0081216 2.910485;-0.1218274 0.182833 2.987939;-0.1388234 -0.3415546 3.046031;-0.171616 -0.6763832 3.02418;-0.2003841 -0.7574681 2.951925;0.0245991 0.1792163 2.98307;0.02160514 -0.3388783 3.040965;0.06662869 -0.6828412 3.028862;0.1101217 -0.7456736 2.983028;0
-0.04818459 0.2531316 2.998451;-0.04430001 0.3174109 3.057621;-0.04542057 0.6942826 3.063519;-0.04316719 0.8682976 3.012943;-0.2182641 0.5814164 3.062867;-0.2771596 0.3329354 3.041196;-0.2684627 0.107762 2.959358;-0.2605206 0.01843982 2.93685;0.1076133 0.5737807 3.03976;0.1606683 0.3194115 3.017521;0.1521932 0.08705033 2.933357;0.1480691 -0.008858275 2.910317;-0.1218316 0.1828307 2.987942;-0.1387445 -0.3415734 3.045992;-0.1715008 -0.6764168 3.024377;-0.2002991 -0.757173 2.952216;0.02460571 0.1792217 2.983073;0.02160845 -0.3388609 3.040966;0.06633691 -0.6825755 3.028939;0.1113995 -0.7463964 2.981491;0
-0.04818659 0.2531391 2.998453;-0.04430827 0.3174226 3.057621;-0.04545269 0.6943368 3.063469;-0.04316825 0.8686371 3.013041;-0.2182732 0.5814137 3.062861;-0.2771341 0.3323355 3.040967;-0.2684639 0.1076125 2.959213;-0.260462 0.01829498 2.936719;0.1076699 0.5738277 3.039796;0.1606667 0.3194062 3.017484;0.1522259 0.08712989 2.933517;0.1479728 -0.009406858 2.910197;-0.1218375 0.1828298 2.987944;-0.1386663 -0.3415889 3.045954;-0.1714009 -0.6764148 3.024551;-0.2002406 -0.7569588 2.952436;0.02461037 0.1792263 2.983076;0.02160897 -0.3388477 3.040972;0.06600662 -0.6823056 3.029006;0.1122672 -0.7471128 2.980335;0
-0.04818928 0.2531461 2.998456;-0.04431751 0.3174339 3.057622;-0.04548475 0.6943867 3.063426;-0.04318309 0.8689061 3.013109;-0.2182801 0.5814144 3.062851;-0.2771225 0.3320987 3.040838;-0.2684647 0.1074992 2.959103;-0.2603969 0.01817904 2.93659;0.1077091 0.5738661 3.039825;0.1606726 0.31938 3.017442;0.1522058 0.0870806 2.933595;0.1479042 -0.009812664 2.910094;-0.1218438 0.1828289 2.987946;-0.1385895 -0.3416016 3.045916;-0.1712898 -0.6763973 3.024726;-0.2001913 -0.7567634 2.952591;0.02461315 0.1792313 2.983078;0.0216176 -0.3388278 3.040989;0.06566866 -0.6820217 3.029068;0.1126236 -0.7476924 2.979684;0
-0.04819251 0.2531522 2.998458;-0.04432808 0.3174462 3.057623;-0.04551405 0.6944773 3.063361;-0.04319446 0.8691635 3.01317;-0.2182852 0.5814155 3.06284;-0.2771183 0.331901 3.040722;-0.2684251 0.1072954 2.958942;-0.2602943 0.01806341 2.936395;0.1077431 0.5739003 3.039851;0.160679 0.3193331 3.017395;0.1522574 0.08726486 2.933692;0.1478575 -0.01010395 2.910007;-0.1218509 0.1828275 2.987948;-0.1385153 -0.3416129 3.045879;-0.1711578 -0.6763523 3.024906;-0.2001448 -0.7565738 2.952727;0.02461468 0.1792359 2.983081;0.02162768 -0.338805 3.041008;0.06531773 -0.6817141 3.029129;0.1132605 -0.7486132 2.978612;0
-0.04820526 0.2531608 2.99846;-0.0443466 0.3174612 3.057624;-0.04554544 0.694568 3.0633;-0.04320752 0.8693954 3.013224;-0.2182949 0.5814383 3.062829;-0.277114 0.3317483 3.040628;-0.2683859 0.1071007 2.958792;-0.2601945 0.01797388 2.936222;0.1077632 0.5739183 3.039864;0.1606872 0.3192802 3.017337;0.1523434 0.08754552 2.933792;0.1478282 -0.01030687 2.909933;-0.1218696 0.1828252 2.987951;-0.138438 -0.3416367 3.045848;-0.1710857 -0.6764368 3.025103;-0.2001172 -0.7564331 2.952839;0.02460342 0.1792444 2.983082;0.02163357 -0.3387676 3.041034;0.06503659 -0.6815298 3.029099;0.1142538 -0.7499343 2.976908;0
-0.04821916 0.2531708 2.998462;-0.04437607 0.31748 3.057625;-0.04558135 0.6946517 3.063241;-0.04322163 0.8696105 3.013266;-0.2183261 0.5814357 3.062752;-0.2771101 0.331625 3.040547;-0.2683493 0.1069222 2.958651;-0.259979 0.01786245 2.935966;0.1077902 0.5739551 3.039887;0.160697 0.3192558 3.017289;0.1524778 0.0880573 2.93392;0.1478141 -0.0104276 2.909856;-0.1218897 0.1828221 2.987955;-0.1383567 -0.3416539 3.045815;-0.1710539 -0.676492 3.025311;-0.2000986 -0.7563112 2.952935;0.02459286 0.1792565 2.983082;0.02163855 -0.3387336 3.041058;0.06478546 -0.6813512 3.02911;0.1132926 -0.7499176 2.978288;0
-0.04823818 0.2531783 2.998462;-0.04440944 0.3174965 3.057625;-0.04562065 0.6947355 3.063189;-0.04323266 0.8697978 3.013296;-0.2183602 0.58143 3.062669;-0.2770726 0.3316599 3.040495;-0.2683107 0.1067562 2.958507;-0.2596753 0.01767007 2.935605;0.1078041 0.5739812 3.039899;0.1607069 0.3192271 3.017238;0.1527227 0.08889027 2.934151;0.1478174 -0.01048929 2.909787;-0.1219173 0.1828125 2.987959;-0.138268 -0.3416752 3.045783;-0.1710266 -0.6765217 3.025473;-0.2000947 -0.7562405 2.952985;0.02457445 0.1792702 2.983077;0.02164562 -0.3387044 3.041087;0.06459475 -0.6813791 3.029033;0.1152401 -0.7517313 2.976645;0
-0.04825819 0.2531855 2.998461;-0.04444461 0.3175146 3.057623;-0.04565221 0.694832 3.063116;-0.04323911 0.8699639 3.013325;-0.2183933 0.581413 3.062568;-0.2770416 0.3316625 3.040459;-0.2682646 0.1065969 2.958342;-0.259347 0.01740736 2.935184;0.1078148 0.5740043 3.039909;0.1607253 0.3191813 3.017174;0.1530359 0.0898523 2.934417;0.1478288 -0.01051165 2.909725;-0.1219481 0.1827988 2.987962;-0.1379935 -0.3426792 3.046026;-0.1726831 -0.6802103 3.023521;-0.2001716 -0.7563806 2.952601;0.02455309 0.1792876 2.983071;0.02165243 -0.3386757 3.041115;0.06392895 -0.6813581 3.029101;0.1139656 -0.7507959 2.978067;0
-0.04827915 0.253194 2.99846;-0.04448139 0.317535 3.05762;-0.04567887 0.6949373 3.063049;-0.04324294 0.8701129 3.013348;-0.2184281 0.5813794 3.062479;-0.2770067 0.3317016 3.040445;-0.268205 0.1065009 2.958187;-0.2589583 0.01700772 2.934603;0.1078346 0.5740391 3.039929;0.1607428 0.3191359 3.017112;0.153332 0.09076715 2.934667;0.1478447 -0.01052654 2.909664;-0.1219818 0.1827823 2.987963;-0.1377332 -0.3435767 3.046223;-0.1732107 -0.6809063 3.023263;-0.2002583 -0.7565272 2.9522;0.02452979 0.1793122 2.983059;0.02165357 -0.3386518 3.041148;0.06329226 -0.6813619 3.029176;0.1127031 -0.7495831 2.979625;0
-0.04831215 0.2532005 2.998452;-0.04453446 0.3175553 3.057609;-0.04573889 0.6950426 3.062963;-0.04324601 0.8702453 3.013368;-0.2184283 0.5813758 3.062397;-0.27697 0.3317169 3.040422;-0.2681922 0.10649 2.958068;-0.2587772 0.01683066 2.934289;0.1078467 0.5740631 3.039941;0.1607592 0.3191012 3.017061;0.1535888 0.09161963 2.934849;0.1478641 -0.01051752 2.909606;-0.1220193 0.1827643 2.987963;-0.137522 -0.3442897 3.046395;-0.1735654 -0.6813587 3.023122;-0.2002972 -0.7565913 2.951915;0.02448967 0.1793412 2.983041;0.02165083 -0.338633 3.041188;0.06265152 -0.6813985 3.029337;0.1114538 -0.7484396 2.981535;0
