HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.2087984 0.2177565 3.266073;-0.211244 0.2800135 3.318624;-0.2303157 0.6284072 3.305501;-0.2259605 0.8033983 3.21749;-0.3943892 0.519617 3.310486;-0.4571192 0.2586357 3.294893;-0.54399 0.04840796 3.267632;-0.5688378 0.003612167 3.25098;-0.05620439 0.5409292 3.30527;0.03124895 0.2885301 3.262928;0.1071961 0.0826914 3.188025;0.1271772 0.02452289 3.174892;-0.280932 0.137426 3.2549;-0.3354491 -0.3129521 3.300027;-0.3829706 -0.6627329 3.267927;-0.384192 -0.695346 3.194006;-0.1287489 0.1470166 3.257868;-0.08020683 -0.3200779 3.289331;-0.03734517 -0.6721318 3.284842;-0.007925339 -0.7454474 3.235909;0
-0.2087779 0.2177041 3.26619;-0.2111974 0.2799366 3.318757;-0.2300648 0.6285717 3.305975;-0.2265143 0.8038193 3.218424;-0.3943471 0.5195663 3.310595;-0.4580845 0.2582504 3.294792;-0.5446011 0.04784354 3.267668;-0.5693818 0.002464538 3.253962;-0.05620962 0.5409176 3.305317;0.03106482 0.2889181 3.26324;0.1069587 0.08257077 3.189911;0.1264217 0.02501448 3.177538;-0.2809169 0.1373826 3.254957;-0.3396015 -0.3370269 3.303495;-0.384385 -0.6727339 3.266509;-0.3913298 -0.7264887 3.21227;-0.1287538 0.1469769 3.25802;-0.08019984 -0.31986 3.289665;-0.0374341 -0.6720421 3.284872;-0.008066718 -0.7462683 3.235908;0
-0.2087683 0.2176783 3.266221;-0.2111851 0.2799117 3.318789;-0.2300194 0.6285946 3.306056;-0.2266398 0.8038763 3.218632;-0.3943409 0.5195583 3.310613;-0.458235 0.2581905 3.294778;-0.544696 0.04775589 3.267675;-0.5694723 0.002280217 3.254452;-0.05621073 0.5409093 3.305333;0.03103727 0.2889742 3.263293;0.1069477 0.08247849 3.190473;0.1262929 0.02507365 3.178015;-0.2809114 0.137365 3.254972;-0.3408055 -0.3376511 3.303993;-0.3844404 -0.6733911 3.266779;-0.3935348 -0.7362326 3.223045;-0.1287443 0.1469362 3.258072;-0.08019991 -0.3198326 3.289724;-0.03746252 -0.6720452 3.28487;-0.008229441 -0.7464108 3.236127;0
-0.2087577 0.2176204 3.266263;-0.2111683 0.2798574 3.318831;-0.2299372 0.6285577 3.306131;-0.2273845 0.8035873 3.219079;-0.3943267 0.5195345 3.31062;-0.4583487 0.2581457 3.294768;-0.5447624 0.04768756 3.267681;-0.5695356 0.00214917 3.254797;-0.05616822 0.5407169 3.305313;0.03101221 0.2888771 3.263389;0.107012 0.08206546 3.191302;0.1261478 0.02496788 3.178471;-0.2809084 0.1373314 3.254993;-0.3417567 -0.3368489 3.304074;-0.3846964 -0.6742489 3.266944;-0.3946281 -0.741248 3.228744;-0.1287403 0.1468294 3.258152;-0.08020187 -0.3198198 3.289778;-0.03749599 -0.6720964 3.284875;-0.008407502 -0.7465323 3.236404;0
-0.208745 0.2175305 3.266315;-0.2111433 0.2797689 3.318887;-0.2298252 0.6284727 3.306227;-0.2283677 0.8023671 3.219944;-0.3943129 0.5195116 3.310624;-0.458434 0.2581117 3.294761;-0.5448096 0.04763422 3.267681;-0.5695519 0.002080519 3.254906;-0.05612439 0.5404748 3.305253;0.03101637 0.2887088 3.263525;0.1070248 0.08127386 3.192768;0.1260167 0.02474522 3.178837;-0.2809059 0.1372861 3.255017;-0.3422388 -0.3380923 3.304319;-0.3850169 -0.6754135 3.26715;-0.3954318 -0.7449602 3.231818;-0.1287393 0.1466721 3.258245;-0.08020007 -0.3198073 3.28982;-0.03753904 -0.672163 3.284878;-0.008636117 -0.7465894 3.236846;0
-0.2087353 0.2174058 3.266387;-0.2111116 0.2796321 3.318969;-0.2296658 0.6282649 3.30638;-0.2304096 0.7950583 3.22212;-0.3942953 0.519475 3.310616;-0.4584992 0.2580879 3.294755;-0.544841 0.04759565 3.267678;-0.5694955 0.002060026 3.254711;-0.05608526 0.5399858 3.305065;0.03101585 0.2885019 3.263697;0.1069212 0.08044792 3.194274;0.1258413 0.02429655 3.179286;-0.2809078 0.1372224 3.255059;-0.3426018 -0.3390372 3.304481;-0.3852808 -0.676317 3.267345;-0.3959654 -0.7475508 3.233813;-0.1287489 0.1464715 3.25835;-0.08015817 -0.3212236 3.290764;-0.03760826 -0.6725798 3.284903;-0.008811487 -0.7467259 3.237155;0
-0.2087264 0.2172811 3.266453;-0.2110856 0.2794948 3.319047;-0.2295146 0.628052 3.306518;-0.2313857 0.792178 3.223329;-0.3942724 0.519473 3.3106;-0.4585505 0.258072 3.294753;-0.5448171 0.04755612 3.267616;-0.5682986 0.002633912 3.251276;-0.05604367 0.539446 3.304883;0.03095395 0.2879725 3.264038;0.1063308 0.07916442 3.195733;0.1256561 0.02376951 3.179656;-0.2809086 0.1371725 3.255091;-0.3428503 -0.339697 3.304555;-0.3849458 -0.6728815 3.26767;-0.3959475 -0.7487357 3.234621;-0.1287596 0.1462595 3.258451;-0.08012758 -0.3224635 3.291621;-0.03765601 -0.6729847 3.284909;-0.008964273 -0.7468565 3.23743;0
-0.2087176 0.2171584 3.266513;-0.2110663 0.2793648 3.319118;-0.2293987 0.627843 3.306601;-0.2317394 0.7889525 3.224385;-0.3942198 0.5194581 3.31054;-0.4585966 0.2580655 3.294754;-0.5442405 0.0473685 3.267144;-0.5654319 0.003606735 3.243752;-0.0560047 0.5389417 3.304722;0.03090921 0.2874375 3.264416;0.1057043 0.07794985 3.197081;0.1253547 0.02273715 3.180355;-0.2809076 0.1371233 3.255121;-0.343023 -0.3401395 3.304544;-0.3845143 -0.6699964 3.267812;-0.3950994 -0.7480988 3.233531;-0.1287694 0.1460558 3.258548;-0.08054634 -0.3188991 3.29206;-0.0376885 -0.6731125 3.284923;-0.009285194 -0.7464553 3.238542;0
-0.2087066 0.2170282 3.266575;-0.2110603 0.2792323 3.319188;-0.2292993 0.6276392 3.306662;-0.2315918 0.7864643 3.224935;-0.3940843 0.51949 3.310411;-0.4586332 0.2580654 3.294754;-0.5427325 0.04702793 3.265414;-0.5615971 0.004208662 3.23501;-0.05590598 0.5383945 3.30468;0.03081548 0.2868738 3.264819;0.1051477 0.07690045 3.198207;0.1250307 0.0216003 3.180962;-0.2809047 0.1370765 3.255148;-0.3431336 -0.3396795 3.304083;-0.3842815 -0.667759 3.267903;-0.3913008 -0.7411262 3.232605;-0.1287742 0.1457994 3.258683;-0.08060123 -0.3185599 3.292267;-0.03773629 -0.6733379 3.28486;-0.009370875 -0.7465054 3.238843;0
-0.2086954 0.2168995 3.266639;-0.2110613 0.2791037 3.319256;-0.2292114 0.6274412 3.306707;-0.2306357 0.7842645 3.225245;-0.3939289 0.5195733 3.310248;-0.4586551 0.2580893 3.294763;-0.5374922 0.04687344 3.257281;-0.5566395 0.003921138 3.225652;-0.05575408 0.5378271 3.304688;0.0307199 0.2862487 3.265283;0.104581 0.07583765 3.199323;0.1247269 0.02048331 3.181484;-0.2809016 0.1370313 3.255175;-0.3431388 -0.3392128 3.303504;-0.3840935 -0.6659815 3.267957;-0.3888681 -0.7366279 3.231841;-0.1287744 0.1455131 3.258855;-0.08063654 -0.3182982 3.292404;-0.03795061 -0.6734623 3.284685;-0.009437734 -0.7464667 3.238989;0
-0.2086673 0.2167598 3.26672;-0.2110711 0.2789748 3.319336;-0.2291103 0.6272915 3.306747;-0.229421 0.7829334 3.225571;-0.3934343 0.5198156 3.309742;-0.4586128 0.2583362 3.294818;-0.5226712 0.05083935 3.226852;-0.5440416 0.00406414 3.206991;-0.05555052 0.5374064 3.304827;0.0306509 0.2856413 3.265811;0.1040843 0.07495172 3.20024;0.1244313 0.01939663 3.181886;-0.2808904 0.1369882 3.255198;-0.3431619 -0.3393219 3.302781;-0.3844393 -0.6666992 3.267708;-0.3902618 -0.7383006 3.226026;-0.1287433 0.1451759 3.259169;-0.0805194 -0.3187842 3.29201;-0.0380437 -0.6738989 3.284235;-0.009502584 -0.7464532 3.239123;0
-0.2085908 0.2166241 3.266823;-0.2110762 0.2788557 3.319426;-0.2288759 0.6270873 3.306786;-0.2275749 0.7823177 3.225384;-0.3921978 0.5205222 3.308583;-0.45842 0.258984 3.294911;-0.5134134 0.0568134 3.203297;-0.5247096 0.007181693 3.173863;-0.05492559 0.5371886 3.305532;0.0306058 0.2849348 3.266392;0.1036706 0.07411021 3.200963;0.1239643 0.01826475 3.181927;-0.2808401 0.1369555 3.255206;-0.3427162 -0.3257586 3.294269;-0.384638 -0.666346 3.267421;-0.3899218 -0.7360019 3.224831;-0.1286137 0.1448035 3.2597;-0.07964427 -0.3196159 3.289646;-0.03812223 -0.6743835 3.283663;-0.009553139 -0.7464385 3.239206;0
-0.2083223 0.2164766 3.267017;-0.2109622 0.2787423 3.319566;-0.2272165 0.6266123 3.306699;-0.2230487 0.7821396 3.224213;-0.3906036 0.5213734 3.307092;-0.4580143 0.2602908 3.294854;-0.5070257 0.06273334 3.186644;-0.5099586 0.01641398 3.148744;-0.05365858 0.5370778 3.306632;0.03057201 0.2842015 3.267041;0.1032642 0.07338499 3.201454;0.123364 0.01725164 3.181013;-0.2807045 0.1369241 3.255199;-0.3425049 -0.318974 3.287422;-0.3848939 -0.6661716 3.266901;-0.3898937 -0.7350332 3.223441;-0.1281927 0.1443756 3.260607;-0.07839242 -0.3201923 3.285785;-0.03816918 -0.6748466 3.283077;-0.009592539 -0.7464142 3.239284;0
