HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.1479707 0.01498677 2.860982;0.1465827 0.07207034 2.921667;0.1513199 0.4297248 2.950549;0.1470249 0.6185886 2.939659;-0.00834863 0.3252151 2.942111;-0.06758583 0.09627141 2.935362;-0.06080205 -0.05555765 2.792474;-0.03880662 -0.1192569 2.701508;0.3150437 0.3280436 2.955788;0.3998646 0.1123734 2.912903;0.4044904 -0.09748078 2.731972;0.3806424 -0.1641313 2.697731;0.07463683 -0.05630215 2.841076;0.00148912 -0.523057 2.810799;-0.01412337 -0.8865862 2.827151;-0.05055596 -0.9581302 2.796009;0.2201634 -0.05502933 2.845772;0.2921646 -0.5197923 2.859172;0.3538779 -0.8910564 2.858792;0.3950964 -0.9443206 2.798704;0
0.1475973 0.01459076 2.861216;0.1464444 0.07182492 2.921843;0.1511824 0.4296434 2.950211;0.1460544 0.6183637 2.939143;-0.008875876 0.3254026 2.942747;-0.06765708 0.09640285 2.935487;-0.05232085 -0.04333816 2.765392;-0.03071914 -0.09790308 2.693502;0.3147323 0.3281205 2.955321;0.3993299 0.1142271 2.913301;0.4114129 -0.06334719 2.751462;0.3808486 -0.1297314 2.688814;0.07409935 -0.05681787 2.841409;0.001340905 -0.5228167 2.810552;-0.01435186 -0.8864908 2.827117;-0.04930525 -0.9574181 2.795699;0.2197448 -0.05557482 2.846104;0.2920842 -0.5199203 2.859363;0.3545703 -0.8922988 2.858701;0.3967938 -0.9458865 2.796355;0
0.1473852 0.01430008 2.861257;0.146359 0.07165834 2.921864;0.1509646 0.4295598 2.950024;0.1451451 0.6179579 2.938652;-0.00916656 0.3254455 2.94302;-0.0679357 0.09679055 2.93566;-0.05913002 -0.01529076 2.753026;-0.03177939 -0.06288449 2.676988;0.3136685 0.3268735 2.954183;0.3986879 0.1160038 2.91321;0.4069353 -0.0324465 2.753739;0.3729542 -0.09564668 2.6756;0.0739426 -0.05698391 2.841474;0.001255584 -0.5227886 2.810447;-0.01438717 -0.8864766 2.827112;-0.04910777 -0.9573032 2.795649;0.2194202 -0.05619134 2.846239;0.2920566 -0.5199467 2.85939;0.3546951 -0.8925004 2.858686;0.3970864 -0.946187 2.795892;0
0.1464958 0.01358377 2.861134;0.1458488 0.07122818 2.921727;0.1497593 0.4293775 2.949206;0.1430986 0.6174508 2.938014;-0.01043294 0.3254604 2.943753;-0.08435837 0.1244577 2.948002;-0.06491959 0.02189367 2.767435;-0.02771777 0.001550309 2.676279;0.3116031 0.3258568 2.952367;0.3976493 0.1185961 2.913101;0.3947304 0.009376508 2.753114;0.3489061 -0.04077008 2.666618;0.07313006 -0.0575644 2.841402;0.0006293444 -0.5227022 2.810109;-0.0144205 -0.8864614 2.827103;-0.04892963 -0.9571707 2.795564;0.2185118 -0.05715728 2.846302;0.2919005 -0.5199867 2.859322;0.3549113 -0.8926236 2.858618;0.397366 -0.9464837 2.795326;0
0.1428363 0.01083086 2.860537;0.1437144 0.06954039 2.921227;0.1467072 0.4291726 2.948058;0.1402386 0.6165323 2.937412;-0.0166856 0.3234101 2.946879;-0.09097926 0.1346558 2.951923;-0.03647692 0.07276717 2.728207;-0.02561052 0.07223222 2.683125;0.3072863 0.3250941 2.949018;0.3942396 0.1269843 2.912308;0.3731269 0.04551858 2.749801;0.2900626 0.006699575 2.641643;0.06862082 -0.0613225 2.840765;-0.0004335624 -0.5227626 2.809703;-0.01444922 -0.8864492 2.827096;-0.04877141 -0.9570239 2.795471;0.215517 -0.05955997 2.846064;0.2913832 -0.5200418 2.858796;0.355088 -0.8926886 2.858557;0.3975193 -0.9467015 2.794696;0
0.1348874 0.006162146 2.859165;0.1392967 0.06683015 2.920051;0.1359397 0.4307676 2.94539;0.1279713 0.6159483 2.937083;-0.03249897 0.3190273 2.955962;-0.1108741 0.1260439 2.93422;-0.02331438 0.1269498 2.715438;-0.02365286 0.1434978 2.70742;0.2910306 0.3237552 2.9353;0.3786437 0.1430743 2.88746;0.3132823 0.07277825 2.731851;0.2255467 0.06462073 2.64238;0.06080753 -0.06662799 2.840272;-0.001966865 -0.522679 2.809355;-0.01447277 -0.8864393 2.827093;-0.04864157 -0.9568952 2.7954;0.2080812 -0.06394463 2.844392;0.2903228 -0.5203911 2.857274;0.3553463 -0.8926952 2.858382;0.3975847 -0.9468822 2.79406;7
0.1269324 0.00111367 2.857908;0.1361198 0.06414462 2.918792;0.1271211 0.4320946 2.943208;0.1152919 0.6157376 2.936498;-0.05160906 0.3163596 2.969505;-0.1176314 0.125374 2.93092;-0.02136319 0.186967 2.717667;-0.03185857 0.1916568 2.731868;0.2586493 0.3197182 2.906442;0.3593851 0.1391205 2.85181;0.2372624 0.09650278 2.710277;0.1504476 0.1186314 2.650128;0.0543558 -0.07099332 2.840273;-0.004918536 -0.5226281 2.809601;-0.01449652 -0.8864338 2.8271;-0.0485162 -0.9568045 2.795481;0.1995807 -0.06908196 2.842411;0.288047 -0.5199271 2.852837;0.3556836 -0.8924962 2.858025;0.3971877 -0.9466217 2.794954;7
0.1194966 -0.002850383 2.856858;0.1317134 0.06159129 2.917327;0.1110002 0.4333234 2.938484;0.09826374 0.6149592 2.933511;-0.06124816 0.3150918 2.9764;-0.1213809 0.1240751 2.929236;-0.02967993 0.2127787 2.736342;-0.0292869 0.2236741 2.731767;0.2437238 0.3176965 2.892341;0.3351853 0.1312141 2.820625;0.176509 0.10997 2.691472;0.103115 0.139047 2.645455;0.04854295 -0.07424734 2.841013;-0.008811773 -0.5221385 2.810513;-0.01451875 -0.8864296 2.827114;-0.04836734 -0.9566954 2.795612;0.1913881 -0.07309745 2.84004;0.2849751 -0.5173213 2.844267;0.35611 -0.8918573 2.857284;0.396698 -0.9457946 2.796499;7
0.1135387 -0.005669701 2.855998;0.1279246 0.05964229 2.915843;0.09849233 0.4337047 2.934341;0.0826226 0.6143317 2.93128;-0.06663164 0.3142744 2.98022;-0.1204423 0.1183205 2.940865;-0.03446352 0.2279864 2.756633;-0.02905191 0.2418394 2.736367;0.2320559 0.3167539 2.879173;0.3010015 0.1270145 2.789674;0.1348168 0.1207709 2.679983;0.05843802 0.1516822 2.63815;0.04378852 -0.07663021 2.842564;-0.01263404 -0.5217138 2.811813;-0.01453911 -0.8864248 2.827132;-0.04820874 -0.9565902 2.795788;0.1833194 -0.07587432 2.83641;0.2824279 -0.51352 2.834119;0.3570555 -0.8905816 2.856265;0.3967495 -0.9450577 2.796775;7
0.1075471 -0.009017369 2.854892;0.1250613 0.05760309 2.914015;0.09110298 0.4340971 2.931889;0.06605755 0.6133457 2.92958;-0.07000978 0.31375 2.982523;-0.1088646 0.104719 2.971442;-0.03694032 0.2227078 2.788406;-0.02654575 0.2498165 2.745638;0.2060002 0.3149208 2.850694;0.2612717 0.1260585 2.755363;0.09430934 0.1232128 2.667119;0.01439519 0.1506823 2.625538;0.04001973 -0.07888823 2.844614;-0.0162225 -0.5211718 2.813241;-0.01455725 -0.8864207 2.827151;-0.04794038 -0.9563301 2.795669;0.1732321 -0.07800565 2.830803;0.2812568 -0.5105609 2.824994;0.3599441 -0.888054 2.854979;0.3970377 -0.9433035 2.798283;7
