HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.03781693 0.1542334 2.78046;-0.05319601 0.2205965 2.840079;-0.04326575 0.6095526 2.84912;-0.01821542 0.7991151 2.812285;-0.2049441 0.497937 2.800304;-0.2772746 0.2613379 2.713321;-0.1191011 0.4053749 2.588412;-0.07299314 0.4498239 2.563447;0.1213359 0.4956055 2.892187;0.1665808 0.2424726 2.857953;0.2011075 0.3287947 2.646914;0.201365 0.3934788 2.580096;-0.1103224 0.07891954 2.743042;-0.1533055 -0.4395323 2.701362;-0.1429845 -0.8234476 2.722224;-0.1738874 -0.884827 2.687478;0.03650362 0.0778704 2.790149;0.06369089 -0.440793 2.777482;0.06596312 -0.8112817 2.747068;0.1095037 -0.8690293 2.695448;0
-0.03786374 0.1540579 2.780571;-0.05452966 0.2204336 2.839806;-0.0441746 0.6089857 2.848953;-0.01800045 0.7988 2.811888;-0.2050717 0.4948461 2.792838;-0.2700499 0.2723444 2.692483;-0.1002727 0.4210977 2.587154;-0.07789531 0.4512766 2.568713;0.118858 0.4936545 2.892692;0.1621826 0.2426118 2.852704;0.1811616 0.3674566 2.668942;0.1822343 0.3974876 2.633301;-0.1101998 0.07884236 2.743068;-0.1537333 -0.4394496 2.700489;-0.1438239 -0.823692 2.721954;-0.1742887 -0.8848425 2.687425;0.0363151 0.0777332 2.790549;0.06453032 -0.4410414 2.773018;0.06605662 -0.8113682 2.747104;0.1089876 -0.8685549 2.695927;0
-0.03802253 0.1538278 2.780611;-0.05516788 0.2201651 2.839722;-0.04436053 0.6088388 2.848943;-0.01808459 0.7982929 2.811674;-0.2059612 0.492319 2.787045;-0.2674796 0.2715535 2.682057;-0.1025103 0.417699 2.588606;-0.07888088 0.4516165 2.570015;0.1149727 0.4906687 2.892503;0.1595453 0.2425983 2.850251;0.1675885 0.3907797 2.68148;0.1660502 0.404403 2.669907;-0.1102077 0.07878447 2.743059;-0.1539651 -0.4393497 2.69988;-0.1439638 -0.8237202 2.721908;-0.1743888 -0.8847501 2.687107;0.03586547 0.07740074 2.790794;0.06939677 -0.4390875 2.758327;0.0660703 -0.8113801 2.747105;0.1088909 -0.8684632 2.69601;0
-0.03928734 0.1516736 2.780525;-0.05720561 0.2184578 2.839309;-0.04509484 0.6084594 2.848593;-0.01820178 0.7977989 2.811536;-0.2073025 0.4896109 2.781545;-0.2657713 0.2714424 2.674933;-0.09709953 0.4215148 2.587179;-0.07958344 0.4518739 2.571005;0.1097795 0.4874255 2.892723;0.1510075 0.2362802 2.850718;0.1612984 0.3989662 2.687738;0.1582046 0.4063981 2.684799;-0.1107416 0.07730692 2.742642;-0.1548984 -0.4389574 2.697274;-0.1440651 -0.8237454 2.721876;-0.17509 -0.8848023 2.687235;0.03390584 0.07533716 2.791622;0.07599941 -0.438511 2.742452;0.0660913 -0.8114124 2.746965;0.1088136 -0.8683898 2.696079;0
-0.04159091 0.147407 2.780228;-0.06075644 0.2145626 2.838516;-0.04756308 0.6065204 2.847579;-0.01930567 0.7962798 2.811642;-0.2117952 0.4781898 2.771252;-0.2651308 0.2698391 2.66983;-0.09406606 0.4236571 2.586465;-0.08048522 0.4519919 2.572385;0.1026381 0.4816067 2.892107;0.1409286 0.2275644 2.851777;0.1569863 0.4035712 2.691576;0.1538875 0.4072993 2.693239;-0.1125454 0.07142698 2.740235;-0.1573456 -0.4383849 2.691647;-0.1441424 -0.8237683 2.721848;-0.1759704 -0.8847126 2.686877;0.03069727 0.07112366 2.793244;0.08243497 -0.4369514 2.728955;0.06622441 -0.811716 2.745973;0.1087515 -0.8683307 2.696137;0
-0.04437205 0.1419769 2.779509;-0.06465127 0.2093806 2.837277;-0.05226719 0.6014776 2.844713;-0.02655984 0.7900943 2.8099;-0.2160657 0.4597714 2.760385;-0.2657007 0.265974 2.667211;-0.09253913 0.4249118 2.586392;-0.08364917 0.4513612 2.576144;0.08963601 0.4603151 2.883843;0.1334192 0.2194318 2.853499;0.1525582 0.4036698 2.693955;0.1502457 0.4068708 2.697838;-0.1143619 0.06528707 2.737584;-0.1604704 -0.4377846 2.685523;-0.1442153 -0.8237759 2.721763;-0.1768439 -0.884605 2.686457;0.02722184 0.06616618 2.794714;0.08701293 -0.4358205 2.719377;0.0664772 -0.812076 2.744584;0.1087009 -0.8682866 2.69619;0
-0.04637001 0.1382917 2.778913;-0.06695434 0.2059158 2.836483;-0.05775208 0.5934669 2.840828;-0.03912429 0.7818756 2.806442;-0.2188711 0.4500276 2.755625;-0.2797978 0.2447677 2.683136;-0.1026219 0.4325021 2.59548;-0.09579863 0.4497087 2.586326;0.08253362 0.4457134 2.87452;0.1295493 0.2146363 2.853148;0.1489285 0.4007809 2.693546;0.1472911 0.4054805 2.697593;-0.1156509 0.06140588 2.73579;-0.1648692 -0.4366629 2.678881;-0.1442804 -0.8237796 2.721655;-0.1776653 -0.8844935 2.686038;0.02483529 0.06278194 2.795623;0.09008963 -0.4349781 2.712212;0.06674407 -0.8124767 2.743233;0.1086607 -0.8682546 2.69623;0
-0.04845255 0.1359966 2.778175;-0.0684068 0.2038123 2.83585;-0.06504656 0.5846077 2.834994;-0.06240562 0.7749515 2.80116;-0.2228532 0.4435697 2.754963;-0.295295 0.226964 2.706769;-0.1189757 0.4333869 2.605589;-0.1226938 0.4426069 2.602556;0.0751536 0.4369316 2.857806;0.1274175 0.210114 2.84864;0.1448741 0.3943951 2.688615;0.1413146 0.4087626 2.687323;-0.117012 0.05938441 2.73482;-0.1682139 -0.4359636 2.674507;-0.1444549 -0.82381 2.721415;-0.1784184 -0.8843653 2.685563;0.02258306 0.0608837 2.795627;0.0920027 -0.4342299 2.706475;0.06715088 -0.8128837 2.741;0.1086119 -0.8682258 2.696249;0
-0.05380859 0.133597 2.777126;-0.06885955 0.2023724 2.835383;-0.07344387 0.5802949 2.828742;-0.1174573 0.7741962 2.785645;-0.250958 0.441916 2.792155;-0.3197602 0.2249875 2.763097;-0.1468629 0.4345213 2.638207;-0.1261154 0.4741869 2.625462;0.05251765 0.4317089 2.806252;0.1469489 0.2322029 2.762194;0.1255957 0.4145646 2.631424;0.1057483 0.4647554 2.598898;-0.1249823 0.05847159 2.738971;-0.1718048 -0.4356877 2.673827;-0.1446785 -0.8238685 2.721177;-0.1792866 -0.8840706 2.684328;0.01570354 0.05893283 2.792203;0.09099673 -0.4326731 2.699871;0.06737902 -0.813312 2.738915;0.1086381 -0.8682435 2.696002;0
-0.06007607 0.1319416 2.776166;-0.06930151 0.201478 2.834992;-0.08658373 0.5815505 2.82147;-0.1541141 0.7755256 2.777265;-0.2707204 0.4425075 2.820891;-0.3319154 0.228245 2.798199;-0.1632623 0.4387319 2.661458;-0.1284494 0.4910795 2.639408;0.02927813 0.4414063 2.766932;0.1606165 0.2677095 2.674279;0.09140986 0.4564269 2.547359;0.06934562 0.50855 2.518076;-0.1341777 0.05784441 2.746358;-0.1773361 -0.4349649 2.681457;-0.1449992 -0.8238584 2.720978;-0.1800012 -0.8836756 2.683349;0.006982429 0.06013143 2.78546;0.0871725 -0.429922 2.694091;0.06737462 -0.8135244 2.736943;0.1077671 -0.8677662 2.696426;1
