HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.1185875 0.2057312 2.945345;-0.1257678 0.2695867 3.003321;-0.1298247 0.6407952 3.003804;-0.1429221 0.8271902 2.942176;-0.3117279 0.5256909 2.992488;-0.4075001 0.2521879 2.984391;-0.4434406 0.0004848491 2.923946;-0.4336267 -0.09692363 2.889778;0.03996712 0.5300963 3.029764;0.1302859 0.2509107 3.027727;0.1760169 0.01428206 2.952611;0.1870572 -0.08716344 2.926054;-0.1956876 0.1260954 2.922325;-0.231697 -0.4513867 2.934095;-0.2463595 -0.827221 2.87877;-0.2934014 -0.8780039 2.805012;-0.03742483 0.1280778 2.942145;0.01329975 -0.4439426 2.946056;0.05076722 -0.820941 2.934265;0.075447 -0.8791586 2.871004;0
-0.1185224 0.2057006 2.945534;-0.1256923 0.2694604 3.003546;-0.1298658 0.6409293 3.004885;-0.142714 0.8266883 2.942731;-0.3120711 0.5256872 2.992753;-0.4072734 0.2519081 2.984727;-0.4433756 -0.0001408213 2.923068;-0.4335328 -0.09736944 2.889583;0.04010833 0.5299551 3.029968;0.1302813 0.2511277 3.027863;0.1752005 0.01448187 2.952453;0.1868766 -0.08696607 2.925666;-0.195665 0.1260414 2.922453;-0.2316854 -0.4513789 2.934166;-0.2461845 -0.8271367 2.879279;-0.2933694 -0.8778955 2.805326;-0.03714018 0.1278723 2.942297;0.01377531 -0.4450213 2.946257;0.05096167 -0.8209783 2.933986;0.0763733 -0.8799707 2.869266;0
-0.1185122 0.2056956 2.945564;-0.1256807 0.2694408 3.003581;-0.1298726 0.6409509 3.005058;-0.1426784 0.8266089 2.942818;-0.3121243 0.5256868 2.992795;-0.4072398 0.2518572 2.98478;-0.4433595 -0.0003940759 2.922837;-0.4335194 -0.09744312 2.889556;0.04012997 0.5299349 3.030001;0.1302815 0.2511596 3.027884;0.1751261 0.01450556 2.952458;0.1868547 -0.08693847 2.925608;-0.1956612 0.1260325 2.922472;-0.2316826 -0.4513765 2.934177;-0.2461207 -0.8271539 2.879463;-0.293365 -0.8778795 2.805374;-0.03709568 0.1278401 2.942322;0.01385153 -0.4451904 2.946288;0.05099048 -0.8209847 2.933945;0.07651781 -0.8801075 2.86902;0
-0.1185044 0.2056918 2.945586;-0.1256714 0.2694259 3.003608;-0.1298789 0.6409684 3.005191;-0.1425957 0.8263722 2.942992;-0.3121955 0.5256788 2.992846;-0.4072054 0.2517775 2.984841;-0.4433608 -0.0008603436 2.922565;-0.4335122 -0.09755934 2.889563;0.04014802 0.5299188 3.030028;0.130282 0.2511817 3.0279;0.1752195 0.01442326 2.952398;0.1871109 -0.08884227 2.925031;-0.1956588 0.1260248 2.922486;-0.2316798 -0.4513736 2.934186;-0.2460756 -0.8271739 2.879622;-0.2933734 -0.8778718 2.805417;-0.03706009 0.1278141 2.942342;0.01391093 -0.4453147 2.946308;0.05101233 -0.820989 2.933913;0.0766058 -0.8802046 2.868881;0
-0.1184988 0.2056875 2.945604;-0.1256642 0.2694132 3.003631;-0.1298856 0.6409841 3.0053;-0.1425499 0.825553 2.943246;-0.3122731 0.5256553 2.992898;-0.4071807 0.2516842 2.984938;-0.443373 -0.001360477 2.922357;-0.4335094 -0.09769782 2.889589;0.04016034 0.5299051 3.030048;0.1302857 0.2511995 3.02791;0.1753604 0.01431598 2.952374;0.1874083 -0.09218821 2.924197;-0.1956583 0.1260151 2.922497;-0.2316681 -0.451346 2.934173;-0.2460282 -0.8272594 2.879872;-0.2933825 -0.8778664 2.80545;-0.0370327 0.1277903 2.942362;0.0140571 -0.4458293 2.946312;0.0510261 -0.8209985 2.93389;0.07674208 -0.8805565 2.868055;0
-0.1184946 0.2056845 2.945619;-0.1256591 0.2694036 3.003649;-0.1298924 0.6409968 3.005388;-0.1425858 0.8245676 2.943692;-0.31236 0.5256233 2.992944;-0.4071603 0.2515915 2.985046;-0.443373 -0.00199007 2.922103;-0.433499 -0.09789867 2.889602;0.04017105 0.5298918 3.03007;0.1302903 0.2512127 3.027917;0.1768622 0.01070207 2.951263;0.1884377 -0.1030314 2.921185;-0.1956586 0.1260062 2.922503;-0.2316527 -0.4513058 2.934149;-0.2460209 -0.826834 2.880648;-0.29339 -0.877861 2.805472;-0.03701046 0.1277713 2.942381;0.01415693 -0.4461127 2.946297;0.05103543 -0.8210077 2.933872;0.07677677 -0.8807407 2.867493;0
-0.1184915 0.205682 2.94563;-0.1256554 0.2693959 3.003665;-0.1299073 0.6410056 3.005463;-0.1426609 0.823168 2.944591;-0.31247 0.525583 2.992997;-0.4071469 0.2515222 2.985154;-0.4433865 -0.002348288 2.921848;-0.433509 -0.09804775 2.889606;0.0401792 0.5298811 3.030088;0.1302958 0.2512222 3.027921;0.1782178 0.008609701 2.950939;0.1890644 -0.1093344 2.919441;-0.1956598 0.1259975 2.922508;-0.2316369 -0.4512671 2.934124;-0.2459106 -0.8268243 2.881304;-0.2933993 -0.8778567 2.805487;-0.03699226 0.1277555 2.942398;0.01423381 -0.4463175 2.946277;0.05104615 -0.8210114 2.933861;0.07677163 -0.8808288 2.867217;0
-0.1184892 0.2056799 2.94564;-0.1256529 0.2693887 3.003681;-0.1299499 0.6410195 3.005565;-0.14273 0.8217344 2.945463;-0.3126283 0.5255244 2.993049;-0.4071398 0.2514612 2.985273;-0.4433942 -0.002597004 2.921653;-0.4335186 -0.09815767 2.889597;0.04018511 0.5298724 3.030105;0.1303013 0.2512293 3.027925;0.1805028 0.00432255 2.949723;0.1896715 -0.1154926 2.917745;-0.1956616 0.1259874 2.92251;-0.2316236 -0.4512111 2.934085;-0.245782 -0.8269043 2.881956;-0.2934107 -0.8778538 2.8055;-0.03697326 0.1277404 2.942418;0.01439596 -0.4471236 2.946349;0.05104734 -0.8210605 2.933843;0.07673064 -0.8812884 2.864698;0
-0.1184879 0.2056773 2.94565;-0.1256524 0.2693802 3.003699;-0.1300262 0.6410311 3.005693;-0.1428708 0.820254 2.946332;-0.3128296 0.5254458 2.993106;-0.4071347 0.251414 2.98538;-0.4433935 -0.002777282 2.921478;-0.433525 -0.09822594 2.889587;0.04018928 0.5298643 3.030121;0.1303073 0.2512348 3.027927;0.1817793 0.002203786 2.94896;0.1900346 -0.1198761 2.916461;-0.195666 0.125973 2.922511;-0.2316117 -0.4511524 2.934043;-0.2456803 -0.8270696 2.882594;-0.2934223 -0.8778518 2.805508;-0.03695555 0.127725 2.94244;0.01452391 -0.4472993 2.946363;0.051048 -0.8211009 2.93383;0.07662389 -0.8813919 2.864;0
-0.1184881 0.2056787 2.945664;-0.1256546 0.2693764 3.003722;-0.1301227 0.6410461 3.005834;-0.1431861 0.8194045 2.947085;-0.3130857 0.5253541 2.993174;-0.407133 0.2513589 2.985482;-0.4433753 -0.002911991 2.921308;-0.4332277 -0.09984586 2.889365;0.04019156 0.5298623 3.030138;0.1303129 0.2512396 3.027929;0.1822951 0.001073369 2.94841;0.1902344 -0.122224 2.915755;-0.1956719 0.125958 2.92251;-0.2315934 -0.4510818 2.933991;-0.2454975 -0.827464 2.883379;-0.2934511 -0.8778538 2.805541;-0.03693448 0.1277203 2.942472;0.0146632 -0.4473585 2.946335;0.05104194 -0.8211461 2.933821;0.0764045 -0.8813997 2.863737;0
