HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.09630259 0.2039503 3.0134;-0.1010926 0.2675979 3.073061;-0.100427 0.642469 3.079059;-0.1186327 0.8272907 3.011138;-0.2836662 0.5191374 3.051633;-0.3881679 0.2430255 3.054249;-0.4170186 -0.00656747 2.980052;-0.4170893 -0.1047456 2.959618;0.07314257 0.518318 3.079845;0.1856459 0.2837198 3.10711;0.2570179 0.06103343 3.042695;0.2834307 -0.05045965 3.008345;-0.1758394 0.1249075 2.992607;-0.2005694 -0.4380666 2.995557;-0.2248419 -0.8227547 2.963937;-0.2520747 -0.8623251 2.887262;-0.01527549 0.1245387 3.005334;0.02602152 -0.4492883 3.010696;0.05431153 -0.8060739 2.995357;0.08604009 -0.877539 2.921822;0
-0.09643494 0.2042627 3.013228;-0.1012319 0.2680126 3.07288;-0.1002759 0.6434252 3.078796;-0.1193855 0.8298264 3.010037;-0.2834966 0.5194699 3.051486;-0.3881818 0.2431865 3.053867;-0.4172445 -0.007860497 2.978786;-0.4167711 -0.1053379 2.958101;0.07365668 0.5192693 3.080091;0.1856905 0.2838396 3.10724;0.2574827 0.06043168 3.041988;0.2839523 -0.04761267 3.008237;-0.1760245 0.125123 2.992395;-0.2007687 -0.4378622 2.99529;-0.2248145 -0.8194461 2.963944;-0.2520123 -0.8622475 2.887319;-0.01542731 0.1248766 3.005232;0.02617913 -0.4491992 3.010613;0.05423011 -0.8060644 2.995224;0.08673257 -0.8778056 2.921025;0
-0.09645674 0.2043155 3.013198;-0.1012548 0.2680825 3.072847;-0.1002492 0.6435853 3.078744;-0.1195325 0.8303089 3.009809;-0.2834705 0.5195215 3.051463;-0.3881838 0.2432116 3.053808;-0.4172802 -0.008067489 2.978582;-0.4167137 -0.1054365 2.957851;0.07373957 0.5194237 3.080131;0.1856973 0.2838575 3.10726;0.2575559 0.06034055 3.041879;0.2840516 -0.04706956 3.008225;-0.1760549 0.1251595 2.99236;-0.2008558 -0.4385151 2.995273;-0.2248064 -0.8189788 2.963898;-0.2520004 -0.8622428 2.88733;-0.01545201 0.1249324 3.005214;0.02620311 -0.449183 3.0106;0.05422042 -0.8060706 2.995202;0.08685397 -0.8778491 2.920891;0
-0.09647441 0.2043655 3.013169;-0.1012723 0.2681474 3.072814;-0.1002161 0.6437336 3.078694;-0.1196267 0.8306516 3.009493;-0.2834507 0.519561 3.051445;-0.3880377 0.2433898 3.053761;-0.4173062 -0.008223474 2.978428;-0.4166584 -0.1055013 2.957641;0.07381444 0.5195428 3.080163;0.1857223 0.2838395 3.107282;0.2577061 0.06022096 3.041704;0.2845397 -0.04761147 3.007361;-0.176085 0.1251985 2.992316;-0.2009345 -0.4388576 2.99523;-0.2248135 -0.818357 2.963817;-0.2519905 -0.8622417 2.887341;-0.01547077 0.1249779 3.005199;0.0262215 -0.4491695 3.010591;0.05421742 -0.8060722 2.995187;0.08694348 -0.8778805 2.920778;0
-0.09648954 0.204407 3.01314;-0.1012862 0.2682018 3.072784;-0.1001854 0.6438639 3.078645;-0.1197045 0.830874 3.009153;-0.2834359 0.5195908 3.051432;-0.3879008 0.2435669 3.053704;-0.4173207 -0.008357752 2.978277;-0.4166091 -0.1055467 2.957478;0.07387222 0.5196334 3.080186;0.1857724 0.2837787 3.107302;0.2580197 0.06023986 3.041129;0.2850136 -0.04776904 3.004258;-0.1761124 0.1252315 2.992274;-0.200998 -0.4393067 2.995188;-0.2248892 -0.8181232 2.963573;-0.2519836 -0.8622717 2.88734;-0.01548623 0.1250141 3.005184;0.02624349 -0.4491212 3.010574;0.05423037 -0.8060483 2.995168;0.08701076 -0.8779042 2.92069;0
-0.09650526 0.2044531 3.013097;-0.1012968 0.268272 3.072727;-0.1001219 0.6440516 3.078455;-0.1196491 0.8312787 3.008673;-0.2834182 0.5196446 3.051423;-0.3874444 0.2441866 3.053592;-0.4173299 -0.008463114 2.978151;-0.4165578 -0.1055753 2.957349;0.07393561 0.5197515 3.080191;0.1858316 0.2837339 3.107294;0.2591709 0.0602134 3.038054;0.2862532 -0.04865474 2.993484;-0.1761401 0.1252658 2.992225;-0.2010571 -0.4397407 2.99515;-0.2250212 -0.818221 2.963281;-0.2519753 -0.8623233 2.887353;-0.0155022 0.1250513 3.00516;0.0262551 -0.4490839 3.010556;0.05426152 -0.8060089 2.99517;0.08705663 -0.8779166 2.920635;0
-0.09653027 0.2045183 3.013003;-0.1013087 0.2683575 3.072623;-0.1000757 0.6442227 3.078224;-0.1195706 0.8314567 3.008302;-0.2834031 0.519699 3.051416;-0.3872117 0.2443973 3.053436;-0.4173351 -0.008555892 2.978043;-0.4164938 -0.105597 2.957247;0.07402635 0.5198839 3.080149;0.1870537 0.2824037 3.105526;0.2625036 0.05872937 3.030691;0.2889603 -0.04831017 2.980453;-0.1761816 0.1253089 2.99214;-0.2011167 -0.440129 2.995116;-0.2251671 -0.8185518 2.962938;-0.2519676 -0.8623809 2.887367;-0.01552202 0.1251052 3.005064;0.02626335 -0.4489961 3.010527;0.05429392 -0.8058833 2.995192;0.08709088 -0.8779283 2.920595;0
-0.09655778 0.2045943 3.01284;-0.1013093 0.2684493 3.072468;-0.1000307 0.6443949 3.077992;-0.1194853 0.8316328 3.007841;-0.2833853 0.5197628 3.051406;-0.3870215 0.2445737 3.05329;-0.4173342 -0.008649207 2.977923;-0.4164094 -0.1056042 2.957163;0.07417381 0.5200803 3.079991;0.188271 0.2812579 3.10342;0.2661229 0.05697533 3.023229;0.2914134 -0.04679105 2.970602;-0.1762344 0.1253576 2.991982;-0.2011799 -0.4404588 2.99509;-0.2253011 -0.8190838 2.962623;-0.251961 -0.8624473 2.887384;-0.01554094 0.1251727 3.00486;0.02627203 -0.4489105 3.010488;0.0543236 -0.8057662 2.995206;0.08711125 -0.8779351 2.920567;0
-0.09660066 0.2046762 3.012588;-0.1013071 0.268542 3.072254;-0.09999042 0.6445596 3.077769;-0.1194225 0.8317618 3.007451;-0.283363 0.5198355 3.051382;-0.3868617 0.2446809 3.053094;-0.4173277 -0.008764236 2.977774;-0.4162289 -0.1056519 2.95707;0.07432134 0.5203727 3.07967;0.1895316 0.2804062 3.100673;0.2689069 0.05566759 3.017488;0.2932092 -0.04522118 2.963184;-0.1763069 0.1254086 2.991721;-0.2012489 -0.440912 2.995059;-0.225441 -0.8197414 2.962339;-0.2519543 -0.8625169 2.887402;-0.01558778 0.125265 3.004515;0.02627789 -0.4488116 3.010442;0.05435483 -0.8056759 2.995211;0.08712973 -0.8779479 2.920528;0
-0.09664973 0.2047813 3.012227;-0.1013043 0.2686546 3.071953;-0.09994884 0.6447466 3.077529;-0.1193677 0.8318953 3.007078;-0.2833353 0.5199365 3.051312;-0.386668 0.2448001 3.05287;-0.4173201 -0.008874244 2.977629;-0.4160323 -0.1056914 2.956975;0.07445488 0.5206887 3.079268;0.1906498 0.2797195 3.098075;0.2711802 0.05495822 3.012466;0.2944815 -0.04349198 2.957269;-0.1763896 0.1254709 2.991352;-0.2012999 -0.4415652 2.9951;-0.225563 -0.8203881 2.962038;-0.2519478 -0.8625916 2.887416;-0.01564518 0.1254121 3.004009;0.02627566 -0.4487078 3.010391;0.05433633 -0.8054323 2.995219;0.08715114 -0.8779609 2.920471;0
