HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.2409205 -0.02502974 2.999472;0.2706054 0.03822288 3.054554;0.2571353 0.4199114 3.08729;0.2195438 0.5814362 3.096644;0.1141777 0.2577654 3.108273;0.08011243 0.03235105 3.115878;0.049448 -0.1483724 2.974428;0.04103463 -0.1978846 2.933035;0.350934 0.3461583 2.983045;0.3857328 0.2293188 2.790301;0.2034163 0.2593082 2.762699;0.1266011 0.2847569 2.781968;0.1853394 -0.1083316 3.016639;0.1670545 -0.5010614 2.981251;0.1528687 -0.7533081 2.971768;0.09938291 -0.7933804 2.880225;0.2918797 -0.06855474 2.953258;0.3532102 -0.4911659 2.971236;0.3814526 -0.8318285 2.967928;0.3279668 -0.8719007 2.876385;0
0.2410518 -0.02398634 2.999015;0.2730851 0.03934081 3.052514;0.2571114 0.420086 3.086904;0.2196928 0.5818046 3.096212;0.1215412 0.2784738 3.123675;0.08223079 0.04287921 3.115443;0.05025882 -0.1495857 2.97502;0.04065224 -0.1991697 2.932355;0.3534957 0.3391033 2.97552;0.3690559 0.2494575 2.782349;0.1883682 0.2868778 2.776605;0.1127927 0.3126355 2.81095;0.1860943 -0.1019548 3.017785;0.1664622 -0.5000109 2.981094;0.1530108 -0.7704781 2.967456;0.09877695 -0.808196 2.884896;0.2918899 -0.06876478 2.952361;0.3533443 -0.4903915 2.969939;0.3825336 -0.8287101 2.97247;0.3282997 -0.8664281 2.88991;0
0.2410725 -0.02381524 2.998942;0.2736541 0.03960582 3.052052;0.257181 0.4206121 3.086909;0.2197307 0.5818818 3.09616;0.1248323 0.2877051 3.132301;0.08311721 0.04567789 3.116478;0.05047374 -0.1497378 2.975211;0.04059863 -0.1992869 2.93237;0.3500203 0.3249227 2.970255;0.319647 0.2827395 2.770231;0.1468051 0.3306986 2.833065;0.08309393 0.350392 2.86726;0.1864588 -0.09961046 3.018301;0.1661917 -0.4971834 2.980911;0.1537097 -0.7683685 2.967839;0.09955563 -0.8024291 2.891642;0.2917609 -0.06905297 2.951977;0.3533171 -0.4898115 2.969248;0.3827171 -0.8282281 2.97316;0.3284995 -0.8648563 2.894295;0
0.2410911 -0.02367924 2.998891;0.2742345 0.04000033 3.051621;0.2579207 0.4316714 3.087331;0.2197141 0.582745 3.0961;0.1266789 0.2952344 3.137928;0.08563253 0.05024345 3.119038;0.05125683 -0.1493483 2.976565;0.04114983 -0.1989361 2.934673;0.3473811 0.3165632 2.966922;0.2674459 0.3123031 2.767916;0.1058489 0.3547773 2.857337;0.06308164 0.3753639 2.91954;0.1875659 -0.09483451 3.018394;0.1659474 -0.4946476 2.980797;0.15438 -0.7643341 2.968587;0.09924257 -0.7978919 2.895495;0.2916139 -0.06938081 2.951703;0.3532064 -0.4883032 2.967737;0.3848547 -0.7954885 2.97534;0.3283858 -0.8312641 2.902307;7
0.2412232 -0.02366021 2.998198;0.2750731 0.04097308 3.049931;0.2549078 0.4481516 3.077795;0.2195608 0.5928181 3.094891;0.1266734 0.3028295 3.13923;0.08882239 0.05535884 3.121598;0.05241412 -0.1489338 2.978744;0.04299657 -0.1992858 2.940315;0.3412918 0.3124309 2.959138;0.2130249 0.3428797 2.769473;0.06858007 0.3759047 2.867978;0.02543615 0.3926969 2.922717;0.1891725 -0.09032594 3.016242;0.1658348 -0.4926333 2.980385;0.155139 -0.7620747 2.968729;0.1251319 -0.8299505 2.912615;0.2914398 -0.06993449 2.951178;0.3527814 -0.4844002 2.963012;0.3855827 -0.787104 2.97557;0.3285326 -0.8227258 2.904939;7
0.2414345 -0.02356468 2.997228;0.2757816 0.04251958 3.047787;0.252502 0.4592595 3.071085;0.2194554 0.6055905 3.094684;0.1258203 0.3100812 3.138783;0.09266167 0.05991928 3.124127;0.05364796 -0.1487822 2.980872;0.04379626 -0.199151 2.943329;0.3374194 0.3104212 2.95451;0.1864517 0.3126468 2.778105;0.06260002 0.3954798 2.811094;0.01585393 0.431656 2.848864;0.1912211 -0.08448569 3.012095;0.1655665 -0.492966 2.980233;0.155987 -0.7602767 2.96965;0.1223342 -0.8164692 2.915324;0.2913147 -0.07038732 2.950842;0.351939 -0.4812939 2.958516;0.3851658 -0.7887511 2.970148;0.3290362 -0.8228912 2.902885;7
0.2417972 -0.02374495 2.995129;0.2762657 0.0440472 3.04479;0.2504998 0.46698 3.064029;0.2198016 0.6157976 3.094322;0.1243473 0.3165856 3.135747;0.09672528 0.06508329 3.126025;0.0563345 -0.147671 2.985924;0.04477939 -0.1974036 2.94856;0.3340805 0.3099199 2.950743;0.1431411 0.3259656 2.769831;0.03494183 0.4239638 2.859687;0.006105705 0.4533142 2.883382;0.1938908 -0.07873085 3.001538;0.1680884 -0.4792956 2.975735;0.158407 -0.7383752 2.970282;0.1173726 -0.7787095 2.911477;0.2912155 -0.07097023 2.950951;0.3377106 -0.4409845 2.931877;0.3794176 -0.7437116 2.955991;0.3263991 -0.7773729 2.890372;7
0.2424473 -0.02345224 2.991278;0.2769922 0.04680675 3.039364;0.2485716 0.472893 3.057329;0.219973 0.6242424 3.093868;0.1222484 0.3226764 3.130759;0.1016773 0.07148562 3.127227;0.06014736 -0.1445132 2.99353;0.0442044 -0.1925014 2.959643;0.3263618 0.3150859 2.944534;0.1200255 0.3333989 2.764905;0.05009334 0.415209 2.899671;0.03865136 0.4311378 2.945874;0.196871 -0.07228393 2.989581;0.1703463 -0.4982601 2.971742;0.1589734 -0.7420704 2.971662;0.1716647 -0.8092335 2.956023;0.2911619 -0.07116172 2.950972;0.3321759 -0.431578 2.921997;0.3776057 -0.7310996 2.950036;0.3253301 -0.764757 2.88562;7
0.2429969 -0.024143 2.986004;0.2773108 0.04850961 3.033591;0.2469364 0.4769574 3.051616;0.2199898 0.6308929 3.09338;0.120018 0.3276538 3.125051;0.09504263 0.1020354 3.082218;0.06223824 -0.1373687 2.99922;0.04507089 -0.1893327 2.969772;0.3199117 0.3201044 2.93969;0.1058342 0.3378384 2.760846;0.02902365 0.3791028 2.910735;-0.0114583 0.3880732 2.902649;0.1986583 -0.0693123 2.980798;0.1711059 -0.500917 2.970184;0.1593686 -0.7453122 2.969405;0.135335 -0.8003818 2.9216;0.2911029 -0.07133634 2.950985;0.3305408 -0.4419 2.912889;0.3762068 -0.7262026 2.945849;0.3243006 -0.7600017 2.881819;7
0.2427451 -0.02660558 2.980198;0.2769628 0.04876203 3.028092;0.2456645 0.4796448 3.047305;0.2200183 0.6358803 3.092822;0.1179977 0.3314178 3.1198;0.08024981 0.1798931 2.983109;0.06679215 -0.07106902 3.001906;0.0466074 -0.1863289 2.987072;0.3150781 0.3228208 2.936113;0.09642094 0.3409744 2.756704;0.02288526 0.3507907 2.914402;-0.02792224 0.3613554 2.901109;0.198827 -0.0699697 2.97344;0.1722906 -0.4912896 2.96811;0.1620165 -0.7334499 2.965491;0.1256426 -0.7698911 2.907636;0.2908957 -0.07168719 2.951042;0.3303203 -0.4512547 2.908144;0.3751515 -0.7261928 2.94208;0.3233839 -0.7603277 2.878097;7
