HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.06099971 0.1799478 2.778397;-0.05680913 0.2396354 2.839178;-0.06439832 0.6054243 2.860518;-0.08271813 0.8111691 2.836358;-0.2360932 0.4824779 2.873423;-0.3873675 0.2438048 2.848068;-0.5077437 0.03865497 2.783845;-0.5410212 -0.02973754 2.763179;0.1081419 0.4794657 2.839943;0.2655966 0.2365842 2.808304;0.3839213 0.03394942 2.730789;0.4095655 -0.06367068 2.707925;-0.1378472 0.1048392 2.767371;-0.173597 -0.4250985 2.777637;-0.1868468 -0.8043904 2.742857;-0.2165563 -0.8616123 2.700057;0.01705856 0.1034838 2.755224;0.06103166 -0.4293058 2.781668;0.07163924 -0.7983484 2.761218;0.1146604 -0.8614231 2.728321;0
-0.06073755 0.1789867 2.778901;-0.05661013 0.2389877 2.839747;-0.06425039 0.6055545 2.861283;-0.08269014 0.8110755 2.836992;-0.2361121 0.4824607 2.873813;-0.3862193 0.2438996 2.848409;-0.5073031 0.03947672 2.784166;-0.5410928 -0.02968365 2.763366;0.1082294 0.4790671 2.840334;0.2655086 0.2367463 2.808714;0.3829817 0.03423663 2.730196;0.4101513 -0.06624295 2.70802;-0.1376541 0.104026 2.767774;-0.1735926 -0.4251055 2.778035;-0.1862879 -0.804226 2.743098;-0.2171633 -0.8614453 2.699107;0.01743778 0.1021728 2.755727;0.06101167 -0.4292599 2.782052;0.07177506 -0.7987101 2.761557;0.1143586 -0.8613135 2.728991;0
-0.0606439 0.1781577 2.779033;-0.05655487 0.238602 2.83991;-0.06421047 0.6056217 2.861503;-0.08268362 0.81106 2.837118;-0.2361086 0.4824488 2.873873;-0.3860057 0.2439355 2.848476;-0.5072098 0.03964548 2.784232;-0.541104 -0.02967321 2.7634;0.1082438 0.4790034 2.840407;0.265495 0.2367699 2.808779;0.382837 0.03428091 2.730108;0.4102841 -0.06671984 2.70804;-0.1375515 0.1031288 2.767787;-0.1735903 -0.4251119 2.778108;-0.186184 -0.8042045 2.743158;-0.2172855 -0.8614224 2.698907;0.01752175 0.101527 2.755896;0.06100757 -0.4292523 2.782125;0.07180792 -0.7987745 2.761629;0.1143046 -0.8612922 2.729105;0
-0.06055305 0.1773681 2.779151;-0.05651144 0.2382113 2.840066;-0.06418037 0.6057011 2.861724;-0.08259739 0.8108701 2.837188;-0.2361295 0.482162 2.873804;-0.3858452 0.2439601 2.848525;-0.507125 0.03979786 2.784252;-0.5411099 -0.0296523 2.763427;0.1082551 0.4789537 2.840469;0.2654849 0.236787 2.808828;0.3827254 0.03431562 2.730052;0.4103962 -0.067102 2.708064;-0.137436 0.1022025 2.767781;-0.1735845 -0.4251286 2.778178;-0.1860706 -0.8041926 2.743268;-0.2173876 -0.8614074 2.698749;0.01760622 0.1009345 2.756057;0.06100305 -0.4292392 2.782187;0.0718346 -0.79883 2.761694;0.1142662 -0.8612754 2.729191;0
-0.06048137 0.1768232 2.779218;-0.05647577 0.2379176 2.840182;-0.06414614 0.6058219 2.861947;-0.08249126 0.810685 2.837214;-0.2361489 0.4818691 2.873711;-0.3857365 0.2439723 2.848557;-0.5070651 0.03990197 2.784265;-0.5411261 -0.02961588 2.763466;0.1082697 0.4789108 2.84052;0.2654774 0.2367996 2.808865;0.3826406 0.03433814 2.730016;0.4104904 -0.06743012 2.708071;-0.1373563 0.1015691 2.767726;-0.1735755 -0.4251748 2.77825;-0.1858946 -0.8042035 2.743513;-0.2174498 -0.8613904 2.698647;0.01767753 0.1004921 2.756172;0.06099902 -0.4292283 2.782235;0.07186116 -0.7988719 2.761747;0.1142384 -0.8612618 2.729252;0
-0.06042148 0.1763446 2.779274;-0.05644835 0.2376367 2.840291;-0.06412459 0.605955 2.862183;-0.08237819 0.8104382 2.837212;-0.2361876 0.4814778 2.873565;-0.3856533 0.2439841 2.848579;-0.5070069 0.03999754 2.784271;-0.5411425 -0.02959328 2.763496;0.1082811 0.4788731 2.840563;0.2654727 0.2368075 2.808894;0.3825807 0.03432469 2.73;0.4105895 -0.06778196 2.708052;-0.137288 0.1009993 2.767672;-0.1735612 -0.4252484 2.778327;-0.1857283 -0.8042046 2.743737;-0.2174928 -0.8613725 2.698575;0.01773707 0.1001112 2.756272;0.06099503 -0.4292173 2.782276;0.07188992 -0.7989022 2.761794;0.1142133 -0.8612463 2.729295;0
-0.06036849 0.1756613 2.779323;-0.05643396 0.2371763 2.840421;-0.06411003 0.6060815 2.862425;-0.08228519 0.8102387 2.837215;-0.2362305 0.4809298 2.873335;-0.3855923 0.2439925 2.848597;-0.506959 0.04007492 2.784274;-0.5411603 -0.02957601 2.763525;0.1082925 0.4788415 2.840604;0.26548 0.2367992 2.808927;0.3825376 0.03429922 2.73;0.410684 -0.06812369 2.708025;-0.1372339 0.1000014 2.767569;-0.1735437 -0.4253237 2.778404;-0.1855767 -0.8042106 2.743949;-0.2175266 -0.8613602 2.69852;0.0177944 0.09963194 2.756372;0.06099259 -0.4292065 2.782309;0.07191817 -0.7989257 2.761837;0.114175 -0.8612339 2.729335;0
-0.06033533 0.1750339 2.779363;-0.05643281 0.2367128 2.840546;-0.0641033 0.6061906 2.862654;-0.08217256 0.8100286 2.837201;-0.2362769 0.4803984 2.873118;-0.3855492 0.243998 2.848608;-0.506926 0.0401296 2.784276;-0.5411721 -0.02956099 2.763538;0.1082997 0.4788149 2.84064;0.2654884 0.2367861 2.808959;0.3825184 0.03423662 2.730032;0.410775 -0.06849443 2.708014;-0.1372015 0.09910191 2.767476;-0.1735265 -0.4254049 2.77848;-0.1854385 -0.8042107 2.744137;-0.2175612 -0.861343 2.698458;0.01783232 0.09919468 2.756457;0.06098732 -0.4291947 2.782344;0.07194195 -0.7989379 2.761864;0.1141201 -0.8612154 2.729363;0
-0.06031861 0.1742692 2.779403;-0.05644752 0.23613 2.840683;-0.06410367 0.606293 2.862875;-0.08209993 0.809876 2.837191;-0.2363073 0.4799853 2.872943;-0.3855252 0.2440025 2.848613;-0.5069009 0.04016845 2.784279;-0.5411835 -0.02954618 2.763552;0.1082983 0.478793 2.840675;0.2655015 0.2367683 2.808995;0.3828784 0.03323933 2.729834;0.4108728 -0.0688978 2.708029;-0.1371694 0.09821768 2.767394;-0.1735095 -0.4254861 2.778559;-0.1853059 -0.8042083 2.744286;-0.217603 -0.8613234 2.698375;0.01784255 0.0986254 2.756565;0.06098531 -0.4291746 2.782385;0.07197048 -0.7989571 2.761891;0.114058 -0.8611988 2.729389;0
-0.06031571 0.1735938 2.779456;-0.0564707 0.2355801 2.84083;-0.06410138 0.6063814 2.863099;-0.08203951 0.8097526 2.837188;-0.2363071 0.4797152 2.872825;-0.3855194 0.2440012 2.848615;-0.5068836 0.04019515 2.784281;-0.5411949 -0.02953319 2.763564;0.1082996 0.4787717 2.840717;0.2655315 0.2367325 2.809048;0.3832066 0.03233651 2.729654;0.4109678 -0.06929781 2.708051;-0.1371487 0.09745372 2.76735;-0.1735012 -0.4255789 2.778641;-0.1852153 -0.8042054 2.744375;-0.2176284 -0.8613075 2.698328;0.01782525 0.09811621 2.756676;0.06098331 -0.429143 2.782426;0.07199288 -0.7989873 2.761924;0.1139849 -0.8611807 2.729433;0
-0.06032601 0.173053 2.779502;-0.05649816 0.2351251 2.84096;-0.06407498 0.6065347 2.863337;-0.0819841 0.8096414 2.837181;-0.2362978 0.479544 2.872744;-0.3855264 0.2439982 2.848618;-0.5068679 0.04021411 2.784282;-0.5411993 -0.02952147 2.763564;0.1083039 0.4787556 2.840761;0.2655834 0.23678 2.80928;0.3834097 0.03163758 2.729586;0.4107955 -0.06963478 2.707677;-0.13715 0.09684332 2.767323;-0.173503 -0.4257007 2.778705;-0.1851563 -0.804204 2.744429;-0.2177263 -0.8613165 2.698141;0.0177941 0.09771489 2.756772;0.06098491 -0.4291011 2.782453;0.07202089 -0.7990193 2.761951;0.1139026 -0.8611546 2.72946;0
-0.06032535 0.1725991 2.779573;-0.05650578 0.2347421 2.841105;-0.06396201 0.6068587 2.863637;-0.08193015 0.8095384 2.837176;-0.2362825 0.4794134 2.872687;-0.385554 0.2440273 2.848666;-0.5067987 0.04024972 2.784271;-0.5409991 -0.02954893 2.763364;0.1083291 0.478749 2.840814;0.2659782 0.2370559 2.810069;0.3831435 0.03071767 2.728311;0.4031365 -0.06601671 2.695652;-0.1371411 0.09631369 2.767346;-0.1735113 -0.425849 2.778761;-0.1851067 -0.8041909 2.744413;-0.2240862 -0.867547 2.710085;0.01776932 0.09736805 2.756894;0.0609893 -0.4290583 2.782468;0.0720489 -0.799052 2.761976;0.1138399 -0.8611283 2.729463;0
-0.06028324 0.1723202 2.779656;-0.05646282 0.2345025 2.841243;-0.06373941 0.6072865 2.863889;-0.08188225 0.8094499 2.837166;-0.2362177 0.4793474 2.872692;-0.3855278 0.244376 2.849252;-0.5061556 0.04053952 2.78428;-0.5357333 -0.02985149 2.759763;0.1085582 0.4789371 2.841033;0.2671911 0.2386402 2.81269;0.3717644 0.03114895 2.708728;0.3735968 -0.04935488 2.661997;-0.1371135 0.0959449 2.767395;-0.1735243 -0.4259864 2.778786;-0.1850855 -0.8041717 2.744301;-0.2255033 -0.8685885 2.711416;0.01782252 0.09715806 2.757063;0.06104995 -0.4288536 2.782387;0.07207438 -0.7990827 2.761996;0.113768 -0.8610867 2.72945;0
-0.06008399 0.1722122 2.779971;-0.0562445 0.2344152 2.841571;-0.06315558 0.6078914 2.864127;-0.08179048 0.809443 2.837112;-0.2360537 0.4794307 2.872824;-0.382686 0.2471584 2.854967;-0.4989845 0.04392518 2.783877;-0.5140644 -0.02638257 2.748192;0.1091249 0.4794407 2.841441;0.2689404 0.2459803 2.818825;0.3350775 0.05148688 2.68452;0.3287739 -0.01951971 2.624576;-0.136962 0.09568295 2.767811;-0.1735314 -0.4261428 2.778784;-0.1851251 -0.8041586 2.743985;-0.2271272 -0.8699149 2.713284;0.01801909 0.09710658 2.757451;0.06131652 -0.4282098 2.781986;0.07209691 -0.7991496 2.762034;0.113709 -0.8610606 2.729492;0
-0.05922846 0.1724217 2.781112;-0.05536646 0.2346493 2.842484;-0.06191332 0.608652 2.864092;-0.08166003 0.8094615 2.837034;-0.2353539 0.4798293 2.873331;-0.3636919 0.2626194 2.883547;-0.4596385 0.0645126 2.779839;-0.4560675 -0.004698527 2.727177;0.1110557 0.4808909 2.841989;0.2665646 0.2653465 2.828663;0.2870426 0.07525045 2.653198;0.2732989 0.01371606 2.593702;-0.1359652 0.09559695 2.770138;-0.1735247 -0.4262769 2.778746;-0.1851916 -0.8041482 2.743575;-0.2283003 -0.8707473 2.714104;0.01889832 0.0972982 2.758671;0.06184854 -0.4275494 2.78125;0.07216478 -0.7997441 2.762147;0.1136551 -0.8610464 2.729519;0
-0.05759457 0.1730237 2.783245;-0.05352017 0.2353312 2.844125;-0.05952059 0.6094513 2.863489;-0.08140639 0.8094838 2.836869;-0.2333513 0.4808873 2.874618;-0.3371152 0.2793233 2.914557;-0.4130487 0.09174555 2.776122;-0.4060894 0.02028014 2.696769;0.1140111 0.4825899 2.841951;0.265398 0.2777117 2.833132;0.2348528 0.114465 2.630464;0.1909975 0.06024184 2.563379;-0.134116 0.09590065 2.774842;-0.1734882 -0.4264135 2.778654;-0.1853074 -0.8041237 2.743023;-0.2292216 -0.871357 2.714559;0.02053478 0.09775048 2.760712;0.06277562 -0.4268423 2.780051;0.07223426 -0.8003334 2.762248;0.1136052 -0.8610328 2.72954;0
-0.0546335 0.1743017 2.787769;-0.04941795 0.2369743 2.847729;-0.0533166 0.6107547 2.862004;-0.08053765 0.8093422 2.835989;-0.2284166 0.4825067 2.878472;-0.3002708 0.2915416 2.954051;-0.3577798 0.1310603 2.772187;-0.3522784 0.06296465 2.674593;0.1181695 0.4848723 2.840804;0.2646444 0.2875484 2.832943;0.185951 0.1569665 2.615208;0.1113183 0.1138582 2.553387;-0.1305403 0.09714722 2.787188;-0.1733904 -0.4265325 2.778481;-0.1855431 -0.8040015 2.742249;-0.2299125 -0.8712603 2.712015;0.02270146 0.09846263 2.763695;0.06416275 -0.4260391 2.778461;0.07228846 -0.8008996 2.762339;0.1135435 -0.8610374 2.729615;0
-0.04948431 0.1759947 2.795948;-0.0419043 0.2394151 2.85397;-0.04516957 0.6114569 2.85974;-0.07821165 0.808566 2.832664;-0.2207297 0.4836421 2.885907;-0.271686 0.2977734 2.98493;-0.3102607 0.1531608 2.781012;-0.29978 0.1108569 2.663327;0.1233021 0.4876134 2.837154;0.2635754 0.2901398 2.808254;0.1234716 0.1840249 2.60345;0.02247057 0.1559682 2.544662;-0.1238539 0.09797157 2.807851;-0.1731777 -0.4266489 2.778325;-0.185865 -0.803849 2.741323;-0.2303385 -0.8708749 2.708995;0.02597831 0.09945409 2.768461;0.06608368 -0.4253455 2.776999;0.07233387 -0.8014466 2.762413;0.1134861 -0.861052 2.729703;0
-0.04277347 0.1779006 2.807035;-0.0308581 0.2425696 2.862202;-0.03747955 0.6119826 2.857563;-0.07541384 0.807295 2.828076;-0.2040248 0.4860585 2.907136;-0.2433121 0.2961748 3.004147;-0.2644711 0.1565657 2.795219;-0.2553538 0.160364 2.668939;0.129138 0.490479 2.830006;0.2599862 0.2849167 2.773092;0.0733043 0.2008977 2.596669;-0.03702772 0.1852804 2.559773;-0.1144276 0.09877532 2.832097;-0.1721751 -0.4267912 2.779015;-0.1861891 -0.8036979 2.740567;-0.2302985 -0.8699466 2.704982;0.02972471 0.1006479 2.774494;0.06879538 -0.4242124 2.776128;0.07237384 -0.80194 2.762483;0.1134521 -0.8610632 2.729781;0
-0.03708854 0.1786966 2.815637;-0.02078548 0.2446473 2.867885;-0.02777784 0.6122628 2.853715;-0.07301479 0.8064867 2.823628;-0.188453 0.4879811 2.923299;-0.2066983 0.2907801 3.015631;-0.2039125 0.1675466 2.795543;-0.2201346 0.1745679 2.670923;0.1334906 0.4930268 2.816815;0.2468873 0.274616 2.731119;0.02246655 0.2159603 2.59649;-0.0947081 0.2160953 2.579556;-0.1067399 0.09909571 2.846949;-0.1667872 -0.428106 2.791507;-0.1864463 -0.8035107 2.740271;-0.2300724 -0.8689498 2.701691;0.03271822 0.1015786 2.779732;0.07278622 -0.4230714 2.776649;0.07245183 -0.8024265 2.76256;0.1133981 -0.8611531 2.730099;0
-0.03271016 0.1787732 2.822625;-0.01333111 0.2458206 2.871627;-0.02165414 0.6123797 2.851243;-0.07147602 0.8057527 2.819792;-0.1735634 0.4892186 2.934636;-0.1838727 0.2904937 3.025603;-0.1845516 0.2150629 2.766242;-0.2203758 0.2144175 2.675125;0.1355089 0.4950941 2.803741;0.2234995 0.2678507 2.686565;-0.03015061 0.24357 2.616273;-0.08925844 0.2586263 2.636504;-0.0997836 0.09932709 2.858373;-0.1592932 -0.434255 2.812523;-0.1880539 -0.8027223 2.744222;-0.2293103 -0.8673908 2.69994;0.03467215 0.1022621 2.784444;0.07786329 -0.4215654 2.778896;0.07254407 -0.8028239 2.762625;0.1133353 -0.8612307 2.730381;7
-0.02927952 0.177855 2.828014;-0.007557953 0.2460997 2.873827;-0.01754957 0.6125298 2.849547;-0.07044969 0.8052589 2.816945;-0.1611351 0.4894418 2.942558;-0.172689 0.2905526 3.031479;-0.1675226 0.2290919 2.76089;-0.2094232 0.2298793 2.675369;0.1343233 0.4961956 2.789609;0.2105264 0.2659709 2.666129;-0.05318301 0.2616282 2.63433;-0.1308995 0.2852307 2.647925;-0.09448569 0.09899621 2.86575;-0.1534827 -0.440032 2.834184;-0.1887318 -0.8028148 2.764191;-0.2276875 -0.8653564 2.702937;0.03586649 0.1025436 2.788158;0.08238046 -0.4206296 2.781818;0.07264555 -0.8031636 2.762696;0.1132448 -0.8612799 2.730597;7
-0.02654479 0.1764056 2.83244;-0.0026361 0.2457915 2.875056;-0.01470814 0.6126863 2.848491;-0.06982393 0.804971 2.815225;-0.1499581 0.4886974 2.950607;-0.1645311 0.2905768 3.03607;-0.1484648 0.2771091 2.757998;-0.1984905 0.2576171 2.682933;0.1294445 0.4961476 2.774964;0.1814491 0.2670483 2.644206;-0.119505 0.2924941 2.68771;-0.1939802 0.3074394 2.735061;-0.0894509 0.0980947 2.871687;-0.1502209 -0.4433978 2.850818;-0.1799937 -0.8134276 2.820904;-0.2296368 -0.8635421 2.754026;0.03652459 0.1026435 2.791033;0.086382 -0.4204168 2.784872;0.07290247 -0.8034116 2.762769;0.1131782 -0.8612642 2.730598;7
-0.02416279 0.1740189 2.836317;0.002103109 0.2445685 2.875443;-0.01247909 0.612994 2.84819;-0.06961834 0.8039787 2.814884;-0.1365461 0.4884045 2.963876;-0.1576272 0.2908897 3.041404;-0.1396119 0.2930557 2.757791;-0.1918202 0.2733521 2.689395;0.1214532 0.4945856 2.761891;0.1649357 0.2686476 2.633651;-0.1079598 0.2999351 2.693429;-0.173226 0.3221515 2.727345;-0.08436444 0.09642813 2.876409;-0.1486238 -0.4438625 2.865047;-0.1701325 -0.8160387 2.876155;-0.2252958 -0.8647604 2.824332;0.03680294 0.1025742 2.793219;0.08946641 -0.4205873 2.787407;0.07361651 -0.8036523 2.763258;0.1130881 -0.8612382 2.730588;7
-0.02136758 0.1694556 2.840109;0.006462685 0.2422453 2.875483;-0.01051416 0.6138185 2.848822;-0.06994173 0.8037244 2.817141;-0.1279764 0.4871759 2.969772;-0.1526075 0.2908934 3.04459;-0.155605 0.3178845 2.787436;-0.1981578 0.2935588 2.713631;0.1132665 0.4927785 2.752209;0.1383152 0.280283 2.61941;-0.1089002 0.3060479 2.699858;-0.1729423 0.331194 2.727942;-0.07802101 0.09342635 2.880179;-0.1489803 -0.4428804 2.881189;-0.1529706 -0.8247578 2.946035;-0.2235012 -0.8712307 2.909162;0.03679722 0.1022387 2.795052;0.09188537 -0.4210676 2.789376;0.07459268 -0.8038607 2.76386;0.1130048 -0.8611974 2.730509;7
-0.01821043 0.1634324 2.84395;0.01085271 0.2387902 2.87589;-0.008740583 0.6159478 2.852155;-0.07107907 0.8052341 2.825542;-0.1232901 0.4866803 2.973266;-0.1490326 0.2909187 3.046828;-0.1895684 0.3185244 2.812684;-0.2187146 0.2992812 2.73628;0.1038189 0.4909324 2.744565;0.1074769 0.2884561 2.609367;-0.1256754 0.3143035 2.710791;-0.1733792 0.3406138 2.752462;-0.07135493 0.08968872 2.883208;-0.1511785 -0.4461022 2.90459;-0.1383074 -0.8302691 3.012954;-0.2107365 -0.8786468 2.993451;0.03661898 0.1015688 2.796896;0.09378102 -0.4218233 2.790604;0.0758817 -0.803917 2.764416;0.1129497 -0.8611543 2.730394;7
-0.01562836 0.1560808 2.8479;0.01438603 0.2343905 2.877028;-0.008157297 0.6202475 2.859688;-0.07303673 0.8071582 2.836241;-0.120015 0.4863897 2.975857;-0.1464382 0.2909752 3.048557;-0.2077016 0.3137914 2.826847;-0.2307938 0.3003642 2.750021;0.09690073 0.4897337 2.740286;0.07510899 0.2931936 2.607561;-0.1362043 0.3024805 2.700015;-0.1964059 0.3272294 2.757962;-0.06638903 0.08576629 2.885662;-0.151873 -0.4460487 2.927941;-0.128016 -0.8333282 3.058781;-0.2059728 -0.8816468 3.037401;0.03609025 0.09952714 2.799473;0.0953113 -0.4225171 2.790841;0.07773031 -0.8037174 2.764849;0.1129078 -0.8610763 2.730148;7
-0.01444581 0.1511797 2.851783;0.01641805 0.2308619 2.879611;-0.01495663 0.6294932 2.884813;-0.08228505 0.8092232 2.865523;-0.1190044 0.4861925 2.980872;-0.1468219 0.291856 3.053984;-0.2148925 0.3117824 2.837558;-0.239904 0.2978217 2.765342;0.08888859 0.4893984 2.73979;0.01050232 0.3040476 2.620922;-0.1712199 0.3098212 2.730263;-0.1973311 0.330499 2.77002;-0.06309319 0.08104882 2.890922;-0.1446349 -0.4548739 2.97632;-0.1164976 -0.8275542 3.108232;-0.1906867 -0.8881108 3.102374;0.03546806 0.09766206 2.801617;0.08982775 -0.4239374 2.760555;0.07932296 -0.8034753 2.764821;0.1128452 -0.8609613 2.729802;7
-0.01475023 0.1487191 2.856731;0.01666948 0.2288568 2.884456;-0.02248998 0.6341588 2.904833;-0.08932607 0.8104263 2.886576;-0.1216127 0.4857815 2.98952;-0.1508985 0.2929456 3.063465;-0.2216535 0.3069038 2.849208;-0.2495745 0.2923002 2.781078;0.07539636 0.4886709 2.744551;-0.04308486 0.3115481 2.640924;-0.2069752 0.3132268 2.761759;-0.2502468 0.3151216 2.785534;-0.06191311 0.07623455 2.902318;-0.1402305 -0.4600626 3.000376;-0.1133229 -0.8263952 3.121277;-0.1868606 -0.8896081 3.113836;0.03456104 0.09608764 2.803183;0.08623928 -0.4262697 2.744944;0.08134972 -0.8041225 2.764073;0.112569 -0.8612339 2.728981;7
-0.01264232 0.1019826 2.872051;0.01723816 0.1900005 2.900844;-0.03009016 0.6364049 2.918674;-0.09830886 0.8100267 2.907815;-0.127478 0.4853711 2.999432;-0.1577778 0.2941141 3.073933;-0.2275691 0.3018949 2.859106;-0.2580349 0.2870173 2.793582;0.0405129 0.4833381 2.765639;-0.1021555 0.3143752 2.677519;-0.2748832 0.2902069 2.770184;-0.3338507 0.2715842 2.789129;-0.05770697 0.03407698 2.911642;-0.1333925 -0.4655552 3.020357;-0.1101786 -0.8274376 3.125015;-0.1836494 -0.8917326 3.11517;0.03741863 0.06112106 2.822173;0.078806 -0.4306725 2.728142;0.08293071 -0.8044229 2.763036;0.1121376 -0.8613865 2.727901;7
-0.01268687 0.07453281 2.881079;0.01642075 0.168914 2.909941;-0.04099694 0.6358266 2.933725;-0.1057756 0.8073631 2.924748;-0.1381318 0.4839677 3.01335;-0.1687691 0.2944269 3.087948;-0.2345742 0.2953174 2.870665;-0.2675974 0.2804568 2.806915;0.01738418 0.4781039 2.781584;-0.1316433 0.3148372 2.696316;-0.3102552 0.2693646 2.766304;-0.3841715 0.234368 2.778713;-0.05648358 0.01440237 2.915029;-0.1294471 -0.4688827 3.032173;-0.1077666 -0.8284988 3.12595;-0.1805414 -0.8940002 3.116273;0.03763629 0.04130458 2.836303;0.07385664 -0.4339571 2.717895;0.08408487 -0.804736 2.761969;0.1117352 -0.861563 2.726797;7
-0.01352516 0.06196897 2.885961;0.01538749 0.1583038 2.915057;-0.04819592 0.6352325 2.943719;-0.1121784 0.8051574 2.937245;-0.1471433 0.4830222 3.025009;-0.177722 0.2948823 3.099431;-0.2398965 0.2902656 2.880193;-0.2745494 0.2756958 2.817225;-0.00745419 0.471836 2.801194;-0.1580039 0.3171923 2.712115;-0.3302361 0.2260913 2.770533;-0.4064852 0.1753114 2.776822;-0.05592371 0.005157799 2.916846;-0.1269777 -0.4710541 3.039601;-0.1072792 -0.8293893 3.117795;-0.1766307 -0.8960242 3.114789;0.03530326 0.03135555 2.84619;0.06975492 -0.4340456 2.710828;0.08484458 -0.8051021 2.760813;0.1112024 -0.8617402 2.725347;7
-0.01446645 0.0538095 2.889565;0.01419593 0.1512757 2.918915;-0.05425646 0.6343312 2.951301;-0.1163384 0.8034114 2.94461;-0.1553022 0.4821997 3.034909;-0.185625 0.2952024 3.109047;-0.2445695 0.2861535 2.888386;-0.2803237 0.2719355 2.825676;-0.02302001 0.467134 2.814236;-0.1810141 0.3237564 2.725098;-0.3202848 0.1684588 2.771609;-0.3931768 0.1138637 2.779495;-0.05560604 -0.0007289341 2.917963;-0.1252557 -0.4727869 3.044302;-0.1076979 -0.8304574 3.108063;-0.175209 -0.896924 3.1055;0.03155727 0.02523657 2.85659;0.06680445 -0.4340438 2.706188;0.08554588 -0.8065161 2.759221;0.1107335 -0.8626961 2.723156;7
