HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.0704239 -0.02506201 2.855118;0.07750309 0.039598 2.920876;0.07643107 0.4400158 2.954329;0.05633482 0.6130849 2.937724;-0.08870371 0.2734308 2.92743;-0.1388503 0.03594149 2.871409;-0.1343886 -0.1710869 2.787687;-0.1383349 -0.2232817 2.747587;0.1852829 0.308667 2.904203;0.2708316 0.0536607 2.890669;0.2707791 -0.1501087 2.797732;0.2496573 -0.2110382 2.783972;0.007997096 -0.09336378 2.841168;-0.04090073 -0.5376781 2.862194;-0.02951349 -0.858295 2.814196;-0.01646637 -0.9248868 2.73476;0.1312911 -0.0775075 2.839517;0.1443981 -0.5199155 2.845183;0.1361225 -0.8683589 2.820312;0.1376518 -0.932624 2.755501;0
0.07024069 -0.02494802 2.85484;0.07685767 0.03986095 2.920588;0.07288362 0.4384691 2.952055;0.05578798 0.6129251 2.936689;-0.08575523 0.2756421 2.926544;-0.1387243 0.0363938 2.871553;-0.1342801 -0.1709574 2.787618;-0.1400463 -0.2231157 2.747544;0.1856157 0.3082198 2.904279;0.2708445 0.05345763 2.890437;0.2708709 -0.1507456 2.797596;0.2503631 -0.2117963 2.782992;0.008052576 -0.09212083 2.843164;-0.04180545 -0.5300809 2.860344;-0.03148299 -0.8566035 2.814619;-0.01655059 -0.9244537 2.735064;0.1308175 -0.07750532 2.838274;0.1444241 -0.5198933 2.84487;0.1361973 -0.8683494 2.82006;0.1366325 -0.9321731 2.754111;0
0.07020842 -0.02492851 2.854797;0.07675256 0.03990601 2.920541;0.07186963 0.4380541 2.951437;0.05568555 0.6129096 2.936506;-0.08529421 0.2762208 2.926626;-0.1387 0.03649888 2.871586;-0.1350798 -0.1709854 2.788329;-0.1398321 -0.200907 2.759699;0.18567 0.3081506 2.904295;0.2708461 0.05342739 2.890402;0.2708177 -0.1508375 2.797544;0.2504984 -0.2117373 2.782814;0.008051157 -0.0919043 2.843511;-0.04194034 -0.5277292 2.859646;-0.03190576 -0.8562216 2.814742;-0.01656684 -0.924372 2.735115;0.1307402 -0.07750551 2.838071;0.1444411 -0.5199978 2.844818;0.1361789 -0.8682888 2.819928;0.1364559 -0.9320902 2.753861;0
0.07018109 -0.02491342 2.854764;0.07665745 0.03994726 2.920498;0.07103385 0.4376951 2.950663;0.05560364 0.6129003 2.936358;-0.084692 0.2769497 2.926763;-0.1386643 0.03662456 2.871631;-0.1352945 -0.1709361 2.78861;-0.139875 -0.1987763 2.761453;0.1857483 0.3080646 2.90434;0.2708424 0.05339026 2.890365;0.2707443 -0.1509463 2.797472;0.2506166 -0.2117383 2.782607;0.008048004 -0.09173724 2.843764;-0.0420204 -0.5260076 2.859103;-0.03223309 -0.8559261 2.814839;-0.01658588 -0.9242684 2.735349;0.1306754 -0.07751133 2.837924;0.1444583 -0.5201219 2.844769;0.1361532 -0.8682222 2.819788;0.1363152 -0.9320221 2.75366;0
0.07015568 -0.0249038 2.854739;0.07653455 0.03998042 2.920459;0.07034511 0.4374233 2.950028;0.05553517 0.6128969 2.936229;-0.0839081 0.2777584 2.926782;-0.1386108 0.03689996 2.871726;-0.1359882 -0.1707009 2.789352;-0.1397042 -0.1885797 2.767157;0.1859882 0.3080141 2.90459;0.2708386 0.05336385 2.890338;0.270681 -0.1510292 2.79742;0.250752 -0.2115903 2.782408;0.008044218 -0.0916123 2.843952;-0.04208454 -0.5250285 2.858754;-0.03262712 -0.8556188 2.814935;-0.01659193 -0.924183 2.735569;0.1306198 -0.07752201 2.837815;0.1444622 -0.5201884 2.844723;0.1360697 -0.8680044 2.819502;0.1362 -0.9319667 2.753495;0
0.0701338 -0.02488312 2.854722;0.07645532 0.04001857 2.920426;0.06981266 0.4372137 2.949494;0.05547641 0.6129125 2.936119;-0.08367812 0.2784721 2.927207;-0.1385742 0.03723413 2.871841;-0.1360035 -0.1704457 2.789724;-0.1396897 -0.188884 2.767915;0.1861778 0.3080194 2.904862;0.2708318 0.05334029 2.890311;0.2706496 -0.151095 2.797388;0.2508636 -0.2114515 2.782209;0.008038743 -0.09148997 2.844127;-0.04211196 -0.524047 2.858407;-0.03300541 -0.8553312 2.815026;-0.01658062 -0.9240991 2.735765;0.1305834 -0.07752376 2.83773;0.1444629 -0.5202525 2.844674;0.1361721 -0.8675283 2.819112;0.1361098 -0.93192 2.753364;0
0.07009304 -0.02482176 2.854716;0.07634168 0.04009477 2.92039;0.06885108 0.4369819 2.948906;0.05541207 0.6129331 2.936006;-0.0836283 0.2791055 2.927645;-0.1385387 0.03758843 2.871953;-0.1359612 -0.1701781 2.790054;-0.1397321 -0.1908457 2.767567;0.1863436 0.3080423 2.905112;0.2708543 0.05328593 2.890313;0.2706159 -0.1511671 2.797353;0.2509371 -0.211339 2.78199;0.008024184 -0.09136496 2.844267;-0.04210364 -0.5232952 2.858129;-0.03332343 -0.8551416 2.815066;-0.01653564 -0.9240572 2.735904;0.1305553 -0.07751942 2.837666;0.1444598 -0.5202947 2.844601;0.1362174 -0.8670857 2.818715;0.1360382 -0.9318822 2.753256;0
0.070051 -0.02476245 2.854714;0.07621303 0.04016556 2.920357;0.06737085 0.4367961 2.948482;0.0553544 0.6129597 2.935905;-0.08365782 0.279673 2.928063;-0.1384957 0.03794752 2.872065;-0.1361181 -0.1699243 2.790418;-0.1395168 -0.1946519 2.767416;0.1865392 0.3080603 2.905373;0.2708787 0.05323154 2.89032;0.2706349 -0.1512593 2.797356;0.2565051 -0.2121272 2.786432;0.008008149 -0.0912598 2.844381;-0.04207744 -0.5226963 2.857895;-0.03357179 -0.8550029 2.815087;-0.01649434 -0.9240222 2.736023;0.1305372 -0.0775224 2.83761;0.1444466 -0.5204399 2.844498;0.1362718 -0.8666236 2.818279;0.1359615 -0.9318242 2.753106;0
0.07000956 -0.02470085 2.854716;0.07610803 0.04023426 2.920325;0.06631865 0.4366462 2.948076;0.05528868 0.6130006 2.935803;-0.08394604 0.2802517 2.928632;-0.1384531 0.03826906 2.87217;-0.1361808 -0.1697136 2.790773;-0.138965 -0.1981382 2.766497;0.1866098 0.3081147 2.905555;0.2708984 0.05318698 2.890334;0.2706303 -0.1513262 2.797357;0.2573473 -0.2123675 2.788153;0.007991968 -0.09116483 2.844482;-0.04207859 -0.5223528 2.857709;-0.03381637 -0.8548494 2.815109;-0.01645295 -0.9240035 2.736103;0.1305247 -0.07752501 2.837564;0.1444424 -0.5205566 2.844371;0.1363101 -0.8661925 2.817855;0.1358961 -0.9317728 2.752969;0
0.06997083 -0.02464641 2.854718;0.07600669 0.04029795 2.920292;0.06556017 0.4365412 2.947742;0.05519084 0.613055 2.935583;-0.08416933 0.2806655 2.929058;-0.1384151 0.03854215 2.872253;-0.1362064 -0.169549 2.791053;-0.1384878 -0.2014315 2.765279;0.1866691 0.3081776 2.905729;0.2709686 0.05310158 2.89037;0.2706299 -0.1514264 2.797372;0.2578071 -0.2126032 2.789289;0.007976793 -0.09109041 2.844547;-0.04212561 -0.5222526 2.857503;-0.03406586 -0.8547044 2.815118;-0.01640737 -0.9240028 2.73615;0.1305161 -0.07753181 2.837532;0.1444395 -0.5206622 2.844239;0.1363358 -0.8657966 2.81746;0.1358397 -0.9317261 2.752837;0
