HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.009405291 0.2599927 3.063095;0.00319809 0.3255437 3.118717;0.001030945 0.6955845 3.108758;-0.00210723 0.8679653 3.050543;-0.1691617 0.5867727 3.110162;-0.2355656 0.3267659 3.091454;-0.2483196 0.1057312 3.013725;-0.2354529 0.01267799 2.992001;0.1628076 0.587379 3.141659;0.2056704 0.3171591 3.120104;0.2132929 0.09885049 3.032878;0.2015358 0.006082155 3.009379;-0.06384316 0.1847146 3.03959;-0.1051244 -0.3492743 3.097288;-0.1542439 -0.6946434 3.078619;-0.1896627 -0.7734635 3.015365;0.08554298 0.1849874 3.066044;0.08632949 -0.3251449 3.123555;0.1222462 -0.6641545 3.102491;0.1609338 -0.7349908 3.069631;0
0.009366692 0.2594892 3.063285;0.00297723 0.3250433 3.118823;0.001211024 0.6945179 3.108264;-0.002084551 0.8680203 3.05125;-0.1687939 0.5864329 3.109516;-0.2363316 0.3278142 3.091971;-0.2426069 0.1054116 3.019041;-0.2289067 0.01306547 2.995145;0.1628216 0.5868368 3.142298;0.2058582 0.3163266 3.11983;0.2127018 0.09758271 3.034302;0.2004369 0.005188039 3.009767;-0.06384929 0.1843706 3.039813;-0.1051331 -0.3495345 3.097553;-0.154347 -0.6933756 3.078936;-0.1893171 -0.773176 3.014794;0.08541352 0.1844506 3.066345;0.08634493 -0.3252067 3.12369;0.1217784 -0.6636681 3.103317;0.1611281 -0.7349421 3.070791;0
0.009345818 0.2594153 3.063318;0.002936679 0.3249657 3.118841;0.001243004 0.6943136 3.108204;-0.002088733 0.8681 3.051429;-0.1687354 0.5863788 3.109408;-0.236484 0.3283222 3.092279;-0.2414123 0.1058633 3.020144;-0.2273438 0.0203557 2.997312;0.1627873 0.5867475 3.142365;0.2058861 0.3162037 3.119787;0.2125833 0.09740861 3.034528;0.2000341 0.00422629 3.009604;-0.06386275 0.1843248 3.039846;-0.1051345 -0.3495746 3.097592;-0.1543337 -0.6924062 3.079463;-0.1892135 -0.773026 3.014683;0.08532924 0.1843892 3.06641;0.08634784 -0.3252189 3.123704;0.1217089 -0.6635945 3.103442;0.1611572 -0.7349315 3.071006;0
0.009332385 0.2593645 3.063344;0.002907574 0.3249096 3.118856;0.00129117 0.6941466 3.108179;-0.002053327 0.8682359 3.05166;-0.1686421 0.586307 3.109262;-0.2366195 0.3287421 3.092539;-0.2410325 0.1065599 3.02053;-0.2263843 0.02125917 2.997673;0.1627569 0.5866673 3.142406;0.2059089 0.3161167 3.119757;0.2124542 0.09731899 3.034721;0.199748 0.003711008 3.009547;-0.06387082 0.184297 3.039869;-0.105148 -0.3495765 3.097611;-0.1542567 -0.690529 3.080417;-0.1890295 -0.7724827 3.014985;0.08525582 0.1843643 3.066486;0.08634783 -0.325237 3.123706;0.1221356 -0.6662071 3.102466;0.1620453 -0.7360079 3.070867;0
0.00931864 0.2593292 3.063367;0.002883543 0.3248681 3.118869;0.001326223 0.6940139 3.108167;-0.001872234 0.8685948 3.052527;-0.1685356 0.5862096 3.109114;-0.2367423 0.3290873 3.092772;-0.2406827 0.1070173 3.021017;-0.225664 0.0218201 2.998023;0.1627243 0.5866041 3.142427;0.2059247 0.316054 3.119734;0.2123281 0.09728028 3.034886;0.1994563 0.003361809 3.009531;-0.06387793 0.1842776 3.039886;-0.1051631 -0.3495821 3.097624;-0.1541445 -0.6888331 3.081344;-0.1888321 -0.7719061 3.015337;0.08517991 0.1843631 3.066562;0.08633136 -0.3253064 3.123687;0.1222248 -0.6673158 3.102339;0.162364 -0.7363673 3.070982;0
0.009308427 0.2593045 3.06339;0.0028657 0.3248382 3.118882;0.001356307 0.6939222 3.108164;-0.001669904 0.8690555 3.053389;-0.1684505 0.586096 3.108996;-0.2368632 0.3293604 3.092989;-0.2407394 0.1075143 3.02139;-0.2254157 0.02209492 2.998031;0.1626982 0.5865561 3.142443;0.2059355 0.3160101 3.119718;0.2121613 0.09728826 3.035055;0.1992429 0.003128688 3.009512;-0.06388152 0.1842604 3.0399;-0.1051756 -0.349611 3.097638;-0.1541333 -0.6882814 3.081659;-0.1887539 -0.771707 3.015317;0.08512484 0.1843719 3.066662;0.08631093 -0.3254514 3.123646;0.1224227 -0.668225 3.102066;0.1626907 -0.7367995 3.071126;0
0.009295059 0.2592961 3.063412;0.002848501 0.3248239 3.118895;0.001373428 0.6938608 3.108149;-0.001513261 0.8694925 3.053983;-0.1683692 0.5859815 3.108889;-0.2369777 0.3295433 3.093154;-0.2407027 0.1077982 3.021847;-0.2250857 0.02216322 2.998119;0.1626709 0.5865198 3.142451;0.2059495 0.3160121 3.119728;0.2119622 0.09739977 3.035231;0.1990541 0.003011229 3.009477;-0.0638857 0.1842515 3.039909;-0.1052001 -0.3496008 3.097631;-0.1538616 -0.686888 3.082959;-0.1849928 -0.7672186 3.023285;0.08504687 0.1844342 3.066809;0.08623578 -0.3251785 3.123468;0.1224421 -0.668569 3.101996;0.1628255 -0.7369301 3.071292;0
0.009281641 0.2593019 3.063439;0.002835427 0.3248202 3.118911;0.001401839 0.6938151 3.10815;-0.001363527 0.8698766 3.054522;-0.1682981 0.585875 3.108793;-0.2370842 0.3296446 3.093269;-0.2405919 0.1079476 3.022165;-0.2247348 0.02188373 2.998101;0.1625767 0.5864363 3.142407;0.2059529 0.3160077 3.119725;0.2117138 0.0974957 3.035431;0.1988707 0.002930424 3.009443;-0.06388907 0.1842573 3.039913;-0.1052352 -0.3491261 3.097444;-0.1535922 -0.6852509 3.083969;-0.1821789 -0.7636822 3.028805;0.08496397 0.1845187 3.066983;0.08602959 -0.3242162 3.12302;0.1223475 -0.6674565 3.102541;0.1628998 -0.7368909 3.071399;0
0.009266772 0.2593029 3.063466;0.002822038 0.3248164 3.118927;0.001428418 0.6937819 3.108157;-0.001197454 0.8702718 3.055062;-0.168227 0.5857278 3.108694;-0.2371934 0.3297063 3.093371;-0.2404892 0.1080536 3.022394;-0.2243374 0.02149189 2.998013;0.1624807 0.5863668 3.142377;0.205951 0.3160049 3.119723;0.2114423 0.09758435 3.035624;0.1987102 0.002879768 3.009414;-0.06389187 0.184253 3.039917;-0.1052497 -0.3482527 3.097194;-0.153353 -0.6835974 3.085064;-0.1801492 -0.7610581 3.032874;0.08487832 0.1845973 3.067162;0.08586571 -0.3232255 3.122503;0.1221637 -0.6660256 3.103297;0.1629339 -0.7367216 3.071531;0
0.009252978 0.2593053 3.063488;0.002809312 0.3248146 3.11894;0.001440769 0.6937551 3.108159;-0.001103439 0.8706723 3.055661;-0.1681534 0.5855771 3.108588;-0.2373141 0.3297671 3.093479;-0.2404048 0.1081504 3.022569;-0.224045 0.02115582 2.997998;0.1623731 0.5862928 3.142341;0.2059377 0.3159771 3.119727;0.2112029 0.09758697 3.035765;0.1985407 0.002804663 3.00938;-0.06389451 0.1842505 3.039919;-0.1052958 -0.3470243 3.09688;-0.1531661 -0.682299 3.085935;-0.1785632 -0.7587923 3.035995;0.08480281 0.1846684 3.067317;0.08571287 -0.3217141 3.121893;0.121358 -0.6636847 3.104878;0.1628325 -0.7361429 3.071784;0
