HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.009404516 0.09472525 2.963063;-0.010591 0.1585888 3.026896;-0.02285972 0.5475593 3.049026;-0.03397092 0.736966 3.048807;-0.1844959 0.4060605 3.031336;-0.2846152 0.187337 3.010667;-0.3648045 -0.01522671 2.964503;-0.4067244 -0.08471028 2.945359;0.1410625 0.4222201 3.028358;0.2626143 0.1762297 3.040093;0.3336156 -0.02906716 2.989857;0.3624645 -0.124315 2.936749;-0.08052771 0.01949056 2.949275;-0.1433196 -0.4415892 2.963794;-0.168241 -0.7873141 2.955086;-0.1930062 -0.8696633 2.899869;0.06597355 0.0267624 2.945078;0.1330267 -0.4417482 2.957455;0.1808148 -0.8191901 2.963107;0.1803513 -0.8755729 2.902556;0
-0.00935015 0.09478804 2.962997;-0.01060013 0.1586518 3.026825;-0.02285016 0.5476159 3.048927;-0.03414625 0.7369195 3.048961;-0.1845529 0.4059328 3.03096;-0.2846871 0.1873819 3.010501;-0.3644257 -0.01523447 2.963982;-0.398815 -0.09151198 2.945033;0.1411142 0.4221659 3.028329;0.2625618 0.176253 3.039861;0.3336295 -0.02897801 2.989771;0.3636495 -0.1277835 2.935803;-0.08049269 0.01952486 2.949194;-0.1433656 -0.4418412 2.963723;-0.168395 -0.7871213 2.955401;-0.1923985 -0.8698805 2.901638;0.06606454 0.02681391 2.945041;0.1330647 -0.4419862 2.957347;0.1807599 -0.8190601 2.963031;0.1828481 -0.8766372 2.906416;0
-0.009341898 0.09479865 2.962986;-0.01060181 0.1586618 3.026814;-0.02284864 0.5476243 3.048911;-0.03417244 0.7369122 3.048984;-0.1845718 0.4059075 3.030888;-0.284698 0.1873887 3.010476;-0.3643664 -0.01523445 2.963901;-0.3972676 -0.09290043 2.944818;0.1411221 0.4221578 3.028324;0.2625498 0.1762617 3.039819;0.3336301 -0.02895928 2.989763;0.3638748 -0.1284863 2.935712;-0.08048759 0.01953033 2.949182;-0.1433738 -0.4418802 2.96371;-0.1684225 -0.7870861 2.955452;-0.1922989 -0.8699087 2.901909;0.06607863 0.02682244 2.945035;0.1330703 -0.4420222 2.95733;0.18075 -0.8190514 2.962985;0.1837537 -0.8772916 2.908079;0
-0.009335487 0.09480813 2.962977;-0.01060304 0.1586708 3.026804;-0.02284494 0.5476314 3.048894;-0.03419099 0.7369046 3.049;-0.1846036 0.4058919 3.03083;-0.284707 0.187392 3.010454;-0.3643163 -0.01523642 2.963822;-0.3960417 -0.09406245 2.94456;0.1411274 0.4221507 3.02832;0.2625331 0.1762726 3.039783;0.3336297 -0.02893719 2.989762;0.3641372 -0.1293457 2.935999;-0.0804842 0.01953613 2.94917;-0.1433802 -0.4419093 2.963699;-0.1684437 -0.7870604 2.955488;-0.1920516 -0.869661 2.901548;0.0660894 0.0268291 2.94503;0.1330742 -0.4420492 2.957317;0.1807443 -0.819048 2.962936;0.1846164 -0.8778551 2.909524;0
-0.009331319 0.0948174 2.962969;-0.01060469 0.1586798 3.026795;-0.02283765 0.5476385 3.048872;-0.03420362 0.7368991 3.049012;-0.1846421 0.4058799 3.03078;-0.2847145 0.1873937 3.010438;-0.3642759 -0.0152383 2.963756;-0.3951268 -0.09487747 2.944363;0.1411314 0.422144 3.028317;0.2625165 0.1762833 3.039754;0.3336267 -0.0289167 2.989762;0.362793 -0.1202197 2.937339;-0.08048479 0.01954278 2.949157;-0.1433854 -0.4419317 2.963692;-0.1684628 -0.7870413 2.955515;-0.191868 -0.8694726 2.901201;0.06609743 0.02683444 2.945025;0.1330758 -0.4420748 2.957304;0.1806797 -0.8188047 2.963069;0.186021 -0.8783703 2.911437;0
-0.009329354 0.09482846 2.962959;-0.01060896 0.1586927 3.026782;-0.0228289 0.5476556 3.04883;-0.03421204 0.7368951 3.049021;-0.1846821 0.405867 3.030728;-0.2847213 0.1873938 3.010425;-0.3642444 -0.01524013 2.963701;-0.394455 -0.09545642 2.944217;0.1411349 0.4221378 3.028316;0.2625008 0.1762934 3.039729;0.3336235 -0.02889701 2.989764;0.3615883 -0.1123174 2.938489;-0.08048793 0.01955054 2.949143;-0.1433913 -0.441954 2.963688;-0.1684786 -0.7870263 2.955534;-0.1917252 -0.8693049 2.900876;0.06610326 0.02683984 2.94502;0.1330768 -0.4421059 2.957288;0.1806268 -0.8186166 2.963185;0.1871284 -0.8787911 2.912905;0
-0.009330574 0.09485007 2.962941;-0.01061628 0.1587172 3.02676;-0.0228206 0.5476809 3.048759;-0.03421387 0.7368959 3.049021;-0.1847257 0.4058558 3.030675;-0.2847292 0.1873962 3.010406;-0.3642139 -0.01523038 2.963622;-0.3939498 -0.09586336 2.944105;0.1411359 0.4221289 3.028313;0.2624831 0.1763026 3.039706;0.3336166 -0.02887832 2.98976;0.3605867 -0.1058576 2.939424;-0.08049475 0.01956746 2.949127;-0.1433966 -0.4419756 2.963686;-0.1684926 -0.7870141 2.955546;-0.1916106 -0.8691955 2.900619;0.06610629 0.02685299 2.945006;0.1330764 -0.442135 2.95727;0.1806075 -0.8183043 2.963355;0.1878257 -0.8787088 2.913782;0
-0.009330317 0.0948824 2.96292;-0.01062219 0.1587501 3.026733;-0.02280747 0.5477067 3.048682;-0.03421275 0.7368976 3.049017;-0.1847782 0.4058429 3.030614;-0.2847386 0.1873901 3.010382;-0.3641842 -0.01523483 2.963552;-0.3935525 -0.09615201 2.943968;0.1411414 0.4221007 3.028302;0.2624594 0.1763149 3.039676;0.333604 -0.02885777 2.989758;0.359642 -0.10007 2.94098;-0.08050327 0.01959451 2.949106;-0.1434005 -0.4420062 2.963684;-0.1685107 -0.7870026 2.955555;-0.1915242 -0.8691201 2.900433;0.06611108 0.0268691 2.94499;0.1330759 -0.4421674 2.957253;0.1805892 -0.8180869 2.96346;0.1884202 -0.8785782 2.914451;0
-0.009331932 0.09492363 2.962892;-0.0106311 0.1587917 3.026699;-0.02279854 0.547736 3.048596;-0.03419615 0.7369092 3.048999;-0.1848556 0.4058169 3.030538;-0.2847715 0.1873324 3.01033;-0.3641568 -0.01529484 2.963454;-0.3916821 -0.09337769 2.943219;0.1411498 0.4220631 3.028289;0.2624313 0.1763202 3.039642;0.3335897 -0.02884484 2.989756;0.3588957 -0.09566084 2.942158;-0.0805151 0.01962558 2.949082;-0.1434027 -0.4420281 2.963681;-0.1685704 -0.7869813 2.955531;-0.1914556 -0.8690661 2.900267;0.06611719 0.02689039 2.944965;0.1330807 -0.4422323 2.957224;0.1806142 -0.8179696 2.963545;0.1889184 -0.8784178 2.914946;0
-0.009331033 0.09496941 2.962857;-0.01063835 0.158843 3.026651;-0.02276788 0.5477585 3.048404;-0.03416189 0.7369398 3.048959;-0.1849367 0.4057887 3.030445;-0.284813 0.1872642 3.010264;-0.3641334 -0.01536415 2.96336;-0.3900575 -0.09078676 2.942538;0.1411597 0.4220207 3.028273;0.2624012 0.1763228 3.039603;0.3335726 -0.02883381 2.989748;0.358327 -0.09231965 2.943018;-0.08052629 0.01965829 2.949056;-0.1434056 -0.442049 2.963677;-0.1686413 -0.786956 2.95549;-0.1914006 -0.869024 2.900115;0.06612612 0.02691404 2.944933;0.1330834 -0.4423054 2.957195;0.1806441 -0.8178645 2.963627;0.1893976 -0.8783048 2.915487;0
-0.009327702 0.09502787 2.962806;-0.01064832 0.1589148 3.026579;-0.02272549 0.5478083 3.048117;-0.03410049 0.737029 3.048928;-0.1850144 0.4057676 3.030313;-0.2848646 0.1871671 3.010169;-0.3641005 -0.01546934 2.963255;-0.3886423 -0.08849825 2.94147;0.1411644 0.4219829 3.02826;0.262368 0.1763268 3.03956;0.3335543 -0.02882321 2.989741;0.3578862 -0.08975746 2.94377;-0.08053241 0.01972933 2.948984;-0.1434085 -0.4420598 2.963662;-0.1687395 -0.7869093 2.955398;-0.1913504 -0.8690062 2.900031;0.06613516 0.02694029 2.9449;0.1330844 -0.4423766 2.957165;0.1806738 -0.8177712 2.963696;0.1897972 -0.8782244 2.915871;0
-0.009324243 0.09508695 2.962753;-0.01065978 0.1589891 3.026502;-0.02269411 0.5478641 3.04782;-0.03403699 0.7371215 3.048898;-0.1850923 0.4057488 3.030157;-0.2849197 0.1870606 3.010075;-0.3640712 -0.01558709 2.963147;-0.3875221 -0.08654056 2.940647;0.1411644 0.4219355 3.028238;0.2623363 0.1763282 3.039522;0.3335364 -0.02881468 2.989733;0.3575501 -0.08784997 2.944341;-0.08053613 0.01980918 2.9489;-0.1434109 -0.4420678 2.963646;-0.1688188 -0.7868783 2.955297;-0.1913076 -0.8689939 2.899963;0.06614358 0.02696566 2.944869;0.1330837 -0.4424556 2.957137;0.1807094 -0.8176547 2.96377;0.190166 -0.878163 2.916272;0
