HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.003354091 0.1062162 2.919914;-0.004402767 0.1693555 2.983177;-0.01713128 0.5542722 3.005382;-0.03547668 0.7363065 3.016937;-0.1856804 0.4043495 2.992971;-0.2645973 0.160793 2.957576;-0.317012 -0.04129764 2.863564;-0.3295999 -0.1379109 2.820375;0.1383081 0.4220155 2.989114;0.2366931 0.172213 2.985955;0.2973975 -0.03618173 2.918506;0.3136642 -0.0961301 2.870065;-0.07406114 0.03100703 2.905155;-0.1338245 -0.4511869 2.927992;-0.159313 -0.7926308 2.927458;-0.1675029 -0.8712439 2.88789;0.0717337 0.03895673 2.902927;0.1302079 -0.4403471 2.92321;0.1677838 -0.8118218 2.952172;0.1907238 -0.8744962 2.893225;0
-0.003504968 0.1061998 2.919918;-0.004474808 0.1693256 2.983153;-0.01719159 0.5538279 3.005133;-0.03432659 0.7361918 3.017107;-0.1857488 0.4042342 2.992837;-0.2646353 0.1605156 2.957552;-0.3172005 -0.04149145 2.863387;-0.3293722 -0.1379048 2.82008;0.138049 0.4215492 2.988613;0.2367393 0.1719816 2.985955;0.2976329 -0.03635973 2.918449;0.3135102 -0.09631125 2.870102;-0.07422218 0.0310248 2.905161;-0.1336934 -0.4507386 2.928026;-0.1586701 -0.7903339 2.927665;-0.1676512 -0.8699141 2.8891;0.07150003 0.03891601 2.903003;0.1301567 -0.4398544 2.923143;0.1683146 -0.8128247 2.949066;0.1895428 -0.8739961 2.892304;0
-0.003530167 0.1061955 2.91992;-0.004486992 0.1693202 2.98315;-0.0172 0.5537592 3.005095;-0.03413166 0.7361674 3.017148;-0.185759 0.4042164 2.992817;-0.2646414 0.1604727 2.957548;-0.3172302 -0.04152328 2.863362;-0.3293354 -0.1379026 2.820037;0.1380097 0.4214789 2.988538;0.236747 0.1719431 2.985955;0.2976687 -0.03639209 2.918439;0.3134868 -0.09633914 2.870107;-0.07425001 0.03102479 2.905164;-0.1336281 -0.4513147 2.928327;-0.1580292 -0.7917029 2.928362;-0.1698718 -0.8699046 2.87125;0.0714577 0.03890666 2.903022;0.1301479 -0.4397745 2.923131;0.1683946 -0.8129612 2.948573;0.1893485 -0.8739076 2.892152;0
-0.003553821 0.1061899 2.919925;-0.004499873 0.1693144 2.98315;-0.01720608 0.5537063 3.005067;-0.03398243 0.7361451 3.017197;-0.1857658 0.4042012 2.992799;-0.2646441 0.1604391 2.957548;-0.3172525 -0.04154586 2.863342;-0.3293052 -0.1378983 2.820005;0.1379802 0.4214217 2.988483;0.2367501 0.1719169 2.986012;0.2976363 -0.0364266 2.918485;0.3134547 -0.0963375 2.870129;-0.07427625 0.03102298 2.905168;-0.1335783 -0.4524883 2.928819;-0.1574188 -0.793216 2.928964;-0.1712467 -0.8706275 2.859399;0.07141322 0.03889441 2.903047;0.1301408 -0.439714 2.923121;0.1684549 -0.8130637 2.948204;0.1891774 -0.873828 2.891984;0
-0.003574073 0.1061849 2.91993;-0.004516063 0.1693079 2.983151;-0.01721515 0.5536581 3.005049;-0.03386682 0.7361233 3.017237;-0.1857642 0.4041809 2.992758;-0.264646 0.1604117 2.957551;-0.3172694 -0.04156398 2.863328;-0.3292895 -0.1378872 2.819987;0.1379583 0.4213729 2.988446;0.2367599 0.1718713 2.986087;0.297607 -0.03647752 2.918522;0.3134296 -0.09635025 2.870164;-0.07429819 0.03102136 2.905169;-0.1335557 -0.4534554 2.929237;-0.1568719 -0.7942945 2.929756;-0.1668006 -0.8721793 2.876766;0.07137217 0.0388838 2.903074;0.1301331 -0.4396662 2.92311;0.1684988 -0.8131436 2.947934;0.1890207 -0.8737631 2.891637;0
-0.003594141 0.1061784 2.919938;-0.004536264 0.1693006 2.983157;-0.01723059 0.5536177 3.005035;-0.03377755 0.7361013 3.017275;-0.1857632 0.4041634 2.992712;-0.2646481 0.1603956 2.957556;-0.3172811 -0.04157247 2.863315;-0.3292964 -0.1378367 2.820015;0.1379427 0.4213321 2.988424;0.2367737 0.1718237 2.98617;0.2975686 -0.03653242 2.918562;0.3134052 -0.09635325 2.870203;-0.07431949 0.03101791 2.905172;-0.1335401 -0.4542738 2.929601;-0.1564856 -0.7950275 2.930287;-0.1667909 -0.8723308 2.876933;0.0713321 0.0388685 2.90311;0.1301262 -0.4396291 2.9231;0.1685335 -0.8132003 2.947736;0.1888754 -0.8737095 2.891269;0
-0.003632477 0.1061635 2.919958;-0.004589015 0.1692832 2.983174;-0.01729112 0.5535418 3.005018;-0.03361177 0.7360388 3.017366;-0.1857554 0.4041343 2.992617;-0.2646528 0.160565 2.957629;-0.3172484 -0.04138082 2.863334;-0.3292235 -0.1373312 2.820251;0.1379369 0.421261 2.988431;0.2368014 0.1717564 2.986446;0.2975368 -0.03657255 2.918628;0.3133338 -0.09628379 2.870319;-0.07435796 0.03100877 2.905179;-0.1335313 -0.454993 2.929916;-0.1559883 -0.7960545 2.931308;-0.1664647 -0.8721364 2.878276;0.07125546 0.03883039 2.903201;0.1301149 -0.4395856 2.923084;0.1685985 -0.8132817 2.947486;0.1886648 -0.8736448 2.890735;0
-0.003677668 0.1061514 2.919988;-0.004658483 0.1692681 2.983201;-0.0173594 0.553477 3.005008;-0.0334342 0.7359869 3.017483;-0.1857504 0.4041136 2.992509;-0.2646769 0.1608096 2.957738;-0.3171839 -0.04105935 2.863328;-0.3291105 -0.1366095 2.820552;0.1379556 0.4211953 2.988478;0.2368326 0.1716512 2.986725;0.2975027 -0.03663447 2.918757;0.313821 -0.09948034 2.869008;-0.07440493 0.03100228 2.90519;-0.1335561 -0.4554673 2.930118;-0.1544829 -0.8018224 2.934237;-0.1662737 -0.8725415 2.877882;0.07117136 0.03878849 2.903323;0.130105 -0.4395677 2.92307;0.1686863 -0.8130565 2.94743;0.1883956 -0.8735648 2.890079;0
-0.003703908 0.106147 2.920007;-0.004700036 0.1692618 2.983218;-0.01739901 0.5534451 3.005008;-0.03336044 0.7359614 3.017538;-0.1857575 0.4040889 2.992442;-0.2647177 0.1609055 2.957787;-0.3171538 -0.04092756 2.863301;-0.3290939 -0.1364302 2.820635;0.1379657 0.4211684 2.988505;0.2368452 0.1715837 2.986884;0.297492 -0.03666469 2.918821;0.3141625 -0.1034681 2.867602;-0.07443395 0.0310018 2.9052;-0.1335844 -0.45557 2.930144;-0.1542377 -0.8025683 2.934929;-0.1656532 -0.8716639 2.882303;0.07112855 0.03876908 2.903385;0.1301003 -0.4395602 2.923064;0.1687326 -0.8127734 2.94742;0.1882668 -0.8735178 2.889791;0
-0.003733569 0.1061417 2.920027;-0.004747065 0.1692522 2.983238;-0.01745314 0.5533951 3.005014;-0.03325455 0.7359266 3.017595;-0.1857684 0.4040616 2.992372;-0.2647583 0.1609971 2.957836;-0.3171152 -0.0408024 2.863276;-0.329071 -0.1363178 2.820677;0.1379758 0.4211369 2.988528;0.236862 0.1715146 2.987044;0.2974816 -0.0366961 2.918889;0.3144107 -0.1072198 2.866143;-0.07446657 0.03100126 2.90521;-0.1336147 -0.4555411 2.930125;-0.1540951 -0.8030623 2.935304;-0.1653759 -0.8712625 2.884554;0.07108408 0.03874646 2.903446;0.1300957 -0.4395545 2.923059;0.168777 -0.8124641 2.947439;0.1881557 -0.8734826 2.889529;0
