HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.1820716 0.1059217 3.244769;-0.1806847 0.169415 3.313944;-0.1756026 0.5726067 3.352223;-0.1873642 0.7598686 3.316114;-0.3471938 0.4249897 3.329583;-0.4327872 0.1390058 3.320718;-0.4561484 -0.1074186 3.222237;-0.4601061 -0.1957471 3.190711;0.002199037 0.4399227 3.331523;0.07123872 0.14995 3.257354;0.06507413 -0.08697698 3.147385;0.05420723 -0.1765205 3.101355;-0.2617503 0.02570595 3.213418;-0.3417365 -0.5349804 3.249727;-0.3861488 -0.9057985 3.248385;-0.4185666 -0.9770557 3.203902;-0.1045236 0.03242581 3.235729;-0.006349247 -0.5302976 3.249492;0.0391146 -0.8957841 3.249544;0.06389949 -0.954487 3.184143;0
-0.1807818 0.1128648 3.244856;-0.1798865 0.1740305 3.313531;-0.1757164 0.5725265 3.351168;-0.1872211 0.7611226 3.315672;-0.3472043 0.4250036 3.328655;-0.4327172 0.1393984 3.320571;-0.4580871 -0.1031008 3.223281;-0.4633192 -0.1960264 3.191005;0.002250209 0.4394824 3.330366;0.07138932 0.1497805 3.256718;0.06699481 -0.08645852 3.145506;0.053941 -0.1758478 3.099726;-0.2601602 0.03317986 3.212923;-0.3416204 -0.5332562 3.248006;-0.3857507 -0.9057254 3.247989;-0.4189994 -0.9760253 3.203248;-0.1029015 0.03847133 3.236243;-0.006455163 -0.5289739 3.248151;0.04095845 -0.895069 3.248246;0.06605777 -0.9574851 3.184446;0
-0.1805779 0.1146992 3.244909;-0.1797245 0.1752009 3.313448;-0.1757336 0.5725149 3.350982;-0.1872224 0.7613549 3.315611;-0.3472244 0.4250269 3.328515;-0.4327066 0.139478 3.320574;-0.4584721 -0.1022077 3.223611;-0.4638802 -0.1960019 3.191047;0.002237417 0.4393973 3.330003;0.07147232 0.1501613 3.256532;0.06299874 -0.08105983 3.138951;0.04131535 -0.1666479 3.090446;-0.2599416 0.03522006 3.212886;-0.3406117 -0.5268088 3.245785;-0.3856817 -0.9057078 3.247936;-0.4191558 -0.9752787 3.203376;-0.1026291 0.03998026 3.236377;-0.006455752 -0.5286149 3.247879;0.04128182 -0.8949411 3.248006;0.06643166 -0.9580154 3.184491;0
-0.180933 0.1168913 3.245051;-0.1798237 0.1766823 3.313373;-0.1758003 0.5724927 3.350693;-0.187539 0.7616879 3.315542;-0.3472783 0.4250696 3.328437;-0.4327234 0.13957 3.320704;-0.458828 -0.101199 3.224102;-0.4643213 -0.1957258 3.191068;0.002068 0.4393385 3.329114;0.07469743 0.1635063 3.255875;0.04928108 -0.05194329 3.127536;0.003990004 -0.1254501 3.076184;-0.260617 0.03797261 3.213573;-0.3407592 -0.5239158 3.243863;-0.3856261 -0.9056982 3.247903;-0.4188643 -0.9730719 3.203369;-0.1030629 0.04213625 3.236351;-0.006434083 -0.5281851 3.247593;0.04157932 -0.8947048 3.247729;0.06668329 -0.9583747 3.184529;0
-0.1822693 0.1195975 3.245466;-0.1803188 0.1785395 3.313413;-0.1759983 0.5724154 3.350277;-0.1883601 0.7622385 3.315474;-0.3481048 0.4255266 3.329236;-0.4328121 0.1397956 3.321358;-0.459233 -0.09960442 3.224931;-0.4646529 -0.1946216 3.191045;0.001534567 0.4391948 3.327068;0.07836423 0.1813989 3.253361;0.01334607 -0.009808117 3.109838;-0.049721 -0.07276434 3.056819;-0.2627878 0.04139532 3.215067;-0.3411295 -0.5218586 3.241996;-0.3855869 -0.9056979 3.247873;-0.4187127 -0.9713564 3.203093;-0.1042622 0.0444932 3.236346;-0.006410737 -0.5276181 3.247293;0.04181608 -0.8943896 3.247332;0.06687429 -0.958649 3.184526;0
-0.1885512 0.1301554 3.247565;-0.1826437 0.1851491 3.313849;-0.1769707 0.572057 3.348778;-0.1940566 0.7631597 3.310588;-0.3526068 0.4272004 3.336386;-0.4327572 0.1409343 3.32409;-0.460663 -0.0957965 3.230794;-0.4657468 -0.1906191 3.192361;-0.0005944035 0.4392307 3.322423;0.08076631 0.193588 3.2502;-0.01331709 0.02209899 3.096629;-0.09135309 -0.02784652 3.042801;-0.2722066 0.05561479 3.224793;-0.3424666 -0.5196755 3.238693;-0.3855524 -0.9057887 3.247767;-0.4188423 -0.9701666 3.20267;-0.1109282 0.05495824 3.234962;-0.006407179 -0.5273501 3.247034;0.04198699 -0.8941617 3.246958;0.06699196 -0.9589438 3.184337;0
-0.1927716 0.1370548 3.24918;-0.1844668 0.1905375 3.314335;-0.178507 0.5714665 3.346745;-0.2007575 0.7634856 3.306755;-0.3566621 0.4285469 3.34266;-0.4328067 0.1460565 3.332953;-0.4616145 -0.08637419 3.238607;-0.467522 -0.1780788 3.194223;-0.00393535 0.4393772 3.316554;0.08278377 0.2032654 3.245236;-0.04335559 0.0572954 3.080341;-0.1366857 0.02177629 3.034847;-0.2773176 0.06332759 3.230802;-0.3449166 -0.5172981 3.233535;-0.3855355 -0.906015 3.247504;-0.419116 -0.9688962 3.200999;-0.1152871 0.06165261 3.234089;-0.006455215 -0.5267637 3.246545;0.04213469 -0.8939124 3.246515;0.06708647 -0.9592131 3.184262;0
-0.1958135 0.1389958 3.250824;-0.1853707 0.1925907 3.314769;-0.1811192 0.5703695 3.344113;-0.2118977 0.7623112 3.300771;-0.3654582 0.4301613 3.356566;-0.4326855 0.150585 3.344026;-0.4627389 -0.0778321 3.24606;-0.4694647 -0.166275 3.196126;-0.01131263 0.4409246 3.307852;0.08371304 0.2141331 3.233124;-0.06449711 0.07934638 3.070642;-0.1718464 0.05933605 3.034136;-0.2813588 0.06317563 3.238005;-0.3475366 -0.5150511 3.228671;-0.3855594 -0.9062063 3.246829;-0.4193475 -0.9676836 3.199242;-0.11807 0.06385595 3.23381;-0.006567279 -0.5261586 3.245857;0.04242835 -0.8938472 3.245751;0.06714161 -0.9596725 3.183999;0
-0.1947844 0.103835 3.251974;-0.1833702 0.1730096 3.314833;-0.1842527 0.5689822 3.341664;-0.2206768 0.7608377 3.29673;-0.3716288 0.4314817 3.367353;-0.4321207 0.154888 3.358195;-0.4635593 -0.06925368 3.252333;-0.4709625 -0.1544025 3.197642;-0.01789586 0.4417183 3.300002;0.06776513 0.2151763 3.198909;-0.09403458 0.07879787 3.060077;-0.2024128 0.07062362 3.033346;-0.2754524 0.02603967 3.247965;-0.3494844 -0.5127891 3.225286;-0.3855898 -0.9063747 3.246246;-0.4197637 -0.9670823 3.198638;-0.1155949 0.02800761 3.22707;-0.006670282 -0.5256526 3.245275;0.04270994 -0.8939185 3.244795;0.06718846 -0.960295 3.183635;0
-0.1965014 0.09945006 3.253258;-0.183673 0.170052 3.315258;-0.1889211 0.5671303 3.339189;-0.2317186 0.7569471 3.29212;-0.3780072 0.431044 3.377604;-0.4342325 0.1600424 3.383958;-0.4634755 -0.05774522 3.260403;-0.4713489 -0.1382979 3.200037;-0.02510148 0.442203 3.292674;0.04598517 0.2166087 3.16972;-0.1461293 0.09997515 3.053631;-0.2566202 0.1024078 3.038049;-0.2751301 0.01957763 3.253011;-0.351062 -0.5110139 3.222895;-0.3856464 -0.9065269 3.245648;-0.4202516 -0.9666998 3.198205;-0.1195903 0.0248436 3.225504;-0.00681988 -0.5253031 3.244545;0.04313485 -0.8941153 3.243876;0.067182 -0.9609427 3.183213;0
