HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.02190976 0.2579721 3.106576;-0.01853196 0.3204479 3.167107;-0.001749256 0.6948258 3.181082;-0.004880488 0.873246 3.127214;-0.1824168 0.5849395 3.164865;-0.2546567 0.3263749 3.138066;-0.235204 0.1112016 3.054328;-0.2263951 0.0477023 3.031485;0.1454099 0.5754115 3.162819;0.1848911 0.3214687 3.122334;0.1639065 0.03290769 3.020577;0.1875809 -0.01075096 3.012594;-0.09901047 0.187749 3.087665;-0.1299382 -0.332789 3.135805;-0.1843945 -0.6676793 3.120054;-0.2164309 -0.7381445 3.068993;0.04851158 0.1834614 3.09615;0.04355912 -0.3286394 3.163051;0.08127614 -0.6736844 3.144067;0.1289237 -0.7527497 3.106184;0
-0.02198191 0.2578296 3.106709;-0.01876661 0.3202685 3.167221;-0.004518537 0.692944 3.180186;-0.004891159 0.8732883 3.127187;-0.1825633 0.5848104 3.164721;-0.2548486 0.326491 3.139172;-0.235374 0.1115974 3.054475;-0.2248641 0.03590029 3.027503;0.1455823 0.5752138 3.162729;0.185046 0.3176206 3.122354;0.1702132 0.06644475 3.032362;0.1771177 -0.002996537 3.013168;-0.09906892 0.1874401 3.088031;-0.1309594 -0.3337604 3.135748;-0.1882741 -0.6788679 3.114682;-0.2182184 -0.7427396 3.063186;0.04862347 0.1831776 3.096269;0.04410452 -0.3285251 3.162886;0.08089399 -0.6721513 3.14414;0.1308995 -0.7523837 3.102763;0
-0.02199809 0.2578023 3.106734;-0.01880699 0.3202374 3.16724;-0.005049667 0.6925907 3.179993;-0.004892908 0.8732949 3.127181;-0.1825975 0.5847855 3.164708;-0.2548803 0.3265121 3.13935;-0.2354053 0.111663 3.054501;-0.2244133 0.03263314 3.026395;0.1456083 0.575184 3.162715;0.185085 0.3168658 3.12237;0.1717083 0.07554262 3.035469;0.1749453 -0.001580785 3.013244;-0.09909378 0.1873683 3.088109;-0.1311889 -0.3341148 3.135791;-0.1896506 -0.6822646 3.112816;-0.218503 -0.7438413 3.061981;0.04863869 0.1831289 3.09629;0.04419419 -0.3285129 3.162858;0.08056558 -0.6713488 3.144334;0.1312338 -0.7522764 3.102151;0
-0.02201367 0.2577785 3.106755;-0.01883948 0.3202123 3.167255;-0.005451419 0.6923137 3.17983;-0.004893829 0.8733001 3.127176;-0.1826274 0.5847656 3.1647;-0.2549086 0.3265342 3.139493;-0.23544 0.1117263 3.054528;-0.2239597 0.029706 3.025418;0.1456274 0.5751638 3.162704;0.1851104 0.3162674 3.122388;0.1726933 0.08161553 3.037533;0.1731639 -0.0006599259 3.013314;-0.09912268 0.1872994 3.088185;-0.1313836 -0.3344525 3.135831;-0.1906295 -0.6844953 3.111606;-0.2186345 -0.7448497 3.061246;0.04864862 0.1830905 3.096308;0.04426565 -0.3285003 3.16283;0.08025847 -0.6705138 3.144485;0.1314879 -0.7521721 3.101684;0
-0.02203713 0.2577453 3.106775;-0.01887782 0.3201812 3.167267;-0.005900588 0.6920662 3.179633;-0.004894202 0.873303 3.127169;-0.1826552 0.5847492 3.164699;-0.2549341 0.3265516 3.139609;-0.2354759 0.1117913 3.054559;-0.2234864 0.02722045 3.0246;0.1456294 0.5751623 3.162691;0.1851275 0.3157725 3.12241;0.1733056 0.08572241 3.038925;0.1716655 -5.047891E-05 3.013443;-0.09915764 0.187214 3.088275;-0.1315408 -0.3347507 3.135874;-0.1913082 -0.6861818 3.110759;-0.2186731 -0.7457838 3.06076;0.04865183 0.1830547 3.09632;0.04432381 -0.3284906 3.162804;0.08007029 -0.6700979 3.144604;0.1317024 -0.7521385 3.101354;0
-0.02205869 0.2577117 3.106797;-0.0189121 0.3201523 3.167278;-0.006284968 0.691863 3.179453;-0.00489658 0.8733594 3.127131;-0.1826794 0.5847374 3.1647;-0.2549572 0.3265793 3.139714;-0.2355189 0.1118618 3.054593;-0.2230622 0.02509042 3.023821;0.1456246 0.5751699 3.162678;0.1851351 0.3153772 3.122426;0.1737584 0.08866747 3.039912;0.1704568 0.0002620881 3.013534;-0.0991822 0.187125 3.088387;-0.1317392 -0.3351996 3.136009;-0.1923541 -0.6882083 3.109598;-0.218575 -0.7478322 3.060266;0.04865429 0.1830235 3.096332;0.04437842 -0.3285278 3.162776;0.07984525 -0.6696342 3.14479;0.1318837 -0.7520058 3.10102;0
-0.02207863 0.2576805 3.106816;-0.01894493 0.320125 3.167287;-0.006611101 0.6917038 3.17931;-0.004898141 0.8733788 3.127106;-0.1826946 0.5847298 3.164697;-0.2549785 0.3266018 3.139802;-0.2355541 0.1119189 3.054627;-0.222624 0.02330596 3.023235;0.1456188 0.5751737 3.162664;0.1851249 0.3149173 3.122438;0.1740925 0.09076685 3.040623;0.1695141 0.0004298517 3.013611;-0.09919871 0.1870507 3.088489;-0.1318762 -0.3353313 3.136098;-0.1928653 -0.6890894 3.109;-0.2183205 -0.7485764 3.059914;0.04865544 0.1829966 3.096341;0.04441115 -0.3285449 3.162745;0.07965581 -0.6692975 3.14497;0.1320622 -0.7518635 3.100725;0
-0.02209949 0.2576518 3.106833;-0.01897793 0.3200994 3.167293;-0.006882381 0.6915787 3.17919;-0.004899061 0.8733991 3.127073;-0.1827064 0.5847241 3.164694;-0.2549973 0.3266228 3.139873;-0.2355871 0.1119669 3.054657;-0.22228 0.0219612 3.022788;0.1455966 0.5751787 3.162644;0.1851093 0.3145278 3.12246;0.1743208 0.09230835 3.041137;0.1687483 0.0005001482 3.01371;-0.09921328 0.1869907 3.088581;-0.1320187 -0.3355249 3.136203;-0.1937633 -0.6903241 3.107753;-0.2182729 -0.7500496 3.059253;0.04865246 0.1829753 3.096348;0.04443827 -0.3285837 3.162694;0.07960476 -0.6690727 3.145014;0.1322547 -0.7517737 3.10045;0
-0.0221238 0.2576204 3.106851;-0.01900995 0.3200747 3.167297;-0.007134315 0.6914499 3.179028;-0.004900019 0.8734272 3.127034;-0.1827159 0.5847204 3.164692;-0.2550146 0.3266446 3.139931;-0.2356167 0.1120099 3.054683;-0.2218756 0.02056791 3.02226;0.1455625 0.5751779 3.162599;0.1851029 0.3141543 3.122469;0.1744556 0.09338937 3.04149;0.1681604 0.0005152043 3.013791;-0.09923087 0.1869325 3.088683;-0.1321309 -0.3356932 3.136311;-0.1941814 -0.6909049 3.107285;-0.2182335 -0.750646 3.058993;0.04864391 0.1829513 3.096354;0.04445176 -0.3286192 3.162657;0.07960854 -0.668882 3.145004;0.1324716 -0.7517472 3.100105;0
-0.02215056 0.2575841 3.106869;-0.01904287 0.320046 3.167301;-0.007358009 0.6913364 3.178887;-0.00489575 0.8734716 3.126992;-0.1827237 0.5847181 3.164691;-0.2550286 0.3266638 3.13998;-0.2356447 0.1120448 3.054709;-0.2216665 0.01969494 3.02201;0.145485 0.5751742 3.162517;0.185097 0.3138672 3.122495;0.1744778 0.09402905 3.04166;0.1676835 0.0004734152 3.013869;-0.09924556 0.186879 3.088779;-0.1322211 -0.3357708 3.136395;-0.193465 -0.6906201 3.108118;-0.218227 -0.7510266 3.058835;0.0486318 0.1829259 3.096359;0.04446118 -0.3286587 3.162618;0.07967445 -0.6687327 3.144872;0.132642 -0.7517739 3.099786;0
