HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.06069967 0.2090354 2.878159;-0.06069745 0.2728669 2.939188;-0.05830015 0.6522942 2.949345;-0.1090748 0.8261715 2.898295;-0.245536 0.5279455 2.940712;-0.301313 0.2566028 2.902568;-0.3041358 0.007686152 2.797411;-0.2822054 -0.09409183 2.771207;0.1053727 0.5393271 2.945587;0.1949764 0.240286 2.929757;0.2091381 0.002774045 2.836813;0.2051607 -0.1008948 2.809186;-0.140074 0.1289049 2.864071;-0.1639221 -0.444947 2.866838;-0.1723217 -0.8207468 2.84214;-0.224021 -0.8715185 2.742835;0.01783488 0.1340267 2.862319;0.07272991 -0.4320828 2.885877;0.1092075 -0.8155876 2.88523;0.1278213 -0.8718546 2.816357;0
-0.06074941 0.20899 2.87826;-0.0607915 0.2728745 2.939297;-0.05878345 0.6530253 2.949466;-0.1091 0.8263697 2.898417;-0.2453848 0.5278393 2.940489;-0.3012308 0.2571093 2.902843;-0.3042028 0.007692412 2.797342;-0.2831794 -0.09439189 2.770971;0.1053866 0.5394228 2.945624;0.1942459 0.2418315 2.929255;0.2088911 0.004127862 2.838518;0.20435 -0.09951663 2.810305;-0.1400952 0.1288456 2.864197;-0.1639086 -0.4449006 2.866931;-0.1724982 -0.8207283 2.842207;-0.2243065 -0.8717872 2.742409;0.0177968 0.13402 2.862415;0.07260538 -0.4335125 2.886041;0.1090695 -0.8161064 2.885;0.1293772 -0.8723304 2.816032;0
-0.06075693 0.2089831 2.878276;-0.06080575 0.2728757 2.939314;-0.05886046 0.653144 2.949486;-0.1091045 0.8264029 2.898437;-0.2453619 0.5278263 2.940456;-0.3012181 0.2571864 2.902885;-0.3042197 0.007681007 2.79732;-0.2843823 -0.09630826 2.769767;0.1053891 0.5394375 2.94563;0.1941265 0.2420802 2.929171;0.208404 -0.0004115497 2.838558;0.2039047 -0.10717 2.808995;-0.1400985 0.1288366 2.864216;-0.1639083 -0.4448937 2.866945;-0.1725303 -0.8207094 2.842216;-0.2242962 -0.8717773 2.742364;0.01779112 0.1340187 2.86243;0.07258358 -0.4336905 2.88605;0.1090491 -0.8161855 2.884966;0.129608 -0.8724322 2.816056;0
-0.06076258 0.2089779 2.878287;-0.06081638 0.2728765 2.939326;-0.05891939 0.6532325 2.949503;-0.1091037 0.8264269 2.898458;-0.2453449 0.527818 2.940431;-0.3012052 0.2572488 2.902921;-0.304242 0.007620434 2.79727;-0.2855578 -0.09794465 2.768697;0.1053909 0.5394476 2.945632;0.1940292 0.242294 2.929093;0.2083336 -0.0008839945 2.838895;0.2037572 -0.1083777 2.808948;-0.1401009 0.1288298 2.86423;-0.1639121 -0.4448886 2.866955;-0.1725548 -0.8206916 2.842227;-0.2242782 -0.8717592 2.742319;0.01778688 0.1340176 2.86244;0.07251132 -0.4340484 2.886122;0.1090337 -0.816244 2.88494;0.1298575 -0.8725799 2.816167;0
-0.0607668 0.208974 2.878296;-0.06082441 0.2728771 2.939336;-0.05896506 0.6533031 2.949518;-0.1090895 0.8264388 2.898495;-0.2453271 0.5278196 2.940404;-0.3011945 0.2572969 2.902949;-0.3042714 0.00752493 2.797195;-0.2859795 -0.0990511 2.768357;0.1053925 0.5394539 2.945629;0.1939465 0.2424811 2.929022;0.2082996 -0.001191261 2.839206;0.2036369 -0.1092176 2.808931;-0.1401027 0.1288249 2.864241;-0.1639206 -0.4448871 2.866964;-0.1725776 -0.8206756 2.842239;-0.2242688 -0.8717487 2.742279;0.01778371 0.1340167 2.862448;0.07244532 -0.4343553 2.886187;0.1090223 -0.8162876 2.884921;0.1300584 -0.872713 2.816261;0
-0.06076996 0.2089713 2.878302;-0.06083041 0.2728776 2.939342;-0.05899886 0.6533558 2.949529;-0.1089774 0.8264081 2.898617;-0.2453116 0.5278269 2.94038;-0.3011839 0.2573361 2.902973;-0.3043015 0.007426328 2.797117;-0.2865628 -0.1009277 2.767817;0.105396 0.5394547 2.945618;0.1938761 0.2426424 2.928953;0.2081449 -0.003578131 2.838879;0.2032408 -0.1141127 2.808023;-0.1401039 0.1288221 2.864249;-0.163945 -0.4448996 2.866971;-0.1725996 -0.8206614 2.842248;-0.224267 -0.8717469 2.742241;0.0177814 0.134016 2.862454;0.07238462 -0.4346395 2.886255;0.1090142 -0.816318 2.884907;0.1301962 -0.8727937 2.816304;0
-0.0607724 0.2089698 2.878307;-0.06083518 0.2728793 2.939348;-0.05902805 0.6534206 2.949534;-0.1086385 0.8266758 2.898849;-0.2452975 0.5278407 2.940356;-0.3011728 0.2573693 2.902993;-0.3043351 0.00738748 2.797066;-0.2870827 -0.1028626 2.767299;0.1054038 0.5394577 2.945608;0.1938135 0.2427875 2.928884;0.2080087 -0.00574802 2.83851;0.2028261 -0.1181151 2.807196;-0.1401051 0.1288211 2.864254;-0.1639808 -0.4449384 2.866977;-0.1726191 -0.8206485 2.842252;-0.2242687 -0.8717495 2.742208;0.01777973 0.1340155 2.862458;0.07230218 -0.4350002 2.886331;0.1090084 -0.8163394 2.884897;0.1302926 -0.8728437 2.816323;0
-0.06077448 0.2089699 2.878309;-0.06083979 0.2728831 2.93935;-0.05905477 0.6534843 2.94953;-0.1083311 0.8269266 2.899026;-0.2452767 0.5278679 2.940324;-0.3011605 0.2573988 2.903012;-0.3043694 0.007354266 2.797018;-0.2875323 -0.1049917 2.766787;0.105417 0.5394598 2.945593;0.1937581 0.2429126 2.928817;0.2078802 -0.007782291 2.838145;0.2024474 -0.1213471 2.806671;-0.1401064 0.1288229 2.864255;-0.1640133 -0.4449543 2.866977;-0.1726344 -0.8206238 2.84224;-0.2262747 -0.8719989 2.748594;0.01777854 0.1340151 2.86246;0.07221801 -0.4353574 2.886397;0.1090033 -0.8163559 2.884889;0.1303672 -0.8728662 2.816343;0
-0.06077626 0.2089709 2.87831;-0.06084429 0.2728885 2.93935;-0.05907982 0.6535551 2.949518;-0.1080327 0.8272041 2.899124;-0.2452548 0.5278997 2.940286;-0.3011445 0.257426 2.903031;-0.3044119 0.007308496 2.796944;-0.2879623 -0.1066968 2.766332;0.1054298 0.5394635 2.945577;0.1937031 0.2430304 2.928751;0.2078591 -0.008876389 2.837965;0.2021518 -0.1238199 2.806232;-0.1401076 0.128826 2.864255;-0.1640491 -0.4449677 2.866976;-0.1726397 -0.8205962 2.842233;-0.2267051 -0.872081 2.749549;0.01777762 0.134015 2.862462;0.07214014 -0.4356818 2.886457;0.1089993 -0.816368 2.884883;0.1304213 -0.8728617 2.816362;0
-0.06077769 0.2089723 2.878309;-0.06084868 0.2728939 2.939349;-0.05910453 0.6535988 2.949501;-0.1077732 0.8271407 2.899171;-0.2452293 0.5279346 2.94024;-0.3011276 0.2574511 2.903047;-0.3044935 0.007331931 2.796895;-0.2883289 -0.1076345 2.766069;0.1054468 0.5394633 2.945558;0.1936536 0.2431334 2.928688;0.2078279 -0.009455672 2.837892;0.2019897 -0.1252601 2.806024;-0.1401085 0.1288299 2.864254;-0.1641052 -0.4449742 2.866958;-0.1726425 -0.8205668 2.842224;-0.2269889 -0.8721246 2.750213;0.01777717 0.1340149 2.862462;0.07209359 -0.435872 2.886491;0.1089957 -0.8163769 2.884878;0.130435 -0.8728316 2.816373;0
-0.06077886 0.2089742 2.878308;-0.06085286 0.2728998 2.939347;-0.05912999 0.6536414 2.949478;-0.1075224 0.827058 2.899192;-0.2451964 0.5279804 2.940184;-0.301109 0.2574829 2.903054;-0.3046183 0.007469813 2.796863;-0.2886297 -0.1082025 2.765891;0.1054616 0.5394626 2.945535;0.1936108 0.2432218 2.928626;0.2078298 -0.01001304 2.837801;0.201827 -0.1266595 2.805823;-0.1401084 0.1288366 2.864249;-0.1641611 -0.4449761 2.866938;-0.1726467 -0.8205068 2.842203;-0.2269232 -0.8720224 2.750267;0.01777691 0.1340147 2.862462;0.07205164 -0.4360344 2.886518;0.1089892 -0.8163884 2.884866;0.1304397 -0.872794 2.81636;0
-0.06077915 0.2089755 2.878305;-0.06085634 0.2729044 2.939343;-0.05914532 0.6536705 2.949455;-0.1071961 0.8267723 2.899173;-0.2451417 0.5280239 2.940092;-0.3010855 0.2575238 2.90305;-0.3047532 0.007624588 2.796825;-0.288963 -0.1085805 2.765728;0.1054794 0.5394586 2.945505;0.1935721 0.2432924 2.928564;0.207818 -0.01052757 2.83769;0.2016085 -0.1277969 2.805612;-0.1401071 0.1288437 2.864243;-0.1642144 -0.4449764 2.866921;-0.1726529 -0.8204423 2.842179;-0.2266523 -0.871794 2.749914;0.01777733 0.1340136 2.862459;0.07201127 -0.4361757 2.886542;0.1089802 -0.8163965 2.884852;0.1304341 -0.8727394 2.816341;0
-0.06077911 0.2089774 2.8783;-0.06086056 0.2729106 2.939337;-0.05916129 0.6537032 2.949416;-0.1068247 0.8268239 2.899056;-0.24507 0.5280799 2.939973;-0.3010567 0.2575718 2.903037;-0.3048737 0.007746001 2.79679;-0.289289 -0.1088273 2.765592;0.1054972 0.5394607 2.945477;0.1935304 0.2433612 2.928498;0.2078267 -0.01076517 2.837658;0.2014973 -0.1283803 2.805508;-0.1401044 0.128854 2.864233;-0.1642661 -0.4449777 2.866908;-0.1726623 -0.8203858 2.842148;-0.2262337 -0.8714628 2.749206;0.01777788 0.1340126 2.862457;0.07197414 -0.4362967 2.886559;0.1089657 -0.8164067 2.884834;0.1304245 -0.872685 2.816319;0
-0.06077877 0.20898 2.878294;-0.06086605 0.2729191 2.939327;-0.05918004 0.6537436 2.949362;-0.1062506 0.8274099 2.898838;-0.2449907 0.528156 2.939826;-0.3010251 0.2576303 2.90302;-0.3049134 0.007760002 2.796738;-0.2891889 -0.1090679 2.765419;0.1055188 0.539458 2.945445;0.1934821 0.243441 2.928432;0.2078805 -0.01046811 2.837764;0.2013636 -0.1282703 2.80555;-0.1401009 0.1288667 2.86422;-0.1643186 -0.4449791 2.866893;-0.1726769 -0.8203143 2.842106;-0.2258167 -0.8711907 2.748465;0.01777868 0.1340115 2.862453;0.07194453 -0.4363928 2.886572;0.1089582 -0.8164126 2.884824;0.1303538 -0.8726316 2.816298;0
-0.06077768 0.208984 2.878285;-0.06087084 0.2729306 2.939315;-0.0591832 0.6537895 2.949284;-0.1057089 0.8279943 2.898616;-0.2449114 0.5282329 2.939677;-0.3009894 0.2576957 2.903;-0.3049363 0.007708088 2.796637;-0.2892482 -0.1092744 2.765279;0.105545 0.5394565 2.945409;0.1934136 0.2435472 2.928335;0.2079143 -0.01065825 2.837744;0.2012784 -0.1285766 2.805508;-0.1400969 0.1288814 2.864206;-0.1643744 -0.4449886 2.86688;-0.1726903 -0.8202482 2.842065;-0.2254054 -0.8709401 2.747736;0.01777987 0.1340105 2.862449;0.07191285 -0.4364243 2.886567;0.108761 -0.8143797 2.885034;0.1293218 -0.8718495 2.817588;0
-0.06077647 0.2089876 2.878275;-0.0608748 0.2729422 2.939301;-0.05918436 0.6538371 2.949198;-0.1051707 0.8287546 2.898251;-0.2448329 0.5283164 2.939528;-0.3009524 0.2577637 2.902976;-0.3049905 0.007775956 2.796565;-0.2893463 -0.1093616 2.76518;0.1055593 0.5394618 2.945357;0.1933475 0.2436379 2.928237;0.2081007 -0.01244634 2.837078;0.2011897 -0.1288938 2.80546;-0.1400924 0.1288965 2.864192;-0.1644365 -0.4450067 2.866866;-0.1727043 -0.8201841 2.842015;-0.2250321 -0.8707143 2.747042;0.01778076 0.1340091 2.862443;0.07188301 -0.4364384 2.886558;0.1087075 -0.8135858 2.885113;0.1287049 -0.8715092 2.818183;0
-0.06077526 0.2089923 2.878263;-0.06087945 0.2729567 2.939283;-0.05918507 0.6538914 2.949095;-0.10459 0.8297513 2.897854;-0.2447595 0.5283993 2.939386;-0.3009177 0.2578316 2.902952;-0.3050621 0.007913076 2.796477;-0.2895395 -0.109297 2.765066;0.1055767 0.5394648 2.945304;0.1932715 0.2437348 2.928123;0.2081284 -0.01286745 2.836924;0.2011291 -0.1291565 2.805419;-0.1400879 0.1289156 2.864174;-0.1644875 -0.4450243 2.866856;-0.1727369 -0.8200992 2.841974;-0.2247122 -0.87053 2.746501;0.01778172 0.1340072 2.862436;0.07185542 -0.4364385 2.886545;0.1086587 -0.8131664 2.885128;0.128293 -0.8713459 2.818527;0
-0.0607723 0.2089975 2.878244;-0.06088155 0.2729713 2.93926;-0.05916801 0.6539261 2.948976;-0.1041551 0.8303325 2.897614;-0.244692 0.5284781 2.939255;-0.3008772 0.2579194 2.902908;-0.3051999 0.008343685 2.796379;-0.2899035 -0.1088164 2.764992;0.1055979 0.5394624 2.945239;0.1932016 0.2438238 2.928006;0.2081128 -0.01337653 2.836682;0.2010832 -0.1293773 2.805383;-0.1400815 0.1289362 2.864149;-0.1645406 -0.4450434 2.866846;-0.1727647 -0.8200185 2.841934;-0.2244314 -0.8703805 2.746041;0.0177837 0.134004 2.862424;0.07182928 -0.4364273 2.886529;0.1086332 -0.812907 2.885135;0.1279701 -0.8712406 2.818721;0
-0.0607653 0.2090008 2.878218;-0.06088008 0.2729839 2.93923;-0.05914357 0.6539488 2.948842;-0.1038052 0.8306026 2.897469;-0.2446235 0.5285531 2.939125;-0.3008406 0.2580097 2.902857;-0.3053029 0.008579656 2.796247;-0.2901688 -0.10862 2.764857;0.1056226 0.5394545 2.945166;0.1931278 0.2439051 2.927892;0.2080406 -0.01498923 2.835997;0.2010451 -0.1295509 2.805358;-0.1400713 0.1289575 2.86412;-0.1645847 -0.4450491 2.866832;-0.1727982 -0.8199385 2.841893;-0.2242015 -0.8702679 2.745662;0.01779028 0.1339954 2.862405;0.07180412 -0.4363993 2.886506;0.1086092 -0.812717 2.885129;0.1276901 -0.8711624 2.818841;0
-0.06075596 0.2090028 2.878185;-0.06087725 0.2729971 2.93919;-0.05910782 0.6539664 2.948658;-0.1034954 0.8308231 2.897275;-0.2445506 0.5286227 2.938986;-0.300806 0.2581314 2.902792;-0.3054288 0.008873887 2.796112;-0.292294 -0.107779 2.763857;0.1056492 0.5394457 2.945091;0.1930601 0.2439755 2.927785;0.2080497 -0.01533872 2.835858;0.2010213 -0.1296491 2.805345;-0.140059 0.1289796 2.864085;-0.164628 -0.4450537 2.866817;-0.1728354 -0.819855 2.841846;-0.2240155 -0.8701793 2.745349;0.01779872 0.1339837 2.862382;0.07178786 -0.4363188 2.886453;0.108592 -0.8125816 2.885118;0.1274667 -0.8711168 2.818926;0
-0.06074471 0.2090044 2.878147;-0.0608721 0.2730111 2.939145;-0.05905774 0.6539784 2.948441;-0.1032658 0.8310445 2.896902;-0.244482 0.5286881 2.938856;-0.3007724 0.258255 2.902724;-0.3055184 0.009113899 2.795942;-0.2939345 -0.1071411 2.763028;0.1056759 0.539436 2.945016;0.1929964 0.2440388 2.927683;0.208048 -0.0156203 2.83575;0.2009849 -0.1297635 2.805334;-0.1400447 0.1290024 2.864044;-0.1646722 -0.4450487 2.866797;-0.172873 -0.8197705 2.8418;-0.2238517 -0.8701187 2.745098;0.01780823 0.1339712 2.862357;0.07177363 -0.4362306 2.886398;0.1085831 -0.8124911 2.885109;0.1272892 -0.8710873 2.818983;0
-0.0607295 0.2090065 2.878097;-0.06086294 0.2730289 2.939083;-0.05899318 0.6539916 2.948165;-0.1030715 0.8310825 2.896077;-0.2444181 0.5287499 2.938733;-0.3007342 0.2583849 2.902632;-0.3056071 0.009326992 2.795773;-0.2952926 -0.1067266 2.762292;0.1057017 0.539429 2.944942;0.1929359 0.2440982 2.927579;0.2080299 -0.01592444 2.835678;0.2009363 -0.1299213 2.805368;-0.1400281 0.1290259 2.863999;-0.1647094 -0.4450419 2.86678;-0.1729728 -0.819645 2.841652;-0.2237896 -0.870062 2.744859;0.01782088 0.1339576 2.862324;0.07176276 -0.4361388 2.886341;0.1085856 -0.8124397 2.885108;0.1271526 -0.8710603 2.819033;0
-0.06071105 0.2090028 2.878033;-0.06085068 0.2730422 2.939006;-0.0589205 0.6539932 2.947865;-0.1029194 0.8309629 2.895118;-0.2443433 0.5288153 2.938604;-0.300701 0.258499 2.902531;-0.3056863 0.009509644 2.795574;-0.2962204 -0.1065283 2.761794;0.1057275 0.5394151 2.944854;0.1928797 0.2441519 2.92748;0.2079048 -0.01723487 2.835483;0.200864 -0.1300922 2.805441;-0.1400091 0.1290483 2.86395;-0.1647432 -0.4450339 2.866763;-0.1730658 -0.8195053 2.841511;-0.2237399 -0.8700088 2.744738;0.01783468 0.1339384 2.86228;0.07175543 -0.4360895 2.886304;0.1085925 -0.8124178 2.885108;0.127081 -0.871038 2.819075;0
-0.06068962 0.2089983 2.877955;-0.06083578 0.2730563 2.938914;-0.05884713 0.6539941 2.947553;-0.1027839 0.8307595 2.894214;-0.2442697 0.5288817 2.938461;-0.3006619 0.2586167 2.902409;-0.3057468 0.009583869 2.795352;-0.2968717 -0.106548 2.761409;0.1057601 0.5393973 2.944747;0.1928283 0.2441996 2.927389;0.2078272 -0.01946639 2.834978;0.200787 -0.1302723 2.805506;-0.1399888 0.1290711 2.863894;-0.1647744 -0.4450242 2.866745;-0.1731599 -0.819373 2.841372;-0.2237032 -0.8699785 2.744613;0.01785235 0.1339148 2.862221;0.07174788 -0.436056 2.88627;0.1086054 -0.8124266 2.885114;0.1270448 -0.8710207 2.819117;0
-0.06066374 0.2089887 2.877862;-0.06081451 0.2730667 2.938795;-0.0587151 0.6537903 2.946929;-0.1026528 0.8304906 2.893443;-0.2441977 0.5289462 2.938317;-0.3006272 0.2587263 2.902287;-0.3057812 0.009192911 2.794826;-0.2982162 -0.1067228 2.76123;0.1058006 0.5393677 2.944621;0.1927741 0.2442462 2.927295;0.2082483 -0.01713002 2.835557;0.2007473 -0.1291909 2.806033;-0.139967 0.1290918 2.863833;-0.1648027 -0.4450146 2.866725;-0.1732611 -0.8192623 2.841241;-0.223671 -0.8699574 2.744492;0.01787501 0.1338821 2.862149;0.07174353 -0.4360355 2.886244;0.1086121 -0.8124623 2.885114;0.1270704 -0.8709913 2.819144;0
-0.06063538 0.208977 2.877759;-0.0607932 0.2730795 2.938662;-0.05856241 0.6536388 2.946266;-0.1025579 0.8302154 2.892671;-0.2441119 0.5290188 2.938129;-0.3005933 0.2588193 2.902185;-0.305806 0.008835406 2.794367;-0.2989479 -0.1069423 2.761037;0.1058443 0.5393398 2.944495;0.1927219 0.2442899 2.927204;0.2080841 -0.02215287 2.833879;0.2006844 -0.129205 2.806152;-0.1399442 0.1291118 2.863766;-0.1648276 -0.4450038 2.866705;-0.1733273 -0.8191991 2.841149;-0.2236488 -0.8699517 2.744407;0.01789899 0.1338473 2.862073;0.07174032 -0.436012 2.886214;0.1086219 -0.8125172 2.885114;0.1270658 -0.8709605 2.819148;0
-0.0606004 0.2089724 2.877641;-0.06076242 0.2731051 2.938505;-0.05837146 0.6534949 2.945505;-0.1025863 0.8301131 2.891502;-0.2440293 0.529094 2.937941;-0.3005604 0.2589106 2.902088;-0.3058254 0.008491861 2.793942;-0.2984825 -0.1075696 2.760795;0.1059047 0.5393267 2.944361;0.1926728 0.2443291 2.927118;0.2089127 -0.01832466 2.835999;0.2007149 -0.1273427 2.806913;-0.1399187 0.1291356 2.863691;-0.1648838 -0.4448873 2.866601;-0.173427 -0.8191769 2.840992;-0.2236588 -0.8699537 2.744361;0.01792661 0.1338144 2.861994;0.07173795 -0.4359775 2.88617;0.1086333 -0.8126186 2.885113;0.1270659 -0.8709332 2.819139;0
-0.06056286 0.2089685 2.877514;-0.06072943 0.2731348 2.938334;-0.05816487 0.6533871 2.944765;-0.1026746 0.8301677 2.890023;-0.2439295 0.5291789 2.937718;-0.3005282 0.2590212 2.901988;-0.3059125 0.007816602 2.793296;-0.2979562 -0.108227 2.760531;0.1059662 0.5393231 2.944226;0.1926225 0.2443653 2.927027;0.20901 -0.01819324 2.836193;0.2006407 -0.1272708 2.807041;-0.1398918 0.1291614 2.863612;-0.1649407 -0.4447613 2.866488;-0.1735225 -0.8191653 2.840841;-0.2237133 -0.8700141 2.744275;0.01795447 0.1337813 2.86191;0.07173602 -0.4359512 2.886127;0.108647 -0.8127214 2.885112;0.1270907 -0.8708922 2.819116;0
-0.06051701 0.2089748 2.877374;-0.06068281 0.2731876 2.938137;-0.0578771 0.6533657 2.943933;-0.102747 0.8302954 2.888691;-0.2438335 0.529263 2.937491;-0.3004973 0.2591185 2.901896;-0.3059841 0.00732665 2.792815;-0.2973007 -0.1089139 2.760316;0.1060283 0.5393238 2.944092;0.1925776 0.2443959 2.926947;0.2090392 -0.01755132 2.836462;0.2006234 -0.1270715 2.807163;-0.1398608 0.1291943 2.863525;-0.164995 -0.4445459 2.866361;-0.1736174 -0.8191414 2.840691;-0.2237983 -0.870052 2.744211;0.01798515 0.1337532 2.861824;0.07174103 -0.4354312 2.885942;0.1086654 -0.8128312 2.885111;0.1271011 -0.8708713 2.819108;0
