HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.1417518 0.2019567 3.25331;-0.1456738 0.2602651 3.312134;-0.1495931 0.616034 3.330358;-0.1481276 0.7847009 3.275624;-0.3120187 0.5129415 3.300455;-0.3691738 0.2504011 3.269605;-0.3602425 0.04353008 3.165253;-0.3629122 -0.05227703 3.12965;0.02073725 0.5145022 3.318655;0.08088093 0.258992 3.313116;0.1047087 0.04925096 3.218557;0.100801 -0.02062359 3.190039;-0.2152221 0.1276847 3.226109;-0.283659 -0.30662 3.225067;-0.3649273 -0.6696188 3.265924;-0.4037323 -0.7383392 3.239567;-0.06548189 0.128387 3.248185;-0.007649196 -0.2896344 3.279935;0.02298582 -0.6530181 3.299247;0.02737604 -0.6835941 3.226828;0
-0.1416385 0.202018 3.253303;-0.1457583 0.2603639 3.312076;-0.1500987 0.6163963 3.330034;-0.1474233 0.7843497 3.274616;-0.3115242 0.5126843 3.299905;-0.3691567 0.2505228 3.269412;-0.3596317 0.04373758 3.164947;-0.3632534 -0.05119704 3.130804;0.02084718 0.514886 3.319057;0.08076358 0.2590004 3.312982;0.1050768 0.04943917 3.218125;0.1019491 -0.0200552 3.191146;-0.2148698 0.1277196 3.226247;-0.2836276 -0.306662 3.225142;-0.36763 -0.6792719 3.268597;-0.4034373 -0.7393563 3.239673;-0.06526586 0.1286466 3.248309;-0.007645534 -0.2896247 3.279833;0.02329469 -0.6533874 3.299468;0.02777971 -0.6834147 3.228372;0
-0.1416162 0.2020315 3.253304;-0.1457694 0.2603805 3.312067;-0.1501821 0.6164486 3.329978;-0.1473907 0.7841951 3.274359;-0.3114493 0.5126461 3.299831;-0.3691548 0.2505443 3.269381;-0.3595334 0.04377275 3.164901;-0.362797 -0.04708361 3.132838;0.02087761 0.5149645 3.319134;0.08074228 0.2590007 3.312957;0.1051173 0.04946868 3.218039;0.1022933 -0.01988025 3.191257;-0.214802 0.1277293 3.226287;-0.2836228 -0.3066684 3.225153;-0.3679782 -0.6812763 3.269155;-0.402213 -0.7402561 3.241842;-0.06521688 0.1286957 3.248328;-0.007645394 -0.2895863 3.279777;0.02334493 -0.6534513 3.299473;0.02783973 -0.6833718 3.228633;0
-0.1415781 0.2020601 3.253314;-0.1457689 0.2604065 3.312062;-0.1502486 0.6164975 3.329909;-0.1475389 0.7847052 3.273123;-0.3113948 0.5126203 3.299781;-0.3691653 0.2506488 3.269383;-0.3594089 0.0438945 3.164924;-0.3624708 -0.04390707 3.134665;0.02093211 0.5151544 3.319294;0.08072487 0.2590016 3.312935;0.1050837 0.04952374 3.217869;0.1026454 -0.01968896 3.191344;-0.2147341 0.127742 3.226324;-0.2836188 -0.3066733 3.225162;-0.3680708 -0.6832665 3.269512;-0.4052266 -0.7451186 3.242715;-0.06511062 0.1287799 3.248392;-0.007622188 -0.2895813 3.279736;0.02338378 -0.6535305 3.299428;0.0278943 -0.6833889 3.228741;0
-0.1415077 0.2021238 3.253357;-0.1457469 0.2604612 3.312072;-0.1503045 0.6165516 3.329826;-0.1476837 0.7850853 3.271957;-0.3113518 0.5126036 3.299744;-0.3691805 0.2507717 3.269394;-0.3592887 0.04403256 3.164982;-0.3620498 -0.04126048 3.136242;0.02097696 0.5153294 3.319423;0.08071035 0.2590031 3.312896;0.1050033 0.04958146 3.217647;0.1026838 -0.01941771 3.191176;-0.2145867 0.1278192 3.226461;-0.2833193 -0.3062503 3.224954;-0.3666539 -0.6838668 3.269431;-0.4060753 -0.7467281 3.243616;-0.06496096 0.1289119 3.248508;-0.007592048 -0.2895749 3.279645;0.02339864 -0.6537078 3.299247;0.02793141 -0.6836325 3.228477;0
-0.1414016 0.2022225 3.253426;-0.1456846 0.2605718 3.312099;-0.1503153 0.6167312 3.329615;-0.1479411 0.7856966 3.270748;-0.3113192 0.5125943 3.299724;-0.3692112 0.250949 3.269449;-0.3591295 0.04423664 3.165101;-0.3611738 -0.03887226 3.137727;0.0209956 0.5155331 3.31954;0.08078197 0.2589664 3.312661;0.1046764 0.04963556 3.216822;0.1028365 -0.01850986 3.189123;-0.2143809 0.1279375 3.226661;-0.282867 -0.3057046 3.224643;-0.3634777 -0.6823774 3.268405;-0.3706036 -0.7209297 3.212626;-0.06476785 0.1291047 3.248674;-0.007525568 -0.2897483 3.279426;0.02341122 -0.6538609 3.299049;0.02795365 -0.6837779 3.228323;0
-0.1411605 0.2024793 3.253611;-0.1454906 0.2608807 3.312202;-0.1501965 0.617134 3.329247;-0.1482331 0.7867997 3.268864;-0.3112795 0.5125905 3.299709;-0.369263 0.2512939 3.269631;-0.3585348 0.04473329 3.165508;-0.3550405 -0.0332492 3.139983;0.02103448 0.5157658 3.319634;0.08102596 0.2588035 3.311779;0.1038889 0.04953589 3.215012;0.1025254 -0.01771271 3.186225;-0.2140202 0.1281968 3.227042;-0.2822699 -0.3050021 3.224169;-0.358139 -0.6786489 3.265975;-0.3734268 -0.722213 3.212778;-0.06441506 0.1295348 3.24904;-0.00739705 -0.2899041 3.278824;0.02341842 -0.6540233 3.298834;0.02797783 -0.6841192 3.227789;0
-0.1408415 0.2028389 3.253888;-0.1451955 0.2613174 3.312353;-0.1499905 0.617619 3.328545;-0.1485174 0.7875798 3.266696;-0.3112451 0.5125865 3.299716;-0.3692865 0.251658 3.269881;-0.3575791 0.04528819 3.166118;-0.3501915 -0.02900622 3.141625;0.02120899 0.5161534 3.319623;0.08205352 0.257525 3.307218;0.101963 0.04814345 3.20897;0.1016039 -0.0175067 3.178045;-0.2135809 0.1285153 3.2277;-0.2817547 -0.3043308 3.223554;-0.3541055 -0.6763639 3.263721;-0.3811659 -0.7277461 3.215874;-0.06396651 0.1300541 3.24948;-0.007156482 -0.2900484 3.277606;0.02338683 -0.6542645 3.298468;0.0278696 -0.6848335 3.226506;0
-0.1405097 0.2032785 3.254302;-0.1448325 0.2618841 3.312587;-0.1496133 0.6183382 3.327534;-0.1488722 0.7906446 3.262883;-0.3112016 0.5125886 3.299738;-0.3693806 0.2523973 3.270431;-0.3563549 0.04634873 3.166784;-0.3469698 -0.02765067 3.14175;0.02145566 0.5166617 3.319417;0.08277247 0.2561042 3.301231;0.09996513 0.04651654 3.202586;0.1002167 -0.0173219 3.16846;-0.2131227 0.1289868 3.228934;-0.2814434 -0.3036366 3.222799;-0.3512018 -0.6749029 3.260931;-0.3896028 -0.735441 3.219169;-0.06355865 0.1306421 3.250042;-0.00684384 -0.290213 3.276257;0.02333607 -0.6544982 3.298081;0.05058532 -0.7177869 3.245705;0
-0.1401777 0.2036702 3.254926;-0.144449 0.2624315 3.312978;-0.1493252 0.618949 3.326736;-0.1490848 0.7906803 3.261186;-0.3111594 0.512591 3.299765;-0.3695175 0.2532586 3.271141;-0.3550962 0.04755715 3.167399;-0.3432133 -0.02661401 3.141293;0.02175967 0.5171382 3.318964;0.0834519 0.2547003 3.294311;0.09787036 0.04547338 3.192186;0.09836994 -0.01666974 3.155504;-0.212709 0.1293302 3.231007;-0.2822622 -0.3035826 3.221187;-0.3485105 -0.6743116 3.257875;-0.3959983 -0.741603 3.221184;-0.06317461 0.1311313 3.250636;-0.006410006 -0.2905604 3.274379;0.02333012 -0.6548871 3.297562;0.06041896 -0.7341813 3.258852;0
