HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.1936057 -0.03512312 2.996442;0.225895 0.03367473 3.053205;0.2055492 0.4427263 3.091487;0.1492098 0.6508989 3.117428;0.09072026 0.1932774 3.046332;0.1067181 0.2801529 2.783587;0.06587327 0.05235244 2.908535;0.02462852 0.03704858 2.962005;0.2792614 0.3100903 2.9451;0.1054405 0.2872227 2.783215;0.1818488 0.03042364 2.804278;0.2475797 0.008655809 2.804279;0.1498684 -0.1140438 3.005046;0.1153123 -0.5647057 3.021718;0.09316413 -0.7644368 2.9919;0.04138552 -0.8004095 2.911941;0.2347118 -0.06147799 2.963659;0.3022438 -0.5284448 2.976326;0.3391005 -0.7952368 2.984679;0.2873219 -0.8312095 2.904719;0
0.1929596 -0.04084823 2.987578;0.2053649 0.0296785 3.050697;0.2055078 0.44427 3.086177;0.1591455 0.6134377 3.109856;0.1453853 0.2354614 2.947621;0.09377718 0.2866769 2.756341;0.06235823 0.07572646 2.870205;0.03726178 0.02930316 2.924973;0.2782541 0.3116069 2.937854;0.1056034 0.2866002 2.77957;0.1759035 0.05060936 2.798956;0.2377654 0.02733082 2.799238;0.1544968 -0.1104305 2.99392;0.1143924 -0.5486752 3.016454;0.09354828 -0.7579148 2.991467;0.07606312 -0.788505 2.913394;0.2284304 -0.06418467 2.960231;0.2943931 -0.4932914 2.960245;0.3353243 -0.771749 2.975534;0.3178391 -0.8023393 2.897462;0
0.1924051 -0.04633076 2.98108;0.1720731 0.02361979 3.035694;0.2053275 0.4447784 3.083996;0.1665685 0.584328 3.100331;0.1822876 0.2738907 2.87216;0.06540531 0.2827108 2.742392;0.05616779 0.0839576 2.855977;0.03907602 0.02759888 2.914013;0.2776695 0.3121819 2.935005;0.1056105 0.2864591 2.778855;0.1732972 0.05994935 2.796603;0.2332315 0.03503041 2.797007;0.1583373 -0.1071902 2.986486;0.1143646 -0.541575 3.013044;0.09428022 -0.7556271 2.991182;0.1278803 -0.778667 2.924707;0.2247711 -0.06646261 2.957971;0.2850005 -0.4452687 2.940356;0.3342222 -0.7285585 2.973829;0.3654075 -0.7562876 2.908138;0
0.1920369 -0.05049611 2.975955;0.1595253 0.02096522 3.028852;0.2047354 0.4457538 3.080783;0.1686489 0.5750189 3.09482;0.2150635 0.3008365 2.829415;0.05908652 0.2823011 2.738993;0.0563507 0.08917107 2.848268;0.03470289 0.06166725 2.910406;0.2789158 0.3124117 2.93398;0.1060574 0.2861514 2.779166;0.1730125 0.06602491 2.79627;0.2313728 0.03948708 2.796761;0.1620397 -0.1034203 2.979837;0.1240452 -0.4748621 3.002747;0.09661622 -0.7468711 2.990927;0.1529867 -0.7646242 2.932879;0.221767 -0.06850091 2.955914;0.279353 -0.4174738 2.929936;0.3332713 -0.71477 2.973099;0.3849835 -0.7367856 2.915275;7
0.1918209 -0.05565513 2.970671;0.1523779 0.01850021 3.023603;0.2040015 0.4469752 3.077351;0.1690917 0.57129 3.089346;0.2200552 0.3023894 2.83495;0.05561236 0.2821439 2.738347;0.05561388 0.09218158 2.843876;0.03940922 0.1003011 2.9126;0.2765998 0.3132176 2.931209;0.1045146 0.2851508 2.779046;0.1718339 0.07009415 2.795611;0.2288209 0.04322164 2.796216;0.1661517 -0.1002277 2.974091;0.1304926 -0.432304 2.995927;0.09889162 -0.7390858 2.99073;0.165222 -0.7583919 2.935705;0.2183 -0.07084768 2.953795;0.2801602 -0.4348282 2.928743;0.3328986 -0.7098407 2.972403;0.395656 -0.7326585 2.917659;7
0.1917384 -0.05904571 2.966913;0.1498933 0.01660675 3.020273;0.2018812 0.4493232 3.071342;0.1677306 0.5748796 3.083354;0.2082497 0.2970166 2.838951;0.05249709 0.2822867 2.737596;0.05447428 0.09578291 2.841685;0.03985601 0.116407 2.909881;0.2676424 0.3179576 2.922954;0.1023029 0.284674 2.778541;0.1691209 0.07438488 2.794639;0.2235738 0.05494577 2.794865;0.1690892 -0.09811651 2.969995;0.1169833 -0.4840699 3.000294;0.1002535 -0.7378623 2.990428;0.167982 -0.7601375 2.934275;0.2158152 -0.07246956 2.952034;0.2806073 -0.4431274 2.927321;0.3185488 -0.7409844 2.959897;0.3698977 -0.7730813 2.898642;7
0.1916871 -0.06104679 2.964521;0.1736931 0.01461286 3.01913;0.1993483 0.4525985 3.064759;0.1637162 0.5854886 3.077996;0.2007031 0.2987499 2.880229;0.0537212 0.2859382 2.742325;0.05329314 0.1035243 2.845605;0.04308775 0.1087765 2.850196;0.2620256 0.3214214 2.917762;0.09757279 0.2899989 2.772128;0.1706777 0.09092037 2.789547;0.2214134 0.05714686 2.79445;0.1711856 -0.09639458 2.967277;0.1199953 -0.4422503 2.992656;0.1025346 -0.7284812 2.990083;0.1316537 -0.7458013 2.925386;0.2140191 -0.07333671 2.950834;0.2820015 -0.4520106 2.927784;0.3235368 -0.7657491 2.955985;0.346391 -0.794372 2.889751;7
0.1898585 -0.0691996 2.96239;0.1818566 0.01003854 3.018541;0.1968657 0.45598 3.059408;0.1578052 0.5965105 3.072057;0.1870732 0.2940056 2.900584;0.05299289 0.293898 2.747816;0.04983803 0.1152325 2.85134;0.04415486 0.09827293 2.853892;0.2588025 0.3239724 2.914445;0.1159368 0.3172856 2.760426;-0.003515813 0.3087642 2.749175;-0.02409058 0.2873777 2.752934;0.1697337 -0.1056554 2.965494;0.1193475 -0.4375542 2.991122;0.103842 -0.7228121 2.989873;0.111149 -0.739418 2.91863;0.2101708 -0.08174745 2.949789;0.2830193 -0.4579803 2.928326;0.3218597 -0.769206 2.95573;0.3224934 -0.7958635 2.886799;7
0.1843314 -0.08065224 2.963318;0.1833581 0.006118852 3.018848;0.1923697 0.4630097 3.052156;0.1517904 0.6121441 3.067956;0.1804087 0.2926061 2.909515;0.05762775 0.3095473 2.745423;0.05067516 0.1308923 2.849185;0.04653072 0.09760358 2.850064;0.2569959 0.3240142 2.913054;0.1271408 0.3366347 2.748795;-0.01947215 0.3856479 2.688075;-0.07281634 0.3937054 2.673836;0.165749 -0.113452 2.965798;0.1161217 -0.4557992 2.99056;0.1023222 -0.7263992 2.988332;0.1000654 -0.7507843 2.912631;0.2015333 -0.09921717 2.954088;0.283668 -0.4618398 2.928866;0.3245912 -0.7791129 2.954346;0.3201171 -0.8068245 2.882363;7
0.1768937 -0.07889611 2.966531;0.1766096 0.01079581 3.021337;0.1859998 0.485927 3.041564;0.1417516 0.6441216 3.066726;0.174347 0.2947022 2.914284;0.06349961 0.3302173 2.741549;0.05264534 0.1487301 2.845389;0.04839722 0.09856242 2.847471;0.257036 0.3180689 2.915325;0.1470751 0.3659101 2.731205;-0.02918582 0.411559 2.686337;-0.08634357 0.4131002 2.680364;0.1534076 -0.1037288 2.97368;0.1156224 -0.44971 2.988141;0.1018197 -0.7256927 2.988085;0.09693205 -0.7518706 2.91091;0.1962504 -0.1022283 2.956039;0.2839006 -0.4636116 2.928926;0.3317263 -0.7743369 2.956343;0.336301 -0.7998795 2.883014;7
