HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.1090902 0.2067754 3.061536;-0.1168553 0.2705851 3.119358;-0.1224729 0.6410121 3.118672;-0.1221152 0.8207361 3.062998;-0.3026737 0.5149388 3.099486;-0.3980157 0.2371034 3.096485;-0.42384 -0.0148606 3.019039;-0.4108537 -0.1093279 2.980066;0.05811947 0.5192333 3.13923;0.1489933 0.2674816 3.157389;0.2107937 0.03332312 3.118635;0.2239058 -0.06540673 3.083536;-0.1877913 0.1254227 3.041204;-0.2314883 -0.4464764 3.038013;-0.2539175 -0.797165 2.996478;-0.2828721 -0.8751465 2.919438;-0.02543435 0.1273553 3.055499;0.0308944 -0.4325106 3.06831;0.08000091 -0.8313525 3.073101;0.0911815 -0.8923053 3.016687;0
-0.1091762 0.2066448 3.061584;-0.1169146 0.2704906 3.119421;-0.1224338 0.6410186 3.118741;-0.1234933 0.8230149 3.061206;-0.3027133 0.5148804 3.099611;-0.3977713 0.2377636 3.095566;-0.4240719 -0.01587821 3.018324;-0.4107351 -0.1093677 2.980044;0.05807227 0.5192665 3.139414;0.1489115 0.2664236 3.157424;0.2125275 0.02512776 3.116597;0.2248827 -0.07373578 3.081048;-0.1879292 0.1252206 3.041214;-0.2312897 -0.4466409 3.038251;-0.2539863 -0.7972445 2.99659;-0.2834172 -0.8765736 2.918134;-0.02554294 0.1272629 3.055569;0.03100415 -0.4322 3.068452;0.0778429 -0.821104 3.073024;0.09190384 -0.8872177 3.019813;0
-0.1091892 0.206625 3.061592;-0.1169233 0.2704763 3.119431;-0.1224209 0.641021 3.118754;-0.1237052 0.8233589 3.060923;-0.3027056 0.5149257 3.099669;-0.397732 0.2378645 3.095424;-0.4241056 -0.01604108 3.018212;-0.4107169 -0.1093741 2.980041;0.05806526 0.5192714 3.139442;0.1488942 0.2662621 3.157425;0.2128199 0.0237361 3.116208;0.225109 -0.0751895 3.080675;-0.18795 0.1251902 3.041214;-0.2312584 -0.4466582 3.038284;-0.2539966 -0.7972572 2.996607;-0.283527 -0.8768602 2.917878;-0.0255594 0.1272487 3.055579;0.03102134 -0.4321517 3.068473;0.07735154 -0.8186984 3.072997;0.09202576 -0.8861927 3.020414;0
-0.1091989 0.2066102 3.061597;-0.1169296 0.2704656 3.119438;-0.1223177 0.6410233 3.118765;-0.1238888 0.8236275 3.060651;-0.3026944 0.514972 3.099721;-0.3977004 0.2379369 3.09531;-0.4241271 -0.0161815 3.018105;-0.4107026 -0.1093798 2.98004;0.05806407 0.5192768 3.139473;0.1488735 0.2661429 3.157419;0.2130222 0.02277105 3.115947;0.2252605 -0.07619525 3.080413;-0.1879664 0.1251672 3.041214;-0.2312369 -0.4466579 3.038304;-0.2540054 -0.7972695 2.99662;-0.2836425 -0.8771377 2.917635;-0.02557194 0.127238 3.055588;0.03103528 -0.432115 3.068488;0.07696569 -0.8167844 3.072987;0.09212805 -0.8854833 3.020779;0
-0.1092049 0.2065981 3.061601;-0.1169316 0.270456 3.119444;-0.1221757 0.6410172 3.118778;-0.1240355 0.8238028 3.060406;-0.3026654 0.5150475 3.099784;-0.3976738 0.23799 3.095222;-0.4241442 -0.01627373 3.018036;-0.4107507 -0.1095543 2.980016;0.05806544 0.5192837 3.139506;0.1488528 0.2660522 3.157413;0.2131619 0.02208127 3.115759;0.2253585 -0.07691018 3.080238;-0.1879773 0.1251496 3.041212;-0.2312199 -0.4466504 3.038316;-0.2540124 -0.79728 2.996631;-0.2837124 -0.8773189 2.917506;-0.02558112 0.127229 3.055594;0.03105032 -0.4320822 3.068495;0.07669526 -0.8154261 3.072996;0.09222161 -0.8848873 3.020985;0
-0.1092073 0.2065876 3.061604;-0.1169281 0.2704467 3.119447;-0.1219795 0.6410013 3.118791;-0.1241419 0.8238837 3.060222;-0.3026116 0.5151768 3.099875;-0.3976493 0.2380291 3.09515;-0.4241455 -0.01635384 3.017929;-0.4108064 -0.1097958 2.979913;0.05806522 0.5192915 3.139546;0.1488352 0.2659622 3.157399;0.2133527 0.02135162 3.115496;0.2254983 -0.07768905 3.080073;-0.1879835 0.1251367 3.041209;-0.2312079 -0.4466389 3.038322;-0.25404 -0.7973152 2.996638;-0.2837754 -0.8774759 2.917444;-0.02558777 0.1272214 3.0556;0.03109058 -0.4319687 3.068475;0.07651033 -0.814423 3.072994;0.09234015 -0.8843122 3.021067;0
-0.1092054 0.2065762 3.061604;-0.1169204 0.2704369 3.11945;-0.1217282 0.6410201 3.118817;-0.1242364 0.8240542 3.060067;-0.3025189 0.5153584 3.099983;-0.3975413 0.2381189 3.095047;-0.4241449 -0.01642703 3.017852;-0.4108398 -0.1102653 2.979713;0.05806278 0.519304 3.139591;0.1488159 0.2658838 3.157381;0.2163311 0.01010665 3.112699;0.2275966 -0.09221739 3.075719;-0.1879857 0.1251271 3.041205;-0.2311957 -0.4466347 3.038327;-0.2540888 -0.7973567 2.996646;-0.2838269 -0.8776041 2.917414;-0.02559285 0.127214 3.055604;0.03111892 -0.4318879 3.068465;0.07651266 -0.8182469 3.072769;0.09404029 -0.8858351 3.020236;0
-0.1091978 0.2065631 3.061603;-0.1169026 0.2704259 3.119449;-0.1213614 0.6410553 3.118809;-0.1243152 0.8242159 3.059966;-0.3024139 0.5155533 3.100091;-0.3973 0.2382535 3.094901;-0.424138 -0.01650081 3.017768;-0.410902 -0.1109811 2.979615;0.05806077 0.5193165 3.13963;0.1488041 0.2658189 3.157369;0.2189419 0.004932735 3.111543;0.2340207 -0.1003282 3.076386;-0.1879832 0.1251199 3.041199;-0.231183 -0.4466243 3.038328;-0.2541401 -0.7974005 2.996652;-0.2838742 -0.8776889 2.917377;-0.02559633 0.1272064 3.055607;0.03114593 -0.4318109 3.068455;0.07676268 -0.8200251 3.072906;0.09513072 -0.887056 3.020537;0
-0.1091881 0.2065505 3.0616;-0.1168801 0.2704152 3.119447;-0.1209248 0.6410908 3.118788;-0.1243838 0.8244001 3.059876;-0.3022785 0.5157776 3.100204;-0.3970497 0.2383118 3.094701;-0.4240918 -0.016732 3.017548;-0.4109154 -0.1117939 2.97961;0.05806001 0.5193285 3.139667;0.1487982 0.2657754 3.157361;0.221363 0.003852927 3.111023;0.2395003 -0.1019284 3.07798;-0.1879786 0.125116 3.041192;-0.2311707 -0.4466129 3.038326;-0.2542568 -0.7975876 2.996628;-0.283906 -0.8777518 2.917352;-0.02559911 0.1271992 3.055608;0.03117257 -0.4317412 3.068442;0.07677829 -0.8201136 3.072798;0.09569719 -0.8869901 3.020853;0
-0.1091768 0.2065381 3.061597;-0.1168536 0.2704041 3.119443;-0.1203611 0.6411644 3.118795;-0.1244333 0.8245454 3.05981;-0.3021246 0.5160238 3.100323;-0.3968121 0.2383737 3.094542;-0.4240447 -0.01686118 3.017363;-0.4109682 -0.1121509 2.97965;0.05806017 0.5193439 3.139704;0.1490132 0.2656453 3.157408;0.2252113 0.005735993 3.11085;0.2490246 -0.0977871 3.07801;-0.1879726 0.1251125 3.041183;-0.2311576 -0.4466088 3.038323;-0.2543881 -0.7977976 2.996608;-0.2840437 -0.8778378 2.917292;-0.02560177 0.1271933 3.055609;0.03120599 -0.4316574 3.068411;0.07663532 -0.8191052 3.072683;0.0961 -0.8865528 3.020946;0
