HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.04460168 0.1780114 2.763869;-0.0443681 0.2390754 2.823655;-0.05264356 0.6058667 2.837222;-0.06564556 0.79808 2.816142;-0.2244367 0.4728377 2.846043;-0.3788809 0.2510265 2.813777;-0.4809617 0.04831934 2.717299;-0.5053944 -0.02581371 2.683108;0.1209613 0.4750569 2.835706;0.2915367 0.2307728 2.806515;0.4018518 0.02469462 2.708396;0.4186299 -0.05152915 2.691624;-0.1208852 0.1013755 2.74815;-0.1344851 -0.4598508 2.768696;-0.1311281 -0.8129401 2.731813;-0.1498776 -0.8659752 2.677556;0.0345439 0.1023742 2.748539;0.05268113 -0.4451117 2.772216;0.04443373 -0.8028579 2.732489;0.0773185 -0.8701002 2.678885;0
-0.04390576 0.1706276 2.764482;-0.04367303 0.2340631 2.824281;-0.05240111 0.6058942 2.837914;-0.0657292 0.7984431 2.817868;-0.2249337 0.4733455 2.847493;-0.3802051 0.2503727 2.813522;-0.4814067 0.04685159 2.716652;-0.5047939 -0.02611051 2.683007;0.1209677 0.4749102 2.836543;0.2918502 0.2304899 2.807029;0.4011944 0.02594917 2.708602;0.4182113 -0.05110123 2.690734;-0.1206095 0.09424622 2.749356;-0.1345078 -0.4598882 2.769569;-0.1310828 -0.8130819 2.732309;-0.1503351 -0.8662159 2.676949;0.0356435 0.09297865 2.749122;0.05267964 -0.4451228 2.773263;0.04330837 -0.8036138 2.733099;0.07725959 -0.869443 2.677324;0
-0.04378289 0.1692189 2.764596;-0.04354874 0.2331385 2.824394;-0.05236222 0.6058977 2.83802;-0.065742 0.7985084 2.818155;-0.2250293 0.4734068 2.847717;-0.3804062 0.2502737 2.813482;-0.4814736 0.04662762 2.716551;-0.5046813 -0.02616821 2.682975;0.1209675 0.4748851 2.83667;0.2918979 0.2304468 2.807107;0.4010825 0.02616118 2.708633;0.4181461 -0.05101847 2.690562;-0.1205722 0.0928518 2.749584;-0.1345114 -0.4598941 2.769702;-0.131076 -0.8131024 2.732384;-0.1504239 -0.8662617 2.676832;0.03583792 0.09118788 2.749228;0.0526778 -0.4451284 2.773426;0.04313163 -0.8037471 2.733189;0.07720786 -0.8693042 2.676828;0
-0.04370206 0.1683213 2.76467;-0.04346427 0.232511 2.824471;-0.05233388 0.6058999 2.838099;-0.06575046 0.7985552 2.818365;-0.2251103 0.4734514 2.847882;-0.3805872 0.2501859 2.813443;-0.4815193 0.04643004 2.716449;-0.5045528 -0.02623026 2.682936;0.1209678 0.4748647 2.836762;0.2919334 0.2304147 2.807164;0.4009962 0.02632387 2.708653;0.4180868 -0.05093998 2.690394;-0.1205488 0.09196768 2.749732;-0.134514 -0.4598984 2.769801;-0.1310712 -0.8131108 2.732437;-0.1505125 -0.8663016 2.676707;0.03597094 0.09004377 2.749292;0.05267575 -0.445134 2.773546;0.04301055 -0.80389 2.733233;0.07710281 -0.8691803 2.676122;0
-0.04364428 0.1676526 2.764729;-0.04340452 0.232039 2.824535;-0.05231231 0.6059039 2.838162;-0.06576171 0.798606 2.818537;-0.2251785 0.4734802 2.848005;-0.3807181 0.2501229 2.813418;-0.4815411 0.04628453 2.71634;-0.5044364 -0.02628542 2.682899;0.1209685 0.4748464 2.836833;0.29196 0.2303905 2.807208;0.400926 0.02645673 2.708666;0.4180305 -0.05084494 2.690191;-0.1205366 0.09130555 2.749846;-0.1345166 -0.4599 2.769874;-0.1310681 -0.8131134 2.73248;-0.1505979 -0.8663319 2.676602;0.0360675 0.08919969 2.749343;0.05267362 -0.44514 2.773637;0.04291956 -0.8040037 2.733253;0.07692318 -0.869054 2.675482;0
-0.04361096 0.1671341 2.764778;-0.04336527 0.2316496 2.824597;-0.05229468 0.6059061 2.838211;-0.06578082 0.7986352 2.818666;-0.2252398 0.473504 2.848114;-0.3808272 0.2500746 2.813397;-0.4815389 0.04616318 2.716226;-0.5043045 -0.02633479 2.682867;0.1209683 0.4748309 2.836886;0.2919804 0.2303718 2.807241;0.4008664 0.02656467 2.708676;0.4179856 -0.05074394 2.690013;-0.1205394 0.0907929 2.749939;-0.1345178 -0.4599018 2.769928;-0.1310691 -0.8131108 2.732516;-0.1507096 -0.8663716 2.676543;0.03613329 0.08856404 2.749382;0.05267157 -0.4451459 2.773707;0.04287197 -0.804135 2.733229;0.07670365 -0.8689334 2.674943;0
-0.0435925 0.1667819 2.764816;-0.04333545 0.2313845 2.824638;-0.05228235 0.6059083 2.838248;-0.06579752 0.7986626 2.818763;-0.2252996 0.473523 2.848202;-0.3808973 0.2500528 2.813373;-0.4814574 0.04611032 2.716058;-0.5039221 -0.02630609 2.68285;0.1209721 0.4747885 2.836912;0.2919959 0.2303574 2.807267;0.400811 0.02665832 2.708673;0.4179385 -0.05063683 2.68984;-0.1205512 0.0904559 2.750009;-0.1345191 -0.4599027 2.769965;-0.1310712 -0.8130906 2.732545;-0.1508602 -0.8664165 2.676462;0.03617449 0.0881238 2.749405;0.05267031 -0.4451512 2.773759;0.04283666 -0.8042928 2.733143;0.07648932 -0.8688486 2.674291;0
-0.04359693 0.1666227 2.764858;-0.04331798 0.2312047 2.824679;-0.05227142 0.6059124 2.838279;-0.06581434 0.798686 2.818833;-0.2253505 0.4735374 2.848268;-0.3809769 0.2500686 2.813346;-0.4807284 0.04616137 2.715256;-0.4971108 -0.02519509 2.678829;0.1209735 0.474775 2.83694;0.2918243 0.2305522 2.807651;0.4004975 0.02706814 2.708658;0.4173329 -0.04959369 2.688962;-0.1205781 0.09028281 2.750066;-0.1345205 -0.4599026 2.769984;-0.1310764 -0.8130683 2.732566;-0.1510213 -0.8664559 2.676376;0.03617566 0.08803044 2.749424;0.05266961 -0.4451558 2.773797;0.04281711 -0.8044323 2.733045;0.07639483 -0.8688214 2.673777;0
-0.04360842 0.1666874 2.764905;-0.04330673 0.2311117 2.824723;-0.05226064 0.6059142 2.838303;-0.0658219 0.7987342 2.818934;-0.2254004 0.4735549 2.848322;-0.3807854 0.2513022 2.814179;-0.47291 0.05130775 2.708585;-0.4694339 -0.01402304 2.659021;0.1209806 0.4747637 2.836963;0.2908774 0.2315211 2.809487;0.3987587 0.02949294 2.709085;0.4135176 -0.04361924 2.684629;-0.1206192 0.09029133 2.750116;-0.1345211 -0.4599012 2.769988;-0.1310859 -0.8130433 2.732578;-0.151159 -0.8664958 2.676278;0.03617731 0.08819883 2.749427;0.05266918 -0.4451608 2.773823;0.04281267 -0.8045574 2.73294;0.07634018 -0.8688281 2.673391;0
-0.04362075 0.1668646 2.76494;-0.04330052 0.2310807 2.824763;-0.05224894 0.6059172 2.838321;-0.06581118 0.7987958 2.819048;-0.2254411 0.4735741 2.84836;-0.3800585 0.2564644 2.818121;-0.4425141 0.07229428 2.683225;-0.4212145 0.02511774 2.634108;0.120997 0.4747597 2.836985;0.28875 0.2340788 2.814603;0.3940309 0.03542173 2.70934;0.4016042 -0.02580878 2.671672;-0.1206634 0.09039122 2.750145;-0.13452 -0.4598967 2.769974;-0.1311022 -0.8130239 2.732581;-0.1512901 -0.8665343 2.676181;0.0361879 0.08855081 2.749428;0.05267525 -0.4451687 2.773836;0.04281438 -0.8046596 2.732835;0.07630732 -0.8688211 2.673192;0
