HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.2689711 0.1801158 3.33584;-0.2573715 0.2486881 3.38822;-0.2785024 0.6238032 3.3728;-0.3027555 0.8141402 3.332503;-0.456816 0.5125692 3.416651;-0.5090897 0.3337084 3.340989;-0.4954774 0.2221645 3.186421;-0.4308234 0.213649 3.121861;-0.1185967 0.52513 3.327193;-0.03516253 0.3142639 3.256764;-0.2429454 0.2741169 3.15868;-0.3070306 0.2899059 3.114145;-0.3434042 0.09972737 3.344208;-0.4308331 -0.3392641 3.35797;-0.5001629 -0.6969725 3.318984;-0.5592676 -0.7640191 3.28453;-0.1912055 0.1053798 3.309597;-0.125248 -0.2894355 3.325613;-0.07050945 -0.6523303 3.346402;-0.08967911 -0.6864129 3.272856;0
-0.2687711 0.1803063 3.335859;-0.2571835 0.2488597 3.38825;-0.2782587 0.6239054 3.372838;-0.3030848 0.7963543 3.338886;-0.4567801 0.5125093 3.416498;-0.5092285 0.3271965 3.336876;-0.4186542 0.2582156 3.200026;-0.3567221 0.2614128 3.124537;-0.1185129 0.5248761 3.327138;-0.03072487 0.3164827 3.25571;-0.2427845 0.275382 3.158564;-0.30578 0.2906448 3.121137;-0.3431929 0.09995935 3.34432;-0.4308026 -0.3388513 3.357306;-0.5001903 -0.6969734 3.318915;-0.5515678 -0.7638039 3.286626;-0.1910486 0.1054894 3.309526;-0.1251199 -0.2894623 3.325659;-0.06993515 -0.651233 3.347871;-0.06791864 -0.7019407 3.303431;0
-0.2687298 0.1803424 3.335863;-0.2571461 0.2488889 3.388258;-0.2781936 0.6239255 3.372886;-0.3031591 0.7908584 3.340767;-0.4567638 0.5124939 3.416462;-0.5094895 0.3261066 3.336124;-0.3802634 0.2783462 3.209027;-0.3216608 0.3142489 3.162312;-0.1184959 0.5248305 3.327128;-0.02942543 0.3171974 3.255536;-0.2431004 0.2759473 3.15872;-0.3050744 0.2913609 3.124;-0.343145 0.1000058 3.34434;-0.4307814 -0.3387609 3.357192;-0.5002239 -0.6969904 3.318917;-0.5489067 -0.7631539 3.287474;-0.1910148 0.1055118 3.30951;-0.1250987 -0.2894673 3.325666;-0.06982999 -0.6510445 3.348144;-0.05780756 -0.7088642 3.318294;0
-0.2686644 0.1803938 3.335875;-0.2570811 0.2488953 3.388301;-0.2775781 0.6240989 3.37559;-0.3029875 0.7870021 3.342038;-0.4567171 0.5124341 3.41637;-0.5097917 0.3253281 3.335578;-0.3633295 0.2862195 3.213742;-0.298281 0.3229383 3.168865;-0.1184655 0.5247871 3.327121;-0.02831323 0.3178475 3.255364;-0.2436021 0.2767189 3.159108;-0.3060238 0.2927269 3.126772;-0.3430798 0.1000599 3.344347;-0.430474 -0.3361228 3.356559;-0.5002723 -0.6970033 3.318959;-0.5473571 -0.7627433 3.28811;-0.190939 0.1055658 3.309486;-0.1250898 -0.2894716 3.325676;-0.06974874 -0.6509069 3.348357;-0.05312198 -0.7120811 3.325174;0
-0.2685617 0.1804719 3.335896;-0.2569891 0.2489031 3.388366;-0.2769755 0.6241733 3.37784;-0.3025714 0.7843174 3.342901;-0.456644 0.5123064 3.416259;-0.5107795 0.32454 3.335507;-0.3314894 0.2979933 3.204614;-0.2781286 0.3235233 3.159455;-0.1183363 0.5246678 3.327128;-0.02728428 0.3184525 3.255207;-0.2438121 0.2777122 3.159768;-0.3064143 0.2937956 3.129261;-0.3430003 0.1001212 3.344348;-0.4299431 -0.3334292 3.356255;-0.5004863 -0.6972373 3.319153;-0.5468557 -0.7627688 3.288405;-0.1908088 0.1056515 3.309454;-0.125084 -0.2894759 3.325685;-0.06968801 -0.6508133 3.348566;-0.05030346 -0.7140768 3.329273;0
-0.268455 0.1805521 3.335917;-0.2568904 0.2489066 3.388442;-0.2763779 0.6240577 3.379579;-0.3022011 0.7824392 3.343505;-0.4564025 0.5119719 3.416028;-0.5117679 0.3239415 3.335582;-0.3270824 0.2982459 3.213278;-0.2694702 0.3248178 3.159752;-0.1181418 0.5245152 3.327126;-0.02619914 0.3190793 3.255022;-0.2440316 0.2787502 3.160539;-0.3070753 0.2946644 3.131785;-0.3429215 0.1001792 3.344347;-0.42942 -0.3317534 3.356058;-0.5006932 -0.6974249 3.319431;-0.5467886 -0.7627835 3.2888;-0.1906696 0.1057502 3.309409;-0.1250775 -0.289477 3.32568;-0.06963909 -0.650746 3.348743;-0.04836927 -0.7154974 3.332109;0
-0.2682903 0.1806529 3.335946;-0.2566884 0.2489163 3.388554;-0.2756507 0.624001 3.380965;-0.301576 0.7811257 3.343849;-0.4559266 0.5117883 3.415974;-0.5135916 0.3234838 3.336341;-0.3181587 0.300043 3.211484;-0.2642349 0.3234069 3.154853;-0.1178839 0.5243306 3.327139;-0.0251989 0.3196517 3.254723;-0.2447131 0.2800702 3.161888;-0.3078939 0.2954518 3.133939;-0.3427663 0.100282 3.344355;-0.4291896 -0.3311363 3.355955;-0.5009335 -0.69763 3.319693;-0.5469611 -0.7629793 3.28921;-0.1905028 0.1058546 3.30935;-0.1250582 -0.2894662 3.325638;-0.06961144 -0.650666 3.348912;-0.04750881 -0.7162103 3.333452;0
-0.2680704 0.1807803 3.335988;-0.2564226 0.2489408 3.3887;-0.2750344 0.6239564 3.382058;-0.3007659 0.7802132 3.344156;-0.4554159 0.5116093 3.415971;-0.5159547 0.3228803 3.33747;-0.3121952 0.3030593 3.203528;-0.2608128 0.3227183 3.150261;-0.1175649 0.5241148 3.327162;-0.02433884 0.3201176 3.254411;-0.2454107 0.2813779 3.163206;-0.3086062 0.2967978 3.135894;-0.3425504 0.1004215 3.344354;-0.4289632 -0.3307693 3.355867;-0.5013103 -0.6978011 3.32022;-0.5467306 -0.7625774 3.289751;-0.1902818 0.1059851 3.309298;-0.1250123 -0.2894456 3.325571;-0.06962536 -0.6504916 3.349215;-0.04704569 -0.7174928 3.331168;0
-0.2678126 0.1809625 3.336024;-0.2561271 0.2489833 3.388851;-0.2742955 0.623817 3.383033;-0.2999194 0.7796448 3.34434;-0.4549316 0.5114615 3.416022;-0.5172234 0.322535 3.33806;-0.309624 0.3056673 3.198365;-0.2570694 0.3119151 3.153512;-0.1171327 0.5237554 3.327224;-0.02361271 0.3205057 3.254125;-0.2470147 0.28339 3.165342;-0.3100519 0.2987901 3.138288;-0.3423061 0.1006427 3.344339;-0.4286738 -0.3306759 3.355778;-0.5016589 -0.6979521 3.320724;-0.5471078 -0.762588 3.290014;-0.1900413 0.1061408 3.309211;-0.1249265 -0.2894317 3.325543;-0.06963284 -0.6502531 3.349566;-0.0470188 -0.7183533 3.32822;0
-0.2675615 0.1811392 3.336055;-0.2558078 0.2490386 3.388999;-0.2734816 0.6236426 3.383592;-0.2991535 0.7792813 3.344529;-0.4544815 0.5113182 3.416157;-0.5203846 0.3237268 3.339149;-0.3141127 0.3069185 3.197972;-0.2586361 0.3068986 3.155273;-0.1165668 0.5232655 3.327242;-0.02297141 0.320853 3.253834;-0.2496648 0.2874813 3.169899;-0.2928026 0.3271634 3.144192;-0.3420976 0.1008155 3.344322;-0.4283885 -0.3306719 3.355692;-0.5019076 -0.6976565 3.321564;-0.5475951 -0.7619471 3.291702;-0.1898034 0.1062976 3.309128;-0.1248291 -0.289428 3.325513;-0.06960721 -0.6500467 3.349945;-0.04727998 -0.7185584 3.326797;0
