HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.3644622 -0.01409074 2.91935;0.3634206 0.04935458 2.979327;0.3434577 0.4270816 2.995282;0.3411534 0.6041985 2.995459;0.2250477 0.2999864 2.971729;0.1601249 0.03998087 2.930117;0.1618159 -0.1586563 2.81244;0.1623795 -0.2248688 2.777822;0.4845479 0.2791922 2.954819;0.5555962 0.03008493 2.928279;0.5635207 -0.180274 2.83744;0.5661622 -0.2503936 2.811768;0.308932 -0.06942637 2.92525;0.2389492 -0.5049924 2.80599;0.2086828 -0.8579016 2.840153;0.2045136 -0.9241533 2.798131;0.425707 -0.07878377 2.88903;0.4357114 -0.521089 2.893281;0.441464 -0.869698 2.90199;0.4543694 -0.9304847 2.843325;0
0.3644624 -0.01409034 2.919367;0.3633816 0.04944178 2.979337;0.3426419 0.4267643 2.994406;0.3441331 0.6018189 2.994527;0.2236299 0.2988188 2.971131;0.1606335 0.0400514 2.930192;0.162315 -0.1572739 2.811623;0.1619614 -0.206601 2.774122;0.4846832 0.2775595 2.954191;0.5556134 0.03015027 2.928511;0.5602356 -0.1792421 2.836975;0.5565926 -0.229558 2.802789;0.3088769 -0.06944182 2.925098;0.24083 -0.5038721 2.803678;0.2085951 -0.857031 2.837994;0.2053183 -0.9234811 2.79647;0.4259582 -0.07892685 2.889394;0.4357076 -0.521274 2.893235;0.4419115 -0.8698702 2.903174;0.4543357 -0.9305175 2.8434;0
0.364471 -0.01409263 2.919368;0.36336 0.04945206 2.979337;0.3425103 0.4267057 2.994249;0.3447101 0.6013617 2.994262;0.2231389 0.298241 2.970703;0.1614702 0.03940004 2.929713;0.1674717 -0.1562408 2.80648;0.1487071 -0.163473 2.758997;0.4852784 0.2776288 2.954802;0.555663 0.03019347 2.928638;0.5596358 -0.1789921 2.83691;0.5544116 -0.2242836 2.800239;0.3089089 -0.06958237 2.924877;0.2423599 -0.5031185 2.801362;0.2084973 -0.8557569 2.835827;0.2064472 -0.9205309 2.778721;0.4261978 -0.07893996 2.889625;0.4357063 -0.5213068 2.893211;0.4419827 -0.869889 2.903382;0.4543305 -0.9305232 2.843414;0
0.3644916 -0.01409008 2.919361;0.3633251 0.04947887 2.979318;0.3425056 0.426475 2.993224;0.3453187 0.6007746 2.993435;0.2221196 0.2974727 2.969661;0.1623267 0.03893972 2.929078;0.1691475 -0.1530102 2.798335;0.1521243 -0.1593893 2.746872;0.4862993 0.2781955 2.955706;0.5557352 0.0302451 2.928787;0.5591394 -0.1787513 2.836853;0.5532898 -0.2209396 2.798524;0.3089226 -0.06983595 2.924369;0.2450455 -0.5016135 2.796232;0.2106024 -0.8483528 2.797691;0.2124621 -0.9186195 2.738844;0.4266855 -0.07888369 2.890077;0.4356954 -0.5213557 2.893169;0.4420693 -0.8699121 2.903624;0.4543298 -0.9305331 2.843441;0
0.3645251 -0.01408064 2.919336;0.3632539 0.04952784 2.979251;0.3426951 0.4262289 2.99178;0.3457258 0.6004576 2.992172;0.2202574 0.2964731 2.966938;0.1630419 0.03860147 2.927724;0.1727077 -0.1500571 2.790892;0.1535114 -0.1337879 2.729105;0.4872483 0.2785009 2.956207;0.5558754 0.0303381 2.929044;0.5583404 -0.1782263 2.836658;0.5524962 -0.2185611 2.797174;0.3088313 -0.07015796 2.923275;0.2478391 -0.5007282 2.790336;0.2123405 -0.8449094 2.768838;0.2217301 -0.9166545 2.700464;0.4272253 -0.0788305 2.890589;0.4356233 -0.5215464 2.893074;0.4421463 -0.8699297 2.903843;0.454331 -0.9305434 2.843467;0
0.364567 -0.01403883 2.919249;0.3630356 0.04968123 2.979003;0.3426703 0.4259591 2.989137;0.3455577 0.6009407 2.985882;0.2178231 0.2957825 2.962064;0.162968 0.04051168 2.923259;0.1609502 -0.1259954 2.758549;0.1604191 -0.118527 2.730529;0.4879066 0.2788695 2.95642;0.5560173 0.0304925 2.929357;0.5575469 -0.177481 2.836439;0.5525507 -0.214497 2.794599;0.3086089 -0.07039466 2.921535;0.2500655 -0.5007671 2.785317;0.2133662 -0.8431935 2.74806;0.2273346 -0.9151347 2.678089;0.42772 -0.07871461 2.891114;0.4354695 -0.52196 2.892954;0.4422116 -0.8699449 2.904025;0.4543367 -0.9305498 2.84349;0
0.3642358 -0.01319644 2.91828;0.3610892 0.0514166 2.976897;0.3407696 0.4276303 2.979917;0.3463439 0.6015913 2.975761;0.2139856 0.2998386 2.946353;0.1604053 0.04952082 2.91366;0.1575127 -0.1144586 2.746862;0.1705985 -0.1374503 2.709282;0.4883821 0.2798751 2.955761;0.5560011 0.03131665 2.930343;0.556236 -0.1748543 2.835681;0.5525145 -0.2093133 2.791943;0.3069413 -0.06869982 2.915979;0.2515548 -0.5004764 2.781231;0.2154167 -0.8417553 2.731191;0.2301859 -0.9140636 2.666702;0.4279488 -0.07823171 2.89172;0.4352576 -0.5224572 2.8928;0.4422582 -0.8699552 2.904194;0.4543448 -0.9305487 2.843527;0
0.3635101 -0.0118002 2.916252;0.358287 0.05376954 2.973253;0.3407996 0.4279442 2.96734;0.3422499 0.6027157 2.960435;0.2085119 0.3009691 2.929868;0.1538961 0.05838978 2.897656;0.1565486 -0.1079182 2.737703;0.1822443 -0.1445974 2.688235;0.4886882 0.2810916 2.95486;0.5554057 0.03345104 2.933243;0.5557354 -0.1532784 2.817087;0.5532306 -0.202303 2.786859;0.3035269 -0.0671287 2.906002;0.2525014 -0.5003657 2.778028;0.2162569 -0.8417155 2.722501;0.2318999 -0.913481 2.65931;0.4280396 -0.07761586 2.892352;0.4348519 -0.5230619 2.892569;0.4422684 -0.8699284 2.904366;0.4543475 -0.9305439 2.843549;1
0.3617498 -0.01023299 2.912914;0.3539752 0.0559566 2.968234;0.3406602 0.4281377 2.958878;0.3373948 0.6031067 2.946058;0.2021159 0.3026581 2.91049;0.1416865 0.06682625 2.86495;0.1607342 -0.1059105 2.728707;0.1979025 -0.1486414 2.665203;0.4869071 0.2847711 2.952313;0.5493788 0.0412134 2.942249;0.5501076 -0.1434323 2.820313;0.5521339 -0.1930183 2.783257;0.3002139 -0.06625168 2.898159;0.2530984 -0.5003329 2.775686;0.216785 -0.8422258 2.716635;0.2330718 -0.9130441 2.655179;0.4274517 -0.0767222 2.892797;0.4342899 -0.5235405 2.892366;0.4422545 -0.8694082 2.90478;0.4543663 -0.930469 2.843554;1
0.3583339 -0.008402446 2.908355;0.3482645 0.05804586 2.96234;0.3402295 0.4281285 2.951538;0.3345237 0.6033602 2.937785;0.1952156 0.3032435 2.891348;0.1325898 0.07307498 2.844778;0.1550913 -0.08558783 2.688768;0.1988321 -0.1393057 2.627604;0.4815802 0.2885884 2.946333;0.5367067 0.05040583 2.952906;0.5448153 -0.1351098 2.82693;0.553294 -0.1767131 2.776531;0.2957021 -0.06565771 2.889956;0.2530856 -0.5001878 2.773362;0.2171639 -0.8425779 2.712761;0.2337843 -0.9126773 2.654086;0.4243572 -0.0747899 2.893467;0.4334753 -0.524073 2.892271;0.4422141 -0.8687383 2.905209;0.45444 -0.9301316 2.843311;1
