HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.1365113 0.2130983 3.238435;-0.1383032 0.2735454 3.293898;-0.1509222 0.6255037 3.295512;-0.1523646 0.7713455 3.217551;-0.3126444 0.5181237 3.280696;-0.3875782 0.2532662 3.269602;-0.4462846 0.04958811 3.168743;-0.4771014 -0.01374685 3.149477;0.02066419 0.5234982 3.277434;0.09610327 0.2706297 3.245945;0.1677705 0.06674673 3.155881;0.1964838 0.0141432 3.143637;-0.2089209 0.1379176 3.222295;-0.2701773 -0.320598 3.24336;-0.3427598 -0.6714192 3.252078;-0.3475509 -0.7527149 3.216034;-0.05893207 0.1403361 3.229316;0.005631416 -0.2823221 3.236037;0.07537347 -0.6536368 3.241968;0.08067573 -0.7370132 3.211123;0
-0.1366213 0.2131556 3.238099;-0.1385388 0.2738134 3.29341;-0.152577 0.623753 3.292361;-0.1517417 0.7723511 3.217262;-0.3127918 0.5182191 3.280638;-0.3866198 0.2563363 3.269816;-0.4450879 0.05305491 3.169648;-0.4757775 -0.005459961 3.150431;0.02069505 0.5236259 3.277423;0.09608965 0.2706676 3.245911;0.1681893 0.06740408 3.156629;0.1973549 0.0142102 3.144848;-0.2090032 0.1379122 3.221997;-0.2701237 -0.320622 3.243323;-0.3427561 -0.6717759 3.251449;-0.3531579 -0.741013 3.213174;-0.05893425 0.1403379 3.229142;0.005641392 -0.2825179 3.235891;0.07250342 -0.6530672 3.242827;0.0810639 -0.7234401 3.211399;0
-0.1366382 0.2131647 3.238045;-0.1385775 0.2738561 3.293329;-0.1528285 0.6233768 3.291713;-0.1516468 0.7725164 3.21721;-0.3128124 0.5182349 3.280626;-0.3864459 0.2569312 3.269871;-0.444852 0.05373969 3.169854;-0.4752018 -0.002989318 3.150669;0.02072149 0.5236958 3.277462;0.09608819 0.27067 3.245911;0.1682924 0.06751896 3.156774;0.1975729 0.01425298 3.145079;-0.2090159 0.1379112 3.22195;-0.2701001 -0.3205957 3.243318;-0.3425819 -0.6716904 3.251353;-0.3535149 -0.7376781 3.212332;-0.05893461 0.1403385 3.229115;0.005644307 -0.2825506 3.235868;0.07203208 -0.6529757 3.24296;0.08106697 -0.7207108 3.211015;0
-0.1366508 0.2131706 3.238006;-0.1386076 0.2738865 3.29327;-0.1529936 0.6230896 3.291231;-0.151566 0.7726579 3.217171;-0.3128231 0.5182474 3.280614;-0.3863093 0.2573955 3.269914;-0.4446801 0.05429049 3.170011;-0.4747848 -0.001082993 3.150862;0.0207904 0.5238159 3.277582;0.09609573 0.2706741 3.245922;0.1684749 0.06764234 3.156973;0.1981491 0.01440896 3.145277;-0.2090259 0.1379063 3.221917;-0.269891 -0.3231947 3.244694;-0.3423375 -0.672631 3.251421;-0.3539616 -0.736616 3.212644;-0.05893488 0.1403387 3.229095;0.005630578 -0.2827629 3.236022;0.07167649 -0.6529061 3.243056;0.0826747 -0.7185974 3.207567;0
-0.1366559 0.2131752 3.237978;-0.1386233 0.2739081 3.293227;-0.1526866 0.6228887 3.29099;-0.1515034 0.7727672 3.217142;-0.3128261 0.5182588 3.280603;-0.3862014 0.2577631 3.269929;-0.444636 0.05473949 3.170273;-0.4746912 -8.812058E-06 3.151229;0.02086879 0.5239372 3.277708;0.09612016 0.2706885 3.245961;0.1688749 0.06779616 3.157479;0.1988016 0.01464407 3.14535;-0.2090318 0.137902 3.221894;-0.2696482 -0.3254947 3.245982;-0.3417438 -0.6750549 3.25134;-0.3542575 -0.7366466 3.213023;-0.0589339 0.1403389 3.22908;0.005929442 -0.2882385 3.239128;0.07134245 -0.6529048 3.24322;0.08445155 -0.7179606 3.204556;0
-0.1366439 0.2131727 3.237972;-0.1386173 0.2739151 3.293205;-0.1521016 0.6225712 3.290841;-0.1514516 0.7728497 3.21712;-0.3128189 0.5182684 3.280592;-0.3861296 0.2580505 3.269927;-0.4447455 0.05511535 3.170634;-0.4749257 0.0005235206 3.151707;0.02095514 0.5240561 3.277843;0.0961542 0.2706985 3.246026;0.1696725 0.06803668 3.158211;0.1994586 0.01472998 3.145507;-0.2090285 0.1378886 3.22189;-0.2694664 -0.3278705 3.247327;-0.3413191 -0.6764666 3.251361;-0.3544511 -0.7362962 3.213139;-0.05891469 0.1403296 3.229115;0.006150303 -0.2923032 3.24191;0.07107809 -0.6529269 3.243369;0.08618248 -0.7183747 3.201475;0
-0.1366168 0.2131778 3.237983;-0.1386002 0.2739211 3.293192;-0.1513942 0.6221766 3.290667;-0.1513454 0.7729651 3.21707;-0.3127984 0.5182785 3.280585;-0.3860631 0.2582867 3.269954;-0.4449735 0.05548099 3.171113;-0.4751591 0.0008513884 3.152151;0.02118598 0.5243192 3.278088;0.09622368 0.2706937 3.24614;0.1704359 0.06821845 3.158869;0.2000564 0.0147518 3.145653;-0.2090196 0.1378747 3.221898;-0.2692367 -0.3299311 3.248541;-0.3410685 -0.6778144 3.251404;-0.3665425 -0.742059 3.202672;-0.05887122 0.1403392 3.229194;0.006194144 -0.294778 3.243943;0.0708626 -0.6529536 3.243497;0.08754287 -0.719019 3.199045;0
-0.1364029 0.2131494 3.238193;-0.1384329 0.2738909 3.29327;-0.1491347 0.6214024 3.290445;-0.1507842 0.7760555 3.216509;-0.3125487 0.5183527 3.280658;-0.3859592 0.2587332 3.270059;-0.4461754 0.05598201 3.173625;-0.476225 -0.001641618 3.15537;0.02213581 0.5256315 3.2794;0.09665585 0.2706978 3.2468;0.1723728 0.06852098 3.160876;0.2010568 0.01471174 3.146064;-0.2088748 0.1377267 3.222171;-0.2685815 -0.3347797 3.252302;-0.340909 -0.685715 3.252177;-0.3717259 -0.7492692 3.197728;-0.05859597 0.140337 3.229824;0.00692076 -0.3038906 3.25114;0.07057318 -0.6532035 3.243881;0.08990508 -0.7222693 3.1939;0
-0.1360631 0.2130769 3.238593;-0.1380816 0.2738241 3.293522;-0.1477512 0.6211425 3.290504;-0.15017 0.7770188 3.216415;-0.3119971 0.5186169 3.281128;-0.3857782 0.2591222 3.270245;-0.4466682 0.05590619 3.177537;-0.4754026 -0.002561434 3.157422;0.02267266 0.5263756 3.280242;0.0969791 0.2707944 3.247574;0.1729412 0.06849138 3.162589;0.200698 0.01466827 3.146041;-0.2085879 0.1375539 3.222733;-0.2658617 -0.327782 3.254999;-0.3408593 -0.687089 3.252306;-0.367036 -0.747768 3.202688;-0.05826757 0.1402967 3.230541;0.007780627 -0.3080778 3.254321;0.07066904 -0.6535228 3.243973;0.09071299 -0.7244763 3.191376;0
-0.1358145 0.2130147 3.238918;-0.1378297 0.2737685 3.293734;-0.1472582 0.6210118 3.290562;-0.1490677 0.7766148 3.216181;-0.3115621 0.5188111 3.28154;-0.3855032 0.259447 3.2705;-0.4465039 0.05598589 3.179313;-0.473929 -0.002594242 3.15891;0.02290363 0.5266467 3.2806;0.09715322 0.2708607 3.248039;0.1729128 0.06827928 3.163955;0.2000386 0.01467562 3.145912;-0.2083336 0.1374275 3.223216;-0.2648834 -0.3295048 3.258573;-0.3401616 -0.6917374 3.252136;-0.3665129 -0.7480679 3.203223;-0.05802283 0.1402733 3.231044;0.008114306 -0.3091297 3.255312;0.07075054 -0.6537081 3.243961;0.09099041 -0.7253715 3.190459;0
