HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.2047362 -0.05522401 2.819492;0.2281911 0.01873569 2.857898;0.1971944 0.4164103 2.89412;0.1549384 0.5943174 2.905969;0.1029303 0.2970157 2.945832;0.08034728 0.07584511 2.997376;0.06309754 -0.1429796 2.855132;0.05734762 -0.2159212 2.811107;0.2740841 0.3188211 2.7986;0.3761681 0.2537441 2.604623;0.227005 0.3681562 2.571818;0.175814 0.3218232 2.604121;0.1672029 -0.1211865 2.856912;0.1370807 -0.5080073 2.831518;0.1157636 -0.8174022 2.820803;0.1069046 -0.8981144 2.768982;0.2442221 -0.111374 2.760118;0.3309975 -0.4635959 2.789958;0.3687951 -0.7992954 2.826863;0.3192277 -0.8307334 2.767109;1
0.2024788 -0.04860351 2.820251;0.2229344 0.02300201 2.860653;0.1936587 0.4159802 2.89461;0.1541938 0.5939322 2.906444;0.09925017 0.2701755 2.913369;0.06620096 0.08906576 2.901087;0.1870622 0.1162292 2.735988;0.2251547 0.0855249 2.740378;0.2762511 0.3259963 2.794234;0.3622999 0.2646559 2.590147;0.2248886 0.3856578 2.57291;0.1831529 0.3991922 2.588074;0.1657911 -0.1200204 2.856256;0.1366767 -0.5111401 2.833235;0.1157173 -0.8178551 2.819923;0.1104097 -0.9027535 2.770622;0.2425697 -0.09406687 2.763878;0.3255006 -0.4555988 2.786088;0.3601185 -0.7423044 2.818006;0.3154908 -0.7738665 2.75241;1
0.2012489 -0.04764723 2.821781;0.2193416 0.02368485 2.864107;0.1906545 0.4166879 2.895538;0.1540957 0.5950496 2.910747;0.08379867 0.2315143 2.875319;0.06161877 0.07349588 2.884296;0.1998782 0.1757912 2.728198;0.2428525 0.1916071 2.705615;0.276325 0.3290218 2.793101;0.3008251 0.31168 2.560998;0.1695872 0.4373434 2.569276;0.1208688 0.4943719 2.578243;0.1609008 -0.1276784 2.855709;0.1362964 -0.5141054 2.836974;0.1159546 -0.8134576 2.822584;0.1082547 -0.8969332 2.777754;0.2416677 -0.08856475 2.768138;0.3253186 -0.4491373 2.78482;0.3606615 -0.7512495 2.815259;0.3232375 -0.7854449 2.743066;1
0.1974912 -0.04277006 2.823112;0.2128729 0.02881695 2.866617;0.1784829 0.4204438 2.895584;0.1524024 0.5979837 2.915204;0.07179517 0.2082347 2.855896;0.05855901 0.0594097 2.875663;0.191218 0.2267698 2.710285;0.212621 0.2814546 2.667037;0.274013 0.3339122 2.791075;0.2221051 0.3639723 2.537622;0.07897084 0.5128551 2.563632;0.03507704 0.5738277 2.574628;0.1575907 -0.1308189 2.855209;0.1363683 -0.5178143 2.840904;0.1172715 -0.798228 2.828893;0.1070682 -0.8871825 2.782971;0.2392569 -0.07890578 2.770219;0.3154459 -0.4348079 2.777324;0.353922 -0.712214 2.805479;0.3196338 -0.7463462 2.728868;1
0.1944284 -0.04075611 2.82317;0.2052189 0.02851249 2.862885;0.16474 0.3654329 2.844258;0.1468377 0.5684897 2.900018;0.06731003 0.1990152 2.847516;0.05438162 0.02877755 2.878261;0.1747303 0.2347461 2.70371;0.1944132 0.2903176 2.654283;0.2470406 0.3163953 2.786441;0.1462412 0.4115468 2.53941;-0.004304664 0.5617903 2.536112;-0.0467735 0.6137067 2.544932;0.1525295 -0.1287069 2.848217;0.1367165 -0.5241871 2.846251;0.1183948 -0.7998751 2.830847;0.1076673 -0.891153 2.78209;0.2342136 -0.07256805 2.777347;0.2966624 -0.4161904 2.767117;0.3530934 -0.7039772 2.803046;0.3205061 -0.7389417 2.724388;1
0.1892943 -0.0420736 2.822378;0.1972805 0.02526583 2.858516;0.1497869 0.3431093 2.824663;0.144218 0.562988 2.896524;0.06226777 0.1916726 2.84355;0.05107911 0.01404601 2.877912;0.1636573 0.2417384 2.692767;0.1825382 0.29795 2.637466;0.235938 0.3093126 2.784858;0.07922725 0.4511985 2.569952;-0.06831778 0.5851707 2.511927;-0.128115 0.6340393 2.506176;0.1478161 -0.1291327 2.84269;0.1371566 -0.5287225 2.850369;0.1190722 -0.7948591 2.834115;0.1088599 -0.8881012 2.783923;0.2298691 -0.07031938 2.782923;0.2883415 -0.4096214 2.763607;0.3515508 -0.6959215 2.799676;0.3199361 -0.731831 2.719898;1
0.1839203 -0.04469533 2.82122;0.1906014 0.02155346 2.854541;0.1428772 0.3338884 2.816576;0.141609 0.5597539 2.894262;0.05784309 0.1867634 2.841784;0.04799743 0.005432808 2.877309;0.1469901 0.2316838 2.687266;0.1685731 0.2994181 2.624209;0.2246878 0.3090141 2.783715;0.04310521 0.4701228 2.594127;-0.1128967 0.5897223 2.497374;-0.1813695 0.6328024 2.468526;0.1439707 -0.1308097 2.839115;0.1381523 -0.5325159 2.853644;0.1188485 -0.7979937 2.835607;0.1097244 -0.8911536 2.783498;0.225832 -0.07001384 2.786471;0.2827862 -0.4056169 2.761072;0.3583098 -0.7100872 2.798303;0.3255571 -0.7475286 2.718876;1
0.1779231 -0.04885385 2.819518;0.1855539 0.01753451 2.85022;0.1345553 0.3293773 2.813287;0.1370326 0.557886 2.892411;0.03948775 0.1921904 2.883558;0.04492962 -9.359512E-05 2.876239;0.1311629 0.2136678 2.684185;0.1525158 0.2762836 2.619216;0.2151164 0.310728 2.783575;0.0005796305 0.4714481 2.6313;-0.1147728 0.5815727 2.499295;-0.1942755 0.6267939 2.460082;0.1407713 -0.1327295 2.836658;0.1390554 -0.5359096 2.856298;0.1188295 -0.801222 2.83654;0.1114028 -0.8946039 2.783198;0.2207315 -0.07234778 2.788306;0.2765235 -0.4085718 2.759761;0.3555565 -0.7042949 2.791503;0.3169118 -0.7419571 2.714372;1
0.1718783 -0.05386405 2.817283;0.1809381 0.01291579 2.845837;0.1278946 0.3271821 2.812483;0.1325886 0.5567738 2.89139;0.03317011 0.1927158 2.897097;0.04180029 -0.001805871 2.878416;0.1222225 0.2031859 2.685519;0.1440131 0.2615199 2.621027;0.2043252 0.3135937 2.784495;-0.004844133 0.4683141 2.634988;-0.1265155 0.5753922 2.504835;-0.2058635 0.623173 2.459044;0.1378714 -0.1350471 2.834559;0.1396492 -0.5378696 2.858004;0.1199193 -0.7976159 2.838961;0.08850154 -0.8508769 2.778839;0.2146268 -0.07608707 2.788776;0.2689467 -0.4265642 2.760781;0.3535025 -0.7005648 2.786962;0.3104284 -0.738323 2.711942;1
0.1657745 -0.06155246 2.815233;0.1780258 0.009919457 2.843864;0.1434756 0.4758657 2.877259;0.1203561 0.6428591 2.916262;0.02925972 0.1915589 2.901994;0.03834587 -0.003637622 2.881907;0.114742 0.1915973 2.689722;0.1373567 0.24694 2.626615;0.1981055 0.3148623 2.785359;-0.002748878 0.4572105 2.634197;-0.1374817 0.5690645 2.507996;-0.2173414 0.6169358 2.47181;0.1338959 -0.1384395 2.832866;0.1357906 -0.5106369 2.857801;0.1236248 -0.7623417 2.84081;0.07460157 -0.7937267 2.770837;0.2043666 -0.0943034 2.785379;0.2637359 -0.4517694 2.761298;0.3515406 -0.6974074 2.782748;0.3069457 -0.7357352 2.709463;1
