HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.05111051 0.1219601 2.897745;-0.04515677 0.2013126 2.916502;-0.05251636 0.6035664 2.904295;-0.09882404 0.7851313 2.869853;-0.228996 0.4684224 2.975101;-0.259211 0.2716421 3.005135;-0.2016059 0.1494144 2.761043;-0.1898022 0.1290265 2.683049;0.1069899 0.4771304 2.875264;0.2018532 0.2412668 2.85816;0.05983666 0.1665287 2.729627;-0.03493724 0.1656436 2.673345;-0.1264804 0.04224878 2.912657;-0.1760083 -0.4444638 2.858955;-0.1852352 -0.8192496 2.813253;-0.2173075 -0.8912455 2.767387;0.02471327 0.04616741 2.875836;0.04054581 -0.4509113 2.86012;0.03612248 -0.8118881 2.829331;0.0566577 -0.8804349 2.772803;0
-0.05031911 0.1222038 2.900191;-0.0444193 0.2014501 2.917898;-0.05205764 0.6029671 2.904149;-0.0982715 0.7853768 2.86956;-0.2276888 0.4688203 2.97627;-0.2584223 0.2701807 3.003169;-0.2049271 0.1816146 2.780006;-0.1933447 0.161609 2.703475;0.1072005 0.4769019 2.874342;0.2013196 0.2406797 2.855018;0.02734691 0.2021268 2.725132;-0.08518316 0.2013456 2.691356;-0.1250033 0.04299267 2.917668;-0.1778786 -0.4451937 2.86035;-0.1880852 -0.8194935 2.831856;-0.2175181 -0.8812082 2.778843;0.02516874 0.04628194 2.877812;0.04088443 -0.450545 2.860133;0.03598263 -0.8118393 2.829314;0.05452201 -0.8734847 2.778261;0
-0.05006709 0.1223814 2.901027;-0.04423756 0.20151 2.918235;-0.0518852 0.6026472 2.904079;-0.09818017 0.7854208 2.869488;-0.2270057 0.4691632 2.976949;-0.2555511 0.2676511 2.998618;-0.1512617 0.2436557 2.755343;-0.1328938 0.2254537 2.672613;0.107234 0.4768655 2.874182;0.200758 0.2398606 2.853731;-0.02646658 0.2466903 2.721208;-0.1233641 0.2348181 2.707373;-0.1243167 0.04362811 2.919946;-0.1789936 -0.4445534 2.861912;-0.1885101 -0.8207523 2.866586;-0.2225502 -0.8784103 2.82063;0.025274 0.04641746 2.878467;0.04098729 -0.4504629 2.860133;0.03596003 -0.811835 2.829309;0.05403987 -0.8720641 2.779492;0
-0.04968304 0.1227648 2.902287;-0.04399883 0.201624 2.918654;-0.05143631 0.6017168 2.903962;-0.09800504 0.7851087 2.869234;-0.2254169 0.4697529 2.978072;-0.252794 0.2651798 2.994009;-0.1012224 0.2913284 2.750804;-0.06708206 0.2806486 2.65763;0.1072676 0.4768329 2.874047;0.2001061 0.2388592 2.852561;-0.05141729 0.271924 2.718773;-0.1332963 0.2701599 2.713381;-0.1232586 0.04479333 2.923351;-0.1818071 -0.442266 2.866023;-0.1889419 -0.8204007 2.906894;-0.2240218 -0.8771779 2.873218;0.02538437 0.04667669 2.879291;0.04117924 -0.4503733 2.860106;0.03594194 -0.8118351 2.829297;0.05370541 -0.8710873 2.780324;0
-0.04924736 0.1234347 2.904;-0.04374328 0.2018435 2.919202;-0.05086185 0.6004902 2.903936;-0.09744003 0.783778 2.868659;-0.2237506 0.4703034 2.979294;-0.2508771 0.2635072 2.990559;-0.0836306 0.312909 2.74514;-0.04989747 0.3001567 2.652955;0.1073155 0.4767936 2.873957;0.1994319 0.2377589 2.851563;-0.05015064 0.2815392 2.722376;-0.1359354 0.2869829 2.716609;-0.1223552 0.04609644 2.926711;-0.1857077 -0.4403217 2.873747;-0.1872093 -0.8281547 2.966857;-0.2280073 -0.8830236 2.933876;0.02549208 0.04717634 2.880501;0.04158071 -0.4501826 2.860054;0.03592924 -0.8118367 2.829271;0.05346085 -0.8703914 2.780903;0
-0.04852408 0.1247925 2.90657;-0.04328925 0.2024528 2.920385;-0.04975676 0.5983966 2.905015;-0.09662956 0.782508 2.868159;-0.2222381 0.4706801 2.980309;-0.2498822 0.2625485 2.988641;-0.0738771 0.32467 2.742767;-0.03014098 0.3246355 2.663308;0.1078725 0.476746 2.874406;0.1988395 0.2367234 2.851181;-0.04301327 0.2895771 2.725883;-0.1240442 0.3054475 2.714899;-0.1215342 0.04745963 2.929757;-0.1896664 -0.4408359 2.888384;-0.183595 -0.829161 3.011206;-0.2375959 -0.8909566 2.991098;0.02589121 0.04840931 2.882588;0.04224749 -0.4498026 2.859968;0.03591993 -0.8118401 2.829236;0.05328136 -0.8698859 2.781315;0
-0.04781268 0.1264043 2.909447;-0.04278577 0.2033313 2.922144;-0.04845014 0.5958412 2.907472;-0.09563297 0.7813067 2.867746;-0.2210234 0.4709212 2.981458;-0.2489454 0.2604498 2.985314;-0.06886412 0.3318067 2.740997;-0.01868265 0.3433395 2.687485;0.1086868 0.476564 2.875755;0.197872 0.2354084 2.851855;-0.02644466 0.2908186 2.732768;-0.1151809 0.3152944 2.714238;-0.1209088 0.04878514 2.932447;-0.1925448 -0.4424731 2.906443;-0.1855035 -0.8297249 3.066324;-0.2365755 -0.8861769 3.048232;0.02634791 0.04984815 2.884959;0.04301144 -0.4493508 2.859778;0.03591483 -0.8118438 2.829185;0.05314179 -0.869518 2.781608;0
-0.04700343 0.1305841 2.913853;-0.04222246 0.2057697 2.925568;-0.04699458 0.5918756 2.913493;-0.09333466 0.7786705 2.868333;-0.2200749 0.4710795 2.982388;-0.2484379 0.2588586 2.982338;-0.06669777 0.3355857 2.739198;-0.01119247 0.3526718 2.691394;0.1101835 0.4756542 2.879669;0.1952227 0.2326805 2.856225;-0.01653695 0.2920323 2.737257;-0.1102721 0.3206627 2.714329;-0.1203989 0.05227672 2.935901;-0.193963 -0.4479975 2.933951;-0.1855343 -0.8288941 3.091069;-0.2402967 -0.8902282 3.089465;0.02697215 0.05310672 2.888289;0.04389149 -0.4487378 2.859442;0.03592968 -0.811815 2.82908;0.05303138 -0.8692523 2.781795;0
-0.04654269 0.134835 2.918166;-0.04194426 0.208901 2.930322;-0.046281 0.5882356 2.922649;-0.08944534 0.7759795 2.871845;-0.2194655 0.4710281 2.9834;-0.2493249 0.2551704 2.976879;-0.06898624 0.3336201 2.739852;-0.008389577 0.3542024 2.703037;0.1115724 0.4743503 2.887266;0.1924925 0.2302622 2.862825;-0.01172833 0.2931143 2.740122;-0.106457 0.3233503 2.715486;-0.1202077 0.05551704 2.93873;-0.1933158 -0.4524104 2.960772;-0.1816171 -0.825705 3.112711;-0.2397215 -0.8926621 3.124075;0.02747865 0.05706203 2.892139;0.04468074 -0.4481994 2.859069;0.0359677 -0.8117574 2.828917;0.05295365 -0.8690537 2.781841;0
-0.04669258 0.1373325 2.92227;-0.04239155 0.2108326 2.936726;-0.04609965 0.5849209 2.935699;-0.08576592 0.7734631 2.876667;-0.2190173 0.4709624 2.984277;-0.2501288 0.2532701 2.974364;-0.07027612 0.333235 2.741158;-0.01072463 0.3550397 2.710782;0.1136329 0.4725098 2.900204;0.1892624 0.2284886 2.878618;-0.008085968 0.2930148 2.744179;-0.1028699 0.3238519 2.717593;-0.1205306 0.05738943 2.940856;-0.1913752 -0.4548869 2.984028;-0.179082 -0.8240744 3.125803;-0.224922 -0.8900698 3.149467;0.02753259 0.05987123 2.896761;0.04540673 -0.4476393 2.85866;0.03602401 -0.8116965 2.828721;0.05290365 -0.8689177 2.781798;0
