HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
-0.02681395 0.1979754 2.947883;-0.03095004 0.2639068 3.007759;-0.03526898 0.6472175 3.009493;-0.03363724 0.8268827 2.950134;-0.2058251 0.5273126 3.001506;-0.2760569 0.2622862 2.967887;-0.3012789 -0.02426825 2.883265;-0.2718196 -0.1312671 2.866665;0.1405198 0.5246605 3.01903;0.231064 0.2359604 3.018208;0.2719383 -0.05503037 2.942739;0.2603708 -0.1407189 2.926013;-0.103295 0.1217101 2.932435;-0.1270246 -0.4546636 2.949974;-0.1376175 -0.8121957 2.9095;-0.1594392 -0.8775483 2.832911;0.05256026 0.1205166 2.937319;0.09548903 -0.442395 2.96865;0.1233676 -0.8356689 2.997899;0.151111 -0.8841077 2.928637;0
-0.02667427 0.198234 2.947917;-0.03077204 0.2641042 3.007724;-0.03477977 0.6470039 3.009145;-0.03363562 0.8270148 2.950108;-0.2063091 0.5275131 3.001435;-0.2766011 0.2626587 2.968362;-0.3006315 -0.02566082 2.883096;-0.2717501 -0.1313171 2.866647;0.1406558 0.5247424 3.018778;0.2315756 0.2358518 3.017874;0.2715207 -0.05245489 2.943026;0.2602969 -0.1409162 2.926149;-0.1033102 0.1217986 2.932408;-0.1269956 -0.4550068 2.949755;-0.1376175 -0.8117719 2.909629;-0.1592229 -0.8773818 2.83275;0.05278757 0.1206283 2.937405;0.09550191 -0.4423131 2.968539;0.1209536 -0.8309229 2.993795;0.1475221 -0.8808432 2.923404;0
-0.02665305 0.1982736 2.947922;-0.03074493 0.2641342 3.007719;-0.03469231 0.6469634 3.009097;-0.0336086 0.827065 2.95024;-0.2063871 0.5275474 3.001425;-0.2766915 0.2627162 2.968432;-0.3004593 -0.02598564 2.883049;-0.2717402 -0.1313251 2.866644;0.1406766 0.524754 3.018739;0.231656 0.2358343 3.017822;0.2715087 -0.05144499 2.943473;0.2602856 -0.1409463 2.92617;-0.1033132 0.1218128 2.932404;-0.1269928 -0.4550682 2.949723;-0.1376157 -0.8117082 2.909647;-0.1591806 -0.8773381 2.83271;0.05282199 0.1206452 2.937418;0.09550671 -0.4423121 2.968531;0.1204364 -0.8299195 2.992849;0.1467247 -0.8801228 2.922244;0
-0.02663828 0.19831 2.947925;-0.03072448 0.2641585 3.007714;-0.03462206 0.6469295 3.009063;-0.03356827 0.8271235 2.950405;-0.2064506 0.5275768 3.001416;-0.2767632 0.2627591 2.968484;-0.3002463 -0.02633291 2.882991;-0.2717336 -0.1313314 2.866641;0.1406933 0.5247626 3.018708;0.2317243 0.2358195 3.017778;0.2715427 -0.05057332 2.943941;0.2602784 -0.1409743 2.926191;-0.1033215 0.1218312 2.932404;-0.1269906 -0.4551212 2.949698;-0.1374552 -0.8120238 2.909587;-0.1591557 -0.8773066 2.832685;0.05284781 0.1206608 2.937425;0.09551242 -0.4423179 2.968525;0.1200074 -0.8291187 2.991999;0.1461099 -0.8795753 2.921357;0
-0.026629 0.1983424 2.947927;-0.03070911 0.2641786 3.00771;-0.03455632 0.6468971 3.009033;-0.03353506 0.8271796 2.950585;-0.2065019 0.5276049 3.001408;-0.2768151 0.2627883 2.968522;-0.3000698 -0.026506 2.882948;-0.2717322 -0.1313369 2.866637;0.1407161 0.5247676 3.018679;0.2317816 0.235808 3.017744;0.2719522 -0.0488611 2.94523;0.260321 -0.1410287 2.926262;-0.1033388 0.1218546 2.93241;-0.1269888 -0.455171 2.94968;-0.1370849 -0.8128536 2.909571;-0.1591365 -0.8772794 2.832665;0.05286681 0.1206736 2.937428;0.09551733 -0.4423192 2.96852;0.1197753 -0.8283007 2.991284;0.1456196 -0.8791462 2.920707;0
-0.02662349 0.1983716 2.94793;-0.03069742 0.2641949 3.007707;-0.03448997 0.6468553 3.009012;-0.03348581 0.8272182 2.950955;-0.2065447 0.5276303 3.001401;-0.2768584 0.2628098 2.96855;-0.2997113 -0.02695768 2.882856;-0.2717334 -0.1313416 2.866632;0.1407392 0.524772 3.018651;0.2318461 0.2358035 3.017711;0.273577 -0.0388967 2.94776;0.2606418 -0.1401948 2.926581;-0.1033607 0.1218799 2.932421;-0.1269865 -0.4552163 2.949666;-0.1367175 -0.8137953 2.909555;-0.1600542 -0.8778099 2.834036;0.05288071 0.1206848 2.937429;0.09552239 -0.4423219 2.968517;0.1195896 -0.8277137 2.990715;0.1452517 -0.878848 2.920287;0
-0.02661937 0.1983969 2.947933;-0.03068808 0.2642076 3.007705;-0.03441537 0.6467993 3.009006;-0.03342507 0.827282 2.9513;-0.2065786 0.5276536 3.001396;-0.2768953 0.2628241 2.968568;-0.2995133 -0.02713542 2.882788;-0.2720651 -0.1308858 2.86656;0.1407772 0.5247725 3.018627;0.2319172 0.2358113 3.017679;0.2750786 -0.02923965 2.948881;0.2618798 -0.138689 2.926636;-0.1033828 0.1219045 2.932435;-0.1269812 -0.4552571 2.949654;-0.1363968 -0.8146169 2.909484;-0.1612218 -0.8784423 2.835679;0.05289188 0.1206933 2.937429;0.09553409 -0.4423208 2.968515;0.1194299 -0.8269467 2.990125;0.1449904 -0.8786333 2.919985;0
-0.02661665 0.198422 2.947937;-0.03067986 0.264219 3.007704;-0.03433713 0.6467386 3.009007;-0.03336922 0.8273385 2.951613;-0.2066058 0.5276822 3.001396;-0.2769397 0.2628196 2.968583;-0.2993468 -0.02723449 2.882747;-0.2728081 -0.1299088 2.866406;0.1408183 0.5247786 3.018605;0.2320036 0.2358438 3.017653;0.2765756 -0.02252731 2.949261;0.2638653 -0.1373302 2.926612;-0.1034058 0.1219319 2.932453;-0.1269743 -0.4552947 2.949644;-0.1360949 -0.8155078 2.909366;-0.162234 -0.8789992 2.837023;0.0529005 0.1207016 2.937428;0.09554768 -0.4423195 2.968513;0.1193402 -0.826619 2.989847;0.1447938 -0.8784744 2.919762;0
-0.02661531 0.1984478 2.947941;-0.03067202 0.2642305 3.007703;-0.0342628 0.64668 3.009013;-0.03331528 0.8273928 2.951905;-0.206634 0.5277259 3.001412;-0.2769787 0.2628101 2.968594;-0.299209 -0.02726844 2.882729;-0.2736333 -0.1289926 2.866228;0.1408635 0.5247847 3.018588;0.2321248 0.23594 3.017629;0.2781813 -0.01782157 2.948926;0.2670492 -0.135362 2.926174;-0.1034326 0.1219647 2.932479;-0.1269653 -0.4553207 2.949632;-0.1358412 -0.8162777 2.909252;-0.1627597 -0.8793044 2.837654;0.0529072 0.1207091 2.937426;0.09556466 -0.4423192 2.968509;0.1192863 -0.8264197 2.989641;0.1446299 -0.8783631 2.919617;0
-0.02661094 0.1984976 2.947964;-0.03064856 0.264257 3.007719;-0.03398367 0.6465858 3.009152;-0.03326603 0.8274416 2.952166;-0.2066534 0.5278449 3.001524;-0.2770143 0.2627988 2.968602;-0.2990867 -0.027019 2.882777;-0.2749619 -0.1279697 2.866028;0.1409668 0.5248058 3.018586;0.2323384 0.2361493 3.017565;0.2800231 -0.01440493 2.947757;0.2700689 -0.1338747 2.925536;-0.1034729 0.1220209 2.93255;-0.1269187 -0.4553901 2.949637;-0.1355124 -0.8172567 2.909327;-0.1630369 -0.8794938 2.838033;0.05291358 0.1207229 2.937421;0.09558239 -0.4423208 2.968502;0.1192674 -0.826299 2.989492;0.144457 -0.8782558 2.919507;0
-0.02659695 0.1985694 2.948011;-0.03057463 0.2643018 3.007772;-0.03319058 0.6463627 3.009573;-0.03316596 0.8274332 2.952437;-0.2066633 0.5281498 3.001999;-0.2770482 0.2627865 2.968619;-0.2989863 -0.02670735 2.882841;-0.27634 -0.12706 2.865893;0.1410858 0.5248318 3.018584;0.232956 0.236521 3.017347;0.2815561 -0.01162836 2.946343;0.2761452 -0.1320296 2.919771;-0.1035207 0.1220941 2.93269;-0.1268308 -0.4554915 2.949652;-0.1352306 -0.8181081 2.909399;-0.1632073 -0.8796241 2.838279;0.05292053 0.1207446 2.937415;0.09560332 -0.4423213 2.968493;0.119265 -0.8262066 2.989358;0.1442138 -0.8781776 2.919334;0
-0.02654826 0.1987919 2.948186;-0.03036961 0.26447 3.007957;-0.03196604 0.6461875 3.010203;-0.03307758 0.8275496 2.952673;-0.2066497 0.5287745 3.002977;-0.2770691 0.2627876 2.968648;-0.2988858 -0.02609318 2.88303;-0.2777078 -0.1262208 2.865884;0.1414756 0.5249444 3.018577;0.234606 0.2384075 3.016207;0.282207 -0.008635415 2.943788;0.280764 -0.130028 2.915157;-0.1036311 0.1222847 2.933095;-0.1267338 -0.455555 2.949658;-0.1349754 -0.8189324 2.909484;-0.163304 -0.8797283 2.83846;0.05293686 0.120805 2.937414;0.09564028 -0.4423178 2.968479;0.1192772 -0.8261536 2.989252;0.1441345 -0.8781921 2.919294;0
-0.0264804 0.19905 2.94842;-0.03003274 0.2646787 3.008234;-0.03052449 0.6459429 3.010961;-0.03299767 0.8276735 2.952838;-0.2064507 0.5296643 3.004721;-0.2770577 0.2627941 2.968735;-0.2988254 -0.02533364 2.883518;-0.2792091 -0.1255538 2.866065;0.1420369 0.525055 3.01842;0.2363947 0.2401947 3.014429;0.2828802 -0.006396501 2.940322;0.2866833 -0.128043 2.907228;-0.1037583 0.1225273 2.933734;-0.1265963 -0.4555945 2.949643;-0.134828 -0.8193583 2.909556;-0.1633783 -0.879823 2.838641;0.05295468 0.1208724 2.937413;0.09569693 -0.4423261 2.968467;0.1193192 -0.8261722 2.989157;0.1441985 -0.8783255 2.919388;0
-0.02623681 0.1996463 2.949194;-0.02884655 0.2651929 3.009188;-0.02747406 0.6454245 3.012558;-0.03282304 0.8278709 2.953063;-0.205709 0.5312688 3.009829;-0.2764907 0.2627377 2.971334;-0.2989932 -0.0226509 2.886933;-0.2820292 -0.1243984 2.866839;0.1438363 0.525171 3.017499;0.2453717 0.2482303 3.003284;0.2899104 -0.004574676 2.922416;0.3088284 -0.1248541 2.875247;-0.1040675 0.1229906 2.936305;-0.1262195 -0.4556088 2.949572;-0.1346316 -0.8194755 2.909405;-0.1634126 -0.8798723 2.838753;0.05301147 0.1210216 2.937423;0.09594367 -0.442414 2.968505;0.1194477 -0.8264743 2.989182;0.1446827 -0.8788708 2.920023;0
-0.02601439 0.1999575 2.949811;-0.02788545 0.2654589 3.009941;-0.02610143 0.6451387 3.013282;-0.03264195 0.8279257 2.953213;-0.2050579 0.5318496 3.013479;-0.2759562 0.262507 2.97343;-0.298918 -0.02094303 2.890479;-0.2837707 -0.1240186 2.868245;0.1448816 0.5252255 3.016682;0.2494473 0.2506952 2.9982;0.2950456 -0.004223214 2.914973;0.3138433 -0.1247692 2.86745;-0.1040873 0.1231293 2.938248;-0.1259555 -0.4555667 2.949507;-0.1345343 -0.8196471 2.909293;-0.163339 -0.879809 2.838638;0.05306102 0.1211049 2.937445;0.0961328 -0.4424769 2.968573;0.119539 -0.8267584 2.98931;0.144996 -0.8791794 2.920302;0
-0.02569224 0.2002324 2.950637;-0.02669206 0.2656366 3.010928;-0.0245313 0.6446439 3.014203;-0.03245683 0.8279116 2.953353;-0.204225 0.5321974 3.016861;-0.2752833 0.2620678 2.976017;-0.298259 -0.01874518 2.895483;-0.285843 -0.1237484 2.873393;0.1459094 0.5252556 3.01573;0.2541278 0.2519963 2.992014;0.3002572 -0.004462351 2.908677;0.3173379 -0.1247021 2.861769;-0.1039166 0.1231425 2.940877;-0.1255932 -0.4554195 2.949408;-0.1344372 -0.819836 2.909158;-0.1631524 -0.8796165 2.838322;0.05312152 0.1211881 2.937474;0.09640276 -0.4426009 2.968738;0.1196315 -0.8270392 2.989382;0.1451549 -0.8793966 2.920443;0
