HipCenter; Spine; ShoulderCenter; Head; ShoulderLeft; ElbowLeft; WristLeft; HandLeft; ShoulderRight; ElbowRight; WristRight; HandRight; HipLeft; KneeLeft; AnkleLeft; FootLeft; HipRight; KneeRight; AnkleRight; FootRight
0.1065892 -0.007465102 2.882015;0.1072679 0.05546931 2.939442;0.07995065 0.4212468 2.944291;0.03714633 0.6014622 2.932316;-0.08317795 0.3023303 2.969737;-0.1286208 0.04844973 2.930342;-0.1665996 -0.1791348 2.849332;-0.1691325 -0.2595187 2.835773;0.2356936 0.31942 2.939911;0.3148649 0.06266171 2.925268;0.3073188 -0.1498331 2.798384;0.286872 -0.2180882 2.746784;0.0392414 -0.08209486 2.874464;0.005038026 -0.5291179 2.871995;0.0001229719 -0.8742471 2.852861;-0.0238467 -0.9476979 2.795865;0.1827336 -0.07440449 2.86447;0.2949065 -0.5252166 2.819937;0.3550479 -0.8913785 2.835344;0.3787422 -0.9428208 2.770043;0
0.1072737 -0.007619352 2.881927;0.1078637 0.05539738 2.939366;0.07999651 0.421344 2.944268;0.03762039 0.6019726 2.932583;-0.08260435 0.3017995 2.969732;-0.1275815 0.04812913 2.930558;-0.1639395 -0.1788467 2.848568;-0.1666927 -0.2585829 2.832922;0.2360372 0.319772 2.939506;0.3154064 0.06272534 2.924998;0.3090652 -0.1503651 2.796713;0.3096149 -0.2187033 2.754113;0.04023996 -0.08248422 2.874424;0.00571085 -0.5297018 2.872199;0.0003099896 -0.8747639 2.852815;-0.02354614 -0.9475504 2.795426;0.1835 -0.07432878 2.864344;0.2947502 -0.5241894 2.820839;0.3549808 -0.8914551 2.83603;0.378959 -0.9424462 2.772105;0
0.1075233 -0.007576433 2.881873;0.1082041 0.05547835 2.9393;0.08079641 0.4215938 2.94421;0.03802081 0.602102 2.932611;-0.08236869 0.301654 2.969794;-0.1262802 0.04841279 2.930988;-0.1618637 -0.1783838 2.847148;-0.1591092 -0.2569621 2.822941;0.2364077 0.3199587 2.939332;0.3156592 0.0628016 2.92488;0.3121567 -0.1493006 2.796621;0.3154611 -0.2187435 2.755967;0.04045307 -0.08253608 2.874411;0.006031917 -0.5297675 2.872194;0.000339209 -0.8748446 2.852809;-0.02347953 -0.9475251 2.795374;0.1837979 -0.07420664 2.864219;0.2947403 -0.5240025 2.821058;0.3549213 -0.8914785 2.836167;0.3790016 -0.9424108 2.772411;0
0.1086424 -0.007267399 2.881569;0.1096909 0.05594736 2.938959;0.08319611 0.4230023 2.94396;0.04042042 0.6026692 2.93257;-0.07921236 0.3016808 2.97011;-0.1237538 0.04930819 2.931607;-0.1505746 -0.1777188 2.839423;-0.1462481 -0.2545411 2.810001;0.2378239 0.3204866 2.938824;0.3167486 0.06312417 2.92443;0.3235522 -0.1425685 2.796345;0.3255025 -0.2179008 2.756081;0.04170034 -0.08228359 2.8742;0.006856341 -0.5296215 2.872016;0.0003589923 -0.8749114 2.852807;-0.02342653 -0.947507 2.795337;0.1847522 -0.07376251 2.863812;0.2949064 -0.5238271 2.821949;0.3548206 -0.8916028 2.836416;0.3791414 -0.9424495 2.772691;0
0.111214 -0.006089063 2.881046;0.1129526 0.05734277 2.938365;0.08830567 0.4251855 2.943262;0.04749876 0.6049977 2.933068;-0.07475843 0.3018152 2.970564;-0.1188834 0.05100605 2.932435;-0.1348625 -0.1760962 2.830436;-0.1255135 -0.2489522 2.794762;0.2431678 0.3224249 2.937848;0.3192914 0.06378733 2.923366;0.3329686 -0.1370194 2.795572;0.3325977 -0.2173807 2.755579;0.04375423 -0.08158305 2.873986;0.009195557 -0.5293587 2.871254;0.0003730323 -0.8749633 2.852806;-0.02338337 -0.9474939 2.79531;0.1871478 -0.07232919 2.862964;0.2956036 -0.5236456 2.824172;0.3546847 -0.8916115 2.836618;0.3792446 -0.9424801 2.772865;0
0.1161331 -0.002814213 2.880361;0.1187269 0.06055087 2.937607;0.09487437 0.4276487 2.942554;0.05579492 0.6078769 2.933645;-0.06962256 0.302332 2.971543;-0.1065378 0.05192912 2.933378;-0.1105441 -0.1716982 2.820661;-0.1059363 -0.2427841 2.782065;0.2507906 0.3253061 2.936335;0.3301088 0.06698133 2.917543;0.3466485 -0.1297238 2.79353;0.3412047 -0.217323 2.754105;0.04740206 -0.07955411 2.874084;0.01208472 -0.5289569 2.870242;0.0003839205 -0.8749998 2.852803;-0.02334462 -0.9474905 2.795293;0.1920727 -0.06877102 2.861183;0.2968118 -0.5233392 2.827214;0.3545542 -0.891593 2.836821;0.3797013 -0.9426292 2.773533;0
0.1226185 0.001065924 2.879656;0.1258523 0.06407534 2.936894;0.1026306 0.4296992 2.942127;0.06990536 0.6120543 2.935081;-0.06204064 0.3033108 2.972407;-0.09191364 0.0520001 2.93398;-0.08710502 -0.1670938 2.812128;-0.08147133 -0.2352235 2.771047;0.262558 0.3293379 2.934801;0.3393669 0.07042815 2.913772;0.3590808 -0.1228064 2.791207;0.3518046 -0.216718 2.753407;0.05264004 -0.07691218 2.874258;0.0151438 -0.5285162 2.868989;0.00040602 -0.87502 2.852796;-0.02331397 -0.9474894 2.795279;0.1988345 -0.06462798 2.859136;0.2986956 -0.5225112 2.830724;0.35437 -0.8914938 2.837054;0.380221 -0.9427103 2.774248;0
0.1311767 0.00456472 2.878886;0.1350442 0.0672748 2.936017;0.1144633 0.4313318 2.940584;0.08453047 0.6159216 2.936367;-0.05186011 0.3047068 2.972544;-0.07773449 0.0530057 2.935138;-0.06117999 -0.1524071 2.805188;-0.06198546 -0.2293765 2.761376;0.2729354 0.3323431 2.933966;0.3556654 0.0740061 2.905407;0.370586 -0.1191932 2.787538;0.3673956 -0.2172185 2.750839;0.06068996 -0.07410318 2.874249;0.01821099 -0.5279136 2.867621;0.0004974729 -0.8750304 2.852803;-0.02329406 -0.9474991 2.795291;0.2069603 -0.06114095 2.857581;0.3006687 -0.5218933 2.833808;0.354188 -0.8913915 2.837289;0.3808058 -0.9428425 2.775016;0
0.1410575 0.008136472 2.87815;0.1447604 0.07039173 2.935139;0.1265464 0.4323927 2.938518;0.09910749 0.6179823 2.936986;-0.03591019 0.3092851 2.970059;-0.06509071 0.05656281 2.93742;-0.04404212 -0.1387689 2.802335;-0.03193728 -0.2122413 2.748054;0.2830097 0.3340262 2.933189;0.3749253 0.07923584 2.893673;0.3840509 -0.1153387 2.780756;0.3790326 -0.216378 2.747851;0.07179347 -0.06967551 2.873756;0.02164096 -0.5269496 2.865714;0.0006875903 -0.8750185 2.852788;-0.02328042 -0.9475014 2.795288;0.2156961 -0.05806894 2.856801;0.3029245 -0.5217365 2.836565;0.3540094 -0.8913209 2.83752;0.3814905 -0.9431441 2.775956;1
0.1498429 0.01031664 2.877501;0.1531394 0.072331 2.934389;0.1371506 0.4331975 2.936783;0.1126578 0.6193052 2.93664;-0.02456312 0.3125723 2.967572;-0.05493547 0.06044873 2.939449;-0.008965086 -0.1394442 2.779243;-0.02138172 -0.206158 2.737854;0.295116 0.3349907 2.933022;0.3897152 0.08724469 2.884005;0.4010643 -0.1064078 2.770761;0.3941887 -0.2093364 2.742442;0.0800937 -0.06713188 2.872977;0.02542647 -0.5258374 2.863009;0.0009997411 -0.8750374 2.852777;-0.02326802 -0.9475011 2.795274;0.2250038 -0.0561857 2.856732;0.3048914 -0.5216531 2.838644;0.3538375 -0.8912575 2.837728;0.3820931 -0.9434227 2.776688;1
